"","state","date","site","dailycases","note"
"1","Japan",2020-01-28,"北海道",1,"NA"
"2","Japan",2020-02-14,"北海道",1,"NA"
"3","Japan",2020-02-19,"北海道",2,"NA"
"4","Japan",2020-02-20,"北海道",1,"NA"
"5","Japan",2020-02-21,"北海道",3,"NA"
"6","Japan",2020-02-22,"北海道",9,"NA"
"7","Japan",2020-02-23,"北海道",9,"NA"
"8","Japan",2020-02-24,"北海道",4,"NA"
"9","Japan",2020-02-25,"北海道",5,"NA"
"10","Japan",2020-02-26,"北海道",4,"NA"
"11","Japan",2020-02-27,"北海道",15,"NA"
"12","Japan",2020-02-28,"北海道",12,"NA"
"13","Japan",2020-02-29,"北海道",4,"NA"
"14","Japan",2020-03-01,"北海道",2,"NA"
"15","Japan",2020-03-02,"北海道",5,"NA"
"16","Japan",2020-03-03,"北海道",2,"NA"
"17","Japan",2020-03-04,"北海道",3,"NA"
"18","Japan",2020-03-05,"北海道",1,"NA"
"19","Japan",2020-03-06,"北海道",7,"NA"
"20","Japan",2020-03-07,"北海道",8,"NA"
"21","Japan",2020-03-08,"北海道",3,"NA"
"22","Japan",2020-03-09,"北海道",7,"NA"
"23","Japan",2020-03-10,"北海道",3,"NA"
"24","Japan",2020-03-11,"北海道",7,"NA"
"25","Japan",2020-03-12,"北海道",10,"NA"
"26","Japan",2020-03-13,"北海道",9,"NA"
"27","Japan",2020-03-14,"北海道",7,"NA"
"28","Japan",2020-03-15,"北海道",4,"NA"
"29","Japan",2020-03-16,"北海道",4,"NA"
"30","Japan",2020-03-18,"北海道",2,"NA"
"31","Japan",2020-03-19,"北海道",3,"NA"
"32","Japan",2020-03-20,"北海道",1,"NA"
"33","Japan",2020-03-21,"北海道",1,"NA"
"34","Japan",2020-03-22,"北海道",3,"NA"
"35","Japan",2020-03-24,"北海道",1,"NA"
"36","Japan",2020-03-25,"北海道",4,"NA"
"37","Japan",2020-03-26,"北海道",1,"NA"
"38","Japan",2020-03-27,"北海道",1,"NA"
"39","Japan",2020-03-28,"北海道",2,"NA"
"40","Japan",2020-03-29,"北海道",4,"NA"
"41","Japan",2020-03-30,"北海道",1,"NA"
