"","state","date","site","dailycases","note"
"1","Malaysia",2020-03-13,"johor",20,"NA"
"2","Malaysia",2020-03-14,"johor",2,"NA"
"3","Malaysia",2020-03-16,"johor",30,"NA"
"4","Malaysia",2020-03-17,"johor",25,"NA"
"5","Malaysia",2020-03-18,"johor",11,"NA"
"6","Malaysia",2020-03-19,"johor",13,"NA"
"7","Malaysia",2020-03-20,"johor",13,"NA"
"8","Malaysia",2020-03-21,"johor",15,"NA"
"9","Malaysia",2020-03-22,"johor",16,"NA"
"10","Malaysia",2020-03-23,"johor",13,"NA"
"11","Malaysia",2020-03-24,"johor",4,"NA"
"12","Malaysia",2020-03-25,"johor",34,"NA"
"13","Malaysia",2020-03-26,"johor",43,"NA"
"14","Malaysia",2020-03-27,"johor",20,"NA"
"15","Malaysia",2020-03-28,"johor",26,"NA"
"16","Malaysia",2020-03-29,"johor",24,"NA"
"17","Malaysia",2020-03-30,"johor",24,"NA"
"18","Malaysia",2020-03-31,"johor",16,"NA"
"19","Malaysia",2020-04-01,"johor",19,"NA"
"20","Malaysia",2020-04-02,"johor",27,"NA"
"21","Malaysia",2020-04-03,"johor",21,"NA"
"22","Malaysia",2020-04-04,"johor",6,"NA"
"23","Malaysia",2020-04-05,"johor",16,"NA"
"24","Malaysia",2020-04-06,"johor",30,"NA"
"25","Malaysia",2020-04-07,"johor",10,"NA"
"26","Malaysia",2020-04-08,"johor",18,"NA"
"27","Malaysia",2020-04-09,"johor",7,"NA"
"28","Malaysia",2020-04-10,"johor",20,"NA"
"29","Malaysia",2020-04-11,"johor",21,"NA"
"30","Malaysia",2020-04-12,"johor",14,"NA"
"31","Malaysia",2020-04-13,"johor",21,"NA"
"32","Malaysia",2020-04-14,"johor",8,"NA"
"33","Malaysia",2020-04-15,"johor",14,"NA"
"34","Malaysia",2020-04-16,"johor",13,"NA"
"35","Malaysia",2020-04-17,"johor",9,"NA"
"36","Malaysia",2020-04-18,"johor",16,"NA"
"37","Malaysia",2020-04-19,"johor",3,"NA"
"38","Malaysia",2020-04-20,"johor",2,"NA"
"39","Malaysia",2020-04-21,"johor",1,"NA"
"40","Malaysia",2020-04-22,"johor",3,"NA"
"41","Malaysia",2020-04-23,"johor",3,"NA"
"42","Malaysia",2020-04-24,"johor",4,"NA"
"43","Malaysia",2020-04-25,"johor",0,"NA"
"44","Malaysia",2020-04-26,"johor",4,"NA"
"45","Malaysia",2020-04-27,"johor",0,"NA"
"46","Malaysia",2020-04-28,"johor",1,"NA"
"47","Malaysia",2020-04-29,"johor",0,"NA"
"48","Malaysia",2020-04-30,"johor",3,"NA"
"49","Malaysia",2020-05-01,"johor",3,"NA"
"50","Malaysia",2020-05-02,"johor",1,"NA"
"51","Malaysia",2020-05-03,"johor",0,"NA"
"52","Malaysia",2020-05-04,"johor",0,"NA"
"53","Malaysia",2020-05-05,"johor",0,"NA"
"54","Malaysia",2020-05-06,"johor",0,"NA"
"55","Malaysia",2020-05-07,"johor",0,"NA"
"56","Malaysia",2020-05-08,"johor",0,"NA"
"57","Malaysia",2020-05-09,"johor",0,"NA"
"58","Malaysia",2020-05-10,"johor",0,"NA"
"59","Malaysia",2020-05-11,"johor",0,"NA"
"60","Malaysia",2020-05-12,"johor",0,"NA"
"61","Malaysia",2020-05-13,"johor",0,"NA"
"62","Malaysia",2020-05-14,"johor",1,"NA"
"63","Malaysia",2020-05-15,"johor",0,"NA"
"64","Malaysia",2020-05-16,"johor",0,"NA"
