"","state","date","site","dailycases","note"
"1","Sweden",2020-02-25,"Blekinge",0,"NA"
"2","Sweden",2020-02-26,"Blekinge",0,"NA"
"3","Sweden",2020-02-27,"Blekinge",0,"NA"
"4","Sweden",2020-02-28,"Blekinge",0,"NA"
"5","Sweden",2020-02-29,"Blekinge",0,"NA"
"6","Sweden",2020-03-01,"Blekinge",0,"NA"
"7","Sweden",2020-03-02,"Blekinge",0,"NA"
"8","Sweden",2020-03-03,"Blekinge",0,"NA"
"9","Sweden",2020-03-04,"Blekinge",0,"NA"
"10","Sweden",2020-03-05,"Blekinge",0,"NA"
"11","Sweden",2020-03-06,"Blekinge",0,"NA"
"12","Sweden",2020-03-07,"Blekinge",0,"NA"
"13","Sweden",2020-03-08,"Blekinge",0,"NA"
"14","Sweden",2020-03-09,"Blekinge",0,"NA"
"15","Sweden",2020-03-10,"Blekinge",0,"NA"
"16","Sweden",2020-03-11,"Blekinge",1,"NA"
"17","Sweden",2020-03-12,"Blekinge",5,"NA"
"18","Sweden",2020-03-13,"Blekinge",2,"NA"
"19","Sweden",2020-03-14,"Blekinge",0,"NA"
"20","Sweden",2020-03-15,"Blekinge",0,"NA"
"21","Sweden",2020-03-16,"Blekinge",2,"NA"
"22","Sweden",2020-03-17,"Blekinge",1,"NA"
"23","Sweden",2020-03-18,"Blekinge",0,"NA"
"24","Sweden",2020-03-19,"Blekinge",0,"NA"
"25","Sweden",2020-03-20,"Blekinge",1,"NA"
"26","Sweden",2020-03-21,"Blekinge",0,"NA"
"27","Sweden",2020-03-22,"Blekinge",0,"NA"
"28","Sweden",2020-03-23,"Blekinge",0,"NA"
"29","Sweden",2020-03-24,"Blekinge",0,"NA"
"30","Sweden",2020-03-25,"Blekinge",0,"NA"
"31","Sweden",2020-03-26,"Blekinge",3,"NA"
"32","Sweden",2020-03-27,"Blekinge",0,"NA"
"33","Sweden",2020-03-28,"Blekinge",0,"NA"
"34","Sweden",2020-03-29,"Blekinge",2,"NA"
"35","Sweden",2020-03-30,"Blekinge",4,"NA"
"36","Sweden",2020-03-31,"Blekinge",0,"NA"
"37","Sweden",2020-04-01,"Blekinge",5,"NA"
"38","Sweden",2020-04-02,"Blekinge",1,"NA"
"39","Sweden",2020-04-03,"Blekinge",3,"NA"
"40","Sweden",2020-04-04,"Blekinge",0,"NA"
"41","Sweden",2020-04-05,"Blekinge",1,"NA"
"42","Sweden",2020-04-06,"Blekinge",5,"NA"
"43","Sweden",2020-04-07,"Blekinge",1,"NA"
"44","Sweden",2020-04-08,"Blekinge",0,"NA"
"45","Sweden",2020-04-09,"Blekinge",2,"NA"
"46","Sweden",2020-04-10,"Blekinge",0,"NA"
"47","Sweden",2020-04-11,"Blekinge",2,"NA"
"48","Sweden",2020-04-12,"Blekinge",1,"NA"
"49","Sweden",2020-04-13,"Blekinge",0,"NA"
"50","Sweden",2020-04-14,"Blekinge",0,"NA"
"51","Sweden",2020-04-15,"Blekinge",1,"NA"
"52","Sweden",2020-04-16,"Blekinge",0,"NA"
"53","Sweden",2020-04-17,"Blekinge",0,"NA"
"54","Sweden",2020-04-18,"Blekinge",0,"NA"
"55","Sweden",2020-04-19,"Blekinge",0,"NA"
"56","Sweden",2020-04-20,"Blekinge",0,"NA"
"57","Sweden",2020-04-21,"Blekinge",1,"NA"
"58","Sweden",2020-04-22,"Blekinge",4,"NA"
"59","Sweden",2020-04-23,"Blekinge",6,"NA"
"60","Sweden",2020-04-24,"Blekinge",2,"NA"
"61","Sweden",2020-04-25,"Blekinge",7,"NA"
"62","Sweden",2020-04-26,"Blekinge",0,"NA"
"63","Sweden",2020-04-27,"Blekinge",1,"NA"
"64","Sweden",2020-04-28,"Blekinge",0,"NA"
"65","Sweden",2020-04-29,"Blekinge",3,"NA"
"66","Sweden",2020-04-30,"Blekinge",6,"NA"
"67","Sweden",2020-05-01,"Blekinge",0,"NA"
"68","Sweden",2020-05-02,"Blekinge",0,"NA"
"69","Sweden",2020-05-03,"Blekinge",1,"NA"
"70","Sweden",2020-05-04,"Blekinge",0,"NA"
"71","Sweden",2020-05-05,"Blekinge",0,"NA"
