"","state","date","site","dailycases","note"
"1","Czech Republic",2020-03-01,"CZ010",2,"NA"
"2","Czech Republic",2020-03-04,"CZ010",1,"NA"
"3","Czech Republic",2020-03-06,"CZ010",8,"NA"
"4","Czech Republic",2020-03-07,"CZ010",4,"NA"
"5","Czech Republic",2020-03-09,"CZ010",4,"NA"
"6","Czech Republic",2020-03-10,"CZ010",12,"NA"
"7","Czech Republic",2020-03-11,"CZ010",6,"NA"
"8","Czech Republic",2020-03-12,"CZ010",12,"NA"
"9","Czech Republic",2020-03-13,"CZ010",7,"NA"
"10","Czech Republic",2020-03-14,"CZ010",15,"NA"
"11","Czech Republic",2020-03-15,"CZ010",39,"NA"
"12","Czech Republic",2020-03-16,"CZ010",19,"NA"
"13","Czech Republic",2020-03-17,"CZ010",20,"NA"
"14","Czech Republic",2020-03-18,"CZ010",31,"NA"
"15","Czech Republic",2020-03-19,"CZ010",77,"NA"
"16","Czech Republic",2020-03-20,"CZ010",32,"NA"
"17","Czech Republic",2020-03-21,"CZ010",62,"NA"
"18","Czech Republic",2020-03-22,"CZ010",26,"NA"
"19","Czech Republic",2020-03-23,"CZ010",37,"NA"
"20","Czech Republic",2020-03-24,"CZ010",59,"NA"
"21","Czech Republic",2020-03-25,"CZ010",82,"NA"
"22","Czech Republic",2020-03-26,"CZ010",69,"NA"
"23","Czech Republic",2020-03-27,"CZ010",111,"NA"
"24","Czech Republic",2020-03-28,"CZ010",56,"NA"
"25","Czech Republic",2020-03-29,"CZ010",32,"NA"
"26","Czech Republic",2020-03-30,"CZ010",37,"NA"
"27","Czech Republic",2020-03-31,"CZ010",55,"NA"
"28","Czech Republic",2020-04-01,"CZ010",78,"NA"
"29","Czech Republic",2020-04-02,"CZ010",81,"NA"
"30","Czech Republic",2020-04-03,"CZ010",62,"NA"
"31","Czech Republic",2020-04-04,"CZ010",25,"NA"
"32","Czech Republic",2020-04-05,"CZ010",36,"NA"
"33","Czech Republic",2020-04-06,"CZ010",34,"NA"
"34","Czech Republic",2020-04-07,"CZ010",33,"NA"
