"","state","date","site","dailycases","note"
"1","Lebanon",2020-01-22,"Lebanon",0,"NA"
"2","Lebanon",2020-01-23,"Lebanon",0,"NA"
"3","Lebanon",2020-01-24,"Lebanon",0,"NA"
"4","Lebanon",2020-01-25,"Lebanon",0,"NA"
"5","Lebanon",2020-01-26,"Lebanon",0,"NA"
"6","Lebanon",2020-01-27,"Lebanon",0,"NA"
"7","Lebanon",2020-01-28,"Lebanon",0,"NA"
"8","Lebanon",2020-01-29,"Lebanon",0,"NA"
"9","Lebanon",2020-01-30,"Lebanon",0,"NA"
"10","Lebanon",2020-01-31,"Lebanon",0,"NA"
"11","Lebanon",2020-02-01,"Lebanon",0,"NA"
"12","Lebanon",2020-02-02,"Lebanon",0,"NA"
"13","Lebanon",2020-02-03,"Lebanon",0,"NA"
"14","Lebanon",2020-02-04,"Lebanon",0,"NA"
"15","Lebanon",2020-02-05,"Lebanon",0,"NA"
"16","Lebanon",2020-02-06,"Lebanon",0,"NA"
"17","Lebanon",2020-02-07,"Lebanon",0,"NA"
"18","Lebanon",2020-02-08,"Lebanon",0,"NA"
"19","Lebanon",2020-02-09,"Lebanon",0,"NA"
"20","Lebanon",2020-02-10,"Lebanon",0,"NA"
"21","Lebanon",2020-02-11,"Lebanon",0,"NA"
"22","Lebanon",2020-02-12,"Lebanon",0,"NA"
"23","Lebanon",2020-02-13,"Lebanon",0,"NA"
"24","Lebanon",2020-02-14,"Lebanon",0,"NA"
"25","Lebanon",2020-02-15,"Lebanon",0,"NA"
"26","Lebanon",2020-02-16,"Lebanon",0,"NA"
"27","Lebanon",2020-02-17,"Lebanon",0,"NA"
"28","Lebanon",2020-02-18,"Lebanon",0,"NA"
"29","Lebanon",2020-02-19,"Lebanon",0,"NA"
"30","Lebanon",2020-02-20,"Lebanon",0,"NA"
"31","Lebanon",2020-02-21,"Lebanon",1,"NA"
"32","Lebanon",2020-02-22,"Lebanon",0,"NA"
"33","Lebanon",2020-02-23,"Lebanon",0,"NA"
"34","Lebanon",2020-02-24,"Lebanon",0,"NA"
"35","Lebanon",2020-02-25,"Lebanon",0,"NA"
"36","Lebanon",2020-02-26,"Lebanon",1,"NA"
"37","Lebanon",2020-02-27,"Lebanon",0,"NA"
"38","Lebanon",2020-02-28,"Lebanon",0,"NA"
"39","Lebanon",2020-02-29,"Lebanon",2,"NA"
"40","Lebanon",2020-03-01,"Lebanon",6,"NA"
"41","Lebanon",2020-03-02,"Lebanon",3,"NA"
"42","Lebanon",2020-03-03,"Lebanon",0,"NA"
"43","Lebanon",2020-03-04,"Lebanon",0,"NA"
"44","Lebanon",2020-03-05,"Lebanon",3,"NA"
"45","Lebanon",2020-03-06,"Lebanon",6,"NA"
"46","Lebanon",2020-03-07,"Lebanon",0,"NA"
"47","Lebanon",2020-03-08,"Lebanon",10,"NA"
"48","Lebanon",2020-03-09,"Lebanon",0,"NA"
"49","Lebanon",2020-03-10,"Lebanon",9,"NA"
"50","Lebanon",2020-03-11,"Lebanon",20,"NA"
"51","Lebanon",2020-03-12,"Lebanon",0,"NA"
"52","Lebanon",2020-03-13,"Lebanon",16,"NA"
"53","Lebanon",2020-03-14,"Lebanon",16,"NA"
"54","Lebanon",2020-03-15,"Lebanon",17,"NA"
"55","Lebanon",2020-03-16,"Lebanon",-11,"NA"
"56","Lebanon",2020-03-17,"Lebanon",21,"NA"
"57","Lebanon",2020-03-18,"Lebanon",13,"NA"
"58","Lebanon",2020-03-19,"Lebanon",24,"NA"
"59","Lebanon",2020-03-20,"Lebanon",6,"NA"
"60","Lebanon",2020-03-21,"Lebanon",24,"NA"
"61","Lebanon",2020-03-22,"Lebanon",61,"NA"
"62","Lebanon",2020-03-23,"Lebanon",19,"NA"
"63","Lebanon",2020-03-24,"Lebanon",51,"NA"
"64","Lebanon",2020-03-25,"Lebanon",15,"NA"
"65","Lebanon",2020-03-26,"Lebanon",35,"NA"
"66","Lebanon",2020-03-27,"Lebanon",23,"NA"
"67","Lebanon",2020-03-28,"Lebanon",21,"NA"
"68","Lebanon",2020-03-29,"Lebanon",26,"NA"
"69","Lebanon",2020-03-30,"Lebanon",8,"NA"
"70","Lebanon",2020-03-31,"Lebanon",24,"NA"
"71","Lebanon",2020-04-01,"Lebanon",9,"NA"
"72","Lebanon",2020-04-02,"Lebanon",15,"NA"
"73","Lebanon",2020-04-03,"Lebanon",14,"NA"
"74","Lebanon",2020-04-04,"Lebanon",12,"NA"
"75","Lebanon",2020-04-05,"Lebanon",7,"NA"
"76","Lebanon",2020-04-06,"Lebanon",14,"NA"
"77","Lebanon",2020-04-07,"Lebanon",7,"NA"
"78","Lebanon",2020-04-08,"Lebanon",28,"NA"
