"","state","date","site","dailycases","note"
"1","Canada",2020-03-05,"Alberta",1,"NA"
"2","Canada",2020-03-06,"Alberta",1,"NA"
"3","Canada",2020-03-08,"Alberta",2,"NA"
"4","Canada",2020-03-09,"Alberta",10,"NA"
"5","Canada",2020-03-11,"Alberta",5,"NA"
"6","Canada",2020-03-12,"Alberta",4,"NA"
"7","Canada",2020-03-13,"Alberta",6,"NA"
"8","Canada",2020-03-14,"Alberta",10,"NA"
"9","Canada",2020-03-15,"Alberta",17,"NA"
"10","Canada",2020-03-16,"Alberta",18,"NA"
"11","Canada",2020-03-17,"Alberta",23,"NA"
"12","Canada",2020-03-18,"Alberta",22,"NA"
"13","Canada",2020-03-19,"Alberta",27,"NA"
"14","Canada",2020-03-20,"Alberta",49,"NA"
"15","Canada",2020-03-21,"Alberta",31,"NA"
"16","Canada",2020-03-22,"Alberta",33,"NA"
"17","Canada",2020-03-23,"Alberta",42,"NA"
"18","Canada",2020-03-24,"Alberta",57,"NA"
"19","Canada",2020-03-25,"Alberta",61,"NA"
"20","Canada",2020-03-26,"Alberta",67,"NA"
"21","Canada",2020-03-27,"Alberta",56,"NA"
"22","Canada",2020-03-28,"Alberta",79,"NA"
"23","Canada",2020-03-29,"Alberta",40,"NA"
"24","Canada",2020-03-30,"Alberta",29,"NA"
"25","Canada",2020-03-31,"Alberta",64,"NA"
"26","Canada",2020-04-01,"Alberta",117,"NA"
"27","Canada",2020-04-02,"Alberta",97,"NA"
"28","Canada",2020-04-03,"Alberta",107,"NA"
"29","Canada",2020-04-04,"Alberta",106,"NA"
"30","Canada",2020-04-05,"Alberta",69,"NA"
"31","Canada",2020-04-06,"Alberta",98,"NA"
"32","Canada",2020-04-07,"Alberta",25,"NA"
"33","Canada",2020-04-08,"Alberta",50,"NA"
"34","Canada",2020-04-09,"Alberta",28,"NA"
"35","Canada",2020-04-10,"Alberta",49,"NA"
"36","Canada",2020-04-11,"Alberta",69,"NA"
"37","Canada",2020-04-12,"Alberta",82,"NA"
"38","Canada",2020-04-13,"Alberta",81,"NA"
"39","Canada",2020-04-14,"Alberta",138,"NA"
"40","Canada",2020-04-15,"Alberta",126,"NA"
"41","Canada",2020-04-16,"Alberta",162,"NA"
"42","Canada",2020-04-17,"Alberta",239,"NA"
"43","Canada",2020-04-18,"Alberta",165,"NA"
"44","Canada",2020-04-19,"Alberta",241,"NA"
"45","Canada",2020-04-20,"Alberta",105,"NA"
"46","Canada",2020-04-21,"Alberta",187,"NA"
"47","Canada",2020-04-22,"Alberta",306,"NA"
"48","Canada",2020-04-23,"Alberta",319,"NA"
"49","Canada",2020-04-24,"Alberta",297,"NA"
"50","Canada",2020-04-25,"Alberta",215,"NA"
"51","Canada",2020-04-26,"Alberta",243,"NA"
"52","Canada",2020-04-27,"Alberta",216,"NA"
"53","Canada",2020-04-28,"Alberta",159,"NA"
"54","Canada",2020-04-29,"Alberta",315,"NA"
"55","Canada",2020-04-30,"Alberta",190,"NA"
"56","Canada",2020-05-01,"Alberta",218,"NA"
"57","Canada",2020-05-02,"Alberta",96,"NA"
"58","Canada",2020-05-03,"Alberta",93,"NA"
"59","Canada",2020-05-04,"Alberta",74,"NA"
"60","Canada",2020-05-05,"Alberta",57,"NA"
"61","Canada",2020-05-06,"Alberta",70,"NA"
"62","Canada",2020-05-07,"Alberta",54,"NA"
"63","Canada",2020-05-08,"Alberta",81,"NA"
"64","Canada",2020-05-09,"Alberta",59,"NA"
"65","Canada",2020-05-10,"Alberta",96,"NA"
"66","Canada",2020-05-11,"Alberta",47,"NA"
"67","Canada",2020-05-12,"Alberta",45,"NA"
"68","Canada",2020-05-13,"Alberta",62,"NA"
"69","Canada",2020-05-14,"Alberta",50,"NA"
"70","Canada",2020-05-15,"Alberta",57,"NA"
"71","Canada",2020-05-16,"Alberta",72,"NA"
"72","Canada",2020-05-17,"Alberta",57,"NA"
"73","Canada",2020-05-18,"Alberta",39,"NA"
"74","Canada",2020-05-19,"Alberta",33,"NA"
"75","Canada",2020-05-20,"Alberta",19,"NA"
"76","Canada",2020-05-21,"Alberta",33,"NA"
"77","Canada",2020-05-22,"Alberta",32,"NA"
"78","Canada",2020-05-23,"Alberta",18,"NA"
"79","Canada",2020-05-24,"Alberta",42,"NA"
"80","Canada",2020-05-25,"Alberta",19,"NA"
"81","Canada",2020-05-26,"Alberta",22,"NA"
"82","Canada",2020-05-27,"Alberta",25,"NA"
"83","Canada",2020-05-28,"Alberta",29,"NA"
"84","Canada",2020-05-29,"Alberta",24,"NA"
"85","Canada",2020-05-30,"Alberta",14,"NA"
"86","Canada",2020-05-31,"Alberta",18,"NA"
"87","Canada",2020-06-01,"Alberta",34,"NA"
"88","Canada",2020-06-02,"Alberta",13,"NA"
"89","Canada",2020-06-03,"Alberta",19,"NA"
"90","Canada",2020-06-04,"Alberta",15,"NA"
"91","Canada",2020-06-05,"Alberta",7,"NA"
"92","Canada",2020-06-06,"Alberta",40,"NA"
"93","Canada",2020-06-08,"Alberta",64,"NA"
"94","Canada",2020-06-09,"Alberta",27,"NA"
"95","Canada",2020-06-10,"Alberta",47,"NA"
"96","Canada",2020-06-11,"Alberta",40,"NA"
"97","Canada",2020-06-12,"Alberta",30,"NA"
"98","Canada",2020-06-13,"Alberta",37,"NA"
"99","Canada",2020-06-14,"Alberta",50,"NA"
"100","Canada",2020-06-15,"Alberta",14,"NA"
"101","Canada",2020-06-16,"Alberta",35,"NA"
"102","Canada",2020-06-17,"Alberta",48,"NA"
"103","Canada",2020-06-18,"Alberta",49,"NA"
"104","Canada",2020-06-19,"Alberta",46,"NA"
"105","Canada",2020-06-20,"Alberta",48,"NA"
"106","Canada",2020-06-21,"Alberta",31,"NA"
"107","Canada",2020-06-22,"Alberta",32,"NA"
"108","Canada",2020-06-23,"Alberta",45,"NA"
"109","Canada",2020-06-24,"Alberta",44,"NA"
"110","Canada",2020-06-25,"Alberta",26,"NA"
"111","Canada",2020-06-26,"Alberta",37,"NA"
"112","Canada",2020-06-27,"Alberta",69,"NA"
"113","Canada",2020-06-28,"Alberta",39,"NA"
"114","Canada",2020-06-29,"Alberta",71,"NA"
"115","Canada",2020-06-30,"Alberta",41,"NA"
"116","Canada",2020-07-02,"Alberta",94,"NA"
"117","Canada",2020-07-03,"Alberta",57,"NA"
"118","Canada",2020-07-06,"Alberta",130,"NA"
"119","Canada",2020-07-07,"Alberta",47,"NA"
"120","Canada",2020-07-08,"Alberta",46,"NA"
"121","Canada",2020-07-09,"Alberta",37,"NA"
"122","Canada",2020-07-10,"Alberta",77,"NA"
"123","Canada",2020-07-13,"Alberta",230,"NA"
"124","Canada",2020-07-14,"Alberta",86,"NA"
"125","Canada",2020-07-15,"Alberta",82,"NA"
"126","Canada",2020-07-16,"Alberta",120,"NA"
"127","Canada",2020-07-17,"Alberta",105,"NA"
"128","Canada",2020-07-20,"Alberta",368,"NA"
"129","Canada",2020-07-21,"Alberta",141,"NA"
"130","Canada",2020-07-22,"Alberta",133,"NA"
"131","Canada",2020-07-23,"Alberta",112,"NA"
"132","Canada",2020-07-24,"Alberta",111,"NA"
"133","Canada",2020-07-27,"Alberta",303,"NA"
"134","Canada",2020-07-28,"Alberta",79,"NA"
"135","Canada",2020-07-29,"Alberta",133,"NA"
"136","Canada",2020-07-30,"Alberta",113,"NA"
"137","Canada",2020-07-31,"Alberta",127,"NA"
"138","Canada",2020-08-04,"Alberta",305,"NA"
"139","Canada",2020-08-05,"Alberta",94,"NA"
"140","Canada",2020-08-06,"Alberta",56,"NA"
"141","Canada",2020-08-07,"Alberta",136,"NA"
"142","Canada",2020-08-10,"Alberta",257,"NA"
"143","Canada",2020-08-11,"Alberta",85,"NA"
"144","Canada",2020-08-12,"Alberta",121,"NA"
"145","Canada",2020-08-13,"Alberta",76,"NA"
"146","Canada",2020-08-14,"Alberta",84,"NA"
"147","Canada",2020-08-17,"Alberta",277,"NA"
"148","Canada",2020-08-18,"Alberta",89,"NA"
"149","Canada",2020-08-19,"Alberta",82,"NA"
"150","Canada",2020-08-20,"Alberta",103,"NA"
"151","Canada",2020-08-21,"Alberta",144,"NA"
"152","Canada",2020-08-24,"Alberta",258,"NA"
"153","Canada",2020-08-25,"Alberta",77,"NA"
"154","Canada",2020-08-26,"Alberta",127,"NA"
"155","Canada",2020-08-27,"Alberta",108,"NA"
"156","Canada",2020-08-28,"Alberta",158,"NA"
"157","Canada",2020-08-31,"Alberta",426,"NA"
"158","Canada",2020-09-01,"Alberta",164,"NA"
"159","Canada",2020-09-02,"Alberta",114,"NA"
"160","Canada",2020-09-03,"Alberta",130,"NA"
"161","Canada",2020-09-04,"Alberta",164,"NA"
"162","Canada",2020-09-08,"Alberta",619,"NA"
"163","Canada",2020-09-09,"Alberta",98,"NA"
"164","Canada",2020-09-10,"Alberta",113,"NA"
"165","Canada",2020-09-11,"Alberta",111,"NA"
"166","Canada",2020-09-14,"Alberta",418,"NA"
"167","Canada",2020-09-15,"Alberta",124,"NA"
"168","Canada",2020-09-16,"Alberta",171,"NA"
"169","Canada",2020-09-17,"Alberta",146,"NA"
"170","Canada",2020-09-18,"Alberta",107,"NA"
"171","Canada",2020-09-21,"Alberta",358,"NA"
"172","Canada",2020-09-22,"Alberta",150,"NA"
"173","Canada",2020-09-23,"Alberta",143,"NA"
"174","Canada",2020-09-24,"Alberta",158,"NA"
"175","Canada",2020-09-25,"Alberta",153,"NA"
"176","Canada",2020-09-28,"Alberta",406,"NA"
"177","Canada",2020-09-29,"Alberta",160,"NA"
"178","Canada",2020-09-30,"Alberta",153,"NA"
"179","Canada",2020-01-28,"BC",1,"NA"
"180","Canada",2020-02-04,"BC",1,"NA"
"181","Canada",2020-02-06,"BC",2,"NA"
"182","Canada",2020-02-14,"BC",1,"NA"
"183","Canada",2020-02-20,"BC",1,"NA"
"184","Canada",2020-02-24,"BC",1,"NA"
"185","Canada",2020-02-29,"BC",1,"NA"
"186","Canada",2020-03-03,"BC",4,"NA"
"187","Canada",2020-03-04,"BC",1,"NA"
"188","Canada",2020-03-05,"BC",8,"NA"
"189","Canada",2020-03-07,"BC",6,"NA"
"190","Canada",2020-03-09,"BC",5,"NA"
"191","Canada",2020-03-10,"BC",7,"NA"
"192","Canada",2020-03-11,"BC",7,"NA"
"193","Canada",2020-03-12,"BC",7,"NA"
"194","Canada",2020-03-13,"BC",11,"NA"
"195","Canada",2020-03-14,"BC",9,"NA"
"196","Canada",2020-03-16,"BC",30,"NA"
"197","Canada",2020-03-17,"BC",83,"NA"
"198","Canada",2020-03-18,"BC",45,"NA"
"199","Canada",2020-03-19,"BC",40,"NA"
"200","Canada",2020-03-20,"BC",77,"NA"
"201","Canada",2020-03-21,"BC",76,"NA"
"202","Canada",2020-03-23,"BC",48,"NA"
"203","Canada",2020-03-24,"BC",145,"NA"
"204","Canada",2020-03-25,"BC",42,"NA"
"205","Canada",2020-03-26,"BC",66,"NA"
"206","Canada",2020-03-27,"BC",67,"NA"
"207","Canada",2020-03-28,"BC",92,"NA"
"208","Canada",2020-03-30,"BC",86,"NA"
"209","Canada",2020-03-31,"BC",43,"NA"
"210","Canada",2020-04-01,"BC",53,"NA"
"211","Canada",2020-04-02,"BC",55,"NA"
"212","Canada",2020-04-03,"BC",53,"NA"
"213","Canada",2020-04-04,"BC",29,"NA"
"214","Canada",2020-04-06,"BC",63,"NA"
"215","Canada",2020-04-07,"BC",25,"NA"
"216","Canada",2020-04-08,"BC",45,"NA"
"217","Canada",2020-04-09,"BC",34,"NA"
"218","Canada",2020-04-10,"BC",40,"NA"
"219","Canada",2020-04-11,"BC",35,"NA"
"220","Canada",2020-04-13,"BC",45,"NA"
"221","Canada",2020-04-14,"BC",27,"NA"
"222","Canada",2020-04-15,"BC",44,"NA"
"223","Canada",2020-04-16,"BC",14,"NA"
"224","Canada",2020-04-17,"BC",43,"NA"
"225","Canada",2020-04-18,"BC",29,"NA"
"226","Canada",2020-04-20,"BC",52,"NA"
"227","Canada",2020-04-21,"BC",25,"NA"
"228","Canada",2020-04-22,"BC",71,"NA"
"229","Canada",2020-04-23,"BC",29,"NA"
"230","Canada",2020-04-24,"BC",29,"NA"
"231","Canada",2020-04-25,"BC",95,"NA"
"232","Canada",2020-04-27,"BC",50,"NA"
"233","Canada",2020-04-28,"BC",55,"NA"
"234","Canada",2020-04-29,"BC",34,"NA"
"235","Canada",2020-04-30,"BC",24,"NA"
"236","Canada",2020-05-01,"BC",33,"NA"
"237","Canada",2020-05-02,"BC",26,"NA"
"238","Canada",2020-05-04,"BC",53,"NA"
"239","Canada",2020-05-05,"BC",8,"NA"
"240","Canada",2020-05-06,"BC",23,"NA"
"241","Canada",2020-05-07,"BC",31,"NA"
"242","Canada",2020-05-08,"BC",29,"NA"
"243","Canada",2020-05-09,"BC",15,"NA"
"244","Canada",2020-05-11,"BC",23,"NA"
"245","Canada",2020-05-12,"BC",7,"NA"
"246","Canada",2020-05-13,"BC",17,"NA"
"247","Canada",2020-05-14,"BC",15,"NA"
"248","Canada",2020-05-15,"BC",15,"NA"
"249","Canada",2020-05-16,"BC",21,"NA"
"250","Canada",2020-05-18,"BC",16,"NA"
"251","Canada",2020-05-19,"BC",2,"NA"
"252","Canada",2020-05-20,"BC",21,"NA"
"253","Canada",2020-05-21,"BC",12,"NA"
"254","Canada",2020-05-22,"BC",28,"NA"
"255","Canada",2020-05-23,"BC",10,"NA"
"256","Canada",2020-05-25,"BC",13,"NA"
"257","Canada",2020-05-26,"BC",11,"NA"
"258","Canada",2020-05-27,"BC",8,"NA"
"259","Canada",2020-05-28,"BC",9,"NA"
"260","Canada",2020-05-29,"BC",4,"NA"
"261","Canada",2020-05-30,"BC",11,"NA"
"262","Canada",2020-06-01,"BC",24,"NA"
"263","Canada",2020-06-02,"BC",4,"NA"
"264","Canada",2020-06-03,"BC",21,"NA"
"265","Canada",2020-06-04,"BC",6,"NA"
"266","Canada",2020-06-05,"BC",1,"NA"
"267","Canada",2020-06-08,"BC",28,"NA"
"268","Canada",2020-06-09,"BC",10,"NA"
