"","state","date","site","dailycases","note"
"1","Australia",2020-01-25,"ACT",0,"NA"
"2","Australia",2020-01-26,"ACT",0,"NA"
"3","Australia",2020-01-27,"ACT",0,"NA"
"4","Australia",2020-01-28,"ACT",0,"NA"
"5","Australia",2020-01-29,"ACT",0,"NA"
"6","Australia",2020-01-30,"ACT",0,"NA"
"7","Australia",2020-01-31,"ACT",0,"NA"
"8","Australia",2020-02-01,"ACT",0,"NA"
"9","Australia",2020-02-02,"ACT",0,"NA"
"10","Australia",2020-02-03,"ACT",0,"NA"
"11","Australia",2020-02-04,"ACT",0,"NA"
"12","Australia",2020-02-05,"ACT",0,"NA"
"13","Australia",2020-02-06,"ACT",0,"NA"
"14","Australia",2020-02-07,"ACT",0,"NA"
"15","Australia",2020-02-08,"ACT",0,"NA"
"16","Australia",2020-02-09,"ACT",0,"NA"
"17","Australia",2020-02-10,"ACT",0,"NA"
"18","Australia",2020-02-11,"ACT",0,"NA"
"19","Australia",2020-02-12,"ACT",0,"NA"
"20","Australia",2020-02-13,"ACT",0,"NA"
"21","Australia",2020-02-14,"ACT",0,"NA"
"22","Australia",2020-02-15,"ACT",0,"NA"
"23","Australia",2020-02-16,"ACT",0,"NA"
"24","Australia",2020-02-17,"ACT",0,"NA"
"25","Australia",2020-02-18,"ACT",0,"NA"
"26","Australia",2020-02-19,"ACT",0,"NA"
"27","Australia",2020-02-20,"ACT",0,"NA"
"28","Australia",2020-02-21,"ACT",0,"NA"
"29","Australia",2020-02-22,"ACT",0,"NA"
"30","Australia",2020-02-23,"ACT",0,"NA"
"31","Australia",2020-02-24,"ACT",0,"NA"
"32","Australia",2020-02-25,"ACT",0,"NA"
"33","Australia",2020-02-26,"ACT",0,"NA"
"34","Australia",2020-02-27,"ACT",0,"NA"
"35","Australia",2020-02-28,"ACT",0,"NA"
"36","Australia",2020-02-29,"ACT",0,"NA"
"37","Australia",2020-03-01,"ACT",0,"NA"
"38","Australia",2020-03-02,"ACT",0,"NA"
"39","Australia",2020-03-03,"ACT",0,"NA"
"40","Australia",2020-03-04,"ACT",0,"NA"
"41","Australia",2020-03-05,"ACT",0,"NA"
"42","Australia",2020-03-06,"ACT",0,"NA"
"43","Australia",2020-03-07,"ACT",0,"NA"
"44","Australia",2020-03-08,"ACT",0,"NA"
"45","Australia",2020-03-09,"ACT",0,"NA"
"46","Australia",2020-03-10,"ACT",0,"NA"
"47","Australia",2020-03-11,"ACT",0,"NA"
"48","Australia",2020-03-12,"ACT",1,"NA"
"49","Australia",2020-03-13,"ACT",0,"NA"
"50","Australia",2020-03-14,"ACT",0,"NA"
"51","Australia",2020-03-15,"ACT",0,"NA"
"52","Australia",2020-03-16,"ACT",1,"NA"
"53","Australia",2020-03-17,"ACT",0,"NA"
"54","Australia",2020-03-18,"ACT",1,"NA"
"55","Australia",2020-03-19,"ACT",1,"NA"
"56","Australia",2020-03-20,"ACT",2,"NA"
"57","Australia",2020-03-21,"ACT",3,"NA"
"58","Australia",2020-03-22,"ACT",10,"NA"
"59","Australia",2020-03-23,"ACT",13,"NA"
"60","Australia",2020-03-24,"ACT",7,"NA"
"61","Australia",2020-03-25,"ACT",5,"NA"
"62","Australia",2020-03-26,"ACT",9,"NA"
"63","Australia",2020-03-27,"ACT",9,"NA"
"64","Australia",2020-03-28,"ACT",9,"NA"
"65","Australia",2020-03-29,"ACT",6,"NA"
"66","Australia",2020-03-30,"ACT",1,"NA"
"67","Australia",2020-03-31,"ACT",2,"NA"
"68","Australia",2020-04-01,"ACT",4,"NA"
"69","Australia",2020-04-02,"ACT",3,"NA"
"70","Australia",2020-04-03,"ACT",4,"NA"
"71","Australia",2020-04-04,"ACT",2,"NA"
"72","Australia",2020-04-05,"ACT",3,"NA"
"73","Australia",2020-04-06,"ACT",0,"NA"
"74","Australia",2020-04-07,"ACT",1,"NA"
"75","Australia",2020-04-08,"ACT",2,"NA"
"76","Australia",2020-04-09,"ACT",1,"NA"
"77","Australia",2020-04-10,"ACT",3,"NA"
"78","Australia",2020-04-11,"ACT",0,"NA"
"79","Australia",2020-04-12,"ACT",-1,"NA"
"80","Australia",2020-04-13,"ACT",1,"NA"
"81","Australia",2020-04-14,"ACT",0,"NA"
"82","Australia",2020-04-15,"ACT",0,"NA"
"83","Australia",2020-04-16,"ACT",0,"NA"
"84","Australia",2020-04-17,"ACT",0,"NA"
"85","Australia",2020-04-18,"ACT",0,"NA"
"86","Australia",2020-04-19,"ACT",0,"NA"
"87","Australia",2020-04-20,"ACT",1,"NA"
"88","Australia",2020-04-21,"ACT",0,"NA"
"89","Australia",2020-04-22,"ACT",0,"NA"
"90","Australia",2020-04-23,"ACT",0,"NA"
"91","Australia",2020-04-24,"ACT",1,"NA"
"92","Australia",2020-04-25,"ACT",1,"NA"
"93","Australia",2020-04-26,"ACT",0,"NA"
"94","Australia",2020-04-27,"ACT",0,"NA"
"95","Australia",2020-04-28,"ACT",0,"NA"
"96","Australia",2020-04-29,"ACT",0,"NA"
"97","Australia",2020-04-30,"ACT",0,"NA"
"98","Australia",2020-05-01,"ACT",0,"NA"
"99","Australia",2020-05-02,"ACT",0,"NA"
"100","Australia",2020-05-03,"ACT",0,"NA"
"101","Australia",2020-05-04,"ACT",1,"NA"
"102","Australia",2020-05-05,"ACT",0,"NA"
"103","Australia",2020-05-06,"ACT",0,"NA"
"104","Australia",2020-05-07,"ACT",0,"NA"
"105","Australia",2020-05-08,"ACT",0,"NA"
"106","Australia",2020-05-09,"ACT",0,"NA"
"107","Australia",2020-05-10,"ACT",0,"NA"
"108","Australia",2020-05-11,"ACT",0,"NA"
"109","Australia",2020-05-12,"ACT",0,"NA"
"110","Australia",2020-05-13,"ACT",0,"NA"
"111","Australia",2020-05-14,"ACT",0,"NA"
"112","Australia",2020-05-15,"ACT",0,"NA"
"113","Australia",2020-05-16,"ACT",0,"NA"
"114","Australia",2020-05-17,"ACT",0,"NA"
"115","Australia",2020-05-18,"ACT",0,"NA"
"116","Australia",2020-05-19,"ACT",0,"NA"
"117","Australia",2020-05-20,"ACT",0,"NA"
"118","Australia",2020-05-21,"ACT",0,"NA"
"119","Australia",2020-05-22,"ACT",0,"NA"
"120","Australia",2020-05-23,"ACT",0,"NA"
"121","Australia",2020-05-24,"ACT",0,"NA"
"122","Australia",2020-05-25,"ACT",0,"NA"
"123","Australia",2020-05-26,"ACT",0,"NA"
"124","Australia",2020-05-27,"ACT",0,"NA"
"125","Australia",2020-05-28,"ACT",0,"NA"
"126","Australia",2020-05-29,"ACT",0,"NA"
"127","Australia",2020-05-30,"ACT",0,"NA"
"128","Australia",2020-05-31,"ACT",0,"NA"
"129","Australia",2020-06-01,"ACT",0,"NA"
"130","Australia",2020-06-02,"ACT",0,"NA"
"131","Australia",2020-06-03,"ACT",0,"NA"
"132","Australia",2020-06-04,"ACT",0,"NA"
"133","Australia",2020-06-05,"ACT",0,"NA"
"134","Australia",2020-06-06,"ACT",0,"NA"
"135","Australia",2020-06-07,"ACT",1,"NA"
"136","Australia",2020-06-08,"ACT",0,"NA"
"137","Australia",2020-06-09,"ACT",0,"NA"
"138","Australia",2020-06-10,"ACT",0,"NA"
"139","Australia",2020-06-11,"ACT",0,"NA"
"140","Australia",2020-06-12,"ACT",0,"NA"
"141","Australia",2020-06-13,"ACT",0,"NA"
"142","Australia",2020-06-14,"ACT",0,"NA"
"143","Australia",2020-06-15,"ACT",0,"NA"
"144","Australia",2020-06-16,"ACT",0,"NA"
"145","Australia",2020-06-17,"ACT",0,"NA"
"146","Australia",2020-06-18,"ACT",0,"NA"
"147","Australia",2020-06-19,"ACT",0,"NA"
"148","Australia",2020-06-20,"ACT",0,"NA"
"149","Australia",2020-06-21,"ACT",0,"NA"
"150","Australia",2020-06-22,"ACT",0,"NA"
"151","Australia",2020-06-23,"ACT",0,"NA"
"152","Australia",2020-06-24,"ACT",0,"NA"
"153","Australia",2020-06-25,"ACT",0,"NA"
"154","Australia",2020-06-26,"ACT",0,"NA"
"155","Australia",2020-06-27,"ACT",0,"NA"
"156","Australia",2020-06-28,"ACT",0,"NA"
"157","Australia",2020-06-29,"ACT",0,"NA"
"158","Australia",2020-06-30,"ACT",0,"NA"
"159","Australia",2020-07-01,"ACT",0,"NA"
"160","Australia",2020-07-02,"ACT",0,"NA"
"161","Australia",2020-07-03,"ACT",0,"NA"
"162","Australia",2020-07-04,"ACT",0,"NA"
"163","Australia",2020-07-05,"ACT",0,"NA"
"164","Australia",2020-07-06,"ACT",0,"NA"
"165","Australia",2020-07-07,"ACT",0,"NA"
"166","Australia",2020-07-08,"ACT",3,"NA"
"167","Australia",2020-07-09,"ACT",1,"NA"
"168","Australia",2020-07-10,"ACT",1,"NA"
"169","Australia",2020-07-11,"ACT",0,"NA"
"170","Australia",2020-07-12,"ACT",0,"NA"
"171","Australia",2020-07-13,"ACT",0,"NA"
"172","Australia",2020-07-14,"ACT",0,"NA"
"173","Australia",2020-07-15,"ACT",0,"NA"
"174","Australia",2020-07-16,"ACT",0,"NA"
"175","Australia",2020-07-17,"ACT",0,"NA"
"176","Australia",2020-07-18,"ACT",0,"NA"
"177","Australia",2020-07-19,"ACT",0,"NA"
"178","Australia",2020-07-20,"ACT",0,"NA"
"179","Australia",2020-07-21,"ACT",0,"NA"
"180","Australia",2020-07-22,"ACT",0,"NA"
"181","Australia",2020-07-23,"ACT",0,"NA"
"182","Australia",2020-07-24,"ACT",0,"NA"
"183","Australia",2020-07-25,"ACT",0,"NA"
"184","Australia",2020-07-26,"ACT",0,"NA"
"185","Australia",2020-07-27,"ACT",0,"NA"
"186","Australia",2020-07-28,"ACT",0,"NA"
"187","Australia",2020-07-29,"ACT",0,"NA"
"188","Australia",2020-07-30,"ACT",0,"NA"
"189","Australia",2020-07-31,"ACT",0,"NA"
"190","Australia",2020-08-01,"ACT",0,"NA"
"191","Australia",2020-08-02,"ACT",0,"NA"
"192","Australia",2020-08-03,"ACT",0,"NA"
"193","Australia",2020-08-04,"ACT",0,"NA"
"194","Australia",2020-08-05,"ACT",0,"NA"
"195","Australia",2020-08-06,"ACT",0,"NA"
"196","Australia",2020-08-07,"ACT",0,"NA"
"197","Australia",2020-08-08,"ACT",0,"NA"
"198","Australia",2020-08-09,"ACT",0,"NA"
"199","Australia",2020-08-10,"ACT",0,"NA"
"200","Australia",2020-08-11,"ACT",0,"NA"
"201","Australia",2020-08-12,"ACT",0,"NA"
"202","Australia",2020-08-13,"ACT",0,"NA"
"203","Australia",2020-08-14,"ACT",0,"NA"
"204","Australia",2020-08-15,"ACT",0,"NA"
"205","Australia",2020-08-16,"ACT",0,"NA"
"206","Australia",2020-08-17,"ACT",0,"NA"
"207","Australia",2020-08-18,"ACT",0,"NA"
"208","Australia",2020-08-19,"ACT",0,"NA"
"209","Australia",2020-08-20,"ACT",0,"NA"
"210","Australia",2020-08-21,"ACT",0,"NA"
"211","Australia",2020-08-22,"ACT",0,"NA"
"212","Australia",2020-08-23,"ACT",0,"NA"
"213","Australia",2020-08-24,"ACT",0,"NA"
"214","Australia",2020-08-25,"ACT",0,"NA"
"215","Australia",2020-08-26,"ACT",0,"NA"
"216","Australia",2020-08-27,"ACT",0,"NA"
"217","Australia",2020-08-28,"ACT",0,"NA"
"218","Australia",2020-08-29,"ACT",0,"NA"
"219","Australia",2020-08-30,"ACT",0,"NA"
"220","Australia",2020-08-31,"ACT",0,"NA"
"221","Australia",2020-09-01,"ACT",0,"NA"
"222","Australia",2020-09-02,"ACT",0,"NA"
"223","Australia",2020-09-03,"ACT",0,"NA"
"224","Australia",2020-09-04,"ACT",0,"NA"
"225","Australia",2020-09-05,"ACT",0,"NA"
"226","Australia",2020-09-06,"ACT",0,"NA"
"227","Australia",2020-09-07,"ACT",0,"NA"
"228","Australia",2020-09-08,"ACT",0,"NA"
"229","Australia",2020-09-09,"ACT",0,"NA"
"230","Australia",2020-09-10,"ACT",0,"NA"
"231","Australia",2020-09-11,"ACT",0,"NA"
"232","Australia",2020-09-12,"ACT",0,"NA"
"233","Australia",2020-09-13,"ACT",0,"NA"
"234","Australia",2020-09-14,"ACT",0,"NA"
"235","Australia",2020-09-15,"ACT",0,"NA"
"236","Australia",2020-09-16,"ACT",0,"NA"
"237","Australia",2020-09-17,"ACT",0,"NA"
"238","Australia",2020-09-18,"ACT",0,"NA"
"239","Australia",2020-09-19,"ACT",0,"NA"
"240","Australia",2020-09-20,"ACT",0,"NA"
"241","Australia",2020-09-21,"ACT",0,"NA"
"242","Australia",2020-09-22,"ACT",0,"NA"
"243","Australia",2020-09-23,"ACT",0,"NA"
"244","Australia",2020-09-24,"ACT",0,"NA"
"245","Australia",2020-09-25,"ACT",0,"NA"
"246","Australia",2020-09-26,"ACT",0,"NA"
"247","Australia",2020-09-27,"ACT",0,"NA"
"248","Australia",2020-09-28,"ACT",0,"NA"
"249","Australia",2020-09-29,"ACT",0,"NA"
"250","Australia",2020-09-30,"ACT",0,"NA"
"251","Australia",2020-10-01,"ACT",0,"NA"
"252","Australia",2020-01-25,"NSW",3,"NA"
"253","Australia",2020-01-26,"NSW",0,"NA"
"254","Australia",2020-01-27,"NSW",1,"NA"
"255","Australia",2020-01-28,"NSW",0,"NA"
"256","Australia",2020-01-29,"NSW",0,"NA"
"257","Australia",2020-01-30,"NSW",0,"NA"
"258","Australia",2020-01-31,"NSW",0,"NA"
"259","Australia",2020-02-01,"NSW",0,"NA"
"260","Australia",2020-02-02,"NSW",0,"NA"
"261","Australia",2020-02-03,"NSW",0,"NA"
"262","Australia",2020-02-04,"NSW",0,"NA"
"263","Australia",2020-02-05,"NSW",0,"NA"
