"","state","date","site","dailycases","note"
"1","New Zeland",2020-02-26,"Auckland",1,"NA"
"2","New Zeland",2020-03-16,"Auckland",1,"NA"
"3","New Zeland",2020-03-17,"Auckland",2,"NA"
"4","New Zeland",2020-03-18,"Auckland",1,"NA"
"5","New Zeland",2020-03-19,"Auckland",4,"NA"
"6","New Zeland",2020-03-20,"Auckland",1,"NA"
"7","New Zeland",2020-03-21,"Auckland",4,"NA"
"8","New Zeland",2020-03-22,"Auckland",8,"NA"
"9","New Zeland",2020-03-23,"Auckland",7,"NA"
"10","New Zeland",2020-03-24,"Auckland",7,"NA"
"11","New Zeland",2020-03-25,"Auckland",11,"NA"
"12","New Zeland",2020-03-26,"Auckland",12,"NA"
"13","New Zeland",2020-03-27,"Auckland",7,"NA"
"14","New Zeland",2020-03-28,"Auckland",15,"NA"
"15","New Zeland",2020-03-29,"Auckland",9,"NA"
"16","New Zeland",2020-03-30,"Auckland",3,"NA"
"17","New Zeland",2020-03-31,"Auckland",8,"NA"
"18","New Zeland",2020-04-01,"Auckland",4,"NA"
"19","New Zeland",2020-04-02,"Auckland",3,"NA"
"20","New Zeland",2020-04-03,"Auckland",3,"NA"
"21","New Zeland",2020-04-04,"Auckland",9,"NA"
"22","New Zeland",2020-04-05,"Auckland",9,"NA"
"23","New Zeland",2020-04-06,"Auckland",6,"NA"
"24","New Zeland",2020-04-07,"Auckland",2,"NA"
"25","New Zeland",2020-04-08,"Auckland",4,"NA"
"26","New Zeland",2020-04-09,"Auckland",11,"NA"
"27","New Zeland",2020-04-10,"Auckland",4,"NA"
"28","New Zeland",2020-04-11,"Auckland",3,"NA"
"29","New Zeland",2020-04-12,"Auckland",3,"NA"
"30","New Zeland",2020-04-13,"Auckland",1,"NA"
"31","New Zeland",2020-04-14,"Auckland",1,"NA"
"32","New Zeland",2020-04-16,"Auckland",2,"NA"
"33","New Zeland",2020-04-17,"Auckland",1,"NA"
"34","New Zeland",2020-04-18,"Auckland",1,"NA"
"35","New Zeland",2020-04-21,"Auckland",1,"NA"
"36","New Zeland",2020-04-25,"Auckland",1,"NA"
"37","New Zeland",2020-04-30,"Auckland",2,"NA"
"38","New Zeland",2020-05-01,"Auckland",2,"NA"
"39","New Zeland",2020-05-05,"Auckland",1,"NA"
"40","New Zeland",2020-05-22,"Auckland",1,"NA"
"41","New Zeland",2020-08-13,"Auckland",3,"NA"
"42","New Zeland",2020-08-14,"Auckland",4,"NA"
"43","New Zeland",2020-08-15,"Auckland",4,"NA"
"44","New Zeland",2020-08-16,"Auckland",8,"NA"
"45","New Zeland",2020-08-17,"Auckland",4,"NA"
"46","New Zeland",2020-08-18,"Auckland",5,"NA"
"47","New Zeland",2020-08-20,"Auckland",1,"NA"
"48","New Zeland",2020-08-21,"Auckland",1,"NA"
"49","New Zeland",2020-08-22,"Auckland",1,"NA"
"50","New Zeland",2020-08-23,"Auckland",1,"NA"
"51","New Zeland",2020-08-24,"Auckland",3,"NA"
"52","New Zeland",2020-08-26,"Auckland",1,"NA"
"53","New Zeland",2020-08-28,"Auckland",1,"NA"
"54","New Zeland",2020-08-29,"Auckland",1,"NA"
"55","New Zeland",2020-08-30,"Auckland",3,"NA"
"56","New Zeland",2020-09-02,"Auckland",2,"NA"
"57","New Zeland",2020-09-08,"Auckland",2,"NA"
"58","New Zeland",2020-09-10,"Auckland",1,"NA"
"59","New Zeland",2020-09-18,"Auckland",1,"NA"
"60","New Zeland",2020-09-22,"Auckland",3,"NA"
"61","New Zeland",2020-03-21,"Bay of Plenty",1,"NA"
"62","New Zeland",2020-03-24,"Bay of Plenty",3,"NA"
"63","New Zeland",2020-03-25,"Bay of Plenty",2,"NA"
"64","New Zeland",2020-03-26,"Bay of Plenty",3,"NA"
"65","New Zeland",2020-03-27,"Bay of Plenty",3,"NA"
"66","New Zeland",2020-03-28,"Bay of Plenty",2,"NA"
"67","New Zeland",2020-03-30,"Bay of Plenty",4,"NA"
"68","New Zeland",2020-03-31,"Bay of Plenty",3,"NA"
"69","New Zeland",2020-04-01,"Bay of Plenty",6,"NA"
"70","New Zeland",2020-04-02,"Bay of Plenty",4,"NA"
"71","New Zeland",2020-04-03,"Bay of Plenty",1,"NA"
"72","New Zeland",2020-04-05,"Bay of Plenty",1,"NA"
"73","New Zeland",2020-04-06,"Bay of Plenty",4,"NA"
"74","New Zeland",2020-04-07,"Bay of Plenty",1,"NA"
"75","New Zeland",2020-04-09,"Bay of Plenty",2,"NA"
"76","New Zeland",2020-04-10,"Bay of Plenty",2,"NA"
"77","New Zeland",2020-04-14,"Bay of Plenty",3,"NA"
"78","New Zeland",2020-04-17,"Bay of Plenty",1,"NA"
"79","New Zeland",2020-04-19,"Bay of Plenty",2,"NA"
"80","New Zeland",2020-03-17,"Canterbury",1,"NA"
"81","New Zeland",2020-03-18,"Canterbury",1,"NA"
"82","New Zeland",2020-03-20,"Canterbury",2,"NA"
"83","New Zeland",2020-03-21,"Canterbury",3,"NA"
"84","New Zeland",2020-03-22,"Canterbury",3,"NA"
"85","New Zeland",2020-03-23,"Canterbury",6,"NA"
"86","New Zeland",2020-03-24,"Canterbury",7,"NA"
"87","New Zeland",2020-03-25,"Canterbury",5,"NA"
"88","New Zeland",2020-03-26,"Canterbury",14,"NA"
"89","New Zeland",2020-03-27,"Canterbury",4,"NA"
"90","New Zeland",2020-03-28,"Canterbury",9,"NA"
"91","New Zeland",2020-03-29,"Canterbury",2,"NA"
"92","New Zeland",2020-03-30,"Canterbury",1,"NA"
"93","New Zeland",2020-03-31,"Canterbury",3,"NA"
"94","New Zeland",2020-04-01,"Canterbury",2,"NA"
"95","New Zeland",2020-04-02,"Canterbury",9,"NA"
"96","New Zeland",2020-04-03,"Canterbury",11,"NA"
"97","New Zeland",2020-04-04,"Canterbury",17,"NA"
"98","New Zeland",2020-04-05,"Canterbury",4,"NA"
"99","New Zeland",2020-04-06,"Canterbury",11,"NA"
"100","New Zeland",2020-04-07,"Canterbury",4,"NA"
"101","New Zeland",2020-04-08,"Canterbury",6,"NA"
"102","New Zeland",2020-04-09,"Canterbury",10,"NA"
"103","New Zeland",2020-04-10,"Canterbury",2,"NA"
"104","New Zeland",2020-04-11,"Canterbury",1,"NA"
"105","New Zeland",2020-04-12,"Canterbury",3,"NA"
"106","New Zeland",2020-04-13,"Canterbury",1,"NA"
"107","New Zeland",2020-04-14,"Canterbury",1,"NA"
"108","New Zeland",2020-04-15,"Canterbury",2,"NA"
"109","New Zeland",2020-04-16,"Canterbury",3,"NA"
"110","New Zeland",2020-04-18,"Canterbury",2,"NA"
"111","New Zeland",2020-04-19,"Canterbury",3,"NA"
"112","New Zeland",2020-04-20,"Canterbury",1,"NA"
"113","New Zeland",2020-04-21,"Canterbury",2,"NA"
"114","New Zeland",2020-04-22,"Canterbury",2,"NA"
"115","New Zeland",2020-04-23,"Canterbury",2,"NA"
"116","New Zeland",2020-04-24,"Canterbury",2,"NA"
"117","New Zeland",2020-05-01,"Canterbury",1,"NA"
