"","state","date","site","dailycases","note"
"1","Mexico",2020-03-10,"AGUASCALIENTES",1,"NA"
"2","Mexico",2020-03-12,"AGUASCALIENTES",2,"NA"
"3","Mexico",2020-03-14,"AGUASCALIENTES",1,"NA"
"4","Mexico",2020-03-15,"AGUASCALIENTES",1,"NA"
"5","Mexico",2020-03-16,"AGUASCALIENTES",2,"NA"
"6","Mexico",2020-03-17,"AGUASCALIENTES",2,"NA"
"7","Mexico",2020-03-18,"AGUASCALIENTES",4,"NA"
"8","Mexico",2020-03-19,"AGUASCALIENTES",2,"NA"
"9","Mexico",2020-03-20,"AGUASCALIENTES",2,"NA"
"10","Mexico",2020-03-22,"AGUASCALIENTES",5,"NA"
"11","Mexico",2020-03-23,"AGUASCALIENTES",9,"NA"
"12","Mexico",2020-03-24,"AGUASCALIENTES",5,"NA"
"13","Mexico",2020-03-25,"AGUASCALIENTES",5,"NA"
"14","Mexico",2020-03-26,"AGUASCALIENTES",3,"NA"
"15","Mexico",2020-03-27,"AGUASCALIENTES",4,"NA"
"16","Mexico",2020-03-28,"AGUASCALIENTES",2,"NA"
"17","Mexico",2020-03-29,"AGUASCALIENTES",1,"NA"
"18","Mexico",2020-03-30,"AGUASCALIENTES",1,"NA"
"19","Mexico",2020-03-31,"AGUASCALIENTES",1,"NA"
"20","Mexico",2020-03-09,"BAJA CALIFORNIA",1,"NA"
"21","Mexico",2020-03-11,"BAJA CALIFORNIA",2,"NA"
"22","Mexico",2020-03-12,"BAJA CALIFORNIA",1,"NA"
"23","Mexico",2020-03-13,"BAJA CALIFORNIA",4,"NA"
"24","Mexico",2020-03-14,"BAJA CALIFORNIA",2,"NA"
"25","Mexico",2020-03-15,"BAJA CALIFORNIA",2,"NA"
"26","Mexico",2020-03-16,"BAJA CALIFORNIA",5,"NA"
"27","Mexico",2020-03-17,"BAJA CALIFORNIA",4,"NA"
"28","Mexico",2020-03-18,"BAJA CALIFORNIA",11,"NA"
"29","Mexico",2020-03-19,"BAJA CALIFORNIA",10,"NA"
"30","Mexico",2020-03-20,"BAJA CALIFORNIA",15,"NA"
"31","Mexico",2020-03-21,"BAJA CALIFORNIA",6,"NA"
"32","Mexico",2020-03-22,"BAJA CALIFORNIA",6,"NA"
"33","Mexico",2020-03-23,"BAJA CALIFORNIA",13,"NA"
"34","Mexico",2020-03-24,"BAJA CALIFORNIA",20,"NA"
"35","Mexico",2020-03-25,"BAJA CALIFORNIA",15,"NA"
"36","Mexico",2020-03-26,"BAJA CALIFORNIA",20,"NA"
"37","Mexico",2020-03-27,"BAJA CALIFORNIA",24,"NA"
"38","Mexico",2020-03-28,"BAJA CALIFORNIA",21,"NA"
"39","Mexico",2020-03-29,"BAJA CALIFORNIA",15,"NA"
"40","Mexico",2020-03-30,"BAJA CALIFORNIA",21,"NA"
"41","Mexico",2020-03-31,"BAJA CALIFORNIA",12,"NA"
"42","Mexico",2020-04-01,"BAJA CALIFORNIA",14,"NA"
"43","Mexico",2020-04-02,"BAJA CALIFORNIA",7,"NA"
"44","Mexico",2020-04-03,"BAJA CALIFORNIA",4,"NA"
"45","Mexico",2020-04-04,"BAJA CALIFORNIA",3,"NA"
"46","Mexico",2020-03-16,"BAJA CALIFORNIA SUR",3,"NA"
