"","state","date","site","dailycases","note"
"1","Paraguay",2020-03-23,"ALTO PARANA",1,"NA"
"2","Paraguay",2020-03-24,"ALTO PARANA",1,"NA"
"3","Paraguay",2020-03-26,"ALTO PARANA",1,"NA"
"4","Paraguay",2020-03-29,"ALTO PARANA",1,"NA"
"5","Paraguay",2020-04-01,"ALTO PARANA",1,"NA"
"6","Paraguay",2020-04-02,"ALTO PARANA",3,"NA"
"7","Paraguay",2020-04-09,"ALTO PARANA",2,"NA"
"8","Paraguay",2020-04-10,"ALTO PARANA",1,"NA"
"9","Paraguay",2020-04-28,"ALTO PARANA",1,"NA"
"10","Paraguay",2020-04-29,"ALTO PARANA",3,"NA"
"11","Paraguay",2020-04-30,"ALTO PARANA",4,"NA"
"12","Paraguay",2020-05-01,"ALTO PARANA",13,"NA"
"13","Paraguay",2020-05-02,"ALTO PARANA",9,"NA"
"14","Paraguay",2020-05-03,"ALTO PARANA",3,"NA"
"15","Paraguay",2020-05-05,"ALTO PARANA",1,"NA"
"16","Paraguay",2020-05-06,"ALTO PARANA",1,"NA"
"17","Paraguay",2020-05-07,"ALTO PARANA",1,"NA"
"18","Paraguay",2020-05-08,"ALTO PARANA",22,"NA"
"19","Paraguay",2020-05-09,"ALTO PARANA",22,"NA"
"20","Paraguay",2020-05-10,"ALTO PARANA",4,"NA"
"21","Paraguay",2020-05-12,"ALTO PARANA",1,"NA"
"22","Paraguay",2020-05-14,"ALTO PARANA",2,"NA"
"23","Paraguay",2020-05-16,"ALTO PARANA",1,"NA"
"24","Paraguay",2020-04-05,"AMAMBAY",1,"NA"
"25","Paraguay",2020-04-09,"AMAMBAY",1,"NA"
"26","Paraguay",2020-04-12,"AMAMBAY",4,"NA"
"27","Paraguay",2020-04-17,"AMAMBAY",2,"NA"
"28","Paraguay",2020-04-29,"AMAMBAY",1,"NA"
"29","Paraguay",2020-05-03,"AMAMBAY",1,"NA"
"30","Paraguay",2020-05-11,"AMAMBAY",1,"NA"
"31","Paraguay",2020-03-10,"ASUNCION",3,"NA"
"32","Paraguay",2020-03-13,"ASUNCION",1,"NA"
"33","Paraguay",2020-03-15,"ASUNCION",1,"NA"
"34","Paraguay",2020-03-16,"ASUNCION",1,"NA"
"35","Paraguay",2020-03-17,"ASUNCION",2,"NA"
"36","Paraguay",2020-03-19,"ASUNCION",1,"NA"
"37","Paraguay",2020-03-20,"ASUNCION",4,"NA"
"38","Paraguay",2020-03-21,"ASUNCION",2,"NA"
"39","Paraguay",2020-03-23,"ASUNCION",2,"NA"
"40","Paraguay",2020-03-24,"ASUNCION",6,"NA"
"41","Paraguay",2020-03-25,"ASUNCION",1,"NA"
"42","Paraguay",2020-03-26,"ASUNCION",4,"NA"
"43","Paraguay",2020-03-27,"ASUNCION",3,"NA"
"44","Paraguay",2020-03-28,"ASUNCION",1,"NA"
"45","Paraguay",2020-03-29,"ASUNCION",3,"NA"
"46","Paraguay",2020-03-31,"ASUNCION",2,"NA"
"47","Paraguay",2020-04-01,"ASUNCION",5,"NA"
"48","Paraguay",2020-04-02,"ASUNCION",4,"NA"
"49","Paraguay",2020-04-03,"ASUNCION",2,"NA"
"50","Paraguay",2020-04-04,"ASUNCION",6,"NA"
"51","Paraguay",2020-04-05,"ASUNCION",4,"NA"
"52","Paraguay",2020-04-08,"ASUNCION",3,"NA"
"53","Paraguay",2020-04-10,"ASUNCION",1,"NA"
"54","Paraguay",2020-04-12,"ASUNCION",1,"NA"
"55","Paraguay",2020-04-13,"ASUNCION",2,"NA"
"56","Paraguay",2020-04-14,"ASUNCION",1,"NA"
"57","Paraguay",2020-04-15,"ASUNCION",1,"NA"
"58","Paraguay",2020-04-16,"ASUNCION",8,"NA"
"59","Paraguay",2020-04-18,"ASUNCION",3,"NA"
"60","Paraguay",2020-04-21,"ASUNCION",2,"NA"
"61","Paraguay",2020-04-23,"ASUNCION",2,"NA"
"62","Paraguay",2020-04-24,"ASUNCION",1,"NA"
"63","Paraguay",2020-04-27,"ASUNCION",1,"NA"
"64","Paraguay",2020-05-01,"ASUNCION",2,"NA"
"65","Paraguay",2020-05-02,"ASUNCION",1,"NA"
"66","Paraguay",2020-05-03,"ASUNCION",6,"NA"
"67","Paraguay",2020-05-04,"ASUNCION",8,"NA"
"68","Paraguay",2020-05-05,"ASUNCION",4,"NA"
"69","Paraguay",2020-05-06,"ASUNCION",1,"NA"
"70","Paraguay",2020-05-07,"ASUNCION",2,"NA"
"71","Paraguay",2020-05-08,"ASUNCION",4,"NA"
"72","Paraguay",2020-05-09,"ASUNCION",2,"NA"
"73","Paraguay",2020-05-12,"ASUNCION",2,"NA"
"74","Paraguay",2020-05-16,"ASUNCION",2,"NA"
"75","Paraguay",2020-03-26,"BOQUERON",1,"NA"
"76","Paraguay",2020-04-02,"BOQUERON",1,"NA"
"77","Paraguay",2020-03-25,"CAAGUAZU",1,"NA"
"78","Paraguay",2020-04-05,"CAAGUAZU",1,"NA"
"79","Paraguay",2020-04-08,"CAAGUAZU",1,"NA"
"80","Paraguay",2020-04-16,"CAAGUAZU",1,"NA"
