"","state","site","date","dailycases","note"
"1","Brazil","Acre",2020-02-26,0,"NA"
"2","Brazil","Acre",2020-02-27,0,"NA"
"3","Brazil","Acre",2020-02-28,0,"NA"
"4","Brazil","Acre",2020-02-29,0,"NA"
"5","Brazil","Acre",2020-03-01,0,"NA"
"6","Brazil","Acre",2020-03-02,0,"NA"
"7","Brazil","Acre",2020-03-03,0,"NA"
"8","Brazil","Acre",2020-03-04,0,"NA"
"9","Brazil","Acre",2020-03-05,0,"NA"
"10","Brazil","Acre",2020-03-06,0,"NA"
"11","Brazil","Acre",2020-03-07,0,"NA"
"12","Brazil","Acre",2020-03-08,0,"NA"
"13","Brazil","Acre",2020-03-09,0,"NA"
"14","Brazil","Acre",2020-03-10,0,"NA"
"15","Brazil","Acre",2020-03-11,0,"NA"
"16","Brazil","Acre",2020-03-12,0,"NA"
"17","Brazil","Acre",2020-03-13,0,"NA"
"18","Brazil","Acre",2020-03-14,0,"NA"
"19","Brazil","Acre",2020-03-15,0,"NA"
"20","Brazil","Acre",2020-03-16,0,"NA"
"21","Brazil","Acre",2020-03-17,0,"NA"
"22","Brazil","Acre",2020-03-18,0,"NA"
"23","Brazil","Acre",2020-03-19,3,"NA"
"24","Brazil","Acre",2020-03-20,4,"NA"
"25","Brazil","Acre",2020-03-21,2,"NA"
"26","Brazil","Acre",2020-03-22,2,"NA"
"27","Brazil","Acre",2020-03-23,0,"NA"
"28","Brazil","Acre",2020-03-24,6,"NA"
"29","Brazil","Acre",2020-03-25,6,"NA"
"30","Brazil","Acre",2020-03-26,1,"NA"
"31","Brazil","Acre",2020-03-27,1,"NA"
"32","Brazil","Acre",2020-03-28,0,"NA"
"33","Brazil","Acre",2020-03-29,9,"NA"
"34","Brazil","Acre",2020-03-30,8,"NA"
"35","Brazil","Acre",2020-03-31,0,"NA"
"36","Brazil","Acre",2020-04-01,1,"NA"
"37","Brazil","Acre",2020-04-02,0,"NA"
"38","Brazil","Acre",2020-04-03,3,"NA"
"39","Brazil","Acre",2020-04-04,0,"NA"
"40","Brazil","Acre",2020-04-05,2,"NA"
"41","Brazil","Acre",2020-04-06,2,"NA"
"42","Brazil","Acre",2020-04-07,0,"NA"
"43","Brazil","Acre",2020-04-08,4,"NA"
"44","Brazil","Acre",2020-04-09,8,"NA"
"45","Brazil","Acre",2020-04-10,8,"NA"
"46","Brazil","Acre",2020-04-11,2,"NA"
"47","Brazil","Acre",2020-04-12,5,"NA"
"48","Brazil","Acre",2020-04-13,13,"NA"
"49","Brazil","Acre",2020-04-14,9,"NA"
"50","Brazil","Acre",2020-04-15,2,"NA"
"51","Brazil","Acre",2020-04-16,9,"NA"
"52","Brazil","Acre",2020-04-17,25,"NA"
"53","Brazil","Acre",2020-04-18,7,"NA"
"54","Brazil","Acre",2020-04-19,21,"NA"
"55","Brazil","Acre",2020-04-20,13,"NA"
"56","Brazil","Acre",2020-04-21,19,"NA"
"57","Brazil","Acre",2020-04-22,19,"NA"
"58","Brazil","Acre",2020-04-23,13,"NA"
"59","Brazil","Acre",2020-04-24,7,"NA"
"60","Brazil","Acre",2020-04-25,24,"NA"
"61","Brazil","Acre",2020-04-26,21,"NA"
"62","Brazil","Acre",2020-04-27,0,"NA"
"63","Brazil","Acre",2020-04-28,32,"NA"
"64","Brazil","Acre",2020-04-29,43,"NA"
"65","Brazil","Acre",2020-04-30,50,"NA"
"66","Brazil","Acre",2020-05-01,82,"NA"
"67","Brazil","Alagoas",2020-02-26,0,"NA"
"68","Brazil","Alagoas",2020-02-27,0,"NA"
"69","Brazil","Alagoas",2020-02-28,0,"NA"
"70","Brazil","Alagoas",2020-02-29,0,"NA"
