"","state","date","site","dailycases","note"
"1","Chile","2020-03-02","Antofagasta",0,"NA"
"2","Chile","2020-03-03","Antofagasta",0,"NA"
"3","Chile","2020-03-04","Antofagasta",0,"NA"
"4","Chile","2020-03-05","Antofagasta",0,"NA"
"5","Chile","2020-03-06","Antofagasta",0,"NA"
"6","Chile","2020-03-07","Antofagasta",0,"NA"
"7","Chile","2020-03-08","Antofagasta",0,"NA"
"8","Chile","2020-03-09","Antofagasta",0,"NA"
"9","Chile","2020-03-10","Antofagasta",0,"NA"
"10","Chile","2020-03-11","Antofagasta",0,"NA"
"11","Chile","2020-03-12","Antofagasta",0,"NA"
"12","Chile","2020-03-13","Antofagasta",0,"NA"
"13","Chile","2020-03-14","Antofagasta",2,"NA"
"14","Chile","2020-03-15","Antofagasta",0,"NA"
"15","Chile","2020-03-16","Antofagasta",0,"NA"
"16","Chile","2020-03-17","Antofagasta",0,"NA"
"17","Chile","2020-03-18","Antofagasta",0,"NA"
"18","Chile","2020-03-19","Antofagasta",0,"NA"
"19","Chile","2020-03-20","Antofagasta",4,"NA"
"20","Chile","2020-03-21","Antofagasta",4,"NA"
"21","Chile","2020-03-22","Antofagasta",1,"NA"
"22","Chile","2020-03-23","Antofagasta",0,"NA"
"23","Chile","2020-03-24","Antofagasta",2,"NA"
"24","Chile","2020-03-25","Antofagasta",6,"NA"
"25","Chile","2020-03-26","Antofagasta",1,"NA"
"26","Chile","2020-03-27","Antofagasta",1,"NA"
"27","Chile","2020-03-28","Antofagasta",4,"NA"
"28","Chile","2020-03-29","Antofagasta",2,"NA"
"29","Chile","2020-03-30","Antofagasta",8,"NA"
"30","Chile","2020-03-31","Antofagasta",0,"NA"
"31","Chile","2020-04-01","Antofagasta",4,"NA"
"32","Chile","2020-04-02","Antofagasta",8,"NA"
"33","Chile","2020-04-03","Antofagasta",7,"NA"
"34","Chile","2020-04-04","Antofagasta",1,"NA"
"35","Chile","2020-04-05","Antofagasta",5,"NA"
"36","Chile","2020-04-06","Antofagasta",8,"NA"
"37","Chile","2020-04-07","Antofagasta",1,"NA"
"38","Chile","2020-04-08","Antofagasta",8,"NA"
"39","Chile","2020-04-09","Antofagasta",15,"NA"
"40","Chile","2020-04-10","Antofagasta",18,"NA"
"41","Chile","2020-04-11","Antofagasta",7,"NA"
"42","Chile","2020-04-12","Antofagasta",21,"NA"
"43","Chile","2020-04-13","Antofagasta",11,"NA"
"44","Chile","2020-04-14","Antofagasta",6,"NA"
"45","Chile","2020-04-15","Antofagasta",21,"NA"
"46","Chile","2020-04-16","Antofagasta",16,"NA"
"47","Chile","2020-04-17","Antofagasta",19,"NA"
"48","Chile","2020-04-18","Antofagasta",15,"NA"
"49","Chile","2020-04-19","Antofagasta",23,"NA"
"50","Chile","2020-04-20","Antofagasta",14,"NA"
"51","Chile","2020-04-21","Antofagasta",28,"NA"
"52","Chile","2020-04-22","Antofagasta",35,"NA"
"53","Chile","2020-04-23","Antofagasta",14,"NA"
"54","Chile","2020-04-24","Antofagasta",26,"NA"
"55","Chile","2020-04-25","Antofagasta",25,"NA"
"56","Chile","2020-04-26","Antofagasta",52,"NA"
"57","Chile","2020-04-27","Antofagasta",14,"NA"
"58","Chile","2020-04-28","Antofagasta",24,"NA"
"59","Chile","2020-04-29","Antofagasta",33,"NA"
"60","Chile","2020-04-30","Antofagasta",32,"NA"
"61","Chile","2020-05-01","Antofagasta",43,"NA"
"62","Chile","2020-05-02","Antofagasta",90,"NA"
"63","Chile","2020-05-03","Antofagasta",61,"NA"
"64","Chile","2020-05-04","Antofagasta",20,"NA"
"65","Chile","2020-05-05","Antofagasta",51,"NA"
"66","Chile","2020-05-06","Antofagasta",44,"NA"
"67","Chile","2020-05-07","Antofagasta",40,"NA"
"68","Chile","2020-05-08","Antofagasta",28,"NA"
"69","Chile","2020-05-09","Antofagasta",24,"NA"
"70","Chile","2020-05-10","Antofagasta",31,"NA"
"71","Chile","2020-05-11","Antofagasta",36,"NA"
"72","Chile","2020-03-02","Araucanía",0,"NA"
"73","Chile","2020-03-03","Araucanía",0,"NA"
"74","Chile","2020-03-04","Araucanía",0,"NA"
"75","Chile","2020-03-05","Araucanía",0,"NA"
"76","Chile","2020-03-06","Araucanía",0,"NA"
"77","Chile","2020-03-07","Araucanía",0,"NA"
"78","Chile","2020-03-08","Araucanía",0,"NA"
"79","Chile","2020-03-09","Araucanía",0,"NA"
"80","Chile","2020-03-10","Araucanía",0,"NA"
"81","Chile","2020-03-11","Araucanía",0,"NA"
"82","Chile","2020-03-12","Araucanía",0,"NA"
"83","Chile","2020-03-13","Araucanía",0,"NA"
"84","Chile","2020-03-14","Araucanía",0,"NA"
"85","Chile","2020-03-15","Araucanía",0,"NA"
