"","state","date","site","dailycases","note"
"1","Costa Rica",2020-03-15,"Guanacaste",0,"NA"
"2","Costa Rica",2020-03-16,"Guanacaste",0,"NA"
"3","Costa Rica",2020-03-17,"Guanacaste",0,"NA"
"4","Costa Rica",2020-03-18,"Guanacaste",0,"NA"
"5","Costa Rica",2020-03-19,"Guanacaste",0,"NA"
"6","Costa Rica",2020-03-20,"Guanacaste",0,"NA"
"7","Costa Rica",2020-03-21,"Guanacaste",0,"NA"
"8","Costa Rica",2020-03-22,"Guanacaste",0,"NA"
"9","Costa Rica",2020-03-23,"Guanacaste",0,"NA"
"10","Costa Rica",2020-03-24,"Guanacaste",0,"NA"
"11","Costa Rica",2020-03-25,"Guanacaste",0,"NA"
"12","Costa Rica",2020-03-26,"Guanacaste",0,"NA"
"13","Costa Rica",2020-03-27,"Guanacaste",0,"NA"
"14","Costa Rica",2020-03-28,"Guanacaste",0,"NA"
"15","Costa Rica",2020-03-29,"Guanacaste",0,"NA"
"16","Costa Rica",2020-03-30,"Guanacaste",0,"NA"
"17","Costa Rica",2020-03-31,"Guanacaste",0,"NA"
"18","Costa Rica",2020-04-01,"Guanacaste",0,"NA"
"19","Costa Rica",2020-04-02,"Guanacaste",0,"NA"
"20","Costa Rica",2020-04-03,"Guanacaste",0,"NA"
"21","Costa Rica",2020-04-04,"Guanacaste",0,"NA"
"22","Costa Rica",2020-04-05,"Guanacaste",0,"NA"
"23","Costa Rica",2020-04-06,"Guanacaste",0,"NA"
"24","Costa Rica",2020-04-07,"Guanacaste",0,"NA"
"25","Costa Rica",2020-04-08,"Guanacaste",0,"NA"
"26","Costa Rica",2020-04-09,"Guanacaste",0,"NA"
"27","Costa Rica",2020-04-10,"Guanacaste",0,"NA"
"28","Costa Rica",2020-04-11,"Guanacaste",0,"NA"
"29","Costa Rica",2020-04-12,"Guanacaste",0,"NA"
"30","Costa Rica",2020-04-13,"Guanacaste",0,"NA"
"31","Costa Rica",2020-04-14,"Guanacaste",0,"NA"
"32","Costa Rica",2020-04-15,"Guanacaste",0,"NA"
"33","Costa Rica",2020-04-16,"Guanacaste",0,"NA"
"34","Costa Rica",2020-04-17,"Guanacaste",0,"NA"
"35","Costa Rica",2020-04-18,"Guanacaste",0,"NA"
"36","Costa Rica",2020-04-19,"Guanacaste",0,"NA"
"37","Costa Rica",2020-04-20,"Guanacaste",0,"NA"
"38","Costa Rica",2020-04-21,"Guanacaste",0,"NA"
"39","Costa Rica",2020-04-22,"Guanacaste",0,"NA"
"40","Costa Rica",2020-04-23,"Guanacaste",0,"NA"
"41","Costa Rica",2020-04-24,"Guanacaste",0,"NA"
"42","Costa Rica",2020-04-25,"Guanacaste",0,"NA"
"43","Costa Rica",2020-04-26,"Guanacaste",0,"NA"
"44","Costa Rica",2020-04-27,"Guanacaste",0,"NA"
"45","Costa Rica",2020-04-28,"Guanacaste",1,"NA"
"46","Costa Rica",2020-04-29,"Guanacaste",0,"NA"
"47","Costa Rica",2020-04-30,"Guanacaste",0,"NA"
"48","Costa Rica",2020-05-01,"Guanacaste",0,"NA"
"49","Costa Rica",2020-03-15,"San José",0,"NA"
"50","Costa Rica",2020-03-16,"San José",0,"NA"
"51","Costa Rica",2020-03-17,"San José",0,"NA"
"52","Costa Rica",2020-03-18,"San José",0,"NA"
"53","Costa Rica",2020-03-19,"San José",0,"NA"
"54","Costa Rica",2020-03-20,"San José",0,"NA"
"55","Costa Rica",2020-03-21,"San José",0,"NA"
"56","Costa Rica",2020-03-22,"San José",0,"NA"
"57","Costa Rica",2020-03-23,"San José",0,"NA"
"58","Costa Rica",2020-03-24,"San José",0,"NA"
"59","Costa Rica",2020-03-25,"San José",0,"NA"
"60","Costa Rica",2020-03-26,"San José",0,"NA"
"61","Costa Rica",2020-03-27,"San José",0,"NA"
"62","Costa Rica",2020-03-28,"San José",0,"NA"
"63","Costa Rica",2020-03-29,"San José",0,"NA"
"64","Costa Rica",2020-03-30,"San José",0,"NA"
"65","Costa Rica",2020-03-31,"San José",0,"NA"
"66","Costa Rica",2020-04-01,"San José",0,"NA"
"67","Costa Rica",2020-04-02,"San José",0,"NA"
"68","Costa Rica",2020-04-03,"San José",0,"NA"
"69","Costa Rica",2020-04-04,"San José",0,"NA"
"70","Costa Rica",2020-04-05,"San José",0,"NA"
"71","Costa Rica",2020-04-06,"San José",0,"NA"
"72","Costa Rica",2020-04-07,"San José",0,"NA"
"73","Costa Rica",2020-04-08,"San José",0,"NA"
"74","Costa Rica",2020-04-09,"San José",0,"NA"
"75","Costa Rica",2020-04-10,"San José",0,"NA"
"76","Costa Rica",2020-04-11,"San José",0,"NA"
"77","Costa Rica",2020-04-12,"San José",0,"NA"
"78","Costa Rica",2020-04-13,"San José",0,"NA"
"79","Costa Rica",2020-04-14,"San José",0,"NA"
"80","Costa Rica",2020-04-15,"San José",0,"NA"
"81","Costa Rica",2020-04-16,"San José",0,"NA"
"82","Costa Rica",2020-04-17,"San José",0,"NA"
"83","Costa Rica",2020-04-18,"San José",0,"NA"
"84","Costa Rica",2020-04-19,"San José",0,"NA"
"85","Costa Rica",2020-04-20,"San José",0,"NA"
"86","Costa Rica",2020-04-21,"San José",0,"NA"
"87","Costa Rica",2020-04-22,"San José",0,"NA"
"88","Costa Rica",2020-04-23,"San José",0,"NA"
"89","Costa Rica",2020-04-24,"San José",0,"NA"
"90","Costa Rica",2020-04-25,"San José",0,"NA"
"91","Costa Rica",2020-04-26,"San José",0,"NA"
"92","Costa Rica",2020-04-27,"San José",0,"NA"
"93","Costa Rica",2020-04-28,"San José",0,"NA"
"94","Costa Rica",2020-04-29,"San José",0,"NA"
"95","Costa Rica",2020-04-30,"San José",0,"NA"
"96","Costa Rica",2020-05-01,"San José",0,"NA"
"97","Costa Rica",2020-03-15,"Alajuela",9,"NA"
"98","Costa Rica",2020-03-16,"Alajuela",3,"NA"
"99","Costa Rica",2020-03-17,"Alajuela",1,"NA"
"100","Costa Rica",2020-03-18,"Alajuela",2,"NA"
"101","Costa Rica",2020-03-19,"Alajuela",3,"NA"
"102","Costa Rica",2020-03-20,"Alajuela",4,"NA"
"103","Costa Rica",2020-03-21,"Alajuela",3,"NA"
"104","Costa Rica",2020-03-22,"Alajuela",1,"NA"
"105","Costa Rica",2020-03-23,"Alajuela",2,"NA"
"106","Costa Rica",2020-03-24,"Alajuela",7,"NA"
"107","Costa Rica",2020-03-25,"Alajuela",1,"NA"
"108","Costa Rica",2020-03-26,"Alajuela",9,"NA"
"109","Costa Rica",2020-03-27,"Alajuela",1,"NA"
"110","Costa Rica",2020-03-28,"Alajuela",7,"NA"
"111","Costa Rica",2020-03-29,"Alajuela",2,"NA"
"112","Costa Rica",2020-03-30,"Alajuela",0,"NA"
