"","state","date","site","dailycases","note"
"1","Peru",2020-03-13,"Arequipa",2,"NA"
"2","Peru",2020-03-13,"Cusco",1,"NA"
"3","Peru",2020-03-13,"Huánuco",2,"NA"
"4","Peru",2020-03-13,"Ica",1,"NA"
"5","Peru",2020-03-13,"Lima",32,"NA"
"6","Peru",2020-03-14,"Arequipa",0,"NA"
"7","Peru",2020-03-14,"Cusco",0,"NA"
"8","Peru",2020-03-14,"Huánuco",0,"NA"
"9","Peru",2020-03-14,"Ica",0,"NA"
"10","Peru",2020-03-14,"Lima",5,"NA"
"11","Peru",2020-03-15,"Ancash",1,"NA"
"12","Peru",2020-03-15,"Arequipa",0,"NA"
"13","Peru",2020-03-15,"Callao",2,"NA"
"14","Peru",2020-03-15,"Cusco",0,"NA"
"15","Peru",2020-03-15,"Huánuco",0,"NA"
"16","Peru",2020-03-15,"Ica",0,"NA"
"17","Peru",2020-03-15,"La Libertad",1,"NA"
"18","Peru",2020-03-15,"Lambayeque",1,"NA"
"19","Peru",2020-03-15,"Lima",21,"NA"
"20","Peru",2020-03-15,"Piura",2,"NA"
"21","Peru",2020-03-16,"Ancash",0,"NA"
"22","Peru",2020-03-16,"Arequipa",0,"NA"
"23","Peru",2020-03-16,"Callao",1,"NA"
"24","Peru",2020-03-16,"Cusco",0,"NA"
"25","Peru",2020-03-16,"Huánuco",0,"NA"
"26","Peru",2020-03-16,"Ica",0,"NA"
"27","Peru",2020-03-16,"La Libertad",0,"NA"
"28","Peru",2020-03-16,"Lambayeque",2,"NA"
"29","Peru",2020-03-16,"Lima",12,"NA"
"30","Peru",2020-03-16,"Piura",0,"NA"
"31","Peru",2020-03-17,"Ancash",0,"NA"
"32","Peru",2020-03-17,"Arequipa",0,"NA"
"33","Peru",2020-03-17,"Callao",1,"NA"
"34","Peru",2020-03-17,"Cusco",0,"NA"
"35","Peru",2020-03-17,"Huánuco",0,"NA"
"36","Peru",2020-03-17,"Ica",0,"NA"
"37","Peru",2020-03-17,"La Libertad",0,"NA"
"38","Peru",2020-03-17,"Lambayeque",3,"NA"
"39","Peru",2020-03-17,"Lima",26,"NA"
"40","Peru",2020-03-17,"Loreto",1,"NA"
"41","Peru",2020-03-17,"Piura",0,"NA"
"42","Peru",2020-03-18,"Ancash",1,"NA"
"43","Peru",2020-03-18,"Arequipa",0,"NA"
"44","Peru",2020-03-18,"Callao",1,"NA"
"45","Peru",2020-03-18,"Cusco",0,"NA"
"46","Peru",2020-03-18,"Huánuco",0,"NA"
"47","Peru",2020-03-18,"Ica",0,"NA"
"48","Peru",2020-03-18,"La Libertad",1,"NA"
"49","Peru",2020-03-18,"Lambayeque",0,"NA"
"50","Peru",2020-03-18,"Lima",15,"NA"
"51","Peru",2020-03-18,"Loreto",9,"NA"
"52","Peru",2020-03-18,"Madre de Dios",1,"NA"
"53","Peru",2020-03-18,"Piura",0,"NA"
"54","Peru",2020-03-19,"Ancash",1,"NA"
"55","Peru",2020-03-19,"Arequipa",1,"NA"
"56","Peru",2020-03-19,"Callao",0,"NA"
"57","Peru",2020-03-19,"Cusco",3,"NA"
"58","Peru",2020-03-19,"Huánuco",0,"NA"
"59","Peru",2020-03-19,"Ica",0,"NA"
"60","Peru",2020-03-19,"La Libertad",0,"NA"
"61","Peru",2020-03-19,"Lambayeque",0,"NA"
"62","Peru",2020-03-19,"Lima",83,"NA"
"63","Peru",2020-03-19,"Loreto",1,"NA"
"64","Peru",2020-03-19,"Madre de Dios",0,"NA"
"65","Peru",2020-03-19,"Piura",0,"NA"
"66","Peru",2020-03-20,"Ancash",1,"NA"
"67","Peru",2020-03-20,"Arequipa",0,"NA"
"68","Peru",2020-03-20,"Callao",0,"NA"
"69","Peru",2020-03-20,"Cusco",0,"NA"
"70","Peru",2020-03-20,"Huánuco",0,"NA"
"71","Peru",2020-03-20,"Ica",0,"NA"
"72","Peru",2020-03-20,"Junín",9,"NA"
"73","Peru",2020-03-20,"La Libertad",0,"NA"
"74","Peru",2020-03-20,"Lambayeque",0,"NA"
"75","Peru",2020-03-20,"Lima",18,"NA"
"76","Peru",2020-03-20,"Loreto",1,"NA"
"77","Peru",2020-03-20,"Madre de Dios",0,"NA"
"78","Peru",2020-03-20,"Piura",0,"NA"
"79","Peru",2020-03-21,"Ancash",0,"NA"
"80","Peru",2020-03-21,"Arequipa",1,"NA"
"81","Peru",2020-03-21,"Callao",1,"NA"
"82","Peru",2020-03-21,"Cusco",0,"NA"
"83","Peru",2020-03-21,"Huánuco",0,"NA"
"84","Peru",2020-03-21,"Ica",0,"NA"
"85","Peru",2020-03-21,"Junín",1,"NA"
"86","Peru",2020-03-21,"La Libertad",3,"NA"
"87","Peru",2020-03-21,"Lambayeque",2,"NA"
"88","Peru",2020-03-21,"Lima",29,"NA"
"89","Peru",2020-03-21,"Loreto",2,"NA"
"90","Peru",2020-03-21,"Madre de Dios",0,"NA"
"91","Peru",2020-03-21,"Piura",16,"NA"
"92","Peru",2020-03-22,"Ancash",0,"NA"
"93","Peru",2020-03-22,"Arequipa",3,"NA"
"94","Peru",2020-03-22,"Callao",0,"NA"
"95","Peru",2020-03-22,"Cusco",0,"NA"
"96","Peru",2020-03-22,"Huánuco",0,"NA"
"97","Peru",2020-03-22,"Ica",0,"NA"
"98","Peru",2020-03-22,"Junín",0,"NA"
"99","Peru",2020-03-22,"La Libertad",0,"NA"
"100","Peru",2020-03-22,"Lambayeque",0,"NA"
"101","Peru",2020-03-22,"Lima",37,"NA"
"102","Peru",2020-03-22,"Loreto",2,"NA"
"103","Peru",2020-03-22,"Madre de Dios",0,"NA"
"104","Peru",2020-03-22,"Piura",1,"NA"
"105","Peru",2020-03-23,"Ancash",0,"NA"
"106","Peru",2020-03-23,"Arequipa",0,"NA"
"107","Peru",2020-03-23,"Callao",2,"NA"
"108","Peru",2020-03-23,"Cusco",2,"NA"
"109","Peru",2020-03-23,"Huánuco",0,"NA"
"110","Peru",2020-03-23,"Ica",1,"NA"
"111","Peru",2020-03-23,"Junín",0,"NA"
"112","Peru",2020-03-23,"La Libertad",-1,"NA"
"113","Peru",2020-03-23,"Lambayeque",0,"NA"
"114","Peru",2020-03-23,"Lima",29,"NA"
"115","Peru",2020-03-23,"Loreto",0,"NA"
"116","Peru",2020-03-23,"Madre de Dios",0,"NA"
"117","Peru",2020-03-23,"Piura",0,"NA"
"118","Peru",2020-03-23,"San Martín",1,"NA"
"119","Peru",2020-03-24,"Ancash",0,"NA"
"120","Peru",2020-03-24,"Arequipa",2,"NA"
"121","Peru",2020-03-24,"Callao",0,"NA"
"122","Peru",2020-03-24,"Cusco",0,"NA"
"123","Peru",2020-03-24,"Huánuco",0,"NA"
"124","Peru",2020-03-24,"Ica",0,"NA"
"125","Peru",2020-03-24,"Junín",0,"NA"
"126","Peru",2020-03-24,"La Libertad",1,"NA"
"127","Peru",2020-03-24,"Lambayeque",0,"NA"
"128","Peru",2020-03-24,"Lima",15,"NA"
"129","Peru",2020-03-24,"Loreto",0,"NA"
"130","Peru",2020-03-24,"Madre de Dios",0,"NA"
"131","Peru",2020-03-24,"Piura",0,"NA"
"132","Peru",2020-03-24,"San Martín",0,"NA"
"133","Peru",2020-03-24,"Tumbes",3,"NA"
"134","Peru",2020-03-25,"Ancash",1,"NA"
"135","Peru",2020-03-25,"Arequipa",1,"NA"
"136","Peru",2020-03-25,"Cajamarca",1,"NA"
"137","Peru",2020-03-25,"Callao",2,"NA"
"138","Peru",2020-03-25,"Cusco",4,"NA"
"139","Peru",2020-03-25,"Huánuco",0,"NA"
"140","Peru",2020-03-25,"Ica",0,"NA"
"141","Peru",2020-03-25,"Junín",1,"NA"
"142","Peru",2020-03-25,"La Libertad",1,"NA"
"143","Peru",2020-03-25,"Lambayeque",4,"NA"
"144","Peru",2020-03-25,"Lima",47,"NA"
"145","Peru",2020-03-25,"Loreto",2,"NA"
"146","Peru",2020-03-25,"Madre de Dios",0,"NA"
"147","Peru",2020-03-25,"Piura",0,"NA"
"148","Peru",2020-03-25,"San Martín",0,"NA"
"149","Peru",2020-03-25,"Tumbes",0,"NA"
"150","Peru",2020-03-26,"Ancash",1,"NA"
"151","Peru",2020-03-26,"Arequipa",5,"NA"
"152","Peru",2020-03-26,"Cajamarca",0,"NA"
"153","Peru",2020-03-26,"Callao",5,"NA"
"154","Peru",2020-03-26,"Cusco",0,"NA"
"155","Peru",2020-03-26,"Huánuco",0,"NA"
"156","Peru",2020-03-26,"Ica",1,"NA"
"157","Peru",2020-03-26,"Junín",0,"NA"
"158","Peru",2020-03-26,"La Libertad",3,"NA"
"159","Peru",2020-03-26,"Lambayeque",0,"NA"
"160","Peru",2020-03-26,"Lima",84,"NA"
"161","Peru",2020-03-26,"Loreto",0,"NA"
"162","Peru",2020-03-26,"Madre de Dios",0,"NA"
"163","Peru",2020-03-26,"Piura",1,"NA"
"164","Peru",2020-03-26,"San Martín",0,"NA"
"165","Peru",2020-03-26,"Tumbes",0,"NA"
"166","Peru",2020-03-27,"Ancash",0,"NA"
"167","Peru",2020-03-27,"Arequipa",0,"NA"
"168","Peru",2020-03-27,"Cajamarca",0,"NA"
"169","Peru",2020-03-27,"Callao",2,"NA"
"170","Peru",2020-03-27,"Cusco",0,"NA"
"171","Peru",2020-03-27,"Huánuco",2,"NA"
"172","Peru",2020-03-27,"Ica",0,"NA"
"173","Peru",2020-03-27,"Junín",1,"NA"
"174","Peru",2020-03-27,"La Libertad",0,"NA"
"175","Peru",2020-03-27,"Lambayeque",1,"NA"
"176","Peru",2020-03-27,"Lima",41,"NA"
"177","Peru",2020-03-27,"Loreto",5,"NA"
"178","Peru",2020-03-27,"Madre de Dios",0,"NA"
"179","Peru",2020-03-27,"Pasco",1,"NA"
"180","Peru",2020-03-27,"Piura",0,"NA"
"181","Peru",2020-03-27,"San Martín",0,"NA"
"182","Peru",2020-03-27,"Tumbes",2,"NA"
"183","Peru",2020-03-28,"Ancash",0,"NA"
