"","state","date","site","dailycases","note"
"1","Puerto Rico",2020-03-26,"Aguada",1,"NA"
"2","Puerto Rico",2020-03-26,"Aguadilla",0,"NA"
"3","Puerto Rico",2020-03-26,"Aguas Buenas",0,"NA"
"4","Puerto Rico",2020-03-26,"Aibonito",0,"NA"
"5","Puerto Rico",2020-03-26,"Arecibo",0,"NA"
"6","Puerto Rico",2020-03-26,"Añasco",0,"NA"
"7","Puerto Rico",2020-03-26,"Barceloneta",0,"NA"
"8","Puerto Rico",2020-03-26,"Barranquitas",1,"NA"
"9","Puerto Rico",2020-03-26,"Bayamón",3,"NA"
"10","Puerto Rico",2020-03-26,"Cabo Rojo",0,"NA"
"11","Puerto Rico",2020-03-26,"Caguas",6,"NA"
"12","Puerto Rico",2020-03-26,"Camuy",0,"NA"
"13","Puerto Rico",2020-03-26,"Canóvanas",2,"NA"
"14","Puerto Rico",2020-03-26,"Carolina",2,"NA"
"15","Puerto Rico",2020-03-26,"Cataño",0,"NA"
"16","Puerto Rico",2020-03-26,"Cayey",1,"NA"
"17","Puerto Rico",2020-03-26,"Ceiba",0,"NA"
"18","Puerto Rico",2020-03-26,"Cidra",0,"NA"
"19","Puerto Rico",2020-03-26,"Corozal",0,"NA"
"20","Puerto Rico",2020-03-26,"Dorado",0,"NA"
"21","Puerto Rico",2020-03-26,"Guayama",0,"NA"
"22","Puerto Rico",2020-03-26,"Guaynabo",2,"NA"
"23","Puerto Rico",2020-03-26,"Gurabo",0,"NA"
"24","Puerto Rico",2020-03-26,"Guánica",0,"NA"
"25","Puerto Rico",2020-03-26,"Hatillo",0,"NA"
"26","Puerto Rico",2020-03-26,"Hormigueros",1,"NA"
"27","Puerto Rico",2020-03-26,"Humacao",0,"NA"
"28","Puerto Rico",2020-03-26,"Isabela",0,"NA"
"29","Puerto Rico",2020-03-26,"Juana Díaz",0,"NA"
"30","Puerto Rico",2020-03-26,"Juncos",0,"NA"
"31","Puerto Rico",2020-03-26,"Lajas",0,"NA"
"32","Puerto Rico",2020-03-26,"Lares",0,"NA"
"33","Puerto Rico",2020-03-26,"Las Piedras",0,"NA"
