,state,date,region_name,dailycases,note,CODE_2
0,Algeria,2020-03-15,Adrar,1,,DZA.1_1
1,Algeria,2020-03-24,Adrar,1,,DZA.1_1
2,Algeria,2020-04-01,Adrar,1,,DZA.1_1
3,Algeria,2020-03-25,Aïn Defla,1,,DZA.2_1
4,Algeria,2020-03-27,Aïn Defla,1,,DZA.2_1
5,Algeria,2020-03-28,Aïn Defla,1,,DZA.2_1
6,Algeria,2020-03-29,Aïn Defla,9,,DZA.2_1
7,Algeria,2020-03-30,Aïn Defla,2,,DZA.2_1
8,Algeria,2020-03-31,Aïn Defla,2,,DZA.2_1
9,Algeria,2020-04-01,Aïn Defla,2,,DZA.2_1
10,Algeria,2020-04-02,Aïn Defla,5,,DZA.2_1
11,Algeria,2020-04-03,Aïn Defla,8,,DZA.2_1
12,Algeria,2020-03-23,Aïn Témouchent,1,,DZA.3_1
13,Algeria,2020-03-30,Aïn Témouchent,1,,DZA.3_1
14,Algeria,2020-03-31,Aïn Témouchent,1,,DZA.3_1
15,Algeria,2020-04-01,Aïn Témouchent,2,,DZA.3_1
16,Algeria,2020-04-03,Aïn Témouchent,1,,DZA.3_1
17,Algeria,2020-04-04,Aïn Témouchent,1,,DZA.3_1
18,Algeria,2020-03-13,Alger,1,,DZA.4_1
19,Algeria,2020-03-16,Alger,2,,DZA.4_1
20,Algeria,2020-03-18,Alger,5,,DZA.4_1
21,Algeria,2020-03-19,Alger,4,,DZA.4_1
22,Algeria,2020-03-21,Alger,2,,DZA.4_1
23,Algeria,2020-03-22,Alger,12,,DZA.4_1
24,Algeria,2020-03-23,Alger,7,,DZA.4_1
25,Algeria,2020-03-24,Alger,12,,DZA.4_1
26,Algeria,2020-03-25,Alger,11,,DZA.4_1
27,Algeria,2020-03-26,Alger,11,,DZA.4_1
28,Algeria,2020-03-27,Alger,6,,DZA.4_1
29,Algeria,2020-03-28,Alger,8,,DZA.4_1
30,Algeria,2020-03-29,Alger,10,,DZA.4_1
31,Algeria,2020-03-30,Alger,14,,DZA.4_1
32,Algeria,2020-03-31,Alger,20,,DZA.4_1
33,Algeria,2020-04-01,Alger,11,,DZA.4_1
34,Algeria,2020-04-02,Alger,18,,DZA.4_1
35,Algeria,2020-04-03,Alger,29,,DZA.4_1
36,Algeria,2020-04-04,Alger,24,,DZA.4_1
37,Algeria,2020-03-16,Annaba,1,,DZA.5_1
38,Algeria,2020-03-19,Annaba,3,,DZA.5_1
39,Algeria,2020-03-21,Annaba,2,,DZA.5_1
40,Algeria,2020-04-03,Annaba,2,,DZA.5_1
41,Algeria,2020-04-04,Annaba,1,,DZA.5_1
42,Algeria,2020-03-26,Batna,2,,DZA.6_1
43,Algeria,2020-04-01,Batna,4,,DZA.6_1
44,Algeria,2020-04-02,Batna,6,,DZA.6_1
45,Algeria,2020-04-04,Batna,2,,DZA.6_1
46,Algeria,2020-04-03,Béchar,1,,DZA.7_1
47,Algeria,2020-03-17,Béjaïa,1,,DZA.8_1
48,Algeria,2020-03-22,Béjaïa,4,,DZA.8_1
49,Algeria,2020-03-27,Béjaïa,3,,DZA.8_1
50,Algeria,2020-03-28,Béjaïa,3,,DZA.8_1
51,Algeria,2020-03-29,Béjaïa,4,,DZA.8_1
52,Algeria,2020-03-30,Béjaïa,5,,DZA.8_1
53,Algeria,2020-03-31,Béjaïa,6,,DZA.8_1
54,Algeria,2020-04-01,Béjaïa,3,,DZA.8_1
55,Algeria,2020-04-02,Béjaïa,7,,DZA.8_1
56,Algeria,2020-04-03,Béjaïa,10,,DZA.8_1
57,Algeria,2020-04-04,Béjaïa,4,,DZA.8_1
58,Algeria,2020-03-25,Biskra,1,,DZA.9_1
59,Algeria,2020-03-27,Biskra,1,,DZA.9_1
60,Algeria,2020-04-03,Biskra,4,,DZA.9_1
61,Algeria,2020-03-01,Blida,2,,DZA.10_1
62,Algeria,2020-03-02,Blida,2,,DZA.10_1
63,Algeria,2020-03-04,Blida,7,,DZA.10_1
64,Algeria,2020-03-05,Blida,5,,DZA.10_1
65,Algeria,2020-03-12,Blida,5,,DZA.10_1
66,Algeria,2020-03-13,Blida,8,,DZA.10_1
67,Algeria,2020-03-15,Blida,15,,DZA.10_1
68,Algeria,2020-03-18,Blida,3,,DZA.10_1
69,Algeria,2020-03-21,Blida,31,,DZA.10_1
70,Algeria,2020-03-22,Blida,31,,DZA.10_1
71,Algeria,2020-03-23,Blida,15,,DZA.10_1
72,Algeria,2020-03-24,Blida,11,,DZA.10_1
73,Algeria,2020-03-25,Blida,15,,DZA.10_1
74,Algeria,2020-03-26,Blida,26,,DZA.10_1
75,Algeria,2020-03-27,Blida,4,,DZA.10_1
76,Algeria,2020-03-28,Blida,12,,DZA.10_1
77,Algeria,2020-03-29,Blida,27,,DZA.10_1
78,Algeria,2020-03-30,Blida,25,,DZA.10_1
79,Algeria,2020-03-31,Blida,50,,DZA.10_1
80,Algeria,2020-04-01,Blida,48,,DZA.10_1
81,Algeria,2020-04-02,Blida,43,,DZA.10_1
82,Algeria,2020-04-03,Blida,47,,DZA.10_1
83,Algeria,2020-04-04,Blida,15,,DZA.10_1
84,Algeria,2020-03-16,Bordj Bou Arréridj,1,,DZA.11_1
85,Algeria,2020-03-19,Bordj Bou Arréridj,1,,DZA.11_1
86,Algeria,2020-03-25,Bordj Bou Arréridj,1,,DZA.11_1
87,Algeria,2020-03-26,Bordj Bou Arréridj,2,,DZA.11_1
88,Algeria,2020-03-29,Bordj Bou Arréridj,1,,DZA.11_1
89,Algeria,2020-03-30,Bordj Bou Arréridj,2,,DZA.11_1
90,Algeria,2020-03-31,Bordj Bou Arréridj,3,,DZA.11_1
91,Algeria,2020-04-02,Bordj Bou Arréridj,1,,DZA.11_1
92,Algeria,2020-04-03,Bordj Bou Arréridj,9,,DZA.11_1
93,Algeria,2020-04-04,Bordj Bou Arréridj,4,,DZA.11_1
94,Algeria,2020-03-16,Bouira,1,,DZA.12_1
95,Algeria,2020-03-19,Bouira,1,,DZA.12_1
96,Algeria,2020-03-22,Bouira,1,,DZA.12_1
97,Algeria,2020-03-30,Bouira,1,,DZA.12_1
98,Algeria,2020-03-31,Bouira,2,,DZA.12_1
99,Algeria,2020-04-01,Bouira,1,,DZA.12_1
100,Algeria,2020-04-02,Bouira,2,,DZA.12_1
101,Algeria,2020-04-03,Bouira,1,,DZA.12_1
102,Algeria,2020-03-19,Boumerdès,1,,DZA.13_1
103,Algeria,2020-03-22,Boumerdès,1,,DZA.13_1
104,Algeria,2020-03-26,Boumerdès,2,,DZA.13_1
105,Algeria,2020-03-30,Boumerdès,2,,DZA.13_1
106,Algeria,2020-03-31,Boumerdès,3,,DZA.13_1
107,Algeria,2020-04-01,Boumerdès,1,,DZA.13_1
108,Algeria,2020-04-02,Boumerdès,1,,DZA.13_1
109,Algeria,2020-04-03,Boumerdès,3,,DZA.13_1
110,Algeria,2020-04-04,Boumerdès,2,,DZA.13_1
111,Algeria,2020-03-23,Chlef,1,,DZA.14_1
112,Algeria,2020-03-28,Chlef,1,,DZA.14_1
113,Algeria,2020-03-29,Chlef,2,,DZA.14_1
114,Algeria,2020-03-30,Chlef,1,,DZA.14_1
115,Algeria,2020-03-31,Chlef,2,,DZA.14_1
116,Algeria,2020-04-01,Chlef,1,,DZA.14_1
117,Algeria,2020-04-02,Chlef,2,,DZA.14_1
118,Algeria,2020-04-03,Chlef,5,,DZA.14_1
119,Algeria,2020-03-22,Constantine,1,,DZA.15_1
120,Algeria,2020-03-26,Constantine,2,,DZA.15_1
121,Algeria,2020-03-31,Constantine,5,,DZA.15_1
122,Algeria,2020-04-01,Constantine,3,,DZA.15_1
123,Algeria,2020-04-03,Constantine,1,,DZA.15_1
124,Algeria,2020-04-04,Constantine,5,,DZA.15_1
125,Algeria,2020-03-27,Djelfa,2,,DZA.16_1
126,Algeria,2020-04-01,Djelfa,3,,DZA.16_1
127,Algeria,2020-04-02,Djelfa,2,,DZA.16_1
128,Algeria,2020-04-03,Djelfa,1,,DZA.16_1
129,Algeria,2020-04-04,Djelfa,3,,DZA.16_1
130,Algeria,2020-03-19,El Oued,2,,DZA.18_1
131,Algeria,2020-03-22,El Oued,1,,DZA.18_1
132,Algeria,2020-03-24,El Oued,1,,DZA.18_1
133,Algeria,2020-03-26,El Oued,1,,DZA.18_1
134,Algeria,2020-03-31,El Oued,2,,DZA.18_1
135,Algeria,2020-04-01,El Oued,9,,DZA.18_1
136,Algeria,2020-03-27,El Tarf,2,,DZA.19_1
137,Algeria,2020-03-31,El Tarf,2,,DZA.19_1
138,Algeria,2020-03-27,Ghardaïa,1,,DZA.20_1
139,Algeria,2020-04-01,Ghardaïa,1,,DZA.20_1
140,Algeria,2020-03-15,Guelma,1,,DZA.21_1
141,Algeria,2020-03-22,Guelma,1,,DZA.21_1
142,Algeria,2020-03-30,Guelma,1,,DZA.21_1
143,Algeria,2020-03-31,Illizi,1,,DZA.22_1
144,Algeria,2020-03-23,Jijel,1,,DZA.23_1
145,Algeria,2020-03-25,Jijel,1,,DZA.23_1
146,Algeria,2020-03-31,Jijel,2,,DZA.23_1
147,Algeria,2020-04-01,Jijel,7,,DZA.23_1
148,Algeria,2020-04-03,Jijel,4,,DZA.23_1
149,Algeria,2020-04-04,Jijel,2,,DZA.23_1
150,Algeria,2020-03-21,Khenchela,1,,DZA.24_1
151,Algeria,2020-03-24,Khenchela,1,,DZA.24_1
152,Algeria,2020-04-04,Khenchela,1,,DZA.24_1
153,Algeria,2020-03-26,Laghouat,1,,DZA.25_1
154,Algeria,2020-03-31,M'Sila,1,,DZA.26_1
155,Algeria,2020-04-03,M'Sila,1,,DZA.26_1
156,Algeria,2020-03-05,Mascara,2,,DZA.27_1
157,Algeria,2020-03-25,Mascara,1,,DZA.27_1
158,Algeria,2020-03-27,Mascara,2,,DZA.27_1
159,Algeria,2020-03-31,Mascara,2,,DZA.27_1
160,Algeria,2020-04-01,Mascara,2,,DZA.27_1
161,Algeria,2020-04-02,Mascara,1,,DZA.27_1
162,Algeria,2020-04-03,Mascara,5,,DZA.27_1
163,Algeria,2020-03-18,Médéa,1,,DZA.28_1
164,Algeria,2020-03-19,Médéa,1,,DZA.28_1
165,Algeria,2020-03-25,Médéa,1,,DZA.28_1
166,Algeria,2020-03-26,Médéa,1,,DZA.28_1
167,Algeria,2020-03-27,Médéa,3,,DZA.28_1
168,Algeria,2020-03-28,Médéa,3,,DZA.28_1
169,Algeria,2020-03-31,Médéa,7,,DZA.28_1
170,Algeria,2020-04-01,Médéa,4,,DZA.28_1
171,Algeria,2020-04-02,Médéa,1,,DZA.28_1
172,Algeria,2020-04-04,Médéa,3,,DZA.28_1
173,Algeria,2020-04-04,Mila,1,,DZA.29_1
174,Algeria,2020-03-23,Mostaganem,1,,DZA.30_1
175,Algeria,2020-03-26,Mostaganem,1,,DZA.30_1
176,Algeria,2020-03-27,Mostaganem,3,,DZA.30_1
