,state,date,region_name,dailycases,note,CODE_2
0,China,20-02-01,Anhui,297.0,,CHN.1_1
1,China,20-02-02,Anhui,43.0,,CHN.1_1
2,China,20-02-03,Anhui,68.0,,CHN.1_1
3,China,20-02-04,Anhui,72.0,,CHN.1_1
4,China,20-02-05,Anhui,50.0,,CHN.1_1
5,China,20-02-06,Anhui,61.0,,CHN.1_1
6,China,20-02-07,Anhui,74.0,,CHN.1_1
7,China,20-02-08,Anhui,68.0,,CHN.1_1
8,China,20-02-09,Anhui,46.0,,CHN.1_1
9,China,20-02-10,Anhui,51.0,,CHN.1_1
10,China,20-02-11,Anhui,30.0,,CHN.1_1
11,China,20-02-12,Anhui,29.0,,CHN.1_1
12,China,20-02-13,Anhui,21.0,,CHN.1_1
13,China,20-02-14,Anhui,24.0,,CHN.1_1
14,China,20-02-15,Anhui,16.0,,CHN.1_1
15,China,20-02-16,Anhui,12.0,,CHN.1_1
16,China,20-02-17,Anhui,11.0,,CHN.1_1
17,China,20-02-18,Anhui,9.0,,CHN.1_1
18,China,20-02-19,Anhui,4.0,,CHN.1_1
19,China,20-02-20,Anhui,1.0,,CHN.1_1
20,China,20-02-21,Anhui,1.0,,CHN.1_1
21,China,20-02-22,Anhui,1.0,,CHN.1_1
22,China,20-02-23,Anhui,0.0,,CHN.1_1
23,China,20-02-24,Anhui,0.0,,CHN.1_1
24,China,20-02-25,Anhui,0.0,,CHN.1_1
25,China,20-02-26,Anhui,0.0,,CHN.1_1
26,China,20-02-27,Anhui,0.0,,CHN.1_1
27,China,20-02-28,Anhui,1.0,,CHN.1_1
28,China,20-02-29,Anhui,0.0,,CHN.1_1
29,China,20-03-01,Anhui,0.0,,CHN.1_1
30,China,20-03-02,Anhui,0.0,,CHN.1_1
31,China,20-03-03,Anhui,0.0,,CHN.1_1
32,China,20-03-04,Anhui,0.0,,CHN.1_1
33,China,20-03-05,Anhui,0.0,,CHN.1_1
34,China,20-03-06,Anhui,0.0,,CHN.1_1
35,China,20-03-07,Anhui,0.0,,CHN.1_1
36,China,20-03-08,Anhui,0.0,,CHN.1_1
37,China,20-03-09,Anhui,0.0,,CHN.1_1
38,China,20-03-10,Anhui,0.0,,CHN.1_1
39,China,20-03-11,Anhui,0.0,,CHN.1_1
40,China,20-03-12,Anhui,0.0,,CHN.1_1
41,China,20-03-13,Anhui,0.0,,CHN.1_1
42,China,20-03-14,Anhui,0.0,,CHN.1_1
43,China,20-03-15,Anhui,0.0,,CHN.1_1
44,China,20-01-21,Beijing,5.0,,CHN.2_1
45,China,20-01-22,Beijing,0.0,,CHN.2_1
46,China,20-01-23,Beijing,5.0,,CHN.2_1
47,China,20-01-24,Beijing,0.0,,CHN.2_1
48,China,20-02-01,Beijing,146.0,,CHN.2_1
49,China,20-02-02,Beijing,27.0,,CHN.2_1
50,China,20-02-03,Beijing,29.0,,CHN.2_1
51,China,20-02-04,Beijing,16.0,,CHN.2_1
52,China,20-02-05,Beijing,25.0,,CHN.2_1
53,China,20-02-06,Beijing,21.0,,CHN.2_1
54,China,20-02-07,Beijing,23.0,,CHN.2_1
55,China,20-02-08,Beijing,18.0,,CHN.2_1
56,China,20-02-09,Beijing,11.0,,CHN.2_1
57,China,20-02-10,Beijing,11.0,,CHN.2_1
58,China,20-02-11,Beijing,5.0,,CHN.2_1
59,China,20-02-12,Beijing,10.0,,CHN.2_1
60,China,20-02-13,Beijing,14.0,,CHN.2_1
61,China,20-02-14,Beijing,6.0,,CHN.2_1
62,China,20-02-15,Beijing,3.0,,CHN.2_1
63,China,20-02-16,Beijing,5.0,,CHN.2_1
64,China,20-02-17,Beijing,1.0,,CHN.2_1
65,China,20-02-18,Beijing,6.0,,CHN.2_1
66,China,20-02-19,Beijing,6.0,,CHN.2_1
67,China,20-02-20,Beijing,2.0,,CHN.2_1
68,China,20-02-21,Beijing,1.0,,CHN.2_1
69,China,20-02-22,Beijing,3.0,,CHN.2_1
70,China,20-02-23,Beijing,0.0,,CHN.2_1
71,China,20-02-24,Beijing,0.0,,CHN.2_1
72,China,20-02-25,Beijing,1.0,,CHN.2_1
73,China,20-02-26,Beijing,0.0,,CHN.2_1
74,China,20-02-27,Beijing,10.0,,CHN.2_1
75,China,20-02-28,Beijing,0.0,,CHN.2_1
76,China,20-02-29,Beijing,1.0,,CHN.2_1
77,China,20-03-01,Beijing,2.0,,CHN.2_1
78,China,20-03-02,Beijing,1.0,,CHN.2_1
79,China,20-03-03,Beijing,0.0,,CHN.2_1
80,China,20-03-04,Beijing,3.0,,CHN.2_1
81,China,20-03-05,Beijing,1.0,,CHN.2_1
82,China,20-03-06,Beijing,4.0,,CHN.2_1
83,China,20-03-07,Beijing,4.0,,CHN.2_1
84,China,20-03-08,Beijing,2.0,,CHN.2_1
85,China,20-03-09,Beijing,0.0,,CHN.2_1
86,China,20-03-10,Beijing,1.0,,CHN.2_1
87,China,20-03-11,Beijing,6.0,,CHN.2_1
88,China,20-03-12,Beijing,0.0,,CHN.2_1
89,China,20-03-13,Beijing,1.0,,CHN.2_1
90,China,20-03-14,Beijing,1.0,,CHN.2_1
91,China,20-03-15,Beijing,5.0,,CHN.2_1
92,China,20-01-22,Chongqing,1.0,,CHN.3_1
93,China,20-01-23,Chongqing,4.0,,CHN.3_1
94,China,20-01-24,Chongqing,0.0,,CHN.3_1
95,China,20-02-01,Chongqing,233.0,,CHN.3_1
96,China,20-02-02,Chongqing,24.0,,CHN.3_1
97,China,20-02-03,Chongqing,38.0,,CHN.3_1
98,China,20-02-04,Chongqing,37.0,,CHN.3_1
99,China,20-02-05,Chongqing,29.0,,CHN.3_1
100,China,20-02-06,Chongqing,23.0,,CHN.3_1
101,China,20-02-07,Chongqing,22.0,,CHN.3_1
102,China,20-02-08,Chongqing,15.0,,CHN.3_1
103,China,20-02-09,Chongqing,20.0,,CHN.3_1
104,China,20-02-10,Chongqing,22.0,,CHN.3_1
105,China,20-02-11,Chongqing,18.0,,CHN.3_1
106,China,20-02-12,Chongqing,19.0,,CHN.3_1
107,China,20-02-13,Chongqing,13.0,,CHN.3_1
108,China,20-02-14,Chongqing,11.0,,CHN.3_1
109,China,20-02-15,Chongqing,8.0,,CHN.3_1
110,China,20-02-16,Chongqing,7.0,,CHN.3_1
111,China,20-02-17,Chongqing,7.0,,CHN.3_1
112,China,20-02-18,Chongqing,2.0,,CHN.3_1
113,China,20-02-19,Chongqing,2.0,,CHN.3_1
114,China,20-02-20,Chongqing,5.0,,CHN.3_1
115,China,20-02-21,Chongqing,7.0,,CHN.3_1
116,China,20-02-22,Chongqing,5.0,,CHN.3_1
117,China,20-02-23,Chongqing,1.0,,CHN.3_1
118,China,20-02-24,Chongqing,2.0,,CHN.3_1
119,China,20-02-25,Chongqing,1.0,,CHN.3_1
120,China,20-02-26,Chongqing,0.0,,CHN.3_1
121,China,20-02-27,Chongqing,0.0,,CHN.3_1
122,China,20-02-28,Chongqing,0.0,,CHN.3_1
123,China,20-02-29,Chongqing,0.0,,CHN.3_1
124,China,20-03-01,Chongqing,0.0,,CHN.3_1
125,China,20-03-02,Chongqing,0.0,,CHN.3_1
126,China,20-03-03,Chongqing,0.0,,CHN.3_1
127,China,20-03-04,Chongqing,0.0,,CHN.3_1
