"","state","date","site","dailycases","note","data","region"
"1","Algeria",2020-03-15,"Adrar",1,NA,NA,NA
"2","Algeria",2020-03-24,"Adrar",1,NA,NA,NA
"3","Algeria",2020-04-01,"Adrar",1,NA,NA,NA
"4","Algeria",2020-03-25,"Ain Defla",1,NA,NA,NA
"5","Algeria",2020-03-27,"Ain Defla",1,NA,NA,NA
"6","Algeria",2020-03-28,"Ain Defla",1,NA,NA,NA
"7","Algeria",2020-03-29,"Ain Defla",9,NA,NA,NA
"8","Algeria",2020-03-30,"Ain Defla",2,NA,NA,NA
"9","Algeria",2020-03-31,"Ain Defla",2,NA,NA,NA
"10","Algeria",2020-04-01,"Ain Defla",2,NA,NA,NA
"11","Algeria",2020-04-02,"Ain Defla",5,NA,NA,NA
"12","Algeria",2020-04-03,"Ain Defla",8,NA,NA,NA
"13","Algeria",2020-03-23,"Ain Témouchent",1,NA,NA,NA
"14","Algeria",2020-03-30,"Ain Témouchent",1,NA,NA,NA
"15","Algeria",2020-03-31,"Ain Témouchent",1,NA,NA,NA
"16","Algeria",2020-04-01,"Ain Témouchent",2,NA,NA,NA
"17","Algeria",2020-04-03,"Ain Témouchent",1,NA,NA,NA
"18","Algeria",2020-04-04,"Ain Témouchent",1,NA,NA,NA
"19","Algeria",2020-03-13,"Alger",1,NA,NA,NA
"20","Algeria",2020-03-16,"Alger",2,NA,NA,NA
"21","Algeria",2020-03-18,"Alger",5,NA,NA,NA
"22","Algeria",2020-03-19,"Alger",4,NA,NA,NA
"23","Algeria",2020-03-21,"Alger",2,NA,NA,NA
"24","Algeria",2020-03-22,"Alger",12,NA,NA,NA
"25","Algeria",2020-03-23,"Alger",7,NA,NA,NA
"26","Algeria",2020-03-24,"Alger",12,NA,NA,NA
"27","Algeria",2020-03-25,"Alger",11,NA,NA,NA
"28","Algeria",2020-03-26,"Alger",11,NA,NA,NA
"29","Algeria",2020-03-27,"Alger",6,NA,NA,NA
"30","Algeria",2020-03-28,"Alger",8,NA,NA,NA
"31","Algeria",2020-03-29,"Alger",10,NA,NA,NA
"32","Algeria",2020-03-30,"Alger",14,NA,NA,NA
"33","Algeria",2020-03-31,"Alger",20,NA,NA,NA
"34","Algeria",2020-04-01,"Alger",11,NA,NA,NA
"35","Algeria",2020-04-02,"Alger",18,NA,NA,NA
"36","Algeria",2020-04-03,"Alger",29,NA,NA,NA
"37","Algeria",2020-04-04,"Alger",24,NA,NA,NA
"38","Algeria",2020-03-16,"Annaba",1,NA,NA,NA
"39","Algeria",2020-03-19,"Annaba",3,NA,NA,NA
