,state,date,site,dailycases,note
0,China,20-02-01,Anhui,297.0,
1,China,20-02-02,Anhui,43.0,
2,China,20-02-03,Anhui,68.0,
3,China,20-02-04,Anhui,72.0,
4,China,20-02-05,Anhui,50.0,
5,China,20-02-06,Anhui,61.0,
6,China,20-02-07,Anhui,74.0,
7,China,20-02-08,Anhui,68.0,
8,China,20-02-09,Anhui,46.0,
9,China,20-02-10,Anhui,51.0,
10,China,20-02-11,Anhui,30.0,
11,China,20-02-12,Anhui,29.0,
12,China,20-02-13,Anhui,21.0,
13,China,20-02-14,Anhui,24.0,
14,China,20-02-15,Anhui,16.0,
15,China,20-02-16,Anhui,12.0,
16,China,20-02-17,Anhui,11.0,
17,China,20-02-18,Anhui,9.0,
18,China,20-02-19,Anhui,4.0,
19,China,20-02-20,Anhui,1.0,
20,China,20-02-21,Anhui,1.0,
21,China,20-02-22,Anhui,1.0,
22,China,20-02-23,Anhui,0.0,
23,China,20-02-24,Anhui,0.0,
24,China,20-02-25,Anhui,0.0,
25,China,20-02-26,Anhui,0.0,
26,China,20-02-27,Anhui,0.0,
27,China,20-02-28,Anhui,1.0,
28,China,20-02-29,Anhui,0.0,
29,China,20-03-01,Anhui,0.0,
30,China,20-03-02,Anhui,0.0,
31,China,20-03-03,Anhui,0.0,
32,China,20-03-04,Anhui,0.0,
33,China,20-03-05,Anhui,0.0,
34,China,20-03-06,Anhui,0.0,
35,China,20-03-07,Anhui,0.0,
36,China,20-03-08,Anhui,0.0,
37,China,20-03-09,Anhui,0.0,
38,China,20-03-10,Anhui,0.0,
39,China,20-03-11,Anhui,0.0,
40,China,20-03-12,Anhui,0.0,
41,China,20-03-13,Anhui,0.0,
42,China,20-03-14,Anhui,0.0,
43,China,20-03-15,Anhui,0.0,
44,China,20-01-21,Beijing,5.0,
45,China,20-01-22,Beijing,0.0,
46,China,20-01-23,Beijing,5.0,
47,China,20-01-24,Beijing,0.0,
48,China,20-02-01,Beijing,146.0,
49,China,20-02-02,Beijing,27.0,
50,China,20-02-03,Beijing,29.0,
51,China,20-02-04,Beijing,16.0,
52,China,20-02-05,Beijing,25.0,
53,China,20-02-06,Beijing,21.0,
54,China,20-02-07,Beijing,23.0,
55,China,20-02-08,Beijing,18.0,
56,China,20-02-09,Beijing,11.0,
57,China,20-02-10,Beijing,11.0,
58,China,20-02-11,Beijing,5.0,
59,China,20-02-12,Beijing,10.0,
60,China,20-02-13,Beijing,14.0,
61,China,20-02-14,Beijing,6.0,
62,China,20-02-15,Beijing,3.0,
63,China,20-02-16,Beijing,5.0,
64,China,20-02-17,Beijing,1.0,
65,China,20-02-18,Beijing,6.0,
66,China,20-02-19,Beijing,6.0,
67,China,20-02-20,Beijing,2.0,
68,China,20-02-21,Beijing,1.0,
69,China,20-02-22,Beijing,3.0,
70,China,20-02-23,Beijing,0.0,
71,China,20-02-24,Beijing,0.0,
72,China,20-02-25,Beijing,1.0,
73,China,20-02-26,Beijing,0.0,
74,China,20-02-27,Beijing,10.0,
75,China,20-02-28,Beijing,0.0,
76,China,20-02-29,Beijing,1.0,
77,China,20-03-01,Beijing,2.0,
78,China,20-03-02,Beijing,1.0,
79,China,20-03-03,Beijing,0.0,
80,China,20-03-04,Beijing,3.0,
81,China,20-03-05,Beijing,1.0,
82,China,20-03-06,Beijing,4.0,
83,China,20-03-07,Beijing,4.0,
84,China,20-03-08,Beijing,2.0,
85,China,20-03-09,Beijing,0.0,
86,China,20-03-10,Beijing,1.0,
87,China,20-03-11,Beijing,6.0,
88,China,20-03-12,Beijing,0.0,
89,China,20-03-13,Beijing,1.0,
90,China,20-03-14,Beijing,1.0,
91,China,20-03-15,Beijing,5.0,
92,China,20-01-22,Chongqing,1.0,
93,China,20-01-23,Chongqing,4.0,
94,China,20-01-24,Chongqing,0.0,
95,China,20-02-01,Chongqing,233.0,
96,China,20-02-02,Chongqing,24.0,
97,China,20-02-03,Chongqing,38.0,
98,China,20-02-04,Chongqing,37.0,
99,China,20-02-05,Chongqing,29.0,
100,China,20-02-06,Chongqing,23.0,
101,China,20-02-07,Chongqing,22.0,
102,China,20-02-08,Chongqing,15.0,
