"","state","date","site","dailycases","note"
"1","Afghanistan",2020-07-23,"Badakhshan",362,NA
"2","Afghanistan",2020-07-24,"Badakhshan",1,NA
"3","Afghanistan",2020-07-27,"Badakhshan",6,NA
"4","Afghanistan",2020-07-28,"Badakhshan",4,NA
"5","Afghanistan",2020-07-29,"Badakhshan",0,NA
"6","Afghanistan",2020-07-30,"Badakhshan",4,NA
"7","Afghanistan",2020-08-03,"Badakhshan",3,NA
"8","Afghanistan",2020-08-04,"Badakhshan",1,NA
"9","Afghanistan",2020-08-05,"Badakhshan",0,NA
"10","Afghanistan",2020-08-06,"Badakhshan",0,NA
"11","Afghanistan",2020-08-07,"Badakhshan",0,NA
"12","Afghanistan",2020-08-11,"Badakhshan",2,NA
"13","Afghanistan",2020-08-12,"Badakhshan",2,NA
"14","Afghanistan",2020-08-13,"Badakhshan",1,NA
"15","Afghanistan",2020-08-14,"Badakhshan",0,NA
"16","Afghanistan",2020-08-17,"Badakhshan",0,NA
"17","Afghanistan",2020-08-18,"Badakhshan",0,NA
"18","Afghanistan",2020-08-19,"Badakhshan",0,NA
"19","Afghanistan",2020-08-20,"Badakhshan",31,NA
"20","Afghanistan",2020-08-21,"Badakhshan",0,NA
"21","Afghanistan",2020-08-24,"Badakhshan",2,NA
"22","Afghanistan",2020-08-26,"Badakhshan",1,NA
"23","Afghanistan",2020-08-27,"Badakhshan",0,NA
"24","Afghanistan",2020-08-28,"Badakhshan",0,NA
"25","Afghanistan",2020-08-31,"Badakhshan",0,NA
"26","Afghanistan",2020-09-01,"Badakhshan",0,NA
"27","Afghanistan",2020-09-02,"Badakhshan",0,NA
"28","Afghanistan",2020-09-04,"Badakhshan",0,NA
"29","Afghanistan",2020-09-07,"Badakhshan",0,NA
"30","Afghanistan",2020-09-08,"Badakhshan",0,NA
"31","Afghanistan",2020-09-09,"Badakhshan",0,NA
"32","Afghanistan",2020-09-10,"Badakhshan",0,NA
"33","Afghanistan",2020-09-11,"Badakhshan",0,NA
