,state,date,region_name,dailycases,note,CODE_2
0,Argentina,2020-03-05,Buenos Aires,1.0,,ARG.1_1
1,Argentina,2020-03-08,Buenos Aires,8.0,,ARG.1_1
2,Argentina,2020-03-10,Buenos Aires,1.0,,ARG.1_1
3,Argentina,2020-03-11,Buenos Aires,1.0,,ARG.1_1
4,Argentina,2020-03-13,Buenos Aires,1.0,,ARG.1_1
5,Argentina,2020-03-15,Buenos Aires,1.0,,ARG.1_1
6,Argentina,2020-03-16,Buenos Aires,1.0,,ARG.1_1
7,Argentina,2020-03-17,Buenos Aires,1.0,,ARG.1_1
8,Argentina,2020-03-18,Buenos Aires,6.0,,ARG.1_1
9,Argentina,2020-03-19,Buenos Aires,14.0,,ARG.1_1
10,Argentina,2020-03-20,Buenos Aires,9.0,,ARG.1_1
11,Argentina,2020-03-21,Buenos Aires,14.0,,ARG.1_1
12,Argentina,2020-03-22,Buenos Aires,8.0,,ARG.1_1
13,Argentina,2020-03-23,Buenos Aires,5.0,,ARG.1_1
14,Argentina,2020-03-24,Buenos Aires,29.0,,ARG.1_1
15,Argentina,2020-03-25,Buenos Aires,30.0,,ARG.1_1
16,Argentina,2020-03-26,Buenos Aires,27.0,,ARG.1_1
17,Argentina,2020-03-27,Buenos Aires,36.0,,ARG.1_1
18,Argentina,2020-03-28,Buenos Aires,8.0,,ARG.1_1
19,Argentina,2020-03-29,Buenos Aires,16.0,,ARG.1_1
20,Argentina,2020-03-30,Buenos Aires,36.0,,ARG.1_1
21,Argentina,2020-03-31,Buenos Aires,17.0,,ARG.1_1
22,Argentina,2020-04-01,Buenos Aires,10.0,,ARG.1_1
23,Argentina,2020-04-02,Buenos Aires,36.0,,ARG.1_1
24,Argentina,2020-04-03,Buenos Aires,22.0,,ARG.1_1
25,Argentina,2020-04-04,Buenos Aires,26.0,,ARG.1_1
26,Argentina,2020-04-05,Buenos Aires,33.0,,ARG.1_1
27,Argentina,2020-04-06,Buenos Aires,12.0,,ARG.1_1
28,Argentina,2020-04-07,Buenos Aires,34.0,,ARG.1_1
29,Argentina,2020-04-08,Buenos Aires,17.0,,ARG.1_1
30,Argentina,2020-04-09,Buenos Aires,28.0,,ARG.1_1
31,Argentina,2020-04-10,Buenos Aires,19.0,,ARG.1_1
32,Argentina,2020-04-11,Buenos Aires,37.0,,ARG.1_1
33,Argentina,2020-04-12,Buenos Aires,28.0,,ARG.1_1
34,Argentina,2020-04-13,Buenos Aires,29.0,,ARG.1_1
35,Argentina,2020-04-14,Buenos Aires,66.0,,ARG.1_1
36,Argentina,2020-04-15,Buenos Aires,62.0,,ARG.1_1
37,Argentina,2020-04-16,Buenos Aires,30.0,,ARG.1_1
38,Argentina,2020-04-17,Buenos Aires,34.0,,ARG.1_1
39,Argentina,2020-04-18,Buenos Aires,31.0,,ARG.1_1
40,Argentina,2020-04-19,Buenos Aires,48.0,,ARG.1_1
41,Argentina,2020-04-20,Buenos Aires,42.0,,ARG.1_1
42,Argentina,2020-04-21,Buenos Aires,61.0,,ARG.1_1
43,Argentina,2020-04-22,Buenos Aires,61.0,,ARG.1_1
44,Argentina,2020-04-23,Buenos Aires,84.0,,ARG.1_1
45,Argentina,2020-04-24,Buenos Aires,61.0,,ARG.1_1
46,Argentina,2020-04-25,Buenos Aires,94.0,,ARG.1_1
47,Argentina,2020-04-26,Buenos Aires,56.0,,ARG.1_1
48,Argentina,2020-04-27,Buenos Aires,50.0,,ARG.1_1
49,Argentina,2020-04-28,Buenos Aires,48.0,,ARG.1_1
50,Argentina,2020-04-29,Buenos Aires,103.0,,ARG.1_1
51,Argentina,2020-04-30,Buenos Aires,66.0,,ARG.1_1
52,Argentina,2020-05-01,Buenos Aires,34.0,,ARG.1_1
53,Argentina,2020-05-02,Buenos Aires,45.0,,ARG.1_1
54,Argentina,2020-05-03,Buenos Aires,38.0,,ARG.1_1
55,Argentina,2020-05-04,Buenos Aires,38.0,,ARG.1_1
56,Argentina,2020-05-05,Buenos Aires,58.0,,ARG.1_1
57,Argentina,2020-05-06,Buenos Aires,63.0,,ARG.1_1
58,Argentina,2020-05-07,Buenos Aires,50.0,,ARG.1_1
59,Argentina,2020-05-08,Buenos Aires,77.0,,ARG.1_1
60,Argentina,2020-05-09,Buenos Aires,60.0,,ARG.1_1
61,Argentina,2020-05-10,Buenos Aires,51.0,,ARG.1_1
62,Argentina,2020-05-11,Buenos Aires,44.0,,ARG.1_1
63,Argentina,2020-05-12,Buenos Aires,80.0,,ARG.1_1
64,Argentina,2020-05-13,Buenos Aires,96.0,,ARG.1_1
65,Argentina,2020-05-14,Buenos Aires,79.0,,ARG.1_1
66,Argentina,2020-05-15,Buenos Aires,86.0,,ARG.1_1
67,Argentina,2020-05-16,Buenos Aires,97.0,,ARG.1_1
68,Argentina,2020-05-17,Buenos Aires,74.0,,ARG.1_1
69,Argentina,2020-05-18,Buenos Aires,93.0,,ARG.1_1
70,Argentina,2020-05-19,Buenos Aires,157.0,,ARG.1_1
71,Argentina,2020-05-20,Buenos Aires,178.0,,ARG.1_1
72,Argentina,2020-05-21,Buenos Aires,213.0,,ARG.1_1
73,Argentina,2020-05-22,Buenos Aires,266.0,,ARG.1_1
74,Argentina,2020-05-23,Buenos Aires,289.0,,ARG.1_1
75,Argentina,2020-03-02,Ciudad de Buenos Aires,1.0,,ARG.5_1
76,Argentina,2020-03-09,Ciudad de Buenos Aires,1.0,,ARG.5_1
77,Argentina,2020-03-10,Ciudad de Buenos Aires,1.0,,ARG.5_1
78,Argentina,2020-03-11,Ciudad de Buenos Aires,1.0,,ARG.5_1
79,Argentina,2020-03-12,Ciudad de Buenos Aires,10.0,,ARG.5_1
80,Argentina,2020-03-13,Ciudad de Buenos Aires,2.0,,ARG.5_1
81,Argentina,2020-03-14,Ciudad de Buenos Aires,11.0,,ARG.5_1
82,Argentina,2020-03-15,Ciudad de Buenos Aires,6.0,,ARG.5_1
83,Argentina,2020-03-16,Ciudad de Buenos Aires,5.0,,ARG.5_1
84,Argentina,2020-03-17,Ciudad de Buenos Aires,4.0,,ARG.5_1
85,Argentina,2020-03-18,Ciudad de Buenos Aires,10.0,,ARG.5_1
86,Argentina,2020-03-19,Ciudad de Buenos Aires,8.0,,ARG.5_1
87,Argentina,2020-03-20,Ciudad de Buenos Aires,9.0,,ARG.5_1
88,Argentina,2020-03-21,Ciudad de Buenos Aires,29.0,,ARG.5_1
89,Argentina,2020-03-22,Ciudad de Buenos Aires,11.0,,ARG.5_1
90,Argentina,2020-03-23,Ciudad de Buenos Aires,11.0,,ARG.5_1
