CODE_2,iso_alpha_3,RG_cumsum_10,date,RG_LON,RG_LAT,RG_pop_tot,RG_pop_tot_adj,RG_pop_65up,RG_pop_45_64,RG_pop_tot_perc_male,WB_gdp_pcap,WB_prevalence_diabetes,ST_tests,ST_stringency_index,RG_temp_med_30,RG_temp_min_30,RG_temp_max_30,RG_rh_med_30,RG_rh_max_30,RG_rh_min_30,RG_ah_med_30,RG_ah_min_30,RG_ah_max_30,RG_pm10,RG_pm25,RG_no2
AL01,ALB,125,4/8/20,19.98641756,41.94996,767614,802814,0.099976674,0.228903045,0.503396723,5352.857411,9,2989,84.26,14.82773973,4.924201403,24.24305737,68.12806299,20.79999954,98.2399978,5.503870845,2.769999938,8.789999804,16.3943663,11.74945766,4.979816798
AL02,ALB,152,4/1/20,20.02005283,41.11032,1246342,1304202,0.095906509,0.234151889,0.498167646,5352.857411,9,2989,84.26,15.1759951,6.602150598,24.73818992,72.05386936,25.89999942,98.00999781,6.065806316,3.019999932,8.749999804,16.3943663,11.74945766,4.979816798
AL03,ALB,54,4/6/20,20.13623533,40.36913,783527,819868,0.123199817,0.273144751,0.506517677,5352.857411,9,2989,84.26,15.76728666,8.018055959,23.27595636,74.898708,36.02999919,99.66999777,6.533870822,3.869999913,8.759999804,14.89024537,10.64476064,3.788234667
ARG.1_1,ARG,157,3/26/20,-60.13444918,-37.14791679,18047834,18139824,0.097116876,0.199758967,0.488867738,10006.14897,5.9,NA,100,25.58961055,16.65102494,34.5554233,72.93419192,31.4899993,98.79999779,11.00064492,5.739999872,14.73999967,26.038464,18.36984743,11.70385405
ARG.12_1,ARG,50,4/25/20,-66.80924473,-29.85852146,395630,397645,0.065491456,0.173080273,0.496153038,10006.14897,5.9,47406,100,22.90383637,15.74617745,31.97407437,57.14161163,23.14999948,98.4699978,7.585483701,4.4799999,12.68999972,6.469927432,4.599103173,0.617071524
ARG.13_1,ARG,59,4/13/20,-68.47096611,-34.77186584,1935933,1945661,0.09389169,0.193053864,0.488627599,10006.14897,5.9,19758,100,18.59905068,11.09019418,29.62436639,66.73838561,32.36999928,96.60999784,6.774515978,3.859999914,10.14999977,13.29094333,9.431264279,3.339029757
ARG.14_1,ARG,26,5/22/20,-54.38920313,-26.83361816,1306607,1312827,0.058886659,0.164246927,0.497143198,10006.14897,5.9,121278,90.74,21.85954744,10.43870398,32.01605929,73.01956359,37.69999916,99.79999777,9.998695429,5.409999879,13.5199997,13.58729187,9.723392532,1.450761942
ARG.15_1,ARG,86,4/12/20,-69.54331091,-38.59080696,665091,668428,0.060690097,0.186517216,0.497254862,10006.14897,5.9,NA,100,21.89447023,10.45607705,34.36576727,44.29838611,7.999999821,96.48999784,5.174838594,1.659999963,8.819999803,8.595716542,5.7383113,1.112103164
ARG.16_1,ARG,116,4/17/20,-66.43953107,-39.79336739,743117,746899,0.078093,0.195587665,0.497274415,10006.14897,5.9,28650,100,21.52020196,9.030037398,33.56950147,44.56225707,9.649999784,95.24999787,5.230645044,1.969999956,9.199999794,11.70173622,7.323528413,1.658741603
ARG.21_1,ARG,176,4/5/20,-60.99637785,-31.19031429,3425767,3443228,0.105881912,0.20305706,0.487351666,10006.14897,5.9,NA,100,25.46781223,13.5600659,37.19613023,72.29290161,30.74999931,98.3999978,10.84580621,5.549999876,14.63999967,11.58255079,8.107142972,4.043138988
