"","state","date","site","dailycases","note"
"1","Algeria",2020-03-15,"Adrar",1,"NA"
"2","Algeria",2020-03-24,"Adrar",1,"NA"
"3","Algeria",2020-04-01,"Adrar",1,"NA"
"4","Algeria",2020-03-25,"Ain Defla",1,"NA"
"5","Algeria",2020-03-27,"Ain Defla",1,"NA"
"6","Algeria",2020-03-28,"Ain Defla",1,"NA"
"7","Algeria",2020-03-29,"Ain Defla",9,"NA"
"8","Algeria",2020-03-30,"Ain Defla",2,"NA"
"9","Algeria",2020-03-31,"Ain Defla",2,"NA"
"10","Algeria",2020-04-01,"Ain Defla",2,"NA"
"11","Algeria",2020-04-02,"Ain Defla",5,"NA"
"12","Algeria",2020-04-03,"Ain Defla",8,"NA"
"13","Algeria",2020-03-23,"Ain Témouchent",1,"NA"
"14","Algeria",2020-03-30,"Ain Témouchent",1,"NA"
"15","Algeria",2020-03-31,"Ain Témouchent",1,"NA"
"16","Algeria",2020-04-01,"Ain Témouchent",2,"NA"
"17","Algeria",2020-04-03,"Ain Témouchent",1,"NA"
"18","Algeria",2020-04-04,"Ain Témouchent",1,"NA"
"19","Algeria",2020-03-13,"Alger",1,"NA"
"20","Algeria",2020-03-16,"Alger",2,"NA"
"21","Algeria",2020-03-18,"Alger",5,"NA"
"22","Algeria",2020-03-19,"Alger",4,"NA"
"23","Algeria",2020-03-21,"Alger",2,"NA"
"24","Algeria",2020-03-22,"Alger",12,"NA"
"25","Algeria",2020-03-23,"Alger",7,"NA"
"26","Algeria",2020-03-24,"Alger",12,"NA"
"27","Algeria",2020-03-25,"Alger",11,"NA"
"28","Algeria",2020-03-26,"Alger",11,"NA"
"29","Algeria",2020-03-27,"Alger",6,"NA"
"30","Algeria",2020-03-28,"Alger",8,"NA"
"31","Algeria",2020-03-29,"Alger",10,"NA"
"32","Algeria",2020-03-30,"Alger",14,"NA"
"33","Algeria",2020-03-31,"Alger",20,"NA"
"34","Algeria",2020-04-01,"Alger",11,"NA"
"35","Algeria",2020-04-02,"Alger",18,"NA"
"36","Algeria",2020-04-03,"Alger",29,"NA"
"37","Algeria",2020-04-04,"Alger",24,"NA"
"38","Algeria",2020-03-16,"Annaba",1,"NA"
"39","Algeria",2020-03-19,"Annaba",3,"NA"
"40","Algeria",2020-03-21,"Annaba",2,"NA"
"41","Algeria",2020-04-03,"Annaba",2,"NA"
"42","Algeria",2020-04-04,"Annaba",1,"NA"
"43","Algeria",2020-03-26,"Batna",2,"NA"
"44","Algeria",2020-04-01,"Batna",4,"NA"
"45","Algeria",2020-04-02,"Batna",6,"NA"
"46","Algeria",2020-04-04,"Batna",2,"NA"
"47","Algeria",2020-04-03,"Bechar",1,"NA"
"48","Algeria",2020-03-17,"Bejaia",1,"NA"
"49","Algeria",2020-03-22,"Bejaia",4,"NA"
"50","Algeria",2020-03-27,"Bejaia",3,"NA"
"51","Algeria",2020-03-28,"Bejaia",3,"NA"
"52","Algeria",2020-03-29,"Bejaia",4,"NA"
"53","Algeria",2020-03-30,"Bejaia",5,"NA"
"54","Algeria",2020-03-31,"Bejaia",6,"NA"
"55","Algeria",2020-04-01,"Bejaia",3,"NA"
"56","Algeria",2020-04-02,"Bejaia",7,"NA"
"57","Algeria",2020-04-03,"Bejaia",10,"NA"
"58","Algeria",2020-04-04,"Bejaia",4,"NA"
"59","Algeria",2020-03-25,"Biskra",1,"NA"
"60","Algeria",2020-03-27,"Biskra",1,"NA"
"61","Algeria",2020-04-03,"Biskra",4,"NA"
"62","Algeria",2020-03-01,"Blida",2,"NA"
"63","Algeria",2020-03-02,"Blida",2,"NA"
"64","Algeria",2020-03-04,"Blida",7,"NA"
"65","Algeria",2020-03-05,"Blida",5,"NA"
"66","Algeria",2020-03-12,"Blida",5,"NA"
"67","Algeria",2020-03-13,"Blida",8,"NA"
"68","Algeria",2020-03-15,"Blida",15,"NA"
"69","Algeria",2020-03-18,"Blida",3,"NA"
"70","Algeria",2020-03-21,"Blida",31,"NA"
"71","Algeria",2020-03-22,"Blida",31,"NA"
"72","Algeria",2020-03-23,"Blida",15,"NA"
"73","Algeria",2020-03-24,"Blida",11,"NA"
"74","Algeria",2020-03-25,"Blida",15,"NA"
"75","Algeria",2020-03-26,"Blida",26,"NA"
"76","Algeria",2020-03-27,"Blida",4,"NA"
"77","Algeria",2020-03-28,"Blida",12,"NA"
"78","Algeria",2020-03-29,"Blida",27,"NA"
"79","Algeria",2020-03-30,"Blida",25,"NA"
"80","Algeria",2020-03-31,"Blida",50,"NA"
"81","Algeria",2020-04-01,"Blida",48,"NA"
"82","Algeria",2020-04-02,"Blida",43,"NA"
"83","Algeria",2020-04-03,"Blida",47,"NA"
"84","Algeria",2020-04-04,"Blida",15,"NA"
"85","Algeria",2020-03-16,"Bordj Bou-Arreridj",1,"NA"
"86","Algeria",2020-03-19,"Bordj Bou-Arreridj",1,"NA"
"87","Algeria",2020-03-25,"Bordj Bou-Arreridj",1,"NA"
"88","Algeria",2020-03-26,"Bordj Bou-Arreridj",2,"NA"
"89","Algeria",2020-03-29,"Bordj Bou-Arreridj",1,"NA"
"90","Algeria",2020-03-30,"Bordj Bou-Arreridj",2,"NA"
"91","Algeria",2020-03-31,"Bordj Bou-Arreridj",3,"NA"
"92","Algeria",2020-04-02,"Bordj Bou-Arreridj",1,"NA"
"93","Algeria",2020-04-03,"Bordj Bou-Arreridj",9,"NA"
"94","Algeria",2020-04-04,"Bordj Bou-Arreridj",4,"NA"
"95","Algeria",2020-03-16,"Bouira",1,"NA"
"96","Algeria",2020-03-19,"Bouira",1,"NA"
"97","Algeria",2020-03-22,"Bouira",1,"NA"
"98","Algeria",2020-03-30,"Bouira",1,"NA"
"99","Algeria",2020-03-31,"Bouira",2,"NA"
"100","Algeria",2020-04-01,"Bouira",1,"NA"
"101","Algeria",2020-04-02,"Bouira",2,"NA"
"102","Algeria",2020-04-03,"Bouira",1,"NA"
"103","Algeria",2020-03-19,"Boumerdes",1,"NA"
"104","Algeria",2020-03-22,"Boumerdes",1,"NA"
"105","Algeria",2020-03-26,"Boumerdes",2,"NA"
"106","Algeria",2020-03-30,"Boumerdes",2,"NA"
"107","Algeria",2020-03-31,"Boumerdes",3,"NA"
"108","Algeria",2020-04-01,"Boumerdes",1,"NA"
"109","Algeria",2020-04-02,"Boumerdes",1,"NA"
"110","Algeria",2020-04-03,"Boumerdes",3,"NA"
"111","Algeria",2020-04-04,"Boumerdes",2,"NA"
"112","Algeria",2020-03-23,"Chlef",1,"NA"
"113","Algeria",2020-03-28,"Chlef",1,"NA"
"114","Algeria",2020-03-29,"Chlef",2,"NA"
"115","Algeria",2020-03-30,"Chlef",1,"NA"
"116","Algeria",2020-03-31,"Chlef",2,"NA"
"117","Algeria",2020-04-01,"Chlef",1,"NA"
"118","Algeria",2020-04-02,"Chlef",2,"NA"
"119","Algeria",2020-04-03,"Chlef",5,"NA"
"120","Algeria",2020-03-22,"Constantine",1,"NA"
"121","Algeria",2020-03-26,"Constantine",2,"NA"
"122","Algeria",2020-03-31,"Constantine",5,"NA"
"123","Algeria",2020-04-01,"Constantine",3,"NA"
"124","Algeria",2020-04-03,"Constantine",1,"NA"
"125","Algeria",2020-04-04,"Constantine",5,"NA"
"126","Algeria",2020-03-27,"Djelfa",2,"NA"
"127","Algeria",2020-04-01,"Djelfa",3,"NA"
"128","Algeria",2020-04-02,"Djelfa",2,"NA"
"129","Algeria",2020-04-03,"Djelfa",1,"NA"
"130","Algeria",2020-04-04,"Djelfa",3,"NA"
"131","Algeria",2020-03-19,"El Oued",2,"NA"
"132","Algeria",2020-03-22,"El Oued",1,"NA"
"133","Algeria",2020-03-24,"El Oued",1,"NA"
"134","Algeria",2020-03-26,"El Oued",1,"NA"
"135","Algeria",2020-03-31,"El Oued",2,"NA"
"136","Algeria",2020-04-01,"El Oued",9,"NA"
"137","Algeria",2020-03-27,"El Tarf",2,"NA"
"138","Algeria",2020-03-31,"El Tarf",2,"NA"
"139","Algeria",2020-03-27,"Ghardaia",1,"NA"
"140","Algeria",2020-04-01,"Ghardaia",1,"NA"
"141","Algeria",2020-03-15,"Guelma",1,"NA"
"142","Algeria",2020-03-22,"Guelma",1,"NA"
"143","Algeria",2020-03-30,"Guelma",1,"NA"
"144","Algeria",2020-03-31,"Illizi",1,"NA"
"145","Algeria",2020-03-23,"Jijel",1,"NA"
"146","Algeria",2020-03-25,"Jijel",1,"NA"
"147","Algeria",2020-03-31,"Jijel",2,"NA"
"148","Algeria",2020-04-01,"Jijel",7,"NA"
"149","Algeria",2020-04-03,"Jijel",4,"NA"
"150","Algeria",2020-04-04,"Jijel",2,"NA"
"151","Algeria",2020-03-21,"Khenchela",1,"NA"
"152","Algeria",2020-03-24,"Khenchela",1,"NA"
"153","Algeria",2020-04-04,"Khenchela",1,"NA"
"154","Algeria",2020-03-26,"Laghouat",1,"NA"
"155","Algeria",2020-03-31,"M'sila",1,"NA"
"156","Algeria",2020-04-03,"M'sila",1,"NA"
"157","Algeria",2020-03-05,"Mascara",2,"NA"
"158","Algeria",2020-03-25,"Mascara",1,"NA"
"159","Algeria",2020-03-27,"Mascara",2,"NA"
"160","Algeria",2020-03-31,"Mascara",2,"NA"
"161","Algeria",2020-04-01,"Mascara",2,"NA"
"162","Algeria",2020-04-02,"Mascara",1,"NA"
"163","Algeria",2020-04-03,"Mascara",5,"NA"
"164","Algeria",2020-03-18,"Médéa",1,"NA"
"165","Algeria",2020-03-19,"Médéa",1,"NA"
"166","Algeria",2020-03-25,"Médéa",1,"NA"
"167","Algeria",2020-03-26,"Médéa",1,"NA"
"168","Algeria",2020-03-27,"Médéa",3,"NA"
"169","Algeria",2020-03-28,"Médéa",3,"NA"
"170","Algeria",2020-03-31,"Médéa",7,"NA"
"171","Algeria",2020-04-01,"Médéa",4,"NA"
"172","Algeria",2020-04-02,"Médéa",1,"NA"
"173","Algeria",2020-04-04,"Médéa",3,"NA"
"174","Algeria",2020-04-04,"Mila",1,"NA"
"175","Algeria",2020-03-23,"Mostaganem",1,"NA"
"176","Algeria",2020-03-26,"Mostaganem",1,"NA"
"177","Algeria",2020-03-27,"Mostaganem",3,"NA"
"178","Algeria",2020-04-01,"Mostaganem",2,"NA"
"179","Algeria",2020-04-02,"Mostaganem",10,"NA"
"180","Algeria",2020-04-03,"Mostaganem",1,"NA"
"181","Algeria",2020-03-19,"Oran",1,"NA"
"182","Algeria",2020-03-20,"Oran",5,"NA"
"183","Algeria",2020-03-22,"Oran",6,"NA"
"184","Algeria",2020-03-24,"Oran",1,"NA"
"185","Algeria",2020-03-25,"Oran",1,"NA"
"186","Algeria",2020-03-26,"Oran",2,"NA"
"187","Algeria",2020-03-27,"Oran",4,"NA"
