"","state","date","site","dailycases","note"
"1","Ethiopia",2020-03-27,"addis Ababa",1,"NA"
"2","Ethiopia",2020-03-13,"Addis Ababa",1,"NA"
"3","Ethiopia",2020-03-15,"Addis Ababa",4,"NA"
"4","Ethiopia",2020-03-17,"Addis Ababa",1,"NA"
"5","Ethiopia",2020-03-19,"Addis Ababa",3,"NA"
"6","Ethiopia",2020-03-22,"Addis Ababa",2,"NA"
"7","Ethiopia",2020-03-24,"Addis Ababa",1,"NA"
"8","Ethiopia",2020-03-27,"Addis Ababa",2,"NA"
"9","Ethiopia",2020-03-28,"Addis Ababa",1,"NA"
"10","Ethiopia",2020-03-29,"Addis Ababa",2,"NA"
"11","Ethiopia",2020-03-31,"Addis Ababa",3,"NA"
"12","Ethiopia",2020-04-01,"Addis Ababa",3,"NA"
"13","Ethiopia",2020-04-03,"Addis Ababa",5,"NA"
"14","Ethiopia",2020-04-04,"Addis Ababa",3,"NA"
"15","Ethiopia",2020-04-05,"Addis Ababa",5,"NA"
"16","Ethiopia",2020-04-07,"Addis Ababa",8,"NA"
"17","Ethiopia",2020-04-08,"Addis Ababa",2,"NA"
"18","Ethiopia",2020-04-09,"Addis Ababa",1,"NA"
"19","Ethiopia",2020-04-10,"Addis Ababa",9,"NA"
"20","Ethiopia",2020-04-11,"Addis Ababa",4,"NA"
"21","Ethiopia",2020-04-12,"Addis Ababa",2,"NA"
"22","Ethiopia",2020-04-13,"Addis Ababa",3,"NA"
"23","Ethiopia",2020-04-14,"Addis Ababa",8,"NA"
"24","Ethiopia",2020-04-15,"Addis Ababa",3,"NA"
"25","Ethiopia",2020-04-16,"Addis Ababa",7,"NA"
"26","Ethiopia",2020-04-17,"Addis Ababa",3,"NA"
"27","Ethiopia",2020-04-18,"Addis Ababa",5,"NA"
"28","Ethiopia",2020-04-19,"Addis Ababa",3,"NA"
"29","Ethiopia",2020-04-21,"Addis Ababa",2,"NA"
"30","Ethiopia",2020-04-22,"Addis Ababa",1,"NA"
"31","Ethiopia",2020-04-24,"Addis Ababa",1,"NA"
"32","Ethiopia",2020-04-25,"Addis Ababa",1,"NA"
"33","Ethiopia",2020-04-27,"Addis Ababa",1,"NA"
"34","Ethiopia",2020-04-28,"Addis Ababa",2,"NA"
"35","Ethiopia",2020-04-29,"Addis Ababa",3,"NA"
"36","Ethiopia",2020-05-01,"Addis Ababa",2,"NA"
"37","Ethiopia",2020-05-03,"Addis Ababa",1,"NA"
"38","Ethiopia",2020-05-04,"Addis Ababa",4,"NA"
"39","Ethiopia",2020-05-05,"Addis Ababa",2,"NA"
"40","Ethiopia",2020-05-06,"Addis Ababa",4,"NA"
"41","Ethiopia",2020-04-22,"Afar",1,"NA"
"42","Ethiopia",2020-05-05,"Afar",2,"NA"
"43","Ethiopia",2020-05-06,"Afar",7,"NA"
"44","Ethiopia",2020-03-30,"Amhara",2,"NA"
"45","Ethiopia",2020-04-08,"Amhara",1,"NA"
"46","Ethiopia",2020-04-17,"Amhara",1,"NA"
"47","Ethiopia",2020-04-30,"Amhara",1,"NA"
"48","Ethiopia",2020-05-04,"Amhara",1,"NA"
"49","Ethiopia",2020-03-31,"Dire Dawa",1,"NA"
"50","Ethiopia",2020-04-03,"Dire Dawa",1,"NA"
"51","Ethiopia",2020-04-18,"Dire Dawa",3,"NA"
"52","Ethiopia",2020-04-20,"Dire Dawa",3,"NA"
"53","Ethiopia",2020-03-27,"Oromia",1,"NA"
"54","Ethiopia",2020-03-28,"Oromia",2,"NA"
"55","Ethiopia",2020-04-06,"Oromia",1,"NA"
"56","Ethiopia",2020-04-18,"Oromia",1,"NA"
"57","Ethiopia",2020-04-21,"Oromia",1,"NA"
"58","Ethiopia",2020-04-25,"Oromia",4,"NA"
"59","Ethiopia",2020-04-29,"Oromia",1,"NA"
"60","Ethiopia",2020-05-05,"Oromia",1,"NA"
"61","Ethiopia",2020-05-03,"SNNPR",1,"NA"
"62","Ethiopia",2020-04-26,"Somali",1,"NA"
"63","Ethiopia",2020-05-06,"Somali",6,"NA"
