"","state","date","site","dailycases","note"
"1","Ghana",2020-03-19,"Ashanti Region",2,"NA"
"2","Ghana",2020-03-20,"Ashanti Region",1,"NA"
"3","Ghana",2020-03-29,"Ashanti Region",1,"NA"
"4","Ghana",2020-03-12,"Greater Accra Region",2,"NA"
"5","Ghana",2020-03-13,"Greater Accra Region",2,"NA"
"6","Ghana",2020-03-14,"Greater Accra Region",2,"NA"
"7","Ghana",2020-03-17,"Greater Accra Region",1,"NA"
"8","Ghana",2020-03-18,"Greater Accra Region",2,"NA"
"9","Ghana",2020-03-19,"Greater Accra Region",5,"NA"
"10","Ghana",2020-03-20,"Greater Accra Region",2,"NA"
"11","Ghana",2020-03-29,"Northern Region",10,"NA"
"12","Ghana",2020-03-27,"Upper West Region",1,"NA"
