"","state","data","region","dailycases","note"
"1","Nigeria",2020-04-20,"Abia",2,"NA"
"2","Nigeria",2020-05-17,"Abia",3,"NA"
"3","Nigeria",2020-03-21,"Abuja",3,"NA"
"4","Nigeria",2020-03-22,"Abuja",1,"NA"
"5","Nigeria",2020-03-23,"Abuja",3,"NA"
"6","Nigeria",2020-03-24,"Abuja",1,"NA"
"7","Nigeria",2020-03-25,"Abuja",2,"NA"
"8","Nigeria",2020-03-26,"Abuja",4,"NA"
"9","Nigeria",2020-03-28,"Abuja",2,"NA"
"10","Nigeria",2020-03-29,"Abuja",5,"NA"
"11","Nigeria",2020-03-30,"Abuja",4,"NA"
"12","Nigeria",2020-03-31,"Abuja",3,"NA"
"13","Nigeria",2020-04-01,"Abuja",7,"NA"
"14","Nigeria",2020-04-02,"Abuja",3,"NA"
"15","Nigeria",2020-04-03,"Abuja",3,"NA"
"16","Nigeria",2020-04-04,"Abuja",2,"NA"
"17","Nigeria",2020-04-05,"Abuja",4,"NA"
"18","Nigeria",2020-04-06,"Abuja",1,"NA"
"19","Nigeria",2020-04-07,"Abuja",2,"NA"
"20","Nigeria",2020-04-08,"Abuja",4,"NA"
"21","Nigeria",2020-04-10,"Abuja",2,"NA"
"22","Nigeria",2020-04-14,"Abuja",2,"NA"
"23","Nigeria",2020-04-16,"Abuja",9,"NA"
"24","Nigeria",2020-04-17,"Abuja",2,"NA"
"25","Nigeria",2020-04-18,"Abuja",12,"NA"
"26","Nigeria",2020-04-19,"Abuja",7,"NA"
"27","Nigeria",2020-04-20,"Abuja",1,"NA"
"28","Nigeria",2020-04-21,"Abuja",29,"NA"
"29","Nigeria",2020-04-22,"Abuja",1,"NA"
"30","Nigeria",2020-04-23,"Abuja",14,"NA"
"31","Nigeria",2020-04-24,"Abuja",5,"NA"
"32","Nigeria",2020-04-26,"Abuja",3,"NA"
"33","Nigeria",2020-04-27,"Abuja",16,"NA"
"34","Nigeria",2020-04-28,"Abuja",1,"NA"
"35","Nigeria",2020-04-29,"Abuja",16,"NA"
"36","Nigeria",2020-04-30,"Abuja",4,"NA"
"37","Nigeria",2020-05-01,"Abuja",36,"NA"
"38","Nigeria",2020-05-02,"Abuja",52,"NA"
"39","Nigeria",2020-05-03,"Abuja",12,"NA"
"40","Nigeria",2020-05-04,"Abuja",19,"NA"
"41","Nigeria",2020-05-05,"Abuja",10,"NA"
"42","Nigeria",2020-05-06,"Abuja",9,"NA"
"43","Nigeria",2020-05-08,"Abuja",20,"NA"
"44","Nigeria",2020-05-09,"Abuja",7,"NA"
"45","Nigeria",2020-05-10,"Abuja",13,"NA"
"46","Nigeria",2020-05-11,"Abuja",3,"NA"
"47","Nigeria",2020-05-12,"Abuja",1,"NA"
"48","Nigeria",2020-05-13,"Abuja",10,"NA"
"49","Nigeria",2020-05-14,"Abuja",9,"NA"
"50","Nigeria",2020-05-15,"Abuja",7,"NA"
"51","Nigeria",2020-05-16,"Abuja",11,"NA"
"52","Nigeria",2020-05-17,"Abuja",21,"NA"
"53","Nigeria",2020-05-18,"Abuja",4,"NA"
"54","Nigeria",2020-05-19,"Abuja",5,"NA"
"55","Nigeria",2020-04-22,"Adamawa",1,"NA"
"56","Nigeria",2020-04-29,"Adamawa",1,"NA"
"57","Nigeria",2020-05-01,"Adamawa",2,"NA"
"58","Nigeria",2020-05-03,"Adamawa",2,"NA"
"59","Nigeria",2020-05-04,"Adamawa",6,"NA"
"60","Nigeria",2020-05-05,"Adamawa",2,"NA"
"61","Nigeria",2020-05-06,"Adamawa",1,"NA"
"62","Nigeria",2020-05-09,"Adamawa",2,"NA"
"63","Nigeria",2020-05-11,"Adamawa",4,"NA"
"64","Nigeria",2020-05-19,"Adamawa",5,"NA"
"65","Nigeria",2020-04-01,"Akwa Ibom",5,"NA"
"66","Nigeria",2020-04-14,"Akwa Ibom",1,"NA"
"67","Nigeria",2020-04-19,"Akwa Ibom",3,"NA"
"68","Nigeria",2020-04-23,"Akwa Ibom",2,"NA"
"69","Nigeria",2020-04-30,"Akwa Ibom",4,"NA"
"70","Nigeria",2020-05-07,"Akwa Ibom",1,"NA"
"71","Nigeria",2020-05-17,"Akwa Ibom",2,"NA"
"72","Nigeria",2020-04-10,"Anambra",1,"NA"
"73","Nigeria",2020-05-13,"Anambra",1,"NA"
"74","Nigeria",2020-05-16,"Anambra",3,"NA"
"75","Nigeria",2020-03-24,"Bauchi",1,"NA"
"76","Nigeria",2020-03-26,"Bauchi",1,"NA"
"77","Nigeria",2020-04-01,"Bauchi",1,"NA"
"78","Nigeria",2020-04-04,"Bauchi",3,"NA"
"79","Nigeria",2020-04-19,"Bauchi",1,"NA"
"80","Nigeria",2020-04-21,"Bauchi",1,"NA"
"81","Nigeria",2020-04-25,"Bauchi",3,"NA"
"82","Nigeria",2020-04-26,"Bauchi",3,"NA"
"83","Nigeria",2020-04-28,"Bauchi",15,"NA"
"84","Nigeria",2020-04-30,"Bauchi",9,"NA"
"85","Nigeria",2020-05-01,"Bauchi",10,"NA"
"86","Nigeria",2020-05-02,"Bauchi",5,"NA"
"87","Nigeria",2020-05-03,"Bauchi",18,"NA"
"88","Nigeria",2020-05-04,"Bauchi",9,"NA"
"89","Nigeria",2020-05-05,"Bauchi",3,"NA"
"90","Nigeria",2020-05-07,"Bauchi",19,"NA"
"91","Nigeria",2020-05-08,"Bauchi",15,"NA"
"92","Nigeria",2020-05-09,"Bauchi",44,"NA"
"93","Nigeria",2020-05-10,"Bauchi",20,"NA"
"94","Nigeria",2020-05-11,"Bauchi",1,"NA"
"95","Nigeria",2020-05-12,"Bauchi",8,"NA"
"96","Nigeria",2020-05-13,"Bauchi",16,"NA"
"97","Nigeria",2020-05-14,"Bauchi",1,"NA"
"98","Nigeria",2020-05-15,"Bauchi",3,"NA"
"99","Nigeria",2020-05-16,"Bauchi",2,"NA"
"100","Nigeria",2020-05-17,"Bauchi",3,"NA"
"101","Nigeria",2020-05-18,"Bauchi",7,"NA"
"102","Nigeria",2020-05-19,"Bauchi",2,"NA"
"103","Nigeria",2020-04-26,"Bayelsa",1,"NA"
"104","Nigeria",2020-04-30,"Bayelsa",4,"NA"
"105","Nigeria",2020-05-10,"Bayelsa",1,"NA"
"106","Nigeria",2020-05-19,"Bayelsa",1,"NA"
"107","Nigeria",2020-03-28,"Benue",1,"NA"
"108","Nigeria",2020-05-04,"Benue",1,"NA"
"109","Nigeria",2020-05-12,"Benue",2,"NA"
