"","state","date","site","dailycases","note"
"1","South Africa",2020-03-05,"EC",0,"NA"
"2","South Africa",2020-03-07,"EC",0,"NA"
"3","South Africa",2020-03-08,"EC",0,"NA"
"4","South Africa",2020-03-09,"EC",0,"NA"
"5","South Africa",2020-03-11,"EC",0,"NA"
"6","South Africa",2020-03-12,"EC",0,"NA"
"7","South Africa",2020-03-13,"EC",0,"NA"
"8","South Africa",2020-03-14,"EC",0,"NA"
"9","South Africa",2020-03-15,"EC",0,"NA"
"10","South Africa",2020-03-16,"EC",0,"NA"
"11","South Africa",2020-03-17,"EC",0,"NA"
"12","South Africa",2020-03-18,"EC",0,"NA"
"13","South Africa",2020-03-19,"EC",0,"NA"
"14","South Africa",2020-03-20,"EC",0,"NA"
"15","South Africa",2020-03-21,"EC",1,"NA"
"16","South Africa",2020-03-22,"EC",1,"NA"
"17","South Africa",2020-03-23,"EC",0,"NA"
"18","South Africa",2020-03-24,"EC",0,"NA"
"19","South Africa",2020-03-25,"EC",0,"NA"
"20","South Africa",2020-03-26,"EC",3,"NA"
"21","South Africa",2020-03-28,"EC",5,"NA"
"22","South Africa",2020-03-29,"EC",2,"NA"
"23","South Africa",2020-03-30,"EC",0,"NA"
"24","South Africa",2020-03-31,"EC",0,"NA"
"25","South Africa",2020-04-01,"EC",3,"NA"
"26","South Africa",2020-04-02,"EC",2,"NA"
"27","South Africa",2020-04-03,"EC",4,"NA"
"28","South Africa",2020-04-04,"EC",4,"NA"
"29","South Africa",2020-04-05,"EC",6,"NA"
"30","South Africa",2020-04-06,"EC",1,"NA"
"31","South Africa",2020-04-08,"EC",13,"NA"
"32","South Africa",2020-04-09,"EC",16,"NA"
"33","South Africa",2020-04-10,"EC",7,"NA"
"34","South Africa",2020-04-11,"EC",1,"NA"
"35","South Africa",2020-04-12,"EC",19,"NA"
"36","South Africa",2020-04-13,"EC",16,"NA"
"37","South Africa",2020-04-14,"EC",70,"NA"
"38","South Africa",2020-04-15,"EC",25,"NA"
"39","South Africa",2020-04-16,"EC",21,"NA"
"40","South Africa",2020-04-17,"EC",26,"NA"
"41","South Africa",2020-04-18,"EC",24,"NA"
"42","South Africa",2020-04-19,"EC",23,"NA"
"43","South Africa",2020-04-20,"EC",17,"NA"
"44","South Africa",2020-04-21,"EC",35,"NA"
"45","South Africa",2020-04-22,"EC",32,"NA"
"46","South Africa",2020-04-23,"EC",40,"NA"
"47","South Africa",2020-04-24,"EC",63,"NA"
"48","South Africa",2020-04-25,"EC",8,"NA"
"49","South Africa",2020-04-26,"EC",47,"NA"
"50","South Africa",2020-04-27,"EC",53,"NA"
