"","state","date","site","dailycases","note"
"1","China",20-02-01,"Anhui",297,"NA"
"2","China",20-02-02,"Anhui",43,"NA"
"3","China",20-02-03,"Anhui",68,"NA"
"4","China",20-02-04,"Anhui",72,"NA"
"5","China",20-02-05,"Anhui",50,"NA"
"6","China",20-02-06,"Anhui",61,"NA"
"7","China",20-02-07,"Anhui",74,"NA"
"8","China",20-02-08,"Anhui",68,"NA"
"9","China",20-02-09,"Anhui",46,"NA"
"10","China",20-02-10,"Anhui",51,"NA"
"11","China",20-02-11,"Anhui",30,"NA"
"12","China",20-02-12,"Anhui",29,"NA"
"13","China",20-02-13,"Anhui",21,"NA"
"14","China",20-02-14,"Anhui",24,"NA"
"15","China",20-02-15,"Anhui",16,"NA"
"16","China",20-02-16,"Anhui",12,"NA"
"17","China",20-02-17,"Anhui",11,"NA"
"18","China",20-02-18,"Anhui",9,"NA"
"19","China",20-02-19,"Anhui",4,"NA"
"20","China",20-02-20,"Anhui",1,"NA"
"21","China",20-02-21,"Anhui",1,"NA"
"22","China",20-02-22,"Anhui",1,"NA"
"23","China",20-02-23,"Anhui",0,"NA"
"24","China",20-02-24,"Anhui",0,"NA"
"25","China",20-02-25,"Anhui",0,"NA"
"26","China",20-02-26,"Anhui",0,"NA"
"27","China",20-02-27,"Anhui",0,"NA"
"28","China",20-02-28,"Anhui",1,"NA"
"29","China",20-02-29,"Anhui",0,"NA"
"30","China",20-03-01,"Anhui",0,"NA"
"31","China",20-03-02,"Anhui",0,"NA"
"32","China",20-03-03,"Anhui",0,"NA"
"33","China",20-03-04,"Anhui",0,"NA"
"34","China",20-03-05,"Anhui",0,"NA"
"35","China",20-03-06,"Anhui",0,"NA"
"36","China",20-03-07,"Anhui",0,"NA"
"37","China",20-03-08,"Anhui",0,"NA"
"38","China",20-03-09,"Anhui",0,"NA"
"39","China",20-03-10,"Anhui",0,"NA"
"40","China",20-03-11,"Anhui",0,"NA"
"41","China",20-03-12,"Anhui",0,"NA"
"42","China",20-03-13,"Anhui",0,"NA"
"43","China",20-03-14,"Anhui",0,"NA"
"44","China",20-03-15,"Anhui",0,"NA"
"45","China",20-01-21,"Beijing",5,"NA"
"46","China",20-01-22,"Beijing",0,"NA"
"47","China",20-01-23,"Beijing",5,"NA"
"48","China",20-01-24,"Beijing",0,"NA"
"49","China",20-02-01,"Beijing",146,"NA"
"50","China",20-02-02,"Beijing",27,"NA"
"51","China",20-02-03,"Beijing",29,"NA"
"52","China",20-02-04,"Beijing",16,"NA"
"53","China",20-02-05,"Beijing",25,"NA"
"54","China",20-02-06,"Beijing",21,"NA"
"55","China",20-02-07,"Beijing",23,"NA"
"56","China",20-02-08,"Beijing",18,"NA"
"57","China",20-02-09,"Beijing",11,"NA"
"58","China",20-02-10,"Beijing",11,"NA"
"59","China",20-02-11,"Beijing",5,"NA"
"60","China",20-02-12,"Beijing",10,"NA"
"61","China",20-02-13,"Beijing",14,"NA"
"62","China",20-02-14,"Beijing",6,"NA"
"63","China",20-02-15,"Beijing",3,"NA"
"64","China",20-02-16,"Beijing",5,"NA"
"65","China",20-02-17,"Beijing",1,"NA"
"66","China",20-02-18,"Beijing",6,"NA"
"67","China",20-02-19,"Beijing",6,"NA"
"68","China",20-02-20,"Beijing",2,"NA"
"69","China",20-02-21,"Beijing",1,"NA"
"70","China",20-02-22,"Beijing",3,"NA"
"71","China",20-02-23,"Beijing",0,"NA"
"72","China",20-02-24,"Beijing",0,"NA"
"73","China",20-02-25,"Beijing",1,"NA"
"74","China",20-02-26,"Beijing",0,"NA"
"75","China",20-02-27,"Beijing",10,"NA"
"76","China",20-02-28,"Beijing",0,"NA"
"77","China",20-02-29,"Beijing",1,"NA"
"78","China",20-03-01,"Beijing",2,"NA"
"79","China",20-03-02,"Beijing",1,"NA"
"80","China",20-03-03,"Beijing",0,"NA"
"81","China",20-03-04,"Beijing",3,"NA"
"82","China",20-03-05,"Beijing",1,"NA"
"83","China",20-03-06,"Beijing",4,"NA"
"84","China",20-03-07,"Beijing",4,"NA"
"85","China",20-03-08,"Beijing",2,"NA"
"86","China",20-03-09,"Beijing",0,"NA"
"87","China",20-03-10,"Beijing",1,"NA"
"88","China",20-03-11,"Beijing",6,"NA"
"89","China",20-03-12,"Beijing",0,"NA"
"90","China",20-03-13,"Beijing",1,"NA"
"91","China",20-03-14,"Beijing",1,"NA"
"92","China",20-03-15,"Beijing",5,"NA"
"93","China",20-01-22,"Chongqing",1,"NA"
"94","China",20-01-23,"Chongqing",4,"NA"
"95","China",20-01-24,"Chongqing",0,"NA"
"96","China",20-02-01,"Chongqing",233,"NA"
"97","China",20-02-02,"Chongqing",24,"NA"
"98","China",20-02-03,"Chongqing",38,"NA"
"99","China",20-02-04,"Chongqing",37,"NA"
"100","China",20-02-05,"Chongqing",29,"NA"
"101","China",20-02-06,"Chongqing",23,"NA"
"102","China",20-02-07,"Chongqing",22,"NA"
"103","China",20-02-08,"Chongqing",15,"NA"
"104","China",20-02-09,"Chongqing",20,"NA"
"105","China",20-02-10,"Chongqing",22,"NA"
"106","China",20-02-11,"Chongqing",18,"NA"
"107","China",20-02-12,"Chongqing",19,"NA"
"108","China",20-02-13,"Chongqing",13,"NA"
"109","China",20-02-14,"Chongqing",11,"NA"
"110","China",20-02-15,"Chongqing",8,"NA"
"111","China",20-02-16,"Chongqing",7,"NA"
"112","China",20-02-17,"Chongqing",7,"NA"
"113","China",20-02-18,"Chongqing",2,"NA"
"114","China",20-02-19,"Chongqing",2,"NA"
"115","China",20-02-20,"Chongqing",5,"NA"
"116","China",20-02-21,"Chongqing",7,"NA"
"117","China",20-02-22,"Chongqing",5,"NA"
"118","China",20-02-23,"Chongqing",1,"NA"
"119","China",20-02-24,"Chongqing",2,"NA"
"120","China",20-02-25,"Chongqing",1,"NA"
"121","China",20-02-26,"Chongqing",0,"NA"
"122","China",20-02-27,"Chongqing",0,"NA"
"123","China",20-02-28,"Chongqing",0,"NA"
"124","China",20-02-29,"Chongqing",0,"NA"
"125","China",20-03-01,"Chongqing",0,"NA"
"126","China",20-03-02,"Chongqing",0,"NA"
"127","China",20-03-03,"Chongqing",0,"NA"
"128","China",20-03-04,"Chongqing",0,"NA"
"129","China",20-03-05,"Chongqing",0,"NA"
"130","China",20-03-06,"Chongqing",0,"NA"
"131","China",20-03-07,"Chongqing",0,"NA"
"132","China",20-03-08,"Chongqing",0,"NA"
"133","China",20-03-09,"Chongqing",0,"NA"
"134","China",20-03-10,"Chongqing",0,"NA"
"135","China",20-03-11,"Chongqing",0,"NA"
"136","China",20-03-12,"Chongqing",0,"NA"
"137","China",20-03-13,"Chongqing",0,"NA"
"138","China",20-03-14,"Chongqing",0,"NA"
"139","China",20-03-15,"Chongqing",0,"NA"
"140","China",20-02-01,"Fujian",144,"NA"
"141","China",20-02-02,"Fujian",15,"NA"
"142","China",20-02-03,"Fujian",20,"NA"
"143","China",20-02-04,"Fujian",15,"NA"
"144","China",20-02-05,"Fujian",11,"NA"
"145","China",20-02-06,"Fujian",10,"NA"
"146","China",20-02-07,"Fujian",9,"NA"
"147","China",20-02-08,"Fujian",15,"NA"
"148","China",20-02-09,"Fujian",11,"NA"
"149","China",20-02-10,"Fujian",11,"NA"
"150","China",20-02-11,"Fujian",6,"NA"
"151","China",20-02-12,"Fujian",5,"NA"
"152","China",20-02-13,"Fujian",7,"NA"
"153","China",20-02-14,"Fujian",2,"NA"
"154","China",20-02-15,"Fujian",4,"NA"
"155","China",20-02-16,"Fujian",2,"NA"
"156","China",20-02-17,"Fujian",3,"NA"
"157","China",20-02-18,"Fujian",2,"NA"
"158","China",20-02-19,"Fujian",1,"NA"
"159","China",20-02-20,"Fujian",0,"NA"
"160","China",20-02-21,"Fujian",0,"NA"
"161","China",20-02-22,"Fujian",0,"NA"
"162","China",20-02-23,"Fujian",0,"NA"
"163","China",20-02-24,"Fujian",0,"NA"
"164","China",20-02-25,"Fujian",1,"NA"
"165","China",20-02-26,"Fujian",0,"NA"
"166","China",20-02-27,"Fujian",2,"NA"
"167","China",20-02-28,"Fujian",0,"NA"
"168","China",20-02-29,"Fujian",0,"NA"
"169","China",20-03-01,"Fujian",0,"NA"
"170","China",20-03-02,"Fujian",0,"NA"
"171","China",20-03-03,"Fujian",0,"NA"
"172","China",20-03-04,"Fujian",0,"NA"
"173","China",20-03-05,"Fujian",0,"NA"
"174","China",20-03-06,"Fujian",0,"NA"
"175","China",20-03-07,"Fujian",0,"NA"
"176","China",20-03-08,"Fujian",0,"NA"
"177","China",20-03-09,"Fujian",0,"NA"
"178","China",20-03-10,"Fujian",0,"NA"
"179","China",20-03-11,"Fujian",0,"NA"
"180","China",20-03-12,"Fujian",0,"NA"
"181","China",20-03-13,"Fujian",0,"NA"
"182","China",20-03-14,"Fujian",0,"NA"
"183","China",20-03-15,"Fujian",0,"NA"
"184","China",20-02-01,"Gansu",35,"NA"
"185","China",20-02-02,"Gansu",10,"NA"
"186","China",20-02-03,"Gansu",6,"NA"
"187","China",20-02-04,"Gansu",5,"NA"
"188","China",20-02-05,"Gansu",1,"NA"
"189","China",20-02-06,"Gansu",5,"NA"
"190","China",20-02-07,"Gansu",8,"NA"
"191","China",20-02-08,"Gansu",1,"NA"
"192","China",20-02-09,"Gansu",10,"NA"
"193","China",20-02-10,"Gansu",4,"NA"
"194","China",20-02-11,"Gansu",1,"NA"
"195","China",20-02-12,"Gansu",0,"NA"
"196","China",20-02-13,"Gansu",1,"NA"
"197","China",20-02-14,"Gansu",3,"NA"
"198","China",20-02-15,"Gansu",0,"NA"
"199","China",20-02-16,"Gansu",0,"NA"
"200","China",20-02-17,"Gansu",1,"NA"
"201","China",20-02-18,"Gansu",0,"NA"
"202","China",20-02-19,"Gansu",0,"NA"
"203","China",20-02-20,"Gansu",0,"NA"
"204","China",20-02-21,"Gansu",0,"NA"
"205","China",20-02-22,"Gansu",0,"NA"
"206","China",20-02-23,"Gansu",0,"NA"
"207","China",20-02-24,"Gansu",0,"NA"
"208","China",20-02-25,"Gansu",0,"NA"
"209","China",20-02-26,"Gansu",0,"NA"
"210","China",20-02-27,"Gansu",0,"NA"
"211","China",20-02-28,"Gansu",0,"NA"
"212","China",20-02-29,"Gansu",0,"NA"
"213","China",20-03-01,"Gansu",0,"NA"
"214","China",20-03-02,"Gansu",0,"NA"
"215","China",20-03-03,"Gansu",0,"NA"
"216","China",20-03-04,"Gansu",0,"NA"
"217","China",20-03-05,"Gansu",0,"NA"
"218","China",20-03-06,"Gansu",11,"NA"
"219","China",20-03-07,"Gansu",17,"NA"
"220","China",20-03-08,"Gansu",1,"NA"
"221","China",20-03-09,"Gansu",4,"NA"
"222","China",20-03-10,"Gansu",0,"NA"
"223","China",20-03-11,"Gansu",1,"NA"
"224","China",20-03-12,"Gansu",2,"NA"
"225","China",20-03-13,"Gansu",0,"NA"
"226","China",20-03-14,"Gansu",2,"NA"
"227","China",20-03-15,"Gansu",3,"NA"
"228","China",20-01-21,"Guangdong",14,"NA"
"229","China",20-01-22,"Guangdong",3,"NA"
"230","China",20-01-23,"Guangdong",9,"NA"
"231","China",20-01-24,"Guangdong",6,"NA"
"232","China",20-02-01,"Guangdong",488,"NA"
"233","China",20-02-02,"Guangdong",84,"NA"
"234","China",20-02-03,"Guangdong",79,"NA"
"235","China",20-02-04,"Guangdong",114,"NA"
"236","China",20-02-05,"Guangdong",73,"NA"
"237","China",20-02-06,"Guangdong",74,"NA"
"238","China",20-02-07,"Guangdong",74,"NA"
"239","China",20-02-08,"Guangdong",57,"NA"
"240","China",20-02-09,"Guangdong",45,"NA"
"241","China",20-02-10,"Guangdong",31,"NA"
"242","China",20-02-11,"Guangdong",26,"NA"
"243","China",20-02-12,"Guangdong",42,"NA"
"244","China",20-02-13,"Guangdong",22,"NA"
"245","China",20-02-14,"Guangdong",20,"NA"
"246","China",20-02-15,"Guangdong",34,"NA"
"247","China",20-02-16,"Guangdong",21,"NA"
"248","China",20-02-17,"Guangdong",6,"NA"
"249","China",20-02-18,"Guangdong",6,"NA"
"250","China",20-02-19,"Guangdong",3,"NA"
"251","China",20-02-20,"Guangdong",1,"NA"
"252","China",20-02-21,"Guangdong",1,"NA"
"253","China",20-02-22,"Guangdong",6,"NA"
"254","China",20-02-23,"Guangdong",3,"NA"
"255","China",20-02-24,"Guangdong",3,"NA"
"256","China",20-02-25,"Guangdong",2,"NA"
"257","China",20-02-26,"Guangdong",0,"NA"
"258","China",20-02-27,"Guangdong",0,"NA"
"259","China",20-02-28,"Guangdong",1,"NA"
"260","China",20-02-29,"Guangdong",1,"NA"
"261","China",20-03-01,"Guangdong",0,"NA"
"262","China",20-03-02,"Guangdong",1,"NA"
"263","China",20-03-03,"Guangdong",0,"NA"
"264","China",20-03-04,"Guangdong",0,"NA"
"265","China",20-03-05,"Guangdong",0,"NA"
"266","China",20-03-06,"Guangdong",1,"NA"
"267","China",20-03-07,"Guangdong",1,"NA"
"268","China",20-03-08,"Guangdong",0,"NA"
"269","China",20-03-09,"Guangdong",0,"NA"
"270","China",20-03-10,"Guangdong",1,"NA"
"271","China",20-03-11,"Guangdong",0,"NA"
"272","China",20-03-12,"Guangdong",3,"NA"
"273","China",20-03-13,"Guangdong",0,"NA"
"274","China",20-03-14,"Guangdong",0,"NA"
"275","China",20-03-15,"Guangdong",1,"NA"
"276","China",20-02-01,"Guangxi",100,"NA"
"277","China",20-02-02,"Guangxi",11,"NA"
"278","China",20-02-03,"Guangxi",16,"NA"
"279","China",20-02-04,"Guangxi",12,"NA"
"280","China",20-02-05,"Guangxi",11,"NA"
"281","China",20-02-06,"Guangxi",18,"NA"
"282","China",20-02-07,"Guangxi",4,"NA"
"283","China",20-02-08,"Guangxi",11,"NA"
"284","China",20-02-09,"Guangxi",12,"NA"
"285","China",20-02-10,"Guangxi",15,"NA"
"286","China",20-02-11,"Guangxi",5,"NA"
"287","China",20-02-12,"Guangxi",7,"NA"
"288","China",20-02-13,"Guangxi",0,"NA"
"289","China",20-02-14,"Guangxi",4,"NA"
"290","China",20-02-15,"Guangxi",9,"NA"
"291","China",20-02-16,"Guangxi",2,"NA"
"292","China",20-02-17,"Guangxi",1,"NA"
"293","China",20-02-18,"Guangxi",4,"NA"
"294","China",20-02-19,"Guangxi",2,"NA"
"295","China",20-02-20,"Guangxi",1,"NA"
"296","China",20-02-21,"Guangxi",1,"NA"
"297","China",20-02-22,"Guangxi",3,"NA"
"298","China",20-02-23,"Guangxi",0,"NA"
"299","China",20-02-24,"Guangxi",2,"NA"
"300","China",20-02-25,"Guangxi",1,"NA"
"301","China",20-02-26,"Guangxi",0,"NA"
"302","China",20-02-27,"Guangxi",0,"NA"
"303","China",20-02-28,"Guangxi",0,"NA"
"304","China",20-02-29,"Guangxi",0,"NA"
"305","China",20-03-01,"Guangxi",0,"NA"
