"","state","date","site","dailycases","note"
"1","Indonesia",2020-03-18,"Aceh",0,"NA"
"2","Indonesia",2020-03-19,"Aceh",0,"NA"
"3","Indonesia",2020-03-20,"Aceh",0,"NA"
"4","Indonesia",2020-03-21,"Aceh",0,"NA"
"5","Indonesia",2020-03-22,"Aceh",0,"NA"
"6","Indonesia",2020-03-23,"Aceh",0,"NA"
"7","Indonesia",2020-03-24,"Aceh",0,"NA"
"8","Indonesia",2020-03-25,"Aceh",0,"NA"
"9","Indonesia",2020-03-26,"Aceh",1,"NA"
"10","Indonesia",2020-03-27,"Aceh",3,"NA"
"11","Indonesia",2020-03-28,"Aceh",0,"NA"
"12","Indonesia",2020-03-29,"Aceh",1,"NA"
"13","Indonesia",2020-03-30,"Aceh",0,"NA"
"14","Indonesia",2020-03-31,"Aceh",0,"NA"
"15","Indonesia",2020-04-01,"Aceh",0,"NA"
"16","Indonesia",2020-04-02,"Aceh",0,"NA"
"17","Indonesia",2020-04-03,"Aceh",0,"NA"
"18","Indonesia",2020-04-04,"Aceh",0,"NA"
"19","Indonesia",2020-04-05,"Aceh",0,"NA"
"20","Indonesia",2020-04-06,"Aceh",0,"NA"
"21","Indonesia",2020-04-07,"Aceh",0,"NA"
"22","Indonesia",2020-04-08,"Aceh",1,"NA"
"23","Indonesia",2020-04-09,"Aceh",0,"NA"
"24","Indonesia",2020-04-10,"Aceh",-1,"NA"
"25","Indonesia",2020-04-11,"Aceh",0,"NA"
"26","Indonesia",2020-04-12,"Aceh",0,"NA"
"27","Indonesia",2020-04-13,"Aceh",0,"NA"
"28","Indonesia",2020-04-14,"Aceh",0,"NA"
"29","Indonesia",2020-04-15,"Aceh",0,"NA"
"30","Indonesia",2020-04-16,"Aceh",0,"NA"
"31","Indonesia",2020-04-17,"Aceh",0,"NA"
"32","Indonesia",2020-04-18,"Aceh",1,"NA"
"33","Indonesia",2020-04-19,"Aceh",1,"NA"
"34","Indonesia",2020-04-20,"Aceh",0,"NA"
"35","Indonesia",2020-04-21,"Aceh",0,"NA"
"36","Indonesia",2020-04-22,"Aceh",0,"NA"
"37","Indonesia",2020-04-23,"Aceh",0,"NA"
"38","Indonesia",2020-04-24,"Aceh",1,"NA"
"39","Indonesia",2020-04-25,"Aceh",1,"NA"
"40","Indonesia",2020-04-26,"Aceh",0,"NA"
"41","Indonesia",2020-04-27,"Aceh",0,"NA"
"42","Indonesia",2020-04-28,"Aceh",0,"NA"
"43","Indonesia",2020-04-29,"Aceh",0,"NA"
"44","Indonesia",2020-04-30,"Aceh",1,"NA"
"45","Indonesia",2020-05-01,"Aceh",1,"NA"
"46","Indonesia",2020-05-02,"Aceh",0,"NA"
"47","Indonesia",2020-05-03,"Aceh",1,"NA"
"48","Indonesia",2020-05-04,"Aceh",0,"NA"
"49","Indonesia",2020-05-05,"Aceh",0,"NA"
"50","Indonesia",2020-05-06,"Aceh",5,"NA"
"51","Indonesia",2020-05-07,"Aceh",0,"NA"
"52","Indonesia",2020-05-08,"Aceh",0,"NA"
"53","Indonesia",2020-05-09,"Aceh",0,"NA"
"54","Indonesia",2020-05-10,"Aceh",0,"NA"
"55","Indonesia",2020-05-11,"Aceh",0,"NA"
"56","Indonesia",2020-05-12,"Aceh",0,"NA"
"57","Indonesia",2020-05-13,"Aceh",0,"NA"
"58","Indonesia",2020-05-14,"Aceh",0,"NA"
"59","Indonesia",2020-05-15,"Aceh",0,"NA"
"60","Indonesia",2020-05-16,"Aceh",1,"NA"
"61","Indonesia",2020-05-17,"Aceh",0,"NA"
"62","Indonesia",2020-05-18,"Aceh",0,"NA"
"63","Indonesia",2020-05-19,"Aceh",0,"NA"
"64","Indonesia",2020-05-20,"Aceh",0,"NA"
"65","Indonesia",2020-05-21,"Aceh",0,"NA"
"66","Indonesia",2020-05-22,"Aceh",1,"NA"
"67","Indonesia",2020-05-23,"Aceh",0,"NA"
"68","Indonesia",2020-05-24,"Aceh",0,"NA"
"69","Indonesia",2020-05-25,"Aceh",0,"NA"
"70","Indonesia",2020-05-26,"Aceh",0,"NA"
"71","Indonesia",2020-05-27,"Aceh",0,"NA"
"72","Indonesia",2020-05-28,"Aceh",1,"NA"
"73","Indonesia",2020-05-29,"Aceh",0,"NA"
"74","Indonesia",2020-05-30,"Aceh",0,"NA"
"75","Indonesia",2020-05-31,"Aceh",0,"NA"
"76","Indonesia",2020-06-01,"Aceh",0,"NA"
"77","Indonesia",2020-06-02,"Aceh",0,"NA"
"78","Indonesia",2020-06-03,"Aceh",0,"NA"
"79","Indonesia",2020-06-04,"Aceh",0,"NA"
"80","Indonesia",2020-06-05,"Aceh",0,"NA"
"81","Indonesia",2020-06-06,"Aceh",0,"NA"
"82","Indonesia",2020-06-07,"Aceh",0,"NA"
"83","Indonesia",2020-06-08,"Aceh",0,"NA"
"84","Indonesia",2020-06-09,"Aceh",0,"NA"
"85","Indonesia",2020-06-10,"Aceh",2,"NA"
"86","Indonesia",2020-06-11,"Aceh",0,"NA"
"87","Indonesia",2020-06-12,"Aceh",0,"NA"
"88","Indonesia",2020-06-13,"Aceh",0,"NA"
"89","Indonesia",2020-06-14,"Aceh",5,"NA"
"90","Indonesia",2020-06-15,"Aceh",0,"NA"
"91","Indonesia",2020-06-16,"Aceh",0,"NA"
"92","Indonesia",2020-06-17,"Aceh",10,"NA"
"93","Indonesia",2020-06-18,"Aceh",1,"NA"
"94","Indonesia",2020-06-19,"Aceh",0,"NA"
"95","Indonesia",2020-06-20,"Aceh",1,"NA"
"96","Indonesia",2020-06-21,"Aceh",10,"NA"
"97","Indonesia",2020-06-22,"Aceh",0,"NA"
"98","Indonesia",2020-06-23,"Aceh",0,"NA"
"99","Indonesia",2020-06-24,"Aceh",4,"NA"
"100","Indonesia",2020-06-25,"Aceh",13,"NA"
"101","Indonesia",2020-06-26,"Aceh",3,"NA"
"102","Indonesia",2020-06-27,"Aceh",8,"NA"
"103","Indonesia",2020-06-28,"Aceh",2,"NA"
"104","Indonesia",2020-06-29,"Aceh",0,"NA"
"105","Indonesia",2020-06-30,"Aceh",1,"NA"
"106","Indonesia",2020-07-01,"Aceh",6,"NA"
