"","state","date","site","dailycases","note"
"1","Korea",2020-02-22,"Busan",2,"NA"
"2","Korea",2020-02-22,"Busan",1,"NA"
"3","Korea",2020-02-23,"Busan",2,"NA"
"4","Korea",2020-02-23,"Busan",6,"NA"
"5","Korea",2020-02-24,"Busan",2,"NA"
"6","Korea",2020-02-24,"Busan",13,"NA"
"7","Korea",2020-02-25,"Busan",3,"NA"
"8","Korea",2020-02-25,"Busan",5,"NA"
"9","Korea",2020-02-26,"Busan",8,"NA"
"10","Korea",2020-02-26,"Busan",8,"NA"
"11","Korea",2020-02-27,"Busan",3,"NA"
"12","Korea",2020-02-28,"Busan",2,"NA"
"13","Korea",2020-02-28,"Busan",2,"NA"
"14","Korea",2020-02-29,"Busan",12,"NA"
"15","Korea",2020-02-29,"Busan",3,"NA"
"16","Korea",2020-03-01,"Busan",1,"NA"
"17","Korea",2020-03-01,"Busan",2,"NA"
"18","Korea",2020-03-02,"Busan",5,"NA"
"19","Korea",2020-03-03,"Busan",2,"NA"
"20","Korea",2020-03-04,"Busan",3,"NA"
"21","Korea",2020-03-05,"Busan",-1,"NA"
"22","Korea",2020-03-06,"Busan",3,"NA"
"23","Korea",2020-03-07,"Busan",1,"NA"
"24","Korea",2020-03-08,"Busan",1,"NA"
"25","Korea",2020-03-09,"Busan",-1,"NA"
"26","Korea",2020-03-11,"Busan",2,"NA"
"27","Korea",2020-03-12,"Busan",1,"NA"
"28","Korea",2020-03-13,"Busan",1,"NA"
"29","Korea",2020-03-14,"Busan",3,"NA"
"30","Korea",2020-03-15,"Busan",3,"NA"
"31","Korea",2020-03-16,"Busan",1,"NA"
"32","Korea",2020-03-20,"Busan",1,"NA"
"33","Korea",2020-03-23,"Busan",1,"NA"
"34","Korea",2020-03-24,"Busan",2,"NA"
"35","Korea",2020-03-25,"Busan",1,"NA"
"36","Korea",2020-03-27,"Busan",1,"NA"
"37","Korea",2020-03-28,"Busan",1,"NA"
"38","Korea",2020-03-29,"Busan",3,"NA"
"39","Korea",2020-03-30,"Busan",1,"NA"
"40","Korea",2020-03-31,"Busan",1,"NA"
"41","Korea",2020-04-01,"Busan",3,"NA"
"42","Korea",2020-04-07,"Busan",10,"NA"
"43","Korea",2020-04-08,"Busan",6,"NA"
"44","Korea",2020-04-09,"Busan",10,"NA"
"45","Korea",2020-04-10,"Busan",9,"NA"
"46","Korea",2020-04-11,"Busan",9,"NA"
"47","Korea",2020-04-12,"Busan",4,"NA"
"48","Korea",2020-04-13,"Busan",3,"NA"
"49","Korea",2020-04-14,"Busan",8,"NA"
"50","Korea",2020-04-15,"Busan",6,"NA"
"51","Korea",2020-04-16,"Busan",4,"NA"
"52","Korea",2020-04-17,"Busan",1,"NA"
"53","Korea",2020-04-18,"Busan",4,"NA"
"54","Korea",2020-04-20,"Busan",2,"NA"
"55","Korea",2020-04-21,"Busan",2,"NA"
"56","Korea",2020-04-23,"Busan",1,"NA"
"57","Korea",2020-04-24,"Busan",1,"NA"
"58","Korea",2020-04-25,"Busan",2,"NA"
"59","Korea",2020-04-26,"Busan",6,"NA"
"60","Korea",2020-04-27,"Busan",3,"NA"
"61","Korea",2020-04-28,"Busan",3,"NA"
"62","Korea",2020-04-29,"Busan",2,"NA"
"63","Korea",2020-05-01,"Busan",2,"NA"
"64","Korea",2020-05-03,"Busan",2,"NA"
"65","Korea",2020-05-04,"Busan",1,"NA"
"66","Korea",2020-05-07,"Busan",1,"NA"
"67","Korea",2020-05-08,"Busan",2,"NA"
"68","Korea",2020-05-09,"Busan",4,"NA"
"69","Korea",2020-05-10,"Busan",6,"NA"
"70","Korea",2020-05-11,"Busan",4,"NA"
"71","Korea",2020-05-12,"Busan",8,"NA"
"72","Korea",2020-05-13,"Busan",2,"NA"
"73","Korea",2020-05-14,"Busan",6,"NA"
"74","Korea",2020-05-15,"Busan",3,"NA"
"75","Korea",2020-05-16,"Busan",4,"NA"
"76","Korea",2020-02-21,"Chungcheongbuk-do",1,"NA"
"77","Korea",2020-02-22,"Chungcheongbuk-do",2,"NA"
"78","Korea",2020-02-25,"Chungcheongbuk-do",2,"NA"
"79","Korea",2020-02-27,"Chungcheongbuk-do",2,"NA"
"80","Korea",2020-02-27,"Chungcheongbuk-do",1,"NA"
"81","Korea",2020-02-28,"Chungcheongbuk-do",1,"NA"
"82","Korea",2020-02-29,"Chungcheongbuk-do",1,"NA"
"83","Korea",2020-03-01,"Chungcheongbuk-do",1,"NA"
"84","Korea",2020-03-05,"Chungcheongbuk-do",1,"NA"
"85","Korea",2020-03-06,"Chungcheongbuk-do",3,"NA"
"86","Korea",2020-03-07,"Chungcheongbuk-do",5,"NA"
"87","Korea",2020-03-08,"Chungcheongbuk-do",4,"NA"
"88","Korea",2020-03-09,"Chungcheongbuk-do",1,"NA"
"89","Korea",2020-03-11,"Chungcheongbuk-do",2,"NA"
"90","Korea",2020-03-14,"Chungcheongbuk-do",1,"NA"
"91","Korea",2020-03-15,"Chungcheongbuk-do",3,"NA"
"92","Korea",2020-03-18,"Chungcheongbuk-do",1,"NA"
"93","Korea",2020-03-19,"Chungcheongbuk-do",1,"NA"
"94","Korea",2020-03-21,"Chungcheongbuk-do",1,"NA"
"95","Korea",2020-03-22,"Chungcheongbuk-do",1,"NA"
"96","Korea",2020-03-23,"Chungcheongbuk-do",2,"NA"
"97","Korea",2020-03-24,"Chungcheongbuk-do",1,"NA"
"98","Korea",2020-03-26,"Chungcheongbuk-do",1,"NA"
"99","Korea",2020-03-27,"Chungcheongbuk-do",2,"NA"
"100","Korea",2020-03-30,"Chungcheongbuk-do",3,"NA"
"101","Korea",2020-04-03,"Chungcheongbuk-do",1,"NA"
"102","Korea",2020-04-08,"Chungcheongbuk-do",1,"NA"
"103","Korea",2020-04-26,"Chungcheongbuk-do",1,"NA"
"104","Korea",2020-05-08,"Chungcheongbuk-do",1,"NA"
"105","Korea",2020-05-13,"Chungcheongbuk-do",1,"NA"
"106","Korea",2020-02-21,"Chungcheongnam-do",1,"NA"
"107","Korea",2020-02-25,"Chungcheongnam-do",1,"NA"
"108","Korea",2020-02-26,"Chungcheongnam-do",1,"NA"
"109","Korea",2020-02-27,"Chungcheongnam-do",4,"NA"
"110","Korea",2020-02-27,"Chungcheongnam-do",5,"NA"
"111","Korea",2020-02-28,"Chungcheongnam-do",4,"NA"
"112","Korea",2020-02-28,"Chungcheongnam-do",19,"NA"
"113","Korea",2020-02-29,"Chungcheongnam-do",13,"NA"
"114","Korea",2020-02-29,"Chungcheongnam-do",7,"NA"
"115","Korea",2020-03-01,"Chungcheongnam-do",5,"NA"
"116","Korea",2020-03-01,"Chungcheongnam-do",8,"NA"
"117","Korea",2020-03-02,"Chungcheongnam-do",10,"NA"
"118","Korea",2020-03-03,"Chungcheongnam-do",3,"NA"
"119","Korea",2020-03-04,"Chungcheongnam-do",1,"NA"
"120","Korea",2020-03-05,"Chungcheongnam-do",4,"NA"
"121","Korea",2020-03-06,"Chungcheongnam-do",4,"NA"
"122","Korea",2020-03-07,"Chungcheongnam-do",2,"NA"
"123","Korea",2020-03-08,"Chungcheongnam-do",6,"NA"
"124","Korea",2020-03-09,"Chungcheongnam-do",4,"NA"
"125","Korea",2020-03-10,"Chungcheongnam-do",2,"NA"
"126","Korea",2020-03-11,"Chungcheongnam-do",8,"NA"
"127","Korea",2020-03-12,"Chungcheongnam-do",2,"NA"
"128","Korea",2020-03-13,"Chungcheongnam-do",1,"NA"
"129","Korea",2020-03-18,"Chungcheongnam-do",3,"NA"
"130","Korea",2020-03-20,"Chungcheongnam-do",1,"NA"
"131","Korea",2020-03-22,"Chungcheongnam-do",1,"NA"
"132","Korea",2020-03-25,"Chungcheongnam-do",3,"NA"
"133","Korea",2020-03-26,"Chungcheongnam-do",1,"NA"
"134","Korea",2020-03-28,"Chungcheongnam-do",2,"NA"
"135","Korea",2020-03-29,"Chungcheongnam-do",1,"NA"
"136","Korea",2020-03-31,"Chungcheongnam-do",1,"NA"
"137","Korea",2020-04-01,"Chungcheongnam-do",3,"NA"
"138","Korea",2020-04-02,"Chungcheongnam-do",2,"NA"
"139","Korea",2020-04-03,"Chungcheongnam-do",1,"NA"
"140","Korea",2020-04-04,"Chungcheongnam-do",1,"NA"
"141","Korea",2020-04-06,"Chungcheongnam-do",1,"NA"
"142","Korea",2020-05-04,"Chungcheongnam-do",1,"NA"
"143","Korea",2020-05-14,"Chungcheongnam-do",1,"NA"
"144","Korea",2020-05-15,"Chungcheongnam-do",1,"NA"
"145","Korea",2020-02-18,"Daegu",1,"NA"
"146","Korea",2020-02-19,"Daegu",10,"NA"
"147","Korea",2020-02-19,"Daegu",5,"NA"
"148","Korea",2020-02-20,"Daegu",23,"NA"
"149","Korea",2020-02-20,"Daegu",7,"NA"
"150","Korea",2020-02-21,"Daegu",38,"NA"
"151","Korea",2020-02-21,"Daegu",42,"NA"
"152","Korea",2020-02-22,"Daegu",28,"NA"
"153","Korea",2020-02-22,"Daegu",55,"NA"
"154","Korea",2020-02-23,"Daegu",93,"NA"
"155","Korea",2020-02-23,"Daegu",24,"NA"
"156","Korea",2020-02-24,"Daegu",131,"NA"
"157","Korea",2020-02-24,"Daegu",42,"NA"
"158","Korea",2020-02-25,"Daegu",16,"NA"
"159","Korea",2020-02-25,"Daegu",44,"NA"
"160","Korea",2020-02-26,"Daegu",134,"NA"
"161","Korea",2020-02-26,"Daegu",33,"NA"
"162","Korea",2020-02-27,"Daegu",307,"NA"
"163","Korea",2020-02-27,"Daegu",115,"NA"
"164","Korea",2020-02-28,"Daegu",182,"NA"
"165","Korea",2020-02-28,"Daegu",265,"NA"
"166","Korea",2020-02-29,"Daegu",476,"NA"
"167","Korea",2020-02-29,"Daegu",181,"NA"
"168","Korea",2020-03-01,"Daegu",333,"NA"
"169","Korea",2020-03-01,"Daegu",136,"NA"
"170","Korea",2020-03-02,"Daegu",377,"NA"
"171","Korea",2020-03-03,"Daegu",520,"NA"
"172","Korea",2020-03-04,"Daegu",405,"NA"
"173","Korea",2020-03-05,"Daegu",321,"NA"
"174","Korea",2020-03-06,"Daegu",367,"NA"
"175","Korea",2020-03-07,"Daegu",390,"NA"
"176","Korea",2020-03-08,"Daegu",297,"NA"
"177","Korea",2020-03-09,"Daegu",190,"NA"
"178","Korea",2020-03-10,"Daegu",92,"NA"
"179","Korea",2020-03-11,"Daegu",131,"NA"
"180","Korea",2020-03-12,"Daegu",73,"NA"
"181","Korea",2020-03-13,"Daegu",61,"NA"
"182","Korea",2020-03-14,"Daegu",62,"NA"
"183","Korea",2020-03-15,"Daegu",41,"NA"
"184","Korea",2020-03-16,"Daegu",35,"NA"
"185","Korea",2020-03-17,"Daegu",32,"NA"
"186","Korea",2020-03-18,"Daegu",46,"NA"
"187","Korea",2020-03-19,"Daegu",97,"NA"
"188","Korea",2020-03-20,"Daegu",34,"NA"
"189","Korea",2020-03-21,"Daegu",69,"NA"
"190","Korea",2020-03-22,"Daegu",43,"NA"
"191","Korea",2020-03-23,"Daegu",24,"NA"
"192","Korea",2020-03-24,"Daegu",31,"NA"
"193","Korea",2020-03-25,"Daegu",14,"NA"
"194","Korea",2020-03-26,"Daegu",26,"NA"
"195","Korea",2020-03-27,"Daegu",34,"NA"
"196","Korea",2020-03-28,"Daegu",71,"NA"
"197","Korea",2020-03-29,"Daegu",23,"NA"
"198","Korea",2020-03-30,"Daegu",14,"NA"
"199","Korea",2020-03-31,"Daegu",60,"NA"
"200","Korea",2020-04-01,"Daegu",20,"NA"
