"","state","date","site","dailycases","note"
"1","Thai",1-04-20,"กทม",59,"NA"
"2","Thai",1-05-20,"กทม",1,"NA"
"3","Thai",1-08-20,"กทม",1,"NA"
"4","Thai",1-09-20,"กทม",5,"NA"
"5","Thai",2-03-20,"กทม",1,"NA"
"6","Thai",2-04-20,"กทม",36,"NA"
"7","Thai",2-05-20,"กทม",3,"NA"
"8","Thai",2-08-20,"กทม",1,"NA"
"9","Thai",3-04-20,"กทม",52,"NA"
"10","Thai",3-05-20,"กทม",2,"NA"
"11","Thai",3-08-20,"กทม",1,"NA"
"12","Thai",3-09-20,"กทม",1,"NA"
"13","Thai",4-02-20,"กทม",3,"NA"
"14","Thai",4-04-20,"กทม",32,"NA"
"15","Thai",4-06-20,"กทม",6,"NA"
"16","Thai",4-07-20,"กทม",1,"NA"
"17","Thai",4-08-20,"กทม",1,"NA"
"18","Thai",4-09-20,"กทม",4,"NA"
"19","Thai",5-04-20,"กทม",34,"NA"
"20","Thai",5-06-20,"กทม",1,"NA"
"21","Thai",5-07-20,"กทม",5,"NA"
"22","Thai",5-08-20,"กทม",1,"NA"
"23","Thai",5-09-20,"กทม",7,"NA"
"24","Thai",6-03-20,"กทม",1,"NA"
"25","Thai",6-04-20,"กทม",27,"NA"
"26","Thai",6-06-20,"กทม",1,"NA"
"27","Thai",6-07-20,"กทม",5,"NA"
"28","Thai",6-09-20,"กทม",3,"NA"
"29","Thai",7-03-20,"กทม",2,"NA"
"30","Thai",7-04-20,"กทม",26,"NA"
"31","Thai",7-05-20,"กทม",2,"NA"
"32","Thai",7-06-20,"กทม",5,"NA"
"33","Thai",7-09-20,"กทม",1,"NA"
"34","Thai",8-02-20,"กทม",3,"NA"
"35","Thai",8-04-20,"กทม",23,"NA"
"36","Thai",8-06-20,"กทม",7,"NA"
"37","Thai",8-07-20,"กทม",1,"NA"
"38","Thai",9-04-20,"กทม",21,"NA"
"39","Thai",9-05-20,"กทม",1,"NA"
"40","Thai",9-06-20,"กทม",1,"NA"
"41","Thai",9-07-20,"กทม",2,"NA"
"42","Thai",9-08-20,"กทม",3,"NA"
"43","Thai",9-09-20,"กทม",1,"NA"
"44","Thai",10-03-20,"กทม",2,"NA"
"45","Thai",10-04-20,"กทม",19,"NA"
"46","Thai",10-05-20,"กทม",2,"NA"
"47","Thai",10-06-20,"กทม",2,"NA"
"48","Thai",10-09-20,"กทม",5,"NA"
"49","Thai",11-02-20,"กทม",1,"NA"
"50","Thai",11-03-20,"กทม",6,"NA"
"51","Thai",11-04-20,"กทม",17,"NA"
"52","Thai",11-07-20,"กทม",2,"NA"
"53","Thai",11-09-20,"กทม",4,"NA"
"54","Thai",12-01-20,"กทม",1,"NA"
"55","Thai",12-03-20,"กทม",12,"NA"
"56","Thai",12-04-20,"กทม",14,"NA"
"57","Thai",12-05-20,"กทม",1,"NA"
"58","Thai",12-07-20,"กทม",1,"NA"
"59","Thai",12-08-20,"กทม",2,"NA"
"60","Thai",12-09-20,"กทม",2,"NA"
"61","Thai",13-03-20,"กทม",3,"NA"
"62","Thai",13-04-20,"กทม",12,"NA"
"63","Thai",13-07-20,"กทม",1,"NA"
"64","Thai",13-08-20,"กทม",2,"NA"
"65","Thai",13-09-20,"กทม",4,"NA"
"66","Thai",14-03-20,"กทม",6,"NA"
"67","Thai",14-04-20,"กทม",9,"NA"
"68","Thai",14-06-20,"กทม",1,"NA"
"69","Thai",14-07-20,"กทม",1,"NA"
"70","Thai",15-03-20,"กทม",30,"NA"
"71","Thai",15-04-20,"กทม",17,"NA"
"72","Thai",15-07-20,"กทม",1,"NA"
"73","Thai",15-09-20,"กทม",2,"NA"
"74","Thai",16-03-20,"กทม",25,"NA"
"75","Thai",16-04-20,"กทม",20,"NA"
"76","Thai",16-07-20,"กทม",1,"NA"
"77","Thai",16-09-20,"กทม",7,"NA"
"78","Thai",17-01-20,"กทม",1,"NA"
"79","Thai",17-02-20,"กทม",1,"NA"
"80","Thai",17-03-20,"กทม",22,"NA"
"81","Thai",17-04-20,"กทม",20,"NA"
"82","Thai",17-09-20,"กทม",6,"NA"
"83","Thai",18-03-20,"กทม",25,"NA"
"84","Thai",18-04-20,"กทม",30,"NA"
"85","Thai",18-06-20,"กทม",5,"NA"
"86","Thai",18-07-20,"กทม",2,"NA"
"87","Thai",18-08-20,"กทม",3,"NA"
"88","Thai",18-09-20,"กทม",3,"NA"
"89","Thai",19-03-20,"กทม",31,"NA"
"90","Thai",19-04-20,"กทม",24,"NA"
"91","Thai",19-06-20,"กทม",5,"NA"
"92","Thai",19-07-20,"กทม",1,"NA"
"93","Thai",19-08-20,"กทม",1,"NA"
"94","Thai",19-09-20,"กทม",2,"NA"
"95","Thai",20-03-20,"กทม",32,"NA"
"96","Thai",20-04-20,"กทม",16,"NA"
"97","Thai",20-05-20,"กทม",1,"NA"
"98","Thai",20-07-20,"กทม",1,"NA"
"99","Thai",20-08-20,"กทม",4,"NA"
"100","Thai",21-03-20,"กทม",37,"NA"
"101","Thai",21-04-20,"กทม",10,"NA"
"102","Thai",21-05-20,"กทม",2,"NA"
"103","Thai",21-07-20,"กทม",1,"NA"
"104","Thai",22-01-20,"กทม",1,"NA"
"105","Thai",22-03-20,"กทม",106,"NA"
"106","Thai",22-04-20,"กทม",3,"NA"
"107","Thai",22-07-20,"กทม",2,"NA"
"108","Thai",22-09-20,"กทม",4,"NA"
"109","Thai",23-03-20,"กทม",46,"NA"
"110","Thai",23-04-20,"กทม",4,"NA"
"111","Thai",23-07-20,"กทม",2,"NA"
"112","Thai",23-08-20,"กทม",1,"NA"
"113","Thai",24-03-20,"กทม",53,"NA"
"114","Thai",24-04-20,"กทม",4,"NA"
"115","Thai",24-06-20,"กทม",1,"NA"
"116","Thai",24-07-20,"กทม",7,"NA"
"117","Thai",24-08-20,"กทม",2,"NA"
"118","Thai",24-09-20,"กทม",1,"NA"
"119","Thai",25-01-20,"กทม",1,"NA"
"120","Thai",25-02-20,"กทม",2,"NA"
"121","Thai",25-03-20,"กทม",62,"NA"
"122","Thai",25-04-20,"กทม",2,"NA"
"123","Thai",25-07-20,"กทม",2,"NA"
"124","Thai",25-08-20,"กทม",1,"NA"
"125","Thai",26-01-20,"กทม",1,"NA"
"126","Thai",26-02-20,"กทม",3,"NA"
"127","Thai",26-03-20,"กทม",55,"NA"
"128","Thai",26-04-20,"กทม",7,"NA"
"129","Thai",26-06-20,"กทม",2,"NA"
"130","Thai",26-07-20,"กทม",1,"NA"
"131","Thai",26-08-20,"กทม",1,"NA"
"132","Thai",26-09-20,"กทม",1,"NA"
"133","Thai",27-03-20,"กทม",41,"NA"
"134","Thai",27-04-20,"กทม",2,"NA"
"135","Thai",27-07-20,"กทม",1,"NA"
"136","Thai",27-08-20,"กทม",1,"NA"
"137","Thai",28-01-20,"กทม",4,"NA"
"138","Thai",28-03-20,"กทม",57,"NA"
"139","Thai",28-04-20,"กทม",3,"NA"
"140","Thai",28-05-20,"กทม",10,"NA"
"141","Thai",28-07-20,"กทม",2,"NA"
"142","Thai",28-08-20,"กทม",3,"NA"
"143","Thai",28-09-20,"กทม",20,"NA"
"144","Thai",29-02-20,"กทม",1,"NA"
"145","Thai",29-03-20,"กทม",127,"NA"
"146","Thai",29-04-20,"กทม",3,"NA"
"147","Thai",29-05-20,"กทม",2,"NA"
"148","Thai",29-06-20,"กทม",6,"NA"
"149","Thai",29-07-20,"กทม",1,"NA"
"150","Thai",29-09-20,"กทม",14,"NA"
"151","Thai",30-03-20,"กทม",92,"NA"
"152","Thai",30-04-20,"กทม",3,"NA"
"153","Thai",30-09-20,"กทม",2,"NA"
"154","Thai",31-01-20,"กทม",4,"NA"
"155","Thai",31-03-20,"กทม",87,"NA"
"156","Thai",31-05-20,"กทม",1,"NA"
"157","Thai",31-08-20,"กทม",1,"NA"
"158","Thai",1-04-20,"กระบี่",2,"NA"
"159","Thai",2-04-20,"กระบี่",1,"NA"
"160","Thai",3-04-20,"กระบี่",1,"NA"
"161","Thai",4-02-20,"กระบี่",1,"NA"
"162","Thai",5-04-20,"กระบี่",1,"NA"
"163","Thai",7-04-20,"กระบี่",1,"NA"
"164","Thai",8-04-20,"กระบี่",2,"NA"
"165","Thai",18-04-20,"กระบี่",2,"NA"
"166","Thai",20-04-20,"กระบี่",1,"NA"
"167","Thai",21-03-20,"กระบี่",1,"NA"
"168","Thai",22-03-20,"กระบี่",1,"NA"
"169","Thai",26-03-20,"กระบี่",4,"NA"
"170","Thai",30-03-20,"กระบี่",1,"NA"
"171","Thai",30-04-20,"กระบี่",1,"NA"
"172","Thai",2-04-20,"กาญจนบุรี",1,"NA"
"173","Thai",21-03-20,"กาญจนบุรี",4,"NA"
"174","Thai",23-03-20,"กาญจนบุรี",1,"NA"
"175","Thai",24-03-20,"กาญจนบุรี",1,"NA"
"176","Thai",25-03-20,"กาญจนบุรี",1,"NA"
"177","Thai",26-03-20,"กาญจนบุรี",1,"NA"
"178","Thai",3-04-20,"กาฬสินธุ์",1,"NA"
"179","Thai",18-03-20,"กาฬสินธุ์",1,"NA"
"180","Thai",25-03-20,"กาฬสินธุ์",1,"NA"
"181","Thai",3-04-20,"ขอนแก่น",1,"NA"
"182","Thai",15-04-20,"ขอนแก่น",1,"NA"
"183","Thai",17-04-20,"ขอนแก่น",1,"NA"
"184","Thai",18-03-20,"ขอนแก่น",1,"NA"
"185","Thai",22-03-20,"ขอนแก่น",1,"NA"
"186","Thai",30-03-20,"ขอนแก่น",1,"NA"
"187","Thai",23-03-20,"จันทบุรี",1,"NA"
"188","Thai",24-03-20,"จันทบุรี",1,"NA"
"189","Thai",26-03-20,"จันทบุรี",1,"NA"
"190","Thai",1-04-20,"ฉะเชิงเทรา",1,"NA"
"191","Thai",3-04-20,"ฉะเชิงเทรา",2,"NA"
"192","Thai",5-04-20,"ฉะเชิงเทรา",2,"NA"
"193","Thai",6-09-20,"ฉะเชิงเทรา",2,"NA"
"194","Thai",10-04-20,"ฉะเชิงเทรา",1,"NA"
"195","Thai",11-07-20,"ฉะเชิงเทรา",3,"NA"
"196","Thai",13-06-20,"ฉะเชิงเทรา",3,"NA"
"197","Thai",13-07-20,"ฉะเชิงเทรา",1,"NA"
"198","Thai",21-03-20,"ฉะเชิงเทรา",1,"NA"
"199","Thai",22-03-20,"ฉะเชิงเทรา",1,"NA"
"200","Thai",23-03-20,"ฉะเชิงเทรา",1,"NA"
"201","Thai",24-03-20,"ฉะเชิงเทรา",2,"NA"
"202","Thai",25-03-20,"ฉะเชิงเทรา",3,"NA"
"203","Thai",26-03-20,"ฉะเชิงเทรา",2,"NA"
"204","Thai",27-03-20,"ฉะเชิงเทรา",1,"NA"
"205","Thai",31-07-20,"ฉะเชิงเทรา",1,"NA"
"206","Thai",1-04-20,"ชลบุรี",3,"NA"
"207","Thai",1-06-20,"ชลบุรี",1,"NA"
"208","Thai",2-04-20,"ชลบุรี",3,"NA"
"209","Thai",2-07-20,"ชลบุรี",6,"NA"
"210","Thai",2-08-20,"ชลบุรี",4,"NA"
"211","Thai",2-09-20,"ชลบุรี",4,"NA"
"212","Thai",3-04-20,"ชลบุรี",4,"NA"
"213","Thai",3-07-20,"ชลบุรี",1,"NA"
"214","Thai",3-08-20,"ชลบุรี",2,"NA"
"215","Thai",3-09-20,"ชลบุรี",1,"NA"
"216","Thai",4-04-20,"ชลบุรี",5,"NA"
"217","Thai",4-07-20,"ชลบุรี",4,"NA"
"218","Thai",5-03-20,"ชลบุรี",2,"NA"
"219","Thai",5-04-20,"ชลบุรี",8,"NA"
"220","Thai",5-08-20,"ชลบุรี",6,"NA"
"221","Thai",6-04-20,"ชลบุรี",3,"NA"
"222","Thai",6-06-20,"ชลบุรี",1,"NA"
"223","Thai",6-08-20,"ชลบุรี",2,"NA"
"224","Thai",7-04-20,"ชลบุรี",4,"NA"
"225","Thai",7-08-20,"ชลบุรี",14,"NA"
"226","Thai",8-02-20,"ชลบุรี",1,"NA"
"227","Thai",8-07-20,"ชลบุรี",1,"NA"
"228","Thai",8-08-20,"ชลบุรี",3,"NA"
"229","Thai",9-04-20,"ชลบุรี",3,"NA"
"230","Thai",9-07-20,"ชลบุรี",2,"NA"
"231","Thai",10-05-20,"ชลบุรี",2,"NA"
"232","Thai",10-06-20,"ชลบุรี",2,"NA"
"233","Thai",10-09-20,"ชลบุรี",2,"NA"
"234","Thai",11-04-20,"ชลบุรี",2,"NA"
"235","Thai",11-07-20,"ชลบุรี",1,"NA"
"236","Thai",11-09-20,"ชลบุรี",2,"NA"
"237","Thai",12-04-20,"ชลบุรี",1,"NA"
"238","Thai",12-06-20,"ชลบุรี",4,"NA"
"239","Thai",12-08-20,"ชลบุรี",3,"NA"
"240","Thai",12-09-20,"ชลบุรี",2,"NA"
"241","Thai",13-04-20,"ชลบุรี",2,"NA"
"242","Thai",13-08-20,"ชลบุรี",1,"NA"
"243","Thai",13-09-20,"ชลบุรี",2,"NA"
"244","Thai",14-07-20,"ชลบุรี",6,"NA"
"245","Thai",14-08-20,"ชลบุรี",17,"NA"
"246","Thai",14-09-20,"ชลบุรี",2,"NA"
"247","Thai",15-05-20,"ชลบุรี",7,"NA"
"248","Thai",15-07-20,"ชลบุรี",2,"NA"
"249","Thai",15-09-20,"ชลบุรี",2,"NA"
"250","Thai",16-07-20,"ชลบุรี",3,"NA"
"251","Thai",16-09-20,"ชลบุรี",2,"NA"
"252","Thai",17-03-20,"ชลบุรี",1,"NA"
"253","Thai",17-05-20,"ชลบุรี",3,"NA"
"254","Thai",17-07-20,"ชลบุรี",3,"NA"
"255","Thai",17-08-20,"ชลบุรี",1,"NA"
"256","Thai",17-09-20,"ชลบุรี",1,"NA"
"257","Thai",18-06-20,"ชลบุรี",1,"NA"
"258","Thai",18-07-20,"ชลบุรี",1,"NA"
"259","Thai",19-03-20,"ชลบุรี",2,"NA"
"260","Thai",19-04-20,"ชลบุรี",3,"NA"
"261","Thai",19-09-20,"ชลบุรี",1,"NA"
"262","Thai",20-04-20,"ชลบุรี",2,"NA"
"263","Thai",20-06-20,"ชลบุรี",1,"NA"
"264","Thai",20-08-20,"ชลบุรี",3,"NA"
"265","Thai",21-04-20,"ชลบุรี",2,"NA"
"266","Thai",21-05-20,"ชลบุรี",1,"NA"
"267","Thai",21-06-20,"ชลบุรี",1,"NA"
"268","Thai",21-07-20,"ชลบุรี",3,"NA"
"269","Thai",21-08-20,"ชลบุรี",1,"NA"
"270","Thai",22-03-20,"ชลบุรี",14,"NA"
"271","Thai",22-06-20,"ชลบุรี",3,"NA"
"272","Thai",22-07-20,"ชลบุรี",4,"NA"
"273","Thai",22-09-20,"ชลบุรี",1,"NA"
"274","Thai",23-03-20,"ชลบุรี",1,"NA"
"275","Thai",23-04-20,"ชลบุรี",1,"NA"
"276","Thai",23-05-20,"ชลบุรี",2,"NA"
"277","Thai",23-06-20,"ชลบุรี",5,"NA"
"278","Thai",23-07-20,"ชลบุรี",6,"NA"
"279","Thai",23-08-20,"ชลบุรี",4,"NA"
"280","Thai",23-09-20,"ชลบุรี",3,"NA"
"281","Thai",24-03-20,"ชลบุรี",8,"NA"
"282","Thai",24-07-20,"ชลบุรี",3,"NA"
"283","Thai",25-03-20,"ชลบุรี",5,"NA"
"284","Thai",25-04-20,"ชลบุรี",1,"NA"
"285","Thai",25-05-20,"ชลบุรี",1,"NA"
"286","Thai",25-06-20,"ชลบุรี",1,"NA"
"287","Thai",25-07-20,"ชลบุรี",1,"NA"
"288","Thai",25-08-20,"ชลบุรี",3,"NA"
"289","Thai",25-09-20,"ชลบุรี",3,"NA"
"290","Thai",26-03-20,"ชลบุรี",1,"NA"
"291","Thai",26-04-20,"ชลบุรี",1,"NA"
"292","Thai",26-05-20,"ชลบุรี",1,"NA"
"293","Thai",26-07-20,"ชลบุรี",4,"NA"
"294","Thai",27-03-20,"ชลบุรี",3,"NA"
"295","Thai",27-05-20,"ชลบุรี",2,"NA"
"296","Thai",27-07-20,"ชลบุรี",1,"NA"
"297","Thai",27-09-20,"ชลบุรี",1,"NA"
"298","Thai",28-03-20,"ชลบุรี",1,"NA"
"299","Thai",28-08-20,"ชลบุรี",1,"NA"
"300","Thai",28-09-20,"ชลบุรี",2,"NA"
"301","Thai",29-08-20,"ชลบุรี",1,"NA"
"302","Thai",30-03-20,"ชลบุรี",3,"NA"
"303","Thai",30-06-20,"ชลบุรี",2,"NA"
"304","Thai",30-07-20,"ชลบุรี",6,"NA"
"305","Thai",30-09-20,"ชลบุรี",1,"NA"
"306","Thai",31-03-20,"ชลบุรี",1,"NA"
"307","Thai",31-05-20,"ชลบุรี",2,"NA"
"308","Thai",31-07-20,"ชลบุรี",4,"NA"
"309","Thai",9-04-20,"ชัยภูมิ",1,"NA"
"310","Thai",27-03-20,"ชัยภูมิ",1,"NA"
"311","Thai",28-03-20,"ชัยภูมิ",1,"NA"
"312","Thai",7-04-20,"ชุมพร",1,"NA"
"313","Thai",10-04-20,"ชุมพร",1,"NA"
"314","Thai",13-04-20,"ชุมพร",1,"NA"
"315","Thai",15-04-20,"ชุมพร",1,"NA"
"316","Thai",16-04-20,"ชุมพร",3,"NA"
"317","Thai",17-04-20,"ชุมพร",2,"NA"
"318","Thai",19-04-20,"ชุมพร",1,"NA"
"319","Thai",20-04-20,"ชุมพร",4,"NA"
"320","Thai",21-04-20,"ชุมพร",1,"NA"
"321","Thai",22-04-20,"ชุมพร",4,"NA"
"322","Thai",23-04-20,"ชุมพร",1,"NA"
"323","Thai",31-03-20,"ชุมพร",1,"NA"
"324","Thai",2-04-20,"เชียงราย",3,"NA"
"325","Thai",21-03-20,"เชียงราย",1,"NA"
"326","Thai",23-03-20,"เชียงราย",1,"NA"
"327","Thai",25-03-20,"เชียงราย",1,"NA"
"328","Thai",28-03-20,"เชียงราย",3,"NA"
"329","Thai",1-04-20,"เชียงใหม่",1,"NA"
"330","Thai",2-04-20,"เชียงใหม่",4,"NA"
"331","Thai",4-04-20,"เชียงใหม่",1,"NA"
"332","Thai",5-04-20,"เชียงใหม่",3,"NA"
"333","Thai",9-04-20,"เชียงใหม่",1,"NA"
"334","Thai",14-05-20,"เชียงใหม่",1,"NA"
"335","Thai",15-03-20,"เชียงใหม่",1,"NA"
"336","Thai",18-03-20,"เชียงใหม่",2,"NA"
"337","Thai",19-03-20,"เชียงใหม่",2,"NA"
"338","Thai",20-03-20,"เชียงใหม่",1,"NA"
"339","Thai",22-03-20,"เชียงใหม่",3,"NA"
"340","Thai",23-03-20,"เชียงใหม่",1,"NA"
"341","Thai",24-03-20,"เชียงใหม่",1,"NA"
"342","Thai",26-03-20,"เชียงใหม่",2,"NA"
"343","Thai",27-03-20,"เชียงใหม่",4,"NA"
"344","Thai",28-03-20,"เชียงใหม่",1,"NA"
"345","Thai",29-03-20,"เชียงใหม่",1,"NA"
"346","Thai",30-03-20,"เชียงใหม่",9,"NA"
"347","Thai",31-01-20,"เชียงใหม่",1,"NA"
"348","Thai",31-03-20,"เชียงใหม่",1,"NA"
"349","Thai",4-04-20,"ตรัง",1,"NA"
"350","Thai",9-04-20,"ตรัง",1,"NA"
"351","Thai",25-03-20,"ตรัง",1,"NA"
"352","Thai",26-03-20,"ตรัง",2,"NA"
"353","Thai",27-03-20,"ตรัง",1,"NA"
"354","Thai",29-03-20,"ตรัง",1,"NA"
"355","Thai",4-04-20,"ตาก",1,"NA"
"356","Thai",24-03-20,"ตาก",1,"NA"
"357","Thai",28-03-20,"ตาก",1,"NA"
"358","Thai",2-04-20,"นครนายก",1,"NA"
"359","Thai",20-03-20,"นครนายก",1,"NA"
"360","Thai",1-04-20,"นครปฐม",1,"NA"
"361","Thai",2-04-20,"นครปฐม",1,"NA"
"362","Thai",8-04-20,"นครปฐม",2,"NA"
"363","Thai",22-01-20,"นครปฐม",1,"NA"
"364","Thai",22-04-20,"นครปฐม",1,"NA"
"365","Thai",23-03-20,"นครปฐม",3,"NA"
"366","Thai",23-04-20,"นครปฐม",1,"NA"
"367","Thai",24-03-20,"นครปฐม",4,"NA"
"368","Thai",26-04-20,"นครปฐม",1,"NA"
"369","Thai",27-03-20,"นครปฐม",1,"NA"
"370","Thai",28-03-20,"นครปฐม",2,"NA"
"371","Thai",30-03-20,"นครปฐม",1,"NA"
"372","Thai",31-03-20,"นครปฐม",3,"NA"
"373","Thai",13-04-20,"นครพนม",1,"NA"
"374","Thai",30-03-20,"นครพนม",1,"NA"
"375","Thai",5-04-20,"นครราชสีมา",1,"NA"
"376","Thai",7-04-20,"นครราชสีมา",1,"NA"
"377","Thai",8-04-20,"นครราชสีมา",1,"NA"
"378","Thai",18-03-20,"นครราชสีมา",3,"NA"
"379","Thai",20-03-20,"นครราชสีมา",1,"NA"
"380","Thai",21-03-20,"นครราชสีมา",1,"NA"
"381","Thai",23-03-20,"นครราชสีมา",2,"NA"
"382","Thai",24-03-20,"นครราชสีมา",1,"NA"
"383","Thai",26-03-20,"นครราชสีมา",4,"NA"
"384","Thai",28-04-20,"นครราชสีมา",1,"NA"
"385","Thai",29-03-20,"นครราชสีมา",1,"NA"
"386","Thai",30-03-20,"นครราชสีมา",2,"NA"
"387","Thai",2-04-20,"นครศรีธรรมราช",1,"NA"
"388","Thai",5-03-20,"นครศรีธรรมราช",1,"NA"
"389","Thai",10-04-20,"นครศรีธรรมราช",1,"NA"
"390","Thai",12-04-20,"นครศรีธรรมราช",1,"NA"
"391","Thai",14-04-20,"นครศรีธรรมราช",4,"NA"
"392","Thai",22-03-20,"นครศรีธรรมราช",1,"NA"
"393","Thai",23-03-20,"นครศรีธรรมราช",2,"NA"
"394","Thai",25-03-20,"นครศรีธรรมราช",1,"NA"
"395","Thai",9-04-20,"นครสวรรค์",1,"NA"
"396","Thai",10-04-20,"นครสวรรค์",2,"NA"
"397","Thai",26-03-20,"นครสวรรค์",1,"NA"
"398","Thai",27-03-20,"นครสวรรค์",1,"NA"
"399","Thai",28-03-20,"นครสวรรค์",1,"NA"
"400","Thai",30-03-20,"นครสวรรค์",3,"NA"
"401","Thai",1-04-20,"นนทบุรี",3,"NA"
"402","Thai",3-04-20,"นนทบุรี",6,"NA"
"403","Thai",4-04-20,"นนทบุรี",13,"NA"
"404","Thai",5-03-20,"นนทบุรี",1,"NA"
"405","Thai",5-04-20,"นนทบุรี",7,"NA"
"406","Thai",6-04-20,"นนทบุรี",4,"NA"
"407","Thai",8-04-20,"นนทบุรี",7,"NA"
"408","Thai",8-09-20,"นนทบุรี",1,"NA"
"409","Thai",9-04-20,"นนทบุรี",2,"NA"
"410","Thai",10-04-20,"นนทบุรี",4,"NA"
"411","Thai",11-09-20,"นนทบุรี",1,"NA"
"412","Thai",12-03-20,"นนทบุรี",1,"NA"
"413","Thai",13-04-20,"นนทบุรี",1,"NA"
"414","Thai",13-09-20,"นนทบุรี",1,"NA"
"415","Thai",15-04-20,"นนทบุรี",1,"NA"
"416","Thai",18-04-20,"นนทบุรี",1,"NA"
"417","Thai",18-05-20,"นนทบุรี",2,"NA"
"418","Thai",19-03-20,"นนทบุรี",3,"NA"
"419","Thai",20-03-20,"นนทบุรี",3,"NA"
"420","Thai",21-03-20,"นนทบุรี",6,"NA"
"421","Thai",21-04-20,"นนทบุรี",1,"NA"
"422","Thai",22-03-20,"นนทบุรี",27,"NA"
"423","Thai",23-03-20,"นนทบุรี",19,"NA"
"424","Thai",24-01-20,"นนทบุรี",1,"NA"
"425","Thai",24-03-20,"นนทบุรี",3,"NA"
"426","Thai",24-09-20,"นนทบุรี",1,"NA"
"427","Thai",25-03-20,"นนทบุรี",5,"NA"
"428","Thai",26-03-20,"นนทบุรี",8,"NA"
"429","Thai",27-03-20,"นนทบุรี",6,"NA"
"430","Thai",28-01-20,"นนทบุรี",1,"NA"
"431","Thai",28-02-20,"นนทบุรี",1,"NA"
"432","Thai",28-03-20,"นนทบุรี",7,"NA"
"433","Thai",29-03-20,"นนทบุรี",3,"NA"
"434","Thai",30-03-20,"นนทบุรี",3,"NA"
"435","Thai",31-03-20,"นนทบุรี",8,"NA"
"436","Thai",1-04-20,"นราธิวาส",1,"NA"
"437","Thai",2-04-20,"นราธิวาส",3,"NA"
"438","Thai",3-04-20,"นราธิวาส",2,"NA"
"439","Thai",3-05-20,"นราธิวาส",1,"NA"
"440","Thai",4-04-20,"นราธิวาส",4,"NA"
"441","Thai",5-04-20,"นราธิวาส",2,"NA"
"442","Thai",5-05-20,"นราธิวาส",1,"NA"
"443","Thai",6-04-20,"นราธิวาส",1,"NA"
"444","Thai",8-04-20,"นราธิวาส",2,"NA"
"445","Thai",9-04-20,"นราธิวาส",1,"NA"
"446","Thai",10-04-20,"นราธิวาส",1,"NA"
"447","Thai",10-05-20,"นราธิวาส",1,"NA"
"448","Thai",11-05-20,"นราธิวาส",1,"NA"
"449","Thai",12-04-20,"นราธิวาส",2,"NA"
"450","Thai",12-05-20,"นราธิวาส",1,"NA"
"451","Thai",15-04-20,"นราธิวาส",1,"NA"
"452","Thai",16-03-20,"นราธิวาส",1,"NA"
"453","Thai",16-04-20,"นราธิวาส",1,"NA"
"454","Thai",17-03-20,"นราธิวาส",1,"NA"
"455","Thai",19-04-20,"นราธิวาส",1,"NA"
"456","Thai",19-05-20,"นราธิวาส",2,"NA"
