"","state","site","date","dailycases","note"
"1","Austria","B",2020-02-25,0,"NA"
"2","Austria","B",2020-02-26,0,"NA"
"3","Austria","B",2020-02-27,0,"NA"
"4","Austria","B",2020-02-28,0,"NA"
"5","Austria","B",2020-02-29,0,"NA"
"6","Austria","B",2020-03-01,0,"NA"
"7","Austria","B",2020-03-02,0,"NA"
"8","Austria","B",2020-03-03,0,"NA"
"9","Austria","B",2020-03-04,0,"NA"
"10","Austria","B",2020-03-05,0,"NA"
"11","Austria","B",2020-03-06,0,"NA"
"12","Austria","B",2020-03-07,4,"NA"
"13","Austria","B",2020-03-08,0,"NA"
"14","Austria","B",2020-03-09,0,"NA"
"15","Austria","B",2020-03-10,0,"NA"
"16","Austria","B",2020-03-11,0,"NA"
"17","Austria","B",2020-03-12,2,"NA"
"18","Austria","B",2020-03-13,1,"NA"
"19","Austria","B",2020-03-14,3,"NA"
"20","Austria","B",2020-03-15,0,"NA"
"21","Austria","B",2020-03-16,0,"NA"
"22","Austria","B",2020-03-17,1,"NA"
"23","Austria","B",2020-03-18,9,"NA"
"24","Austria","B",2020-03-19,9,"NA"
"25","Austria","B",2020-03-20,4,"NA"
"26","Austria","B",2020-03-21,21,"NA"
"27","Austria","B",2020-03-22,9,"NA"
"28","Austria","B",2020-03-23,8,"NA"
"29","Austria","B",2020-03-24,13,"NA"
"30","Austria","B",2020-03-25,5,"NA"
"31","Austria","B",2020-03-26,26,"NA"
"32","Austria","B",2020-03-27,23,"NA"
"33","Austria","B",2020-03-28,4,"NA"
"34","Austria","B",2020-03-29,17,"NA"
"35","Austria","B",2020-03-30,20,"NA"
"36","Austria","B",2020-03-31,3,"NA"
"37","Austria","B",2020-04-01,6,"NA"
"38","Austria","B",2020-04-02,13,"NA"
"39","Austria","B",2020-04-03,5,"NA"
"40","Austria","B",2020-04-04,18,"NA"
"41","Austria","B",2020-04-05,2,"NA"
"42","Austria","B",2020-04-06,2,"NA"
"43","Austria","B",2020-04-07,6,"NA"
"44","Austria","B",2020-04-08,8,"NA"
"45","Austria","B",2020-04-09,3,"NA"
"46","Austria","B",2020-04-10,8,"NA"
"47","Austria","B",2020-04-11,6,"NA"
"48","Austria","B",2020-04-12,1,"NA"
"49","Austria","B",2020-04-13,8,"NA"
"50","Austria","K",2020-02-25,0,"NA"
"51","Austria","K",2020-02-26,0,"NA"
"52","Austria","K",2020-02-27,0,"NA"
"53","Austria","K",2020-02-28,0,"NA"
"54","Austria","K",2020-02-29,0,"NA"
"55","Austria","K",2020-03-01,0,"NA"
"56","Austria","K",2020-03-02,0,"NA"
"57","Austria","K",2020-03-03,0,"NA"
"58","Austria","K",2020-03-04,0,"NA"
"59","Austria","K",2020-03-05,1,"NA"
"60","Austria","K",2020-03-06,0,"NA"
"61","Austria","K",2020-03-07,0,"NA"
"62","Austria","K",2020-03-08,0,"NA"
"63","Austria","K",2020-03-09,0,"NA"
"64","Austria","K",2020-03-10,0,"NA"
"65","Austria","K",2020-03-11,2,"NA"
"66","Austria","K",2020-03-12,0,"NA"
"67","Austria","K",2020-03-13,1,"NA"
"68","Austria","K",2020-03-14,1,"NA"
"69","Austria","K",2020-03-15,1,"NA"
"70","Austria","K",2020-03-16,12,"NA"
"71","Austria","K",2020-03-17,9,"NA"
"72","Austria","K",2020-03-18,14,"NA"
"73","Austria","K",2020-03-19,9,"NA"
"74","Austria","K",2020-03-20,21,"NA"
"75","Austria","K",2020-03-21,12,"NA"
"76","Austria","K",2020-03-22,22,"NA"
"77","Austria","K",2020-03-23,17,"NA"
"78","Austria","K",2020-03-24,19,"NA"
"79","Austria","K",2020-03-25,20,"NA"
"80","Austria","K",2020-03-26,22,"NA"
"81","Austria","K",2020-03-27,19,"NA"
"82","Austria","K",2020-03-28,19,"NA"
"83","Austria","K",2020-03-29,18,"NA"
"84","Austria","K",2020-03-30,22,"NA"
"85","Austria","K",2020-03-31,12,"NA"
"86","Austria","K",2020-04-01,20,"NA"
"87","Austria","K",2020-04-02,7,"NA"
"88","Austria","K",2020-04-03,4,"NA"
"89","Austria","K",2020-04-04,6,"NA"
"90","Austria","K",2020-04-05,9,"NA"
"91","Austria","K",2020-04-06,9,"NA"
"92","Austria","K",2020-04-07,13,"NA"
"93","Austria","K",2020-04-08,12,"NA"
"94","Austria","K",2020-04-09,12,"NA"
"95","Austria","K",2020-04-10,8,"NA"
"96","Austria","K",2020-04-11,9,"NA"
"97","Austria","K",2020-04-12,0,"NA"
"98","Austria","K",2020-04-13,4,"NA"
"99","Austria","Noe",2020-02-25,0,"NA"
"100","Austria","Noe",2020-02-26,0,"NA"
"101","Austria","Noe",2020-02-27,0,"NA"
"102","Austria","Noe",2020-02-28,0,"NA"
"103","Austria","Noe",2020-02-29,0,"NA"
"104","Austria","Noe",2020-03-01,2,"NA"
"105","Austria","Noe",2020-03-02,0,"NA"
"106","Austria","Noe",2020-03-03,1,"NA"
"107","Austria","Noe",2020-03-04,2,"NA"
"108","Austria","Noe",2020-03-05,8,"NA"
"109","Austria","Noe",2020-03-06,2,"NA"
"110","Austria","Noe",2020-03-07,13,"NA"
"111","Austria","Noe",2020-03-08,3,"NA"
"112","Austria","Noe",2020-03-09,5,"NA"
"113","Austria","Noe",2020-03-10,4,"NA"
"114","Austria","Noe",2020-03-11,5,"NA"
"115","Austria","Noe",2020-03-12,6,"NA"
"116","Austria","Noe",2020-03-13,12,"NA"
"117","Austria","Noe",2020-03-14,19,"NA"
"118","Austria","Noe",2020-03-15,29,"NA"
"119","Austria","Noe",2020-03-16,41,"NA"
"120","Austria","Noe",2020-03-17,64,"NA"
"121","Austria","Noe",2020-03-18,40,"NA"
"122","Austria","Noe",2020-03-19,49,"NA"
"123","Austria","Noe",2020-03-20,50,"NA"
"124","Austria","Noe",2020-03-21,39,"NA"
"125","Austria","Noe",2020-03-22,52,"NA"
"126","Austria","Noe",2020-03-23,118,"NA"
"127","Austria","Noe",2020-03-24,56,"NA"
"128","Austria","Noe",2020-03-25,130,"NA"
"129","Austria","Noe",2020-03-26,123,"NA"
"130","Austria","Noe",2020-03-27,267,"NA"
"131","Austria","Noe",2020-03-28,122,"NA"
"132","Austria","Noe",2020-03-29,88,"NA"
"133","Austria","Noe",2020-03-30,183,"NA"
"134","Austria","Noe",2020-03-31,83,"NA"
"135","Austria","Noe",2020-04-01,69,"NA"
"136","Austria","Noe",2020-04-02,53,"NA"
"137","Austria","Noe",2020-04-03,90,"NA"
"138","Austria","Noe",2020-04-04,32,"NA"
"139","Austria","Noe",2020-04-05,43,"NA"
"140","Austria","Noe",2020-04-06,91,"NA"
"141","Austria","Noe",2020-04-07,77,"NA"
"142","Austria","Noe",2020-04-08,51,"NA"
"143","Austria","Noe",2020-04-09,47,"NA"
"144","Austria","Noe",2020-04-10,37,"NA"
"145","Austria","Noe",2020-04-11,68,"NA"
"146","Austria","Noe",2020-04-12,10,"NA"
"147","Austria","Noe",2020-04-13,59,"NA"
"148","Austria","Ooe",2020-02-25,0,"NA"
"149","Austria","Ooe",2020-02-26,0,"NA"
"150","Austria","Ooe",2020-02-27,0,"NA"
"151","Austria","Ooe",2020-02-28,0,"NA"
"152","Austria","Ooe",2020-02-29,0,"NA"
"153","Austria","Ooe",2020-03-01,0,"NA"
"154","Austria","Ooe",2020-03-02,0,"NA"
"155","Austria","Ooe",2020-03-03,0,"NA"
"156","Austria","Ooe",2020-03-04,0,"NA"
"157","Austria","Ooe",2020-03-05,0,"NA"
"158","Austria","Ooe",2020-03-06,1,"NA"
"159","Austria","Ooe",2020-03-07,3,"NA"
"160","Austria","Ooe",2020-03-08,3,"NA"
"161","Austria","Ooe",2020-03-09,4,"NA"
"162","Austria","Ooe",2020-03-10,11,"NA"
"163","Austria","Ooe",2020-03-11,13,"NA"
"164","Austria","Ooe",2020-03-12,23,"NA"
"165","Austria","Ooe",2020-03-13,26,"NA"
"166","Austria","Ooe",2020-03-14,32,"NA"
"167","Austria","Ooe",2020-03-15,43,"NA"
"168","Austria","Ooe",2020-03-16,43,"NA"
"169","Austria","Ooe",2020-03-17,46,"NA"
"170","Austria","Ooe",2020-03-18,57,"NA"
"171","Austria","Ooe",2020-03-19,66,"NA"
"172","Austria","Ooe",2020-03-20,50,"NA"
"173","Austria","Ooe",2020-03-21,127,"NA"
"174","Austria","Ooe",2020-03-22,80,"NA"
"175","Austria","Ooe",2020-03-23,79,"NA"
"176","Austria","Ooe",2020-03-24,88,"NA"
"177","Austria","Ooe",2020-03-25,120,"NA"
"178","Austria","Ooe",2020-03-26,139,"NA"
"179","Austria","Ooe",2020-03-27,163,"NA"
"180","Austria","Ooe",2020-03-28,115,"NA"
"181","Austria","Ooe",2020-03-29,119,"NA"
"182","Austria","Ooe",2020-03-30,84,"NA"
"183","Austria","Ooe",2020-03-31,61,"NA"
"184","Austria","Ooe",2020-04-01,75,"NA"
"185","Austria","Ooe",2020-04-02,110,"NA"
"186","Austria","Ooe",2020-04-03,55,"NA"
"187","Austria","Ooe",2020-04-04,54,"NA"
"188","Austria","Ooe",2020-04-05,42,"NA"
"189","Austria","Ooe",2020-04-06,31,"NA"
"190","Austria","Ooe",2020-04-07,28,"NA"
"191","Austria","Ooe",2020-04-08,46,"NA"
"192","Austria","Ooe",2020-04-09,42,"NA"
"193","Austria","Ooe",2020-04-10,21,"NA"
"194","Austria","Ooe",2020-04-11,15,"NA"
"195","Austria","Ooe",2020-04-12,3,"NA"
"196","Austria","Ooe",2020-04-13,9,"NA"
"197","Austria","Stmk",2020-02-25,0,"NA"
"198","Austria","Stmk",2020-02-26,0,"NA"
"199","Austria","Stmk",2020-02-27,0,"NA"
"200","Austria","Stmk",2020-02-28,0,"NA"
"201","Austria","Stmk",2020-02-29,1,"NA"
"202","Austria","Stmk",2020-03-01,0,"NA"
"203","Austria","Stmk",2020-03-02,0,"NA"
"204","Austria","Stmk",2020-03-03,1,"NA"
"205","Austria","Stmk",2020-03-04,2,"NA"
"206","Austria","Stmk",2020-03-05,0,"NA"
"207","Austria","Stmk",2020-03-06,1,"NA"
"208","Austria","Stmk",2020-03-07,1,"NA"
"209","Austria","Stmk",2020-03-08,4,"NA"
"210","Austria","Stmk",2020-03-09,6,"NA"
"211","Austria","Stmk",2020-03-10,1,"NA"
"212","Austria","Stmk",2020-03-11,8,"NA"
"213","Austria","Stmk",2020-03-12,8,"NA"
"214","Austria","Stmk",2020-03-13,19,"NA"
"215","Austria","Stmk",2020-03-14,19,"NA"
"216","Austria","Stmk",2020-03-15,40,"NA"
"217","Austria","Stmk",2020-03-16,28,"NA"
"218","Austria","Stmk",2020-03-17,32,"NA"
"219","Austria","Stmk",2020-03-18,49,"NA"
"220","Austria","Stmk",2020-03-19,62,"NA"
"221","Austria","Stmk",2020-03-20,58,"NA"
"222","Austria","Stmk",2020-03-21,48,"NA"
"223","Austria","Stmk",2020-03-22,35,"NA"
"224","Austria","Stmk",2020-03-23,63,"NA"
"225","Austria","Stmk",2020-03-24,72,"NA"
"226","Austria","Stmk",2020-03-25,69,"NA"
"227","Austria","Stmk",2020-03-26,72,"NA"
"228","Austria","Stmk",2020-03-27,60,"NA"
"229","Austria","Stmk",2020-03-28,69,"NA"
"230","Austria","Stmk",2020-03-29,87,"NA"
"231","Austria","Stmk",2020-03-30,43,"NA"
"232","Austria","Stmk",2020-03-31,91,"NA"
"233","Austria","Stmk",2020-04-01,64,"NA"
"234","Austria","Stmk",2020-04-02,45,"NA"
"235","Austria","Stmk",2020-04-03,47,"NA"
"236","Austria","Stmk",2020-04-04,58,"NA"
"237","Austria","Stmk",2020-04-05,48,"NA"
"238","Austria","Stmk",2020-04-06,28,"NA"
"239","Austria","Stmk",2020-04-07,33,"NA"
"240","Austria","Stmk",2020-04-08,51,"NA"
"241","Austria","Stmk",2020-04-09,35,"NA"
"242","Austria","Stmk",2020-04-10,26,"NA"
"243","Austria","Stmk",2020-04-11,31,"NA"
"244","Austria","Stmk",2020-04-12,9,"NA"
"245","Austria","Stmk",2020-04-13,36,"NA"
"246","Austria","Szbg",2020-02-25,0,"NA"
"247","Austria","Szbg",2020-02-26,0,"NA"
"248","Austria","Szbg",2020-02-27,0,"NA"
"249","Austria","Szbg",2020-02-28,0,"NA"
