"","state","date","site","dailycases","note"
"1","Belgium",2020-03-01,"Antwerpen",1,"NA"
"2","Belgium",2020-03-02,"Antwerpen",1,"NA"
"3","Belgium",2020-03-03,"Antwerpen",5,"NA"
"4","Belgium",2020-03-04,"Antwerpen",6,"NA"
"5","Belgium",2020-03-05,"Antwerpen",11,"NA"
"6","Belgium",2020-03-06,"Antwerpen",11,"NA"
"7","Belgium",2020-03-07,"Antwerpen",8,"NA"
"8","Belgium",2020-03-08,"Antwerpen",9,"NA"
"9","Belgium",2020-03-09,"Antwerpen",8,"NA"
"10","Belgium",2020-03-10,"Antwerpen",14,"NA"
"11","Belgium",2020-03-11,"Antwerpen",21,"NA"
"12","Belgium",2020-03-12,"Antwerpen",33,"NA"
"13","Belgium",2020-03-13,"Antwerpen",47,"NA"
"14","Belgium",2020-03-14,"Antwerpen",21,"NA"
"15","Belgium",2020-03-15,"Antwerpen",24,"NA"
"16","Belgium",2020-03-16,"Antwerpen",47,"NA"
"17","Belgium",2020-03-17,"Antwerpen",54,"NA"
"18","Belgium",2020-03-18,"Antwerpen",55,"NA"
"19","Belgium",2020-03-19,"Antwerpen",82,"NA"
"20","Belgium",2020-03-20,"Antwerpen",67,"NA"
"21","Belgium",2020-03-21,"Antwerpen",63,"NA"
"22","Belgium",2020-03-22,"Antwerpen",55,"NA"
"23","Belgium",2020-03-23,"Antwerpen",194,"NA"
"24","Belgium",2020-03-24,"Antwerpen",172,"NA"
"25","Belgium",2020-03-25,"Antwerpen",171,"NA"
"26","Belgium",2020-03-26,"Antwerpen",183,"NA"
"27","Belgium",2020-03-27,"Antwerpen",189,"NA"
"28","Belgium",2020-03-28,"Antwerpen",100,"NA"
"29","Belgium",2020-03-29,"Antwerpen",102,"NA"
"30","Belgium",2020-03-30,"Antwerpen",231,"NA"
"31","Belgium",2020-03-31,"Antwerpen",175,"NA"
"32","Belgium",2020-04-01,"Antwerpen",178,"NA"
"33","Belgium",2020-04-02,"Antwerpen",166,"NA"
"34","Belgium",2020-04-03,"Antwerpen",186,"NA"
"35","Belgium",2020-04-04,"Antwerpen",108,"NA"
"36","Belgium",2020-04-05,"Antwerpen",79,"NA"
"37","Belgium",2020-04-06,"Antwerpen",247,"NA"
"38","Belgium",2020-04-07,"Antwerpen",179,"NA"
"39","Belgium",2020-04-08,"Antwerpen",214,"NA"
"40","Belgium",2020-04-09,"Antwerpen",301,"NA"
"41","Belgium",2020-04-10,"Antwerpen",264,"NA"
"42","Belgium",2020-04-11,"Antwerpen",93,"NA"
"43","Belgium",2020-04-12,"Antwerpen",86,"NA"
"44","Belgium",2020-04-13,"Antwerpen",65,"NA"
"45","Belgium",2020-04-14,"Antwerpen",140,"NA"
"46","Belgium",2020-04-15,"Antwerpen",175,"NA"
"47","Belgium",2020-04-16,"Antwerpen",211,"NA"
"48","Belgium",2020-04-17,"Antwerpen",110,"NA"
"49","Belgium",2020-04-18,"Antwerpen",63,"NA"
"50","Belgium",2020-04-19,"Antwerpen",51,"NA"
"51","Belgium",2020-04-20,"Antwerpen",166,"NA"
"52","Belgium",2020-04-21,"Antwerpen",184,"NA"
"53","Belgium",2020-04-22,"Antwerpen",102,"NA"
"54","Belgium",2020-04-23,"Antwerpen",131,"NA"
"55","Belgium",2020-04-24,"Antwerpen",83,"NA"
"56","Belgium",2020-04-25,"Antwerpen",36,"NA"
"57","Belgium",2020-04-26,"Antwerpen",39,"NA"
"58","Belgium",2020-04-27,"Antwerpen",152,"NA"
"59","Belgium",2020-04-28,"Antwerpen",124,"NA"
"60","Belgium",2020-04-29,"Antwerpen",118,"NA"
"61","Belgium",2020-04-30,"Antwerpen",172,"NA"
"62","Belgium",2020-05-01,"Antwerpen",71,"NA"
"63","Belgium",2020-05-02,"Antwerpen",54,"NA"
"64","Belgium",2020-05-03,"Antwerpen",37,"NA"
"65","Belgium",2020-05-04,"Antwerpen",139,"NA"
"66","Belgium",2020-05-05,"Antwerpen",40,"NA"
"67","Belgium",2020-03-03,"BrabantWallon",4,"NA"
"68","Belgium",2020-03-04,"BrabantWallon",1,"NA"
"69","Belgium",2020-03-05,"BrabantWallon",3,"NA"
"70","Belgium",2020-03-06,"BrabantWallon",5,"NA"
"71","Belgium",2020-03-07,"BrabantWallon",1,"NA"
"72","Belgium",2020-03-08,"BrabantWallon",1,"NA"
"73","Belgium",2020-03-09,"BrabantWallon",5,"NA"
"74","Belgium",2020-03-10,"BrabantWallon",3,"NA"
"75","Belgium",2020-03-11,"BrabantWallon",2,"NA"
"76","Belgium",2020-03-12,"BrabantWallon",7,"NA"
"77","Belgium",2020-03-13,"BrabantWallon",13,"NA"
"78","Belgium",2020-03-14,"BrabantWallon",4,"NA"
"79","Belgium",2020-03-15,"BrabantWallon",6,"NA"
"80","Belgium",2020-03-16,"BrabantWallon",17,"NA"
"81","Belgium",2020-03-17,"BrabantWallon",18,"NA"
"82","Belgium",2020-03-18,"BrabantWallon",25,"NA"
"83","Belgium",2020-03-19,"BrabantWallon",26,"NA"
"84","Belgium",2020-03-20,"BrabantWallon",19,"NA"
"85","Belgium",2020-03-21,"BrabantWallon",14,"NA"
"86","Belgium",2020-03-22,"BrabantWallon",23,"NA"
"87","Belgium",2020-03-23,"BrabantWallon",31,"NA"
"88","Belgium",2020-03-24,"BrabantWallon",34,"NA"
"89","Belgium",2020-03-25,"BrabantWallon",21,"NA"
"90","Belgium",2020-03-26,"BrabantWallon",29,"NA"
"91","Belgium",2020-03-27,"BrabantWallon",43,"NA"
"92","Belgium",2020-03-28,"BrabantWallon",15,"NA"
"93","Belgium",2020-03-29,"BrabantWallon",14,"NA"
"94","Belgium",2020-03-30,"BrabantWallon",36,"NA"
"95","Belgium",2020-03-31,"BrabantWallon",28,"NA"
"96","Belgium",2020-04-01,"BrabantWallon",40,"NA"
"97","Belgium",2020-04-02,"BrabantWallon",29,"NA"
"98","Belgium",2020-04-03,"BrabantWallon",44,"NA"
"99","Belgium",2020-04-04,"BrabantWallon",15,"NA"
"100","Belgium",2020-04-05,"BrabantWallon",16,"NA"
"101","Belgium",2020-04-06,"BrabantWallon",48,"NA"
"102","Belgium",2020-04-07,"BrabantWallon",33,"NA"
"103","Belgium",2020-04-08,"BrabantWallon",40,"NA"
"104","Belgium",2020-04-09,"BrabantWallon",52,"NA"
"105","Belgium",2020-04-10,"BrabantWallon",34,"NA"
"106","Belgium",2020-04-11,"BrabantWallon",13,"NA"
"107","Belgium",2020-04-12,"BrabantWallon",5,"NA"
"108","Belgium",2020-04-13,"BrabantWallon",6,"NA"
"109","Belgium",2020-04-14,"BrabantWallon",63,"NA"
"110","Belgium",2020-04-15,"BrabantWallon",32,"NA"
"111","Belgium",2020-04-16,"BrabantWallon",41,"NA"
"112","Belgium",2020-04-17,"BrabantWallon",30,"NA"
"113","Belgium",2020-04-18,"BrabantWallon",28,"NA"
"114","Belgium",2020-04-19,"BrabantWallon",17,"NA"
"115","Belgium",2020-04-20,"BrabantWallon",48,"NA"
"116","Belgium",2020-04-21,"BrabantWallon",32,"NA"
"117","Belgium",2020-04-22,"BrabantWallon",52,"NA"
"118","Belgium",2020-04-23,"BrabantWallon",16,"NA"
"119","Belgium",2020-04-24,"BrabantWallon",13,"NA"
"120","Belgium",2020-04-25,"BrabantWallon",36,"NA"
"121","Belgium",2020-04-26,"BrabantWallon",6,"NA"
"122","Belgium",2020-04-27,"BrabantWallon",13,"NA"
"123","Belgium",2020-04-28,"BrabantWallon",9,"NA"
"124","Belgium",2020-04-29,"BrabantWallon",9,"NA"
"125","Belgium",2020-04-30,"BrabantWallon",5,"NA"
"126","Belgium",2020-05-01,"BrabantWallon",1,"NA"
"127","Belgium",2020-05-02,"BrabantWallon",8,"NA"
"128","Belgium",2020-05-03,"BrabantWallon",5,"NA"
"129","Belgium",2020-05-04,"BrabantWallon",6,"NA"
"130","Belgium",2020-05-05,"BrabantWallon",1,"NA"
"131","Belgium",2020-03-01,"Brussels",6,"NA"
"132","Belgium",2020-03-02,"Brussels",4,"NA"
"133","Belgium",2020-03-03,"Brussels",2,"NA"
"134","Belgium",2020-03-04,"Brussels",5,"NA"
"135","Belgium",2020-03-05,"Brussels",2,"NA"
"136","Belgium",2020-03-06,"Brussels",9,"NA"
"137","Belgium",2020-03-07,"Brussels",5,"NA"
"138","Belgium",2020-03-08,"Brussels",7,"NA"
"139","Belgium",2020-03-09,"Brussels",12,"NA"
"140","Belgium",2020-03-10,"Brussels",13,"NA"
"141","Belgium",2020-03-11,"Brussels",17,"NA"
"142","Belgium",2020-03-12,"Brussels",37,"NA"
"143","Belgium",2020-03-13,"Brussels",39,"NA"
"144","Belgium",2020-03-14,"Brussels",30,"NA"
"145","Belgium",2020-03-15,"Brussels",27,"NA"
"146","Belgium",2020-03-16,"Brussels",61,"NA"
"147","Belgium",2020-03-17,"Brussels",24,"NA"
"148","Belgium",2020-03-18,"Brussels",58,"NA"
"149","Belgium",2020-03-19,"Brussels",55,"NA"
"150","Belgium",2020-03-20,"Brussels",70,"NA"
"151","Belgium",2020-03-21,"Brussels",44,"NA"
"152","Belgium",2020-03-22,"Brussels",64,"NA"
"153","Belgium",2020-03-23,"Brussels",116,"NA"
"154","Belgium",2020-03-24,"Brussels",122,"NA"
"155","Belgium",2020-03-25,"Brussels",142,"NA"
"156","Belgium",2020-03-26,"Brussels",149,"NA"
"157","Belgium",2020-03-27,"Brussels",186,"NA"
"158","Belgium",2020-03-28,"Brussels",147,"NA"
"159","Belgium",2020-03-29,"Brussels",93,"NA"
"160","Belgium",2020-03-30,"Brussels",138,"NA"
"161","Belgium",2020-03-31,"Brussels",178,"NA"
"162","Belgium",2020-04-01,"Brussels",146,"NA"
"163","Belgium",2020-04-02,"Brussels",155,"NA"
"164","Belgium",2020-04-03,"Brussels",167,"NA"
"165","Belgium",2020-04-04,"Brussels",102,"NA"
"166","Belgium",2020-04-05,"Brussels",82,"NA"
"167","Belgium",2020-04-06,"Brussels",169,"NA"
"168","Belgium",2020-04-07,"Brussels",141,"NA"
"169","Belgium",2020-04-08,"Brussels",172,"NA"
"170","Belgium",2020-04-09,"Brussels",162,"NA"
"171","Belgium",2020-04-10,"Brussels",141,"NA"
"172","Belgium",2020-04-11,"Brussels",74,"NA"
"173","Belgium",2020-04-12,"Brussels",60,"NA"
"174","Belgium",2020-04-13,"Brussels",73,"NA"
"175","Belgium",2020-04-14,"Brussels",181,"NA"
"176","Belgium",2020-04-15,"Brussels",136,"NA"
"177","Belgium",2020-04-16,"Brussels",191,"NA"
"178","Belgium",2020-04-17,"Brussels",191,"NA"
"179","Belgium",2020-04-18,"Brussels",47,"NA"
"180","Belgium",2020-04-19,"Brussels",35,"NA"
"181","Belgium",2020-04-20,"Brussels",151,"NA"
"182","Belgium",2020-04-21,"Brussels",115,"NA"
"183","Belgium",2020-04-22,"Brussels",64,"NA"
"184","Belgium",2020-04-23,"Brussels",90,"NA"
"185","Belgium",2020-04-24,"Brussels",160,"NA"
"186","Belgium",2020-04-25,"Brussels",32,"NA"
"187","Belgium",2020-04-26,"Brussels",13,"NA"
"188","Belgium",2020-04-27,"Brussels",88,"NA"
"189","Belgium",2020-04-28,"Brussels",41,"NA"
"190","Belgium",2020-04-29,"Brussels",66,"NA"
"191","Belgium",2020-04-30,"Brussels",62,"NA"
"192","Belgium",2020-05-01,"Brussels",11,"NA"
"193","Belgium",2020-05-02,"Brussels",18,"NA"
"194","Belgium",2020-05-03,"Brussels",15,"NA"
"195","Belgium",2020-05-04,"Brussels",49,"NA"
"196","Belgium",2020-05-05,"Brussels",5,"NA"
"197","Belgium",2020-03-03,"Hainaut",1,"NA"
"198","Belgium",2020-03-04,"Hainaut",6,"NA"
"199","Belgium",2020-03-05,"Hainaut",10,"NA"
"200","Belgium",2020-03-06,"Hainaut",4,"NA"
"201","Belgium",2020-03-07,"Hainaut",1,"NA"
"202","Belgium",2020-03-08,"Hainaut",4,"NA"
"203","Belgium",2020-03-09,"Hainaut",12,"NA"
"204","Belgium",2020-03-10,"Hainaut",7,"NA"
"205","Belgium",2020-03-11,"Hainaut",13,"NA"
"206","Belgium",2020-03-12,"Hainaut",28,"NA"
"207","Belgium",2020-03-13,"Hainaut",56,"NA"
"208","Belgium",2020-03-14,"Hainaut",35,"NA"
"209","Belgium",2020-03-15,"Hainaut",30,"NA"
"210","Belgium",2020-03-16,"Hainaut",46,"NA"
"211","Belgium",2020-03-17,"Hainaut",52,"NA"
"212","Belgium",2020-03-18,"Hainaut",77,"NA"
"213","Belgium",2020-03-19,"Hainaut",72,"NA"
"214","Belgium",2020-03-20,"Hainaut",79,"NA"
"215","Belgium",2020-03-21,"Hainaut",58,"NA"
"216","Belgium",2020-03-22,"Hainaut",64,"NA"
"217","Belgium",2020-03-23,"Hainaut",121,"NA"
"218","Belgium",2020-03-24,"Hainaut",130,"NA"
"219","Belgium",2020-03-25,"Hainaut",114,"NA"
"220","Belgium",2020-03-26,"Hainaut",112,"NA"
"221","Belgium",2020-03-27,"Hainaut",151,"NA"
"222","Belgium",2020-03-28,"Hainaut",104,"NA"
"223","Belgium",2020-03-29,"Hainaut",108,"NA"
"224","Belgium",2020-03-30,"Hainaut",154,"NA"
"225","Belgium",2020-03-31,"Hainaut",233,"NA"
"226","Belgium",2020-04-01,"Hainaut",123,"NA"
"227","Belgium",2020-04-02,"Hainaut",117,"NA"
"228","Belgium",2020-04-03,"Hainaut",196,"NA"
"229","Belgium",2020-04-04,"Hainaut",73,"NA"
"230","Belgium",2020-04-05,"Hainaut",78,"NA"
"231","Belgium",2020-04-06,"Hainaut",213,"NA"
"232","Belgium",2020-04-07,"Hainaut",146,"NA"
"233","Belgium",2020-04-08,"Hainaut",158,"NA"
"234","Belgium",2020-04-09,"Hainaut",261,"NA"
"235","Belgium",2020-04-10,"Hainaut",233,"NA"
"236","Belgium",2020-04-11,"Hainaut",53,"NA"
"237","Belgium",2020-04-12,"Hainaut",38,"NA"
"238","Belgium",2020-04-13,"Hainaut",50,"NA"
"239","Belgium",2020-04-14,"Hainaut",185,"NA"
"240","Belgium",2020-04-15,"Hainaut",143,"NA"
"241","Belgium",2020-04-16,"Hainaut",214,"NA"
"242","Belgium",2020-04-17,"Hainaut",168,"NA"
"243","Belgium",2020-04-18,"Hainaut",218,"NA"
"244","Belgium",2020-04-19,"Hainaut",62,"NA"
"245","Belgium",2020-04-20,"Hainaut",165,"NA"
"246","Belgium",2020-04-21,"Hainaut",301,"NA"
"247","Belgium",2020-04-22,"Hainaut",100,"NA"
"248","Belgium",2020-04-23,"Hainaut",158,"NA"
"249","Belgium",2020-04-24,"Hainaut",70,"NA"
"250","Belgium",2020-04-25,"Hainaut",43,"NA"
"251","Belgium",2020-04-26,"Hainaut",37,"NA"
"252","Belgium",2020-04-27,"Hainaut",87,"NA"
"253","Belgium",2020-04-28,"Hainaut",47,"NA"
"254","Belgium",2020-04-29,"Hainaut",30,"NA"
"255","Belgium",2020-04-30,"Hainaut",66,"NA"
"256","Belgium",2020-05-01,"Hainaut",16,"NA"
"257","Belgium",2020-05-02,"Hainaut",45,"NA"
"258","Belgium",2020-05-03,"Hainaut",9,"NA"
"259","Belgium",2020-05-04,"Hainaut",23,"NA"
"260","Belgium",2020-05-05,"Hainaut",15,"NA"
"261","Belgium",2020-03-01,"Liège",2,"NA"
"262","Belgium",2020-03-02,"Liège",1,"NA"
"263","Belgium",2020-03-03,"Liège",7,"NA"
"264","Belgium",2020-03-04,"Liège",5,"NA"
"265","Belgium",2020-03-05,"Liège",6,"NA"
"266","Belgium",2020-03-06,"Liège",8,"NA"
"267","Belgium",2020-03-07,"Liège",4,"NA"
"268","Belgium",2020-03-08,"Liège",11,"NA"
"269","Belgium",2020-03-09,"Liège",22,"NA"
"270","Belgium",2020-03-10,"Liège",10,"NA"
"271","Belgium",2020-03-11,"Liège",25,"NA"
"272","Belgium",2020-03-12,"Liège",29,"NA"
"273","Belgium",2020-03-13,"Liège",30,"NA"
"274","Belgium",2020-03-14,"Liège",22,"NA"
"275","Belgium",2020-03-15,"Liège",15,"NA"
"276","Belgium",2020-03-16,"Liège",48,"NA"
"277","Belgium",2020-03-17,"Liège",45,"NA"
"278","Belgium",2020-03-18,"Liège",47,"NA"
"279","Belgium",2020-03-19,"Liège",80,"NA"
"280","Belgium",2020-03-20,"Liège",73,"NA"
"281","Belgium",2020-03-21,"Liège",74,"NA"
"282","Belgium",2020-03-22,"Liège",60,"NA"
"283","Belgium",2020-03-23,"Liège",166,"NA"
"284","Belgium",2020-03-24,"Liège",163,"NA"
"285","Belgium",2020-03-25,"Liège",138,"NA"
"286","Belgium",2020-03-26,"Liège",157,"NA"
"287","Belgium",2020-03-27,"Liège",97,"NA"
"288","Belgium",2020-03-28,"Liège",30,"NA"
"289","Belgium",2020-03-29,"Liège",54,"NA"
"290","Belgium",2020-03-30,"Liège",245,"NA"
"291","Belgium",2020-03-31,"Liège",207,"NA"
"292","Belgium",2020-04-01,"Liège",175,"NA"
"293","Belgium",2020-04-02,"Liège",194,"NA"
"294","Belgium",2020-04-03,"Liège",182,"NA"
"295","Belgium",2020-04-04,"Liège",115,"NA"
"296","Belgium",2020-04-05,"Liège",96,"NA"
"297","Belgium",2020-04-06,"Liège",190,"NA"
"298","Belgium",2020-04-07,"Liège",202,"NA"
"299","Belgium",2020-04-08,"Liège",160,"NA"
"300","Belgium",2020-04-09,"Liège",236,"NA"
"301","Belgium",2020-04-10,"Liège",234,"NA"
"302","Belgium",2020-04-11,"Liège",138,"NA"
"303","Belgium",2020-04-12,"Liège",76,"NA"
"304","Belgium",2020-04-13,"Liège",63,"NA"
"305","Belgium",2020-04-14,"Liège",212,"NA"
"306","Belgium",2020-04-15,"Liège",451,"NA"
"307","Belgium",2020-04-16,"Liège",132,"NA"
"308","Belgium",2020-04-17,"Liège",213,"NA"
"309","Belgium",2020-04-18,"Liège",130,"NA"
"310","Belgium",2020-04-19,"Liège",98,"NA"
"311","Belgium",2020-04-20,"Liège",179,"NA"
"312","Belgium",2020-04-21,"Liège",112,"NA"
"313","Belgium",2020-04-22,"Liège",75,"NA"
"314","Belgium",2020-04-23,"Liège",213,"NA"
"315","Belgium",2020-04-24,"Liège",69,"NA"
"316","Belgium",2020-04-25,"Liège",87,"NA"
"317","Belgium",2020-04-26,"Liège",20,"NA"
"318","Belgium",2020-04-27,"Liège",39,"NA"
"319","Belgium",2020-04-28,"Liège",56,"NA"
"320","Belgium",2020-04-29,"Liège",43,"NA"
"321","Belgium",2020-04-30,"Liège",40,"NA"
"322","Belgium",2020-05-01,"Liège",26,"NA"
"323","Belgium",2020-05-02,"Liège",14,"NA"
"324","Belgium",2020-05-03,"Liège",8,"NA"
"325","Belgium",2020-05-04,"Liège",19,"NA"
"326","Belgium",2020-05-05,"Liège",10,"NA"
"327","Belgium",2020-03-01,"Limburg",1,"NA"
"328","Belgium",2020-03-03,"Limburg",3,"NA"
"329","Belgium",2020-03-04,"Limburg",9,"NA"
"330","Belgium",2020-03-05,"Limburg",8,"NA"
"331","Belgium",2020-03-06,"Limburg",17,"NA"
"332","Belgium",2020-03-07,"Limburg",3,"NA"
"333","Belgium",2020-03-08,"Limburg",8,"NA"
"334","Belgium",2020-03-09,"Limburg",6,"NA"
"335","Belgium",2020-03-10,"Limburg",12,"NA"
"336","Belgium",2020-03-11,"Limburg",22,"NA"
"337","Belgium",2020-03-12,"Limburg",25,"NA"
"338","Belgium",2020-03-13,"Limburg",30,"NA"
"339","Belgium",2020-03-14,"Limburg",11,"NA"
"340","Belgium",2020-03-15,"Limburg",37,"NA"
