"","state","date","site","dailycases","note"
"1","Deutschland",2020-01-28,"LK Landsberg a.Lech",1,"DE21E"
"2","Deutschland",2020-01-28,"LK Starnberg",1,"DE21L"
"3","Deutschland",2020-01-29,"LK Fürstenfeldbruck",1,"DE21C"
"4","Deutschland",2020-01-29,"SK München",1,"DE212"
"5","Deutschland",2020-01-31,"LK Fürstenfeldbruck",1,"DE21C"
"6","Deutschland",2020-01-31,"LK Traunstein",2,"DE21M"
"7","Deutschland",2020-02-03,"SK München",1,"DE212"
"8","Deutschland",2020-02-04,"LK Landsberg a.Lech",1,"DE21E"
"9","Deutschland",2020-02-04,"LK München",1,"DE21H"
"10","Deutschland",2020-02-04,"LK Traunstein",1,"DE21M"
"11","Deutschland",2020-02-04,"SK Delmenhorst",1,"DE941"
"12","Deutschland",2020-02-06,"LK Traunstein",1,"DE21M"
"13","Deutschland",2020-02-07,"LK Fürstenfeldbruck",1,"DE21C"
"14","Deutschland",2020-02-11,"LK Starnberg",1,"DE21L"
"15","Deutschland",2020-02-11,"SK München",1,"DE212"
"16","Deutschland",2020-02-12,"LK Freising",1,"DE21B"
"17","Deutschland",2020-02-20,"SK Köln",1,"DEA23"
"18","Deutschland",2020-02-24,"LK Ravensburg",1,"DE148"
"19","Deutschland",2020-02-25,"LK Göppingen",1,"DE114"
"20","Deutschland",2020-02-25,"LK Tübingen",1,"DE142"
"21","Deutschland",2020-02-26,"LK Breisgau-Hochschwarzwald",1,"DE132"
"22","Deutschland",2020-02-26,"LK Heinsberg",3,"DEA29"
"23","Deutschland",2020-02-26,"LK Rottweil",1,"DE135"
"24","Deutschland",2020-02-26,"LK Tübingen",1,"DE142"
"25","Deutschland",2020-02-26,"SK Freiburg i.Breisgau",1,"DE131"
"26","Deutschland",2020-02-27,"LK Böblingen",1,"DE112"
"27","Deutschland",2020-02-27,"LK Breisgau-Hochschwarzwald",1,"DE132"
"28","Deutschland",2020-02-27,"LK Heinsberg",18,"DEA29"
"29","Deutschland",2020-02-27,"LK Ludwigsburg",1,"DE115"
