"","state","date","site","dailycases","note"
"1","Italy",2020-02-24,"Abruzzo",0,"NA"
"2","Italy",2020-02-24,"Basilicata",0,"NA"
"3","Italy",2020-02-24,"Calabria",0,"NA"
"4","Italy",2020-02-24,"Campania",0,"NA"
"5","Italy",2020-02-24,"Emilia-Romagna",18,"NA"
"6","Italy",2020-02-24,"Friuli Venezia Giulia",0,"NA"
"7","Italy",2020-02-24,"Lazio",2,"NA"
"8","Italy",2020-02-24,"Liguria",0,"NA"
"9","Italy",2020-02-24,"Lombardia",166,"NA"
"10","Italy",2020-02-24,"Marche",0,"NA"
"11","Italy",2020-02-24,"Molise",0,"NA"
"12","Italy",2020-02-24,"P.A. Bolzano",0,"NA"
"13","Italy",2020-02-24,"P.A. Trento",0,"NA"
"14","Italy",2020-02-24,"Piemonte",3,"NA"
"15","Italy",2020-02-24,"Puglia",0,"NA"
"16","Italy",2020-02-24,"Sardegna",0,"NA"
"17","Italy",2020-02-24,"Sicilia",0,"NA"
"18","Italy",2020-02-24,"Toscana",0,"NA"
"19","Italy",2020-02-24,"Umbria",0,"NA"
"20","Italy",2020-02-24,"Valle d'Aosta",0,"NA"
"21","Italy",2020-02-24,"Veneto",32,"NA"
"22","Italy",2020-02-25,"Abruzzo",0,"NA"
"23","Italy",2020-02-25,"Basilicata",0,"NA"
"24","Italy",2020-02-25,"Calabria",0,"NA"
"25","Italy",2020-02-25,"Campania",0,"NA"
"26","Italy",2020-02-25,"Emilia-Romagna",8,"NA"
"27","Italy",2020-02-25,"Friuli Venezia Giulia",0,"NA"
"28","Italy",2020-02-25,"Lazio",0,"NA"
"29","Italy",2020-02-25,"Liguria",1,"NA"
"30","Italy",2020-02-25,"Lombardia",68,"NA"
"31","Italy",2020-02-25,"Marche",0,"NA"
"32","Italy",2020-02-25,"Molise",0,"NA"
"33","Italy",2020-02-25,"P.A. Bolzano",1,"NA"
"34","Italy",2020-02-25,"P.A. Trento",0,"NA"
"35","Italy",2020-02-25,"Piemonte",0,"NA"
"36","Italy",2020-02-25,"Puglia",0,"NA"
"37","Italy",2020-02-25,"Sardegna",0,"NA"
"38","Italy",2020-02-25,"Sicilia",3,"NA"
"39","Italy",2020-02-25,"Toscana",2,"NA"
"40","Italy",2020-02-25,"Umbria",0,"NA"
"41","Italy",2020-02-25,"Valle d'Aosta",0,"NA"
"42","Italy",2020-02-25,"Veneto",10,"NA"
"43","Italy",2020-02-26,"Abruzzo",0,"NA"
"44","Italy",2020-02-26,"Basilicata",0,"NA"
"45","Italy",2020-02-26,"Calabria",0,"NA"
"46","Italy",2020-02-26,"Campania",0,"NA"
"47","Italy",2020-02-26,"Emilia-Romagna",21,"NA"
