"","state","date","site","dailycases","note"
"1","Luxembourg",2020-01-22,"Luxembourg",0,"NA"
"2","Luxembourg",2020-01-23,"Luxembourg",0,"NA"
"3","Luxembourg",2020-01-24,"Luxembourg",0,"NA"
"4","Luxembourg",2020-01-25,"Luxembourg",0,"NA"
"5","Luxembourg",2020-01-26,"Luxembourg",0,"NA"
"6","Luxembourg",2020-01-27,"Luxembourg",0,"NA"
"7","Luxembourg",2020-01-28,"Luxembourg",0,"NA"
"8","Luxembourg",2020-01-29,"Luxembourg",0,"NA"
"9","Luxembourg",2020-01-30,"Luxembourg",0,"NA"
"10","Luxembourg",2020-01-31,"Luxembourg",0,"NA"
"11","Luxembourg",2020-02-01,"Luxembourg",0,"NA"
"12","Luxembourg",2020-02-02,"Luxembourg",0,"NA"
"13","Luxembourg",2020-02-03,"Luxembourg",0,"NA"
"14","Luxembourg",2020-02-04,"Luxembourg",0,"NA"
"15","Luxembourg",2020-02-05,"Luxembourg",0,"NA"
"16","Luxembourg",2020-02-06,"Luxembourg",0,"NA"
"17","Luxembourg",2020-02-07,"Luxembourg",0,"NA"
"18","Luxembourg",2020-02-08,"Luxembourg",0,"NA"
"19","Luxembourg",2020-02-09,"Luxembourg",0,"NA"
"20","Luxembourg",2020-02-10,"Luxembourg",0,"NA"
"21","Luxembourg",2020-02-11,"Luxembourg",0,"NA"
"22","Luxembourg",2020-02-12,"Luxembourg",0,"NA"
"23","Luxembourg",2020-02-13,"Luxembourg",0,"NA"
"24","Luxembourg",2020-02-14,"Luxembourg",0,"NA"
"25","Luxembourg",2020-02-15,"Luxembourg",0,"NA"
"26","Luxembourg",2020-02-16,"Luxembourg",0,"NA"
"27","Luxembourg",2020-02-17,"Luxembourg",0,"NA"
"28","Luxembourg",2020-02-18,"Luxembourg",0,"NA"
"29","Luxembourg",2020-02-19,"Luxembourg",0,"NA"
"30","Luxembourg",2020-02-20,"Luxembourg",0,"NA"
"31","Luxembourg",2020-02-21,"Luxembourg",0,"NA"
"32","Luxembourg",2020-02-22,"Luxembourg",0,"NA"
"33","Luxembourg",2020-02-23,"Luxembourg",0,"NA"
"34","Luxembourg",2020-02-24,"Luxembourg",0,"NA"
"35","Luxembourg",2020-02-25,"Luxembourg",0,"NA"
"36","Luxembourg",2020-02-26,"Luxembourg",0,"NA"
"37","Luxembourg",2020-02-27,"Luxembourg",0,"NA"
"38","Luxembourg",2020-02-28,"Luxembourg",0,"NA"
"39","Luxembourg",2020-02-29,"Luxembourg",1,"NA"
"40","Luxembourg",2020-03-01,"Luxembourg",0,"NA"
"41","Luxembourg",2020-03-02,"Luxembourg",0,"NA"
"42","Luxembourg",2020-03-03,"Luxembourg",0,"NA"
"43","Luxembourg",2020-03-04,"Luxembourg",0,"NA"
"44","Luxembourg",2020-03-05,"Luxembourg",0,"NA"
"45","Luxembourg",2020-03-06,"Luxembourg",1,"NA"
"46","Luxembourg",2020-03-07,"Luxembourg",0,"NA"
"47","Luxembourg",2020-03-08,"Luxembourg",1,"NA"
"48","Luxembourg",2020-03-09,"Luxembourg",0,"NA"
"49","Luxembourg",2020-03-10,"Luxembourg",2,"NA"
"50","Luxembourg",2020-03-11,"Luxembourg",2,"NA"
"51","Luxembourg",2020-03-12,"Luxembourg",12,"NA"
"52","Luxembourg",2020-03-13,"Luxembourg",15,"NA"
"53","Luxembourg",2020-03-14,"Luxembourg",17,"NA"
"54","Luxembourg",2020-03-15,"Luxembourg",8,"NA"
"55","Luxembourg",2020-03-16,"Luxembourg",18,"NA"
"56","Luxembourg",2020-03-17,"Luxembourg",63,"NA"
"57","Luxembourg",2020-03-18,"Luxembourg",63,"NA"
"58","Luxembourg",2020-03-19,"Luxembourg",132,"NA"
"59","Luxembourg",2020-03-20,"Luxembourg",149,"NA"
"60","Luxembourg",2020-03-21,"Luxembourg",186,"NA"
"61","Luxembourg",2020-03-22,"Luxembourg",128,"NA"
"62","Luxembourg",2020-03-23,"Luxembourg",77,"NA"
"63","Luxembourg",2020-03-24,"Luxembourg",224,"NA"
"64","Luxembourg",2020-03-25,"Luxembourg",234,"NA"
"65","Luxembourg",2020-03-26,"Luxembourg",120,"NA"
"66","Luxembourg",2020-03-27,"Luxembourg",152,"NA"
"67","Luxembourg",2020-03-28,"Luxembourg",226,"NA"
"68","Luxembourg",2020-03-29,"Luxembourg",119,"NA"
"69","Luxembourg",2020-03-30,"Luxembourg",38,"NA"
"70","Luxembourg",2020-03-31,"Luxembourg",190,"NA"
"71","Luxembourg",2020-04-01,"Luxembourg",141,"NA"
"72","Luxembourg",2020-04-02,"Luxembourg",168,"NA"
"73","Luxembourg",2020-04-03,"Luxembourg",125,"NA"
"74","Luxembourg",2020-04-04,"Luxembourg",117,"NA"
"75","Luxembourg",2020-04-05,"Luxembourg",75,"NA"
"76","Luxembourg",2020-04-06,"Luxembourg",39,"NA"
"77","Luxembourg",2020-04-07,"Luxembourg",127,"NA"
"78","Luxembourg",2020-04-08,"Luxembourg",64,"NA"
