"","state","date","site","dailycases","note"
"1","Netherlands",2020-02-28,"'s-Gravenhage",FALSE,"NA"
"2","Netherlands",2020-02-29,"'s-Gravenhage",FALSE,"NA"
"3","Netherlands",2020-03-01,"'s-Gravenhage",FALSE,"NA"
"4","Netherlands",2020-03-02,"'s-Gravenhage",FALSE,"NA"
"5","Netherlands",2020-03-03,"'s-Gravenhage",FALSE,"NA"
"6","Netherlands",2020-03-04,"'s-Gravenhage",FALSE,"NA"
"7","Netherlands",2020-03-05,"'s-Gravenhage",FALSE,"NA"
"8","Netherlands",2020-03-07,"'s-Gravenhage",FALSE,"NA"
"9","Netherlands",2020-03-08,"'s-Gravenhage",FALSE,"NA"
"10","Netherlands",2020-03-09,"'s-Gravenhage",FALSE,"NA"
"11","Netherlands",2020-03-10,"'s-Gravenhage",TRUE,"NA"
"12","Netherlands",2020-03-12,"'s-Gravenhage",FALSE,"NA"
"13","Netherlands",2020-03-13,"'s-Gravenhage",TRUE,"NA"
"14","Netherlands",2020-03-14,"'s-Gravenhage",TRUE,"NA"
"15","Netherlands",2020-03-15,"'s-Gravenhage",TRUE,"NA"
"16","Netherlands",2020-06-03,"'s-Gravenhage",TRUE,"NA"
"17","Netherlands",2020-02-28,"'s-Hertogenbosch",FALSE,"NA"
"18","Netherlands",2020-02-29,"'s-Hertogenbosch",FALSE,"NA"
"19","Netherlands",2020-03-01,"'s-Hertogenbosch",FALSE,"NA"
"20","Netherlands",2020-03-02,"'s-Hertogenbosch",FALSE,"NA"
"21","Netherlands",2020-03-03,"'s-Hertogenbosch",FALSE,"NA"
"22","Netherlands",2020-03-04,"'s-Hertogenbosch",FALSE,"NA"
"23","Netherlands",2020-03-05,"'s-Hertogenbosch",FALSE,"NA"
"24","Netherlands",2020-03-06,"'s-Hertogenbosch",FALSE,"NA"
"25","Netherlands",2020-03-08,"'s-Hertogenbosch",FALSE,"NA"
"26","Netherlands",2020-03-09,"'s-Hertogenbosch",TRUE,"NA"
"27","Netherlands",2020-03-10,"'s-Hertogenbosch",TRUE,"NA"
"28","Netherlands",2020-03-11,"'s-Hertogenbosch",TRUE,"NA"
"29","Netherlands",2020-03-15,"'s-Hertogenbosch",FALSE,"NA"
