"","state","date","site","dailycases"
"1","Norway",2020-03-26,"Agder",133
"2","Norway",2020-03-27,"Agder",15
"3","Norway",2020-03-28,"Agder",11
"4","Norway",2020-03-29,"Agder",2
"5","Norway",2020-03-30,"Agder",5
"6","Norway",2020-03-31,"Agder",10
"7","Norway",2020-04-01,"Agder",14
"8","Norway",2020-04-02,"Agder",17
"9","Norway",2020-04-03,"Agder",14
"10","Norway",2020-04-04,"Agder",6
"11","Norway",2020-04-05,"Agder",3
"12","Norway",2020-04-06,"Agder",1
"13","Norway",2020-04-07,"Agder",5
"14","Norway",2020-04-08,"Agder",7
"15","Norway",2020-04-09,"Agder",6
"16","Norway",2020-04-10,"Agder",4
"17","Norway",2020-04-11,"Agder",5
"18","Norway",2020-04-12,"Agder",3
"19","Norway",2020-04-13,"Agder",2
"20","Norway",2020-04-14,"Agder",3
"21","Norway",2020-04-15,"Agder",2
"22","Norway",2020-04-16,"Agder",7
"23","Norway",2020-04-17,"Agder",2
"24","Norway",2020-04-18,"Agder",9
"25","Norway",2020-04-19,"Agder",1
"26","Norway",2020-04-20,"Agder",5
"27","Norway",2020-04-21,"Agder",2
"28","Norway",2020-04-22,"Agder",9
"29","Norway",2020-04-23,"Agder",9
"30","Norway",2020-04-24,"Agder",4
"31","Norway",2020-04-25,"Agder",1
"32","Norway",2020-04-26,"Agder",0
"33","Norway",2020-04-27,"Agder",2
"34","Norway",2020-04-28,"Agder",4
"35","Norway",2020-04-29,"Agder",1
"36","Norway",2020-04-30,"Agder",1
"37","Norway",2020-05-01,"Agder",1
"38","Norway",2020-05-02,"Agder",2
"39","Norway",2020-05-03,"Agder",1
"40","Norway",2020-05-04,"Agder",1
"41","Norway",2020-05-05,"Agder",2
"42","Norway",2020-05-06,"Agder",1
"43","Norway",2020-05-07,"Agder",0
"44","Norway",2020-05-08,"Agder",1
"45","Norway",2020-05-09,"Agder",1
"46","Norway",2020-05-10,"Agder",0
"47","Norway",2020-05-11,"Agder",0
"48","Norway",2020-05-12,"Agder",1
"49","Norway",2020-05-13,"Agder",0
"50","Norway",2020-05-14,"Agder",0
"51","Norway",2020-05-15,"Agder",0
"52","Norway",2020-05-16,"Agder",1
"53","Norway",2020-05-17,"Agder",1
"54","Norway",2020-05-18,"Agder",0
"55","Norway",2020-05-19,"Agder",0
"56","Norway",2020-05-20,"Agder",0
"57","Norway",2020-05-21,"Agder",0
"58","Norway",2020-05-22,"Agder",0
"59","Norway",2020-05-23,"Agder",0
"60","Norway",2020-05-24,"Agder",0
"61","Norway",2020-05-25,"Agder",0
"62","Norway",2020-05-26,"Agder",0
"63","Norway",2020-05-27,"Agder",0
"64","Norway",2020-05-28,"Agder",0
"65","Norway",2020-05-29,"Agder",0
"66","Norway",2020-05-30,"Agder",0
"67","Norway",2020-05-31,"Agder",0
"68","Norway",2020-06-01,"Agder",0
"69","Norway",2020-06-02,"Agder",0
"70","Norway",2020-06-03,"Agder",0
"71","Norway",2020-06-04,"Agder",0
"72","Norway",2020-06-05,"Agder",3
"73","Norway",2020-06-06,"Agder",1
"74","Norway",2020-06-07,"Agder",0
"75","Norway",2020-06-08,"Agder",0
"76","Norway",2020-06-09,"Agder",0
"77","Norway",2020-06-10,"Agder",0
"78","Norway",2020-06-11,"Agder",1
"79","Norway",2020-06-12,"Agder",0
