"","state","date","site","dailycases","note"
"1","Poland",2020-04-03,"Aleksandrów Kujawski",1,"NA"
"2","Poland",2020-04-05,"Aleksandrów Kujawski",1,"NA"
"3","Poland",2020-04-07,"Aleksandrów Kujawski",1,"NA"
"4","Poland",2020-04-11,"Aleksandrów Kujawski",2,"NA"
"5","Poland",2020-04-18,"Aleksandrów Kujawski",1,"NA"
"6","Poland",2020-04-21,"Aleksandrów Kujawski",1,"NA"
"7","Poland",2020-03-16,"Aleksandrów Łódzki",1,"NA"
"8","Poland",2020-03-21,"Aleksandrów Łódzki",1,"NA"
"9","Poland",2020-03-28,"Augustów",1,"NA"
"10","Poland",2020-03-31,"Augustów",1,"NA"
"11","Poland",2020-04-11,"Augustów",1,"NA"
"12","Poland",2020-04-12,"Augustów",3,"NA"
"13","Poland",2020-04-15,"Augustów",1,"NA"
"14","Poland",2020-04-24,"Augustów",2,"NA"
"15","Poland",2020-05-13,"Augustów",2,"NA"
"16","Poland",2020-06-10,"Augustów",4,"NA"
"17","Poland",2020-06-13,"Augustów",1,"NA"
"18","Poland",2020-03-31,"Będzin",2,"NA"
"19","Poland",2020-04-05,"Będzin",1,"NA"
"20","Poland",2020-04-08,"Będzin",5,"NA"
"21","Poland",2020-04-11,"Będzin",2,"NA"
"22","Poland",2020-04-13,"Będzin",1,"NA"
"23","Poland",2020-04-17,"Będzin",1,"NA"
"24","Poland",2020-04-18,"Będzin",1,"NA"
"25","Poland",2020-04-19,"Będzin",6,"NA"
"26","Poland",2020-04-24,"Będzin",6,"NA"
"27","Poland",2020-04-25,"Będzin",5,"NA"
"28","Poland",2020-04-26,"Będzin",3,"NA"
"29","Poland",2020-04-27,"Będzin",1,"NA"
"30","Poland",2020-04-28,"Będzin",2,"NA"
"31","Poland",2020-04-29,"Będzin",1,"NA"
"32","Poland",2020-04-30,"Będzin",1,"NA"
"33","Poland",2020-05-02,"Będzin",2,"NA"
"34","Poland",2020-05-03,"Będzin",2,"NA"
"35","Poland",2020-05-04,"Będzin",2,"NA"
"36","Poland",2020-05-08,"Będzin",3,"NA"
"37","Poland",2020-05-09,"Będzin",2,"NA"
"38","Poland",2020-05-11,"Będzin",4,"NA"
"39","Poland",2020-05-12,"Będzin",4,"NA"
"40","Poland",2020-05-15,"Będzin",2,"NA"
"41","Poland",2020-05-16,"Będzin",2,"NA"
"42","Poland",2020-05-17,"Będzin",1,"NA"
"43","Poland",2020-05-19,"Będzin",6,"NA"
"44","Poland",2020-05-21,"Będzin",4,"NA"
"45","Poland",2020-05-27,"Będzin",1,"NA"
"46","Poland",2020-05-28,"Będzin",1,"NA"
"47","Poland",2020-05-29,"Będzin",2,"NA"
"48","Poland",2020-05-30,"Będzin",1,"NA"
"49","Poland",2020-06-03,"Będzin",4,"NA"
"50","Poland",2020-06-05,"Będzin",8,"NA"
"51","Poland",2020-06-10,"Będzin",1,"NA"
"52","Poland",2020-06-11,"Będzin",1,"NA"
"53","Poland",2020-06-13,"Będzin",2,"NA"
"54","Poland",2020-03-13,"Bełchatów",1,"NA"
"55","Poland",2020-03-14,"Bełchatów",1,"NA"
"56","Poland",2020-03-15,"Bełchatów",1,"NA"
"57","Poland",2020-03-17,"Bełchatów",3,"NA"
"58","Poland",2020-03-21,"Bełchatów",2,"NA"
"59","Poland",2020-03-22,"Bełchatów",3,"NA"
"60","Poland",2020-03-24,"Bełchatów",4,"NA"
"61","Poland",2020-03-25,"Bełchatów",1,"NA"
"62","Poland",2020-03-28,"Bełchatów",3,"NA"
"63","Poland",2020-03-31,"Bełchatów",2,"NA"
"64","Poland",2020-04-04,"Bełchatów",2,"NA"
"65","Poland",2020-04-05,"Bełchatów",3,"NA"
"66","Poland",2020-04-07,"Bełchatów",1,"NA"
"67","Poland",2020-04-08,"Bełchatów",9,"NA"
"68","Poland",2020-04-09,"Bełchatów",1,"NA"
"69","Poland",2020-04-11,"Bełchatów",1,"NA"
"70","Poland",2020-04-12,"Bełchatów",1,"NA"
"71","Poland",2020-04-13,"Bełchatów",1,"NA"
"72","Poland",2020-04-14,"Bełchatów",1,"NA"
"73","Poland",2020-04-18,"Bełchatów",2,"NA"
"74","Poland",2020-04-19,"Bełchatów",1,"NA"
"75","Poland",2020-04-20,"Bełchatów",3,"NA"
"76","Poland",2020-04-22,"Bełchatów",3,"NA"
"77","Poland",2020-04-25,"Bełchatów",10,"NA"
"78","Poland",2020-04-28,"Bełchatów",2,"NA"
"79","Poland",2020-05-02,"Bełchatów",1,"NA"
"80","Poland",2020-05-03,"Bełchatów",10,"NA"
"81","Poland",2020-05-04,"Bełchatów",4,"NA"
"82","Poland",2020-05-07,"Bełchatów",1,"NA"
"83","Poland",2020-05-08,"Bełchatów",1,"NA"
"84","Poland",2020-05-09,"Bełchatów",1,"NA"
"85","Poland",2020-05-13,"Bełchatów",1,"NA"
"86","Poland",2020-05-14,"Bełchatów",1,"NA"
"87","Poland",2020-05-15,"Bełchatów",1,"NA"
"88","Poland",2020-05-22,"Bełchatów",1,"NA"
"89","Poland",2020-05-23,"Bełchatów",1,"NA"
"90","Poland",2020-05-28,"Bełchatów",2,"NA"
"91","Poland",2020-05-31,"Bełchatów",1,"NA"
"92","Poland",2020-06-03,"Bełchatów",5,"NA"
"93","Poland",2020-06-04,"Bełchatów",2,"NA"
"94","Poland",2020-06-07,"Bełchatów",2,"NA"
"95","Poland",2020-06-08,"Bełchatów",1,"NA"
"96","Poland",2020-06-10,"Bełchatów",1,"NA"
"97","Poland",2020-06-13,"Bełchatów",3,"NA"
"98","Poland",2020-06-14,"Bełchatów",1,"NA"
"99","Poland",2020-06-16,"Bełchatów",3,"NA"
"100","Poland",2020-03-10,"Bełżyce",1,"NA"
"101","Poland",2020-04-07,"Biała Podlaska",1,"NA"
"102","Poland",2020-04-08,"Biała Podlaska",2,"NA"
"103","Poland",2020-04-09,"Biała Podlaska",1,"NA"
"104","Poland",2020-04-16,"Biała Podlaska",1,"NA"
"105","Poland",2020-04-24,"Biała Podlaska",1,"NA"
"106","Poland",2020-05-24,"Biała Podlaska",3,"NA"
"107","Poland",2020-05-28,"Biała Podlaska",1,"NA"
"108","Poland",2020-05-31,"Biała Podlaska",1,"NA"
"109","Poland",2020-06-03,"Biała Podlaska",3,"NA"
"110","Poland",2020-06-05,"Biała Podlaska",1,"NA"
"111","Poland",2020-06-08,"Biała Podlaska",1,"NA"
"112","Poland",2020-06-09,"Biała Podlaska",1,"NA"
"113","Poland",2020-06-14,"Biała Podlaska",1,"NA"
"114","Poland",2020-06-15,"Biała Podlaska",1,"NA"
"115","Poland",2020-06-16,"Biała Podlaska",1,"NA"
"116","Poland",2020-03-24,"Białobrzegi",4,"NA"
"117","Poland",2020-03-25,"Białobrzegi",1,"NA"
"118","Poland",2020-03-26,"Białobrzegi",2,"NA"
"119","Poland",2020-03-27,"Białobrzegi",2,"NA"
"120","Poland",2020-03-29,"Białobrzegi",1,"NA"
"121","Poland",2020-03-31,"Białobrzegi",8,"NA"
"122","Poland",2020-04-02,"Białobrzegi",7,"NA"
"123","Poland",2020-04-03,"Białobrzegi",1,"NA"
"124","Poland",2020-04-04,"Białobrzegi",33,"NA"
"125","Poland",2020-04-07,"Białobrzegi",3,"NA"
"126","Poland",2020-04-08,"Białobrzegi",1,"NA"
"127","Poland",2020-04-09,"Białobrzegi",1,"NA"
"128","Poland",2020-04-10,"Białobrzegi",3,"NA"
"129","Poland",2020-04-11,"Białobrzegi",1,"NA"
"130","Poland",2020-04-13,"Białobrzegi",3,"NA"
"131","Poland",2020-04-14,"Białobrzegi",1,"NA"
"132","Poland",2020-04-16,"Białobrzegi",4,"NA"
"133","Poland",2020-04-17,"Białobrzegi",2,"NA"
"134","Poland",2020-04-18,"Białobrzegi",4,"NA"
"135","Poland",2020-04-19,"Białobrzegi",7,"NA"
"136","Poland",2020-04-20,"Białobrzegi",9,"NA"
"137","Poland",2020-04-21,"Białobrzegi",2,"NA"
"138","Poland",2020-04-22,"Białobrzegi",2,"NA"
"139","Poland",2020-04-23,"Białobrzegi",2,"NA"
"140","Poland",2020-04-24,"Białobrzegi",1,"NA"
"141","Poland",2020-04-26,"Białobrzegi",1,"NA"
"142","Poland",2020-04-27,"Białobrzegi",1,"NA"
"143","Poland",2020-04-29,"Białobrzegi",3,"NA"
"144","Poland",2020-05-01,"Białobrzegi",4,"NA"
"145","Poland",2020-05-03,"Białobrzegi",5,"NA"
"146","Poland",2020-05-04,"Białobrzegi",1,"NA"
"147","Poland",2020-05-05,"Białobrzegi",2,"NA"
"148","Poland",2020-05-07,"Białobrzegi",4,"NA"
"149","Poland",2020-05-13,"Białobrzegi",1,"NA"
"150","Poland",2020-05-16,"Białobrzegi",1,"NA"
"151","Poland",2020-05-21,"Białobrzegi",1,"NA"
"152","Poland",2020-05-26,"Białobrzegi",2,"NA"
"153","Poland",2020-05-28,"Białobrzegi",1,"NA"
"154","Poland",2020-05-30,"Białobrzegi",3,"NA"
"155","Poland",2020-05-31,"Białobrzegi",2,"NA"
"156","Poland",2020-06-02,"Białobrzegi",1,"NA"
"157","Poland",2020-06-09,"Białobrzegi",1,"NA"
"158","Poland",2020-03-19,"Białogard",1,"NA"
"159","Poland",2020-03-26,"Białogard",1,"NA"
"160","Poland",2020-04-07,"Białogard",1,"NA"
"161","Poland",2020-04-18,"Białogard",1,"NA"
"162","Poland",2020-04-19,"Białogard",2,"NA"
"163","Poland",2020-04-20,"Białogard",1,"NA"
"164","Poland",2020-04-21,"Białogard",2,"NA"
"165","Poland",2020-04-22,"Białogard",1,"NA"
"166","Poland",2020-04-24,"Białogard",1,"NA"
"167","Poland",2020-04-25,"Białogard",1,"NA"
"168","Poland",2020-04-27,"Białogard",4,"NA"
"169","Poland",2020-04-28,"Białogard",2,"NA"
"170","Poland",2020-04-29,"Białogard",1,"NA"
"171","Poland",2020-04-30,"Białogard",1,"NA"
"172","Poland",2020-05-01,"Białogard",1,"NA"
"173","Poland",2020-05-13,"Białogard",1,"NA"
"174","Poland",2020-05-16,"Białogard",1,"NA"
"175","Poland",2020-05-17,"Białogard",2,"NA"
"176","Poland",2020-05-20,"Białogard",1,"NA"
"177","Poland",2020-05-21,"Białogard",1,"NA"
"178","Poland",2020-05-24,"Białogard",1,"NA"
"179","Poland",2020-05-28,"Białogard",4,"NA"
"180","Poland",2020-05-30,"Białogard",1,"NA"
"181","Poland",2020-06-01,"Białogard",1,"NA"
"182","Poland",2020-06-09,"Białogard",1,"NA"
"183","Poland",2020-06-17,"BIałogard",1,"NA"
"184","Poland",2020-03-20,"Białopole",3,"NA"
"185","Poland",2020-03-24,"Białopole",1,"NA"
"186","Poland",2020-03-20,"Białystok",1,"NA"
"187","Poland",2020-03-21,"Białystok",1,"NA"
"188","Poland",2020-03-25,"Białystok",2,"NA"
"189","Poland",2020-03-27,"Białystok",2,"NA"
"190","Poland",2020-03-28,"Białystok",8,"NA"
"191","Poland",2020-03-30,"Białystok",3,"NA"
"192","Poland",2020-04-01,"Białystok",3,"NA"
"193","Poland",2020-04-02,"Białystok",3,"NA"
"194","Poland",2020-04-03,"Białystok",4,"NA"
"195","Poland",2020-04-04,"Białystok",3,"NA"
"196","Poland",2020-04-05,"Białystok",3,"NA"
"197","Poland",2020-04-06,"Białystok",3,"NA"
"198","Poland",2020-04-07,"Białystok",5,"NA"
"199","Poland",2020-04-08,"Białystok",11,"NA"
"200","Poland",2020-04-09,"Białystok",5,"NA"
"201","Poland",2020-04-10,"Białystok",5,"NA"
"202","Poland",2020-04-11,"Białystok",2,"NA"
"203","Poland",2020-04-12,"Białystok",7,"NA"
"204","Poland",2020-04-13,"Białystok",3,"NA"
"205","Poland",2020-04-14,"Białystok",6,"NA"
"206","Poland",2020-04-15,"Białystok",4,"NA"
"207","Poland",2020-04-16,"Białystok",7,"NA"
"208","Poland",2020-04-17,"Białystok",3,"NA"
"209","Poland",2020-04-18,"Białystok",5,"NA"
"210","Poland",2020-04-19,"Białystok",3,"NA"
"211","Poland",2020-04-20,"Białystok",4,"NA"
"212","Poland",2020-04-21,"Białystok",2,"NA"
"213","Poland",2020-04-22,"Białystok",3,"NA"
"214","Poland",2020-04-23,"Białystok",4,"NA"
"215","Poland",2020-04-24,"Białystok",2,"NA"
"216","Poland",2020-04-25,"Białystok",7,"NA"
"217","Poland",2020-04-26,"Białystok",10,"NA"
"218","Poland",2020-04-28,"Białystok",2,"NA"
"219","Poland",2020-04-29,"Białystok",4,"NA"
"220","Poland",2020-04-30,"Białystok",10,"NA"
"221","Poland",2020-05-01,"Białystok",8,"NA"
"222","Poland",2020-05-02,"Białystok",1,"NA"
"223","Poland",2020-05-03,"Białystok",4,"NA"
"224","Poland",2020-05-05,"Białystok",8,"NA"
"225","Poland",2020-05-06,"Białystok",5,"NA"
"226","Poland",2020-05-07,"Białystok",10,"NA"
"227","Poland",2020-05-08,"Białystok",2,"NA"
"228","Poland",2020-05-11,"Białystok",2,"NA"
"229","Poland",2020-05-12,"Białystok",5,"NA"
"230","Poland",2020-05-15,"Białystok",1,"NA"
"231","Poland",2020-05-17,"Białystok",1,"NA"
"232","Poland",2020-05-19,"Białystok",4,"NA"
"233","Poland",2020-05-20,"Białystok",9,"NA"
"234","Poland",2020-05-22,"Białystok",9,"NA"
"235","Poland",2020-05-23,"Białystok",1,"NA"
"236","Poland",2020-05-24,"Białystok",4,"NA"
"237","Poland",2020-05-25,"Białystok",5,"NA"
"238","Poland",2020-05-26,"Białystok",2,"NA"
"239","Poland",2020-05-27,"Białystok",5,"NA"
"240","Poland",2020-05-28,"Białystok",3,"NA"
"241","Poland",2020-05-29,"Białystok",2,"NA"
"242","Poland",2020-05-30,"Białystok",3,"NA"
"243","Poland",2020-05-31,"Białystok",1,"NA"
"244","Poland",2020-06-01,"Białystok",8,"NA"
"245","Poland",2020-06-02,"Białystok",5,"NA"
"246","Poland",2020-06-03,"Białystok",13,"NA"
"247","Poland",2020-06-04,"Białystok",14,"NA"
"248","Poland",2020-06-05,"Białystok",8,"NA"
"249","Poland",2020-06-06,"Białystok",4,"NA"
"250","Poland",2020-06-07,"Białystok",18,"NA"
"251","Poland",2020-06-08,"Białystok",5,"NA"
"252","Poland",2020-06-09,"Białystok",3,"NA"
"253","Poland",2020-06-10,"Białystok",6,"NA"
"254","Poland",2020-06-11,"Białystok",4,"NA"
"255","Poland",2020-06-12,"Białystok",14,"NA"
"256","Poland",2020-06-13,"Białystok",18,"NA"
"257","Poland",2020-06-14,"Białystok",17,"NA"
"258","Poland",2020-06-15,"Białystok",6,"NA"
"259","Poland",2020-06-16,"Białystok",5,"NA"
"260","Poland",2020-06-17,"Białystok",4,"NA"
"261","Poland",2020-04-02,"Bielsk Podlaski",1,"NA"
"262","Poland",2020-04-03,"Bielsk Podlaski",5,"NA"
"263","Poland",2020-04-04,"Bielsk Podlaski",4,"NA"
"264","Poland",2020-04-05,"Bielsk Podlaski",4,"NA"
"265","Poland",2020-04-06,"Bielsk Podlaski",13,"NA"
"266","Poland",2020-04-07,"Bielsk Podlaski",12,"NA"
"267","Poland",2020-04-08,"Bielsk Podlaski",3,"NA"
"268","Poland",2020-04-09,"Bielsk Podlaski",3,"NA"
"269","Poland",2020-04-10,"Bielsk Podlaski",14,"NA"
"270","Poland",2020-04-11,"Bielsk Podlaski",3,"NA"
"271","Poland",2020-04-12,"Bielsk Podlaski",9,"NA"
"272","Poland",2020-04-13,"Bielsk Podlaski",8,"NA"
"273","Poland",2020-04-14,"Bielsk Podlaski",8,"NA"
"274","Poland",2020-04-15,"Bielsk Podlaski",1,"NA"
"275","Poland",2020-04-16,"Bielsk Podlaski",7,"NA"
"276","Poland",2020-04-17,"Bielsk Podlaski",6,"NA"
"277","Poland",2020-04-18,"Bielsk Podlaski",11,"NA"
"278","Poland",2020-04-19,"Bielsk Podlaski",10,"NA"
"279","Poland",2020-04-20,"Bielsk Podlaski",2,"NA"
"280","Poland",2020-04-21,"Bielsk Podlaski",13,"NA"
"281","Poland",2020-04-22,"Bielsk Podlaski",6,"NA"
"282","Poland",2020-04-23,"Bielsk Podlaski",5,"NA"
"283","Poland",2020-04-24,"Bielsk Podlaski",3,"NA"
"284","Poland",2020-04-25,"Bielsk Podlaski",16,"NA"
"285","Poland",2020-04-26,"Bielsk Podlaski",2,"NA"
"286","Poland",2020-04-27,"Bielsk Podlaski",3,"NA"
"287","Poland",2020-04-28,"Bielsk Podlaski",7,"NA"
"288","Poland",2020-04-30,"Bielsk Podlaski",4,"NA"
"289","Poland",2020-05-01,"Bielsk Podlaski",5,"NA"
"290","Poland",2020-05-02,"Bielsk Podlaski",1,"NA"
"291","Poland",2020-05-04,"Bielsk Podlaski",5,"NA"
"292","Poland",2020-05-05,"Bielsk Podlaski",8,"NA"
"293","Poland",2020-05-06,"Bielsk Podlaski",1,"NA"
"294","Poland",2020-05-07,"Bielsk Podlaski",13,"NA"
"295","Poland",2020-05-08,"Bielsk Podlaski",7,"NA"
"296","Poland",2020-05-10,"Bielsk Podlaski",1,"NA"
"297","Poland",2020-05-11,"Bielsk Podlaski",11,"NA"
"298","Poland",2020-05-12,"Bielsk Podlaski",4,"NA"
"299","Poland",2020-05-13,"Bielsk Podlaski",2,"NA"
"300","Poland",2020-05-14,"Bielsk Podlaski",2,"NA"
"301","Poland",2020-05-15,"Bielsk Podlaski",3,"NA"
"302","Poland",2020-05-19,"Bielsk Podlaski",8,"NA"
"303","Poland",2020-05-20,"Bielsk Podlaski",1,"NA"
"304","Poland",2020-05-22,"Bielsk Podlaski",1,"NA"
"305","Poland",2020-05-25,"Bielsk Podlaski",4,"NA"
"306","Poland",2020-05-26,"Bielsk Podlaski",6,"NA"
"307","Poland",2020-05-29,"Bielsk Podlaski",3,"NA"
"308","Poland",2020-06-01,"Bielsk Podlaski",1,"NA"
"309","Poland",2020-06-02,"Bielsk Podlaski",2,"NA"
"310","Poland",2020-06-04,"Bielsk Podlaski",4,"NA"
"311","Poland",2020-06-11,"Bielsk Podlaski",2,"NA"
"312","Poland",2020-06-16,"Bielsk Podlaski",2,"NA"
"313","Poland",2020-06-17,"Bielsk Podlaski",2,"NA"
"314","Poland",2020-03-21,"Bielsko-Biała",1,"NA"
"315","Poland",2020-03-25,"Bielsko-Biała",1,"NA"
"316","Poland",2020-03-29,"Bielsko-Biała",1,"NA"
"317","Poland",2020-03-31,"Bielsko-Biała",1,"NA"
"318","Poland",2020-04-04,"Bielsko-Biała",3,"NA"
"319","Poland",2020-04-05,"Bielsko-Biała",1,"NA"
"320","Poland",2020-04-06,"Bielsko-Biała",4,"NA"
"321","Poland",2020-04-07,"Bielsko-Biała",1,"NA"
"322","Poland",2020-04-10,"Bielsko-Biała",4,"NA"
"323","Poland",2020-04-11,"Bielsko-Biała",6,"NA"
"324","Poland",2020-04-13,"Bielsko-Biała",1,"NA"
"325","Poland",2020-04-14,"Bielsko-Biała",2,"NA"
"326","Poland",2020-04-15,"Bielsko-Biała",2,"NA"
"327","Poland",2020-04-16,"Bielsko-Biała",5,"NA"
"328","Poland",2020-04-17,"Bielsko-Biała",1,"NA"
"329","Poland",2020-04-18,"Bielsko-Biała",4,"NA"
"330","Poland",2020-04-19,"Bielsko-Biała",1,"NA"
"331","Poland",2020-04-21,"Bielsko-Biała",2,"NA"
"332","Poland",2020-04-23,"Bielsko-Biała",7,"NA"
"333","Poland",2020-04-25,"Bielsko-Biała",1,"NA"
"334","Poland",2020-04-26,"Bielsko-Biała",2,"NA"
"335","Poland",2020-04-27,"Bielsko-Biała",4,"NA"
"336","Poland",2020-04-28,"Bielsko-Biała",3,"NA"
"337","Poland",2020-04-29,"Bielsko-Biała",5,"NA"
"338","Poland",2020-04-30,"Bielsko-Biała",4,"NA"
"339","Poland",2020-05-01,"Bielsko-Biała",1,"NA"
"340","Poland",2020-05-02,"Bielsko-Biała",1,"NA"
"341","Poland",2020-05-03,"Bielsko-Biała",8,"NA"
"342","Poland",2020-05-04,"Bielsko-Biała",1,"NA"
"343","Poland",2020-05-05,"Bielsko-Biała",2,"NA"
"344","Poland",2020-05-06,"Bielsko-Biała",2,"NA"
"345","Poland",2020-05-07,"Bielsko-Biała",1,"NA"
"346","Poland",2020-05-08,"Bielsko-Biała",2,"NA"
"347","Poland",2020-05-09,"Bielsko-Biała",1,"NA"
"348","Poland",2020-05-11,"Bielsko-Biała",1,"NA"
"349","Poland",2020-05-13,"Bielsko-Biała",3,"NA"
"350","Poland",2020-05-15,"Bielsko-Biała",1,"NA"
"351","Poland",2020-05-16,"Bielsko-Biała",2,"NA"
"352","Poland",2020-05-17,"Bielsko-Biała",2,"NA"
"353","Poland",2020-05-18,"Bielsko-Biała",3,"NA"
"354","Poland",2020-05-20,"Bielsko-Biała",4,"NA"
"355","Poland",2020-05-22,"Bielsko-Biała",1,"NA"
"356","Poland",2020-05-23,"Bielsko-Biała",5,"NA"
"357","Poland",2020-05-24,"Bielsko-Biała",6,"NA"
"358","Poland",2020-05-25,"Bielsko-Biała",1,"NA"
"359","Poland",2020-05-27,"Bielsko-Biała",1,"NA"
"360","Poland",2020-05-29,"Bielsko-Biała",2,"NA"
"361","Poland",2020-06-01,"Bielsko-Biała",3,"NA"
"362","Poland",2020-06-03,"Bielsko-Biała",1,"NA"
"363","Poland",2020-06-05,"Bielsko-Biała",5,"NA"
"364","Poland",2020-06-06,"Bielsko-Biała",1,"NA"
"365","Poland",2020-06-11,"Bielsko-Biała",2,"NA"
"366","Poland",2020-03-29,"Bieruń",1,"NA"
"367","Poland",2020-03-30,"Bieruń",1,"NA"
"368","Poland",2020-04-07,"Bieruń",1,"NA"
"369","Poland",2020-04-16,"Bieruń",2,"NA"
"370","Poland",2020-04-19,"Bieruń",1,"NA"
"371","Poland",2020-04-24,"Bieruń",3,"NA"
"372","Poland",2020-04-25,"Bieruń",1,"NA"
"373","Poland",2020-04-26,"Bieruń",1,"NA"
"374","Poland",2020-05-01,"Bieruń",4,"NA"
"375","Poland",2020-05-06,"Bieruń",1,"NA"
"376","Poland",2020-05-11,"Bieruń",3,"NA"
"377","Poland",2020-05-13,"Bieruń",5,"NA"
"378","Poland",2020-05-17,"Bieruń",1,"NA"
"379","Poland",2020-05-18,"Bieruń",2,"NA"
"380","Poland",2020-05-23,"Bieruń",2,"NA"
"381","Poland",2020-05-27,"Bieruń",3,"NA"
"382","Poland",2020-05-28,"Bieruń",1,"NA"
"383","Poland",2020-05-30,"Bieruń",1,"NA"
"384","Poland",2020-06-03,"Bieruń",1,"NA"
"385","Poland",2020-06-09,"Bieruń",2,"NA"
"386","Poland",2020-03-15,"Biłgoraj",1,"NA"
"387","Poland",2020-03-21,"Biłgoraj",1,"NA"
"388","Poland",2020-03-23,"Biłgoraj",1,"NA"
"389","Poland",2020-03-26,"Biłgoraj",1,"NA"
"390","Poland",2020-03-30,"Biłgoraj",1,"NA"
"391","Poland",2020-04-02,"Biłgoraj",2,"NA"
"392","Poland",2020-04-27,"Biłgoraj",1,"NA"
"393","Poland",2020-05-01,"Biłgoraj",3,"NA"
"394","Poland",2020-05-14,"Biłgoraj",1,"NA"
"395","Poland",2020-05-21,"Biłgoraj",1,"NA"
"396","Poland",2020-05-28,"Biłgoraj",6,"NA"
"397","Poland",2020-03-24,"Bobolice",1,"NA"
"398","Poland",2020-03-27,"Bobolice",3,"NA"
"399","Poland",2020-03-23,"Bochnia",1,"NA"
"400","Poland",2020-03-24,"Bochnia",1,"NA"
"401","Poland",2020-03-27,"Bochnia",2,"NA"
"402","Poland",2020-03-28,"Bochnia",1,"NA"
"403","Poland",2020-03-29,"Bochnia",1,"NA"
"404","Poland",2020-03-30,"Bochnia",1,"NA"
"405","Poland",2020-04-01,"Bochnia",3,"NA"
"406","Poland",2020-04-02,"Bochnia",10,"NA"
"407","Poland",2020-04-03,"Bochnia",1,"NA"
"408","Poland",2020-04-04,"Bochnia",6,"NA"
"409","Poland",2020-04-05,"Bochnia",2,"NA"
"410","Poland",2020-04-06,"Bochnia",2,"NA"
"411","Poland",2020-04-07,"Bochnia",1,"NA"
"412","Poland",2020-04-08,"Bochnia",3,"NA"
"413","Poland",2020-04-09,"Bochnia",17,"NA"
"414","Poland",2020-04-10,"Bochnia",11,"NA"
"415","Poland",2020-04-11,"Bochnia",8,"NA"
"416","Poland",2020-04-12,"Bochnia",5,"NA"
"417","Poland",2020-04-13,"Bochnia",1,"NA"
"418","Poland",2020-04-14,"Bochnia",1,"NA"
"419","Poland",2020-04-16,"Bochnia",2,"NA"
"420","Poland",2020-04-17,"Bochnia",1,"NA"
"421","Poland",2020-04-18,"Bochnia",13,"NA"
"422","Poland",2020-04-19,"Bochnia",2,"NA"
"423","Poland",2020-04-20,"Bochnia",4,"NA"
"424","Poland",2020-04-21,"Bochnia",7,"NA"
"425","Poland",2020-04-22,"Bochnia",1,"NA"
"426","Poland",2020-04-23,"Bochnia",2,"NA"
"427","Poland",2020-04-24,"Bochnia",1,"NA"
"428","Poland",2020-04-25,"Bochnia",1,"NA"
"429","Poland",2020-04-27,"Bochnia",6,"NA"
"430","Poland",2020-04-28,"Bochnia",2,"NA"
"431","Poland",2020-04-30,"Bochnia",3,"NA"
"432","Poland",2020-05-02,"Bochnia",1,"NA"
"433","Poland",2020-05-03,"Bochnia",2,"NA"
"434","Poland",2020-05-05,"Bochnia",1,"NA"
"435","Poland",2020-05-07,"Bochnia",6,"NA"
"436","Poland",2020-05-09,"Bochnia",4,"NA"
"437","Poland",2020-05-13,"Bochnia",1,"NA"
"438","Poland",2020-05-14,"Bochnia",4,"NA"
"439","Poland",2020-06-07,"Bochnia",1,"NA"
"440","Poland",2020-06-08,"Bochnia",3,"NA"
"441","Poland",2020-06-11,"Bochnia",2,"NA"
"442","Poland",2020-03-14,"Bolesławiec",2,"NA"
"443","Poland",2020-03-18,"Bolesławiec",1,"NA"
"444","Poland",2020-03-19,"Bolesławiec",1,"NA"
"445","Poland",2020-03-25,"Bolesławiec",1,"NA"
"446","Poland",2020-03-28,"Bolesławiec",1,"NA"
"447","Poland",2020-04-02,"Bolesławiec",2,"NA"
"448","Poland",2020-04-03,"Bolesławiec",1,"NA"
"449","Poland",2020-04-05,"Bolesławiec",2,"NA"
"450","Poland",2020-04-06,"Bolesławiec",2,"NA"
"451","Poland",2020-04-08,"Bolesławiec",2,"NA"
"452","Poland",2020-04-09,"Bolesławiec",3,"NA"
"453","Poland",2020-04-10,"Bolesławiec",1,"NA"
"454","Poland",2020-04-11,"Bolesławiec",1,"NA"
"455","Poland",2020-04-12,"Bolesławiec",1,"NA"
"456","Poland",2020-04-14,"Bolesławiec",1,"NA"
"457","Poland",2020-04-15,"Bolesławiec",4,"NA"
"458","Poland",2020-04-16,"Bolesławiec",2,"NA"
"459","Poland",2020-04-17,"Bolesławiec",22,"NA"
"460","Poland",2020-04-18,"Bolesławiec",22,"NA"
"461","Poland",2020-04-19,"Bolesławiec",19,"NA"
"462","Poland",2020-04-20,"Bolesławiec",7,"NA"
"463","Poland",2020-04-21,"Bolesławiec",11,"NA"
"464","Poland",2020-04-22,"Bolesławiec",5,"NA"
"465","Poland",2020-04-23,"Bolesławiec",5,"NA"
"466","Poland",2020-04-24,"Bolesławiec",4,"NA"
"467","Poland",2020-04-25,"Bolesławiec",2,"NA"
"468","Poland",2020-04-26,"Bolesławiec",13,"NA"
"469","Poland",2020-04-27,"Bolesławiec",5,"NA"
"470","Poland",2020-04-28,"Bolesławiec",9,"NA"
"471","Poland",2020-04-29,"Bolesławiec",5,"NA"
"472","Poland",2020-04-30,"Bolesławiec",14,"NA"
"473","Poland",2020-05-01,"Bolesławiec",3,"NA"
