"","state","date","site","dailycases","note"
"1","Spain",2020-03-01,"Albacete",0,"NA"
"2","Spain",2020-03-02,"Albacete",1,"NA"
"3","Spain",2020-03-03,"Albacete",0,"NA"
"4","Spain",2020-03-04,"Albacete",0,"NA"
"5","Spain",2020-03-05,"Albacete",0,"NA"
"6","Spain",2020-03-06,"Albacete",0,"NA"
"7","Spain",2020-03-07,"Albacete",0,"NA"
"8","Spain",2020-03-08,"Albacete",0,"NA"
"9","Spain",2020-03-09,"Albacete",0,"NA"
"10","Spain",2020-03-10,"Albacete",0,"NA"
"11","Spain",2020-03-11,"Albacete",0,"NA"
"12","Spain",2020-03-12,"Albacete",17,"NA"
"13","Spain",2020-03-13,"Albacete",20,"NA"
"14","Spain",2020-03-14,"Albacete",32,"NA"
"15","Spain",2020-03-15,"Albacete",9,"NA"
"16","Spain",2020-03-16,"Albacete",47,"NA"
"17","Spain",2020-03-17,"Albacete",22,"NA"
"18","Spain",2020-03-18,"Albacete",68,"NA"
"19","Spain",2020-03-19,"Albacete",42,"NA"
"20","Spain",2020-03-20,"Albacete",64,"NA"
"21","Spain",2020-03-21,"Albacete",108,"NA"
"22","Spain",2020-03-22,"Albacete",20,"NA"
"23","Spain",2020-03-23,"Albacete",20,"NA"
"24","Spain",2020-03-24,"Albacete",29,"NA"
"25","Spain",2020-03-25,"Albacete",68,"NA"
"26","Spain",2020-03-26,"Albacete",99,"NA"
"27","Spain",2020-03-27,"Albacete",114,"NA"
"28","Spain",2020-03-28,"Albacete",334,"NA"
"29","Spain",2020-03-29,"Albacete",203,"NA"
"30","Spain",2020-03-30,"Albacete",220,"NA"
"31","Spain",2020-03-31,"Albacete",188,"NA"
"32","Spain",2020-04-01,"Albacete",208,"NA"
"33","Spain",2020-04-02,"Albacete",165,"NA"
"34","Spain",2020-04-03,"Albacete",288,"NA"
"35","Spain",2020-04-04,"Albacete",162,"NA"
"36","Spain",2020-04-05,"Albacete",105,"NA"
"37","Spain",2020-04-06,"Albacete",98,"NA"
"38","Spain",2020-04-07,"Albacete",81,"NA"
"39","Spain",2020-04-08,"Albacete",255,"NA"
"40","Spain",2020-04-09,"Albacete",125,"NA"
"41","Spain",2020-04-10,"Albacete",131,"NA"
"42","Spain",2020-04-11,"Albacete",61,"NA"
"43","Spain",2020-04-12,"Albacete",46,"NA"
"44","Spain",2020-04-13,"Albacete",56,"NA"
"45","Spain",2020-04-14,"Albacete",37,"NA"
"46","Spain",2020-04-15,"Albacete",32,"NA"
"47","Spain",2020-04-16,"Albacete",25,"NA"
"48","Spain",2020-04-17,"Albacete",73,"NA"
"49","Spain",2020-04-18,"Albacete",36,"NA"
"50","Spain",2020-02-27,"Alicante",0,"NA"
"51","Spain",2020-02-28,"Alicante",0,"NA"
"52","Spain",2020-02-29,"Alicante",0,"NA"
"53","Spain",2020-03-01,"Alicante",0,"NA"
"54","Spain",2020-03-02,"Alicante",0,"NA"
"55","Spain",2020-03-03,"Alicante",0,"NA"
"56","Spain",2020-03-04,"Alicante",3,"NA"
"57","Spain",2020-03-05,"Alicante",2,"NA"
"58","Spain",2020-03-06,"Alicante",1,"NA"
"59","Spain",2020-03-07,"Alicante",3,"NA"
"60","Spain",2020-03-08,"Alicante",5,"NA"
"61","Spain",2020-03-09,"Alicante",1,"NA"
"62","Spain",2020-03-10,"Alicante",3,"NA"
"63","Spain",2020-03-11,"Alicante",2,"NA"
"64","Spain",2020-03-12,"Alicante",6,"NA"
"65","Spain",2020-03-13,"Alicante",13,"NA"
"66","Spain",2020-03-14,"Alicante",18,"NA"
"67","Spain",2020-03-15,"Alicante",94,"NA"
"68","Spain",2020-03-16,"Alicante",42,"NA"
"69","Spain",2020-03-17,"Alicante",0,"NA"
"70","Spain",2020-03-18,"Alicante",103,"NA"
"71","Spain",2020-03-19,"Alicante",45,"NA"
"72","Spain",2020-03-20,"Alicante",34,"NA"
"73","Spain",2020-03-21,"Alicante",107,"NA"
"74","Spain",2020-03-22,"Alicante",58,"NA"
"75","Spain",2020-03-23,"Alicante",66,"NA"
"76","Spain",2020-03-24,"Alicante",25,"NA"
"77","Spain",2020-03-25,"Alicante",229,"NA"
"78","Spain",2020-03-26,"Alicante",181,"NA"
"79","Spain",2020-03-27,"Alicante",54,"NA"
"80","Spain",2020-03-28,"Alicante",229,"NA"
"81","Spain",2020-03-29,"Alicante",412,"NA"
"82","Spain",2020-03-30,"Alicante",105,"NA"
"83","Spain",2020-03-31,"Alicante",182,"NA"
"84","Spain",2020-04-01,"Alicante",152,"NA"
"85","Spain",2020-04-02,"Alicante",147,"NA"
"86","Spain",2020-04-03,"Alicante",125,"NA"
"87","Spain",2020-04-04,"Alicante",114,"NA"
"88","Spain",2020-04-05,"Alicante",68,"NA"
"89","Spain",2020-04-06,"Alicante",46,"NA"
"90","Spain",2020-04-07,"Alicante",41,"NA"
