"","state","date","site","dailycases","note"
"1","United Kingdom",2020-02-03,"Aneurin Bevan",0,"W11000028"
"2","United Kingdom",2020-02-04,"Aneurin Bevan",0,"W11000028"
"3","United Kingdom",2020-02-05,"Aneurin Bevan",0,"W11000028"
"4","United Kingdom",2020-02-06,"Aneurin Bevan",0,"W11000028"
"5","United Kingdom",2020-02-07,"Aneurin Bevan",0,"W11000028"
"6","United Kingdom",2020-02-08,"Aneurin Bevan",0,"W11000028"
"7","United Kingdom",2020-02-09,"Aneurin Bevan",0,"W11000028"
"8","United Kingdom",2020-02-10,"Aneurin Bevan",0,"W11000028"
"9","United Kingdom",2020-02-11,"Aneurin Bevan",0,"W11000028"
"10","United Kingdom",2020-02-12,"Aneurin Bevan",0,"W11000028"
"11","United Kingdom",2020-02-13,"Aneurin Bevan",0,"W11000028"
"12","United Kingdom",2020-02-14,"Aneurin Bevan",0,"W11000028"
"13","United Kingdom",2020-02-15,"Aneurin Bevan",0,"W11000028"
"14","United Kingdom",2020-02-16,"Aneurin Bevan",0,"W11000028"
"15","United Kingdom",2020-02-17,"Aneurin Bevan",0,"W11000028"
"16","United Kingdom",2020-02-18,"Aneurin Bevan",0,"W11000028"
"17","United Kingdom",2020-02-19,"Aneurin Bevan",0,"W11000028"
"18","United Kingdom",2020-02-20,"Aneurin Bevan",0,"W11000028"
"19","United Kingdom",2020-02-21,"Aneurin Bevan",0,"W11000028"
"20","United Kingdom",2020-02-22,"Aneurin Bevan",0,"W11000028"
"21","United Kingdom",2020-02-23,"Aneurin Bevan",0,"W11000028"
"22","United Kingdom",2020-02-24,"Aneurin Bevan",0,"W11000028"
"23","United Kingdom",2020-02-25,"Aneurin Bevan",0,"W11000028"
"24","United Kingdom",2020-02-26,"Aneurin Bevan",0,"W11000028"
"25","United Kingdom",2020-02-27,"Aneurin Bevan",0,"W11000028"
"26","United Kingdom",2020-02-28,"Aneurin Bevan",0,"W11000028"
"27","United Kingdom",2020-02-29,"Aneurin Bevan",0,"W11000028"
"28","United Kingdom",2020-03-01,"Aneurin Bevan",0,"W11000028"
"29","United Kingdom",2020-03-02,"Aneurin Bevan",0,"W11000028"
"30","United Kingdom",2020-03-03,"Aneurin Bevan",0,"W11000028"
"31","United Kingdom",2020-03-04,"Aneurin Bevan",0,"W11000028"
"32","United Kingdom",2020-03-05,"Aneurin Bevan",0,"W11000028"
"33","United Kingdom",2020-03-06,"Aneurin Bevan",0,"W11000028"
"34","United Kingdom",2020-03-07,"Aneurin Bevan",0,"W11000028"
"35","United Kingdom",2020-03-08,"Aneurin Bevan",1,"W11000028"
"36","United Kingdom",2020-03-09,"Aneurin Bevan",0,"W11000028"
"37","United Kingdom",2020-03-10,"Aneurin Bevan",1,"W11000028"
"38","United Kingdom",2020-03-11,"Aneurin Bevan",5,"W11000028"
"39","United Kingdom",2020-03-12,"Aneurin Bevan",7,"W11000028"
"40","United Kingdom",2020-03-13,"Aneurin Bevan",13,"W11000028"
"41","United Kingdom",2020-03-14,"Aneurin Bevan",9,"W11000028"
"42","United Kingdom",2020-03-15,"Aneurin Bevan",23,"W11000028"
"43","United Kingdom",2020-03-16,"Aneurin Bevan",23,"W11000028"
"44","United Kingdom",2020-03-17,"Aneurin Bevan",24,"W11000028"
"45","United Kingdom",2020-03-18,"Aneurin Bevan",19,"W11000028"
"46","United Kingdom",2020-03-19,"Aneurin Bevan",33,"W11000028"
"47","United Kingdom",2020-03-20,"Aneurin Bevan",39,"W11000028"
"48","United Kingdom",2020-03-21,"Aneurin Bevan",34,"W11000028"
"49","United Kingdom",2020-03-22,"Aneurin Bevan",38,"W11000028"
"50","United Kingdom",2020-03-23,"Aneurin Bevan",61,"W11000028"
"51","United Kingdom",2020-03-24,"Aneurin Bevan",45,"W11000028"
"52","United Kingdom",2020-03-25,"Aneurin Bevan",79,"W11000028"
"53","United Kingdom",2020-03-26,"Aneurin Bevan",53,"W11000028"
"54","United Kingdom",2020-03-27,"Aneurin Bevan",47,"W11000028"
"55","United Kingdom",2020-03-28,"Aneurin Bevan",53,"W11000028"
"56","United Kingdom",2020-03-29,"Aneurin Bevan",54,"W11000028"
"57","United Kingdom",2020-03-30,"Aneurin Bevan",100,"W11000028"
"58","United Kingdom",2020-03-31,"Aneurin Bevan",73,"W11000028"
"59","United Kingdom",2020-04-01,"Aneurin Bevan",84,"W11000028"
"60","United Kingdom",2020-04-02,"Aneurin Bevan",80,"W11000028"
"61","United Kingdom",2020-04-03,"Aneurin Bevan",67,"W11000028"
"62","United Kingdom",2020-04-04,"Aneurin Bevan",68,"W11000028"
"63","United Kingdom",2020-04-05,"Aneurin Bevan",29,"W11000028"
"64","United Kingdom",2020-04-06,"Aneurin Bevan",86,"W11000028"
"65","United Kingdom",2020-04-07,"Aneurin Bevan",55,"W11000028"
"66","United Kingdom",2020-04-08,"Aneurin Bevan",88,"W11000028"
"67","United Kingdom",2020-04-09,"Aneurin Bevan",64,"W11000028"
"68","United Kingdom",2020-04-10,"Aneurin Bevan",53,"W11000028"
