"","state","date","site","dailycases"
"1","Afghanistan",2020-07-23,"Badakhshan",362
"2","Afghanistan",2020-07-24,"Badakhshan",1
"3","Afghanistan",2020-07-27,"Badakhshan",6
"4","Afghanistan",2020-07-28,"Badakhshan",4
"5","Afghanistan",2020-07-29,"Badakhshan",0
"6","Afghanistan",2020-07-30,"Badakhshan",4
"7","Afghanistan",2020-08-03,"Badakhshan",3
"8","Afghanistan",2020-08-04,"Badakhshan",1
"9","Afghanistan",2020-08-05,"Badakhshan",0
"10","Afghanistan",2020-08-06,"Badakhshan",0
"11","Afghanistan",2020-08-07,"Badakhshan",0
"12","Afghanistan",2020-08-11,"Badakhshan",2
"13","Afghanistan",2020-08-12,"Badakhshan",2
"14","Afghanistan",2020-08-13,"Badakhshan",1
"15","Afghanistan",2020-08-14,"Badakhshan",0
"16","Afghanistan",2020-08-17,"Badakhshan",0
"17","Afghanistan",2020-08-18,"Badakhshan",0
"18","Afghanistan",2020-08-19,"Badakhshan",0
"19","Afghanistan",2020-08-20,"Badakhshan",31
"20","Afghanistan",2020-08-21,"Badakhshan",0
"21","Afghanistan",2020-08-24,"Badakhshan",2
"22","Afghanistan",2020-08-26,"Badakhshan",1
"23","Afghanistan",2020-08-27,"Badakhshan",0
"24","Afghanistan",2020-08-28,"Badakhshan",0
"25","Afghanistan",2020-08-31,"Badakhshan",0
"26","Afghanistan",2020-09-01,"Badakhshan",0
"27","Afghanistan",2020-09-02,"Badakhshan",0
"28","Afghanistan",2020-09-04,"Badakhshan",0
"29","Afghanistan",2020-09-07,"Badakhshan",0
"30","Afghanistan",2020-09-08,"Badakhshan",0
"31","Afghanistan",2020-09-09,"Badakhshan",0
"32","Afghanistan",2020-09-10,"Badakhshan",0
"33","Afghanistan",2020-09-11,"Badakhshan",0
"34","Afghanistan",2020-09-14,"Badakhshan",0
"35","Afghanistan",2020-09-15,"Badakhshan",3
"36","Afghanistan",2020-09-16,"Badakhshan",1
"37","Afghanistan",2020-09-17,"Badakhshan",0
"38","Afghanistan",2020-09-18,"Badakhshan",4
"39","Afghanistan",2020-09-21,"Badakhshan",0
"40","Afghanistan",2020-09-22,"Badakhshan",0
"41","Afghanistan",2020-09-23,"Badakhshan",5
"42","Afghanistan",2020-09-24,"Badakhshan",2
"43","Afghanistan",2020-09-25,"Badakhshan",0
"44","Afghanistan",2020-09-28,"Badakhshan",5
"45","Afghanistan",2020-09-29,"Badakhshan",0
"46","Afghanistan",2020-09-30,"Badakhshan",8
"47","Afghanistan",2020-03-31,"Badakhshan Province",1
"48","Afghanistan",2020-04-01,"Badakhshan Province",0
"49","Afghanistan",2020-04-03,"Badakhshan Province",0
"50","Afghanistan",2020-04-04,"Badakhshan Province",0
"51","Afghanistan",2020-04-05,"Badakhshan Province",0
"52","Afghanistan",2020-04-06,"Badakhshan Province",0
"53","Afghanistan",2020-04-07,"Badakhshan Province",0
"54","Afghanistan",2020-04-08,"Badakhshan Province",0
"55","Afghanistan",2020-04-09,"Badakhshan Province",0
"56","Afghanistan",2020-04-11,"Badakhshan Province",0
"57","Afghanistan",2020-04-16,"Badakhshan Province",0
"58","Afghanistan",2020-04-17,"Badakhshan Province",0
"59","Afghanistan",2020-04-18,"Badakhshan Province",0
"60","Afghanistan",2020-04-19,"Badakhshan Province",0
"61","Afghanistan",2020-04-21,"Badakhshan Province",0
"62","Afghanistan",2020-04-22,"Badakhshan Province",0
"63","Afghanistan",2020-04-23,"Badakhshan Province",0
"64","Afghanistan",2020-04-24,"Badakhshan Province",0
"65","Afghanistan",2020-04-25,"Badakhshan Province",0
"66","Afghanistan",2020-04-26,"Badakhshan Province",0
"67","Afghanistan",2020-04-27,"Badakhshan Province",0
"68","Afghanistan",2020-04-28,"Badakhshan Province",1
"69","Afghanistan",2020-04-29,"Badakhshan Province",0
"70","Afghanistan",2020-04-30,"Badakhshan Province",0
"71","Afghanistan",2020-05-01,"Badakhshan Province",0
"72","Afghanistan",2020-05-02,"Badakhshan Province",0
"73","Afghanistan",2020-05-03,"Badakhshan Province",0
"74","Afghanistan",2020-05-04,"Badakhshan Province",0
"75","Afghanistan",2020-05-05,"Badakhshan Province",0
"76","Afghanistan",2020-05-07,"Badakhshan Province",6
"77","Afghanistan",2020-05-08,"Badakhshan Province",0
"78","Afghanistan",2020-05-09,"Badakhshan Province",0
"79","Afghanistan",2020-05-10,"Badakhshan Province",4
"80","Afghanistan",2020-05-11,"Badakhshan Province",0
"81","Afghanistan",2020-05-12,"Badakhshan Province",1
"82","Afghanistan",2020-05-13,"Badakhshan Province",0
"83","Afghanistan",2020-05-14,"Badakhshan Province",0
"84","Afghanistan",2020-05-15,"Badakhshan Province",3
"85","Afghanistan",2020-05-16,"Badakhshan Province",0
"86","Afghanistan",2020-05-17,"Badakhshan Province",0
"87","Afghanistan",2020-05-18,"Badakhshan Province",0
"88","Afghanistan",2020-05-19,"Badakhshan Province",1
"89","Afghanistan",2020-05-22,"Badakhshan Province",0
"90","Afghanistan",2020-05-24,"Badakhshan Province",3
"91","Afghanistan",2020-05-26,"Badakhshan Province",0
"92","Afghanistan",2020-05-28,"Badakhshan Province",0
"93","Afghanistan",2020-05-29,"Badakhshan Province",10
"94","Afghanistan",2020-05-30,"Badakhshan Province",4
"95","Afghanistan",2020-05-31,"Badakhshan Province",0
"96","Afghanistan",2020-06-02,"Badakhshan Province",14
"97","Afghanistan",2020-06-03,"Badakhshan Province",0
"98","Afghanistan",2020-06-04,"Badakhshan Province",8
"99","Afghanistan",2020-06-05,"Badakhshan Province",0
"100","Afghanistan",2020-06-13,"Badakhshan Province",11
"101","Afghanistan",2020-06-14,"Badakhshan Province",0
"102","Afghanistan",2020-06-16,"Badakhshan Province",72
"103","Afghanistan",2020-07-02,"Badakhshan Province",95
"104","Afghanistan",2020-07-06,"Badakhshan Province",0
"105","Afghanistan",2020-07-19,"Badakhshan Province",128
"106","Afghanistan",2020-06-23,"Badakhshan Province ",190
"107","Afghanistan",2020-06-25,"Badakhshan Province ",13
"108","Afghanistan",2020-07-23,"Badghis",553
"109","Afghanistan",2020-07-24,"Badghis",6
"110","Afghanistan",2020-07-27,"Badghis",25
"111","Afghanistan",2020-07-28,"Badghis",12
"112","Afghanistan",2020-07-29,"Badghis",0
"113","Afghanistan",2020-07-30,"Badghis",2
"114","Afghanistan",2020-08-03,"Badghis",5
"115","Afghanistan",2020-08-04,"Badghis",0
"116","Afghanistan",2020-08-05,"Badghis",0
"117","Afghanistan",2020-08-06,"Badghis",3
"118","Afghanistan",2020-08-07,"Badghis",3
"119","Afghanistan",2020-08-11,"Badghis",10
"120","Afghanistan",2020-08-12,"Badghis",0
"121","Afghanistan",2020-08-13,"Badghis",1
"122","Afghanistan",2020-08-14,"Badghis",5
"123","Afghanistan",2020-08-17,"Badghis",3
"124","Afghanistan",2020-08-18,"Badghis",0
"125","Afghanistan",2020-08-19,"Badghis",0
"126","Afghanistan",2020-08-20,"Badghis",3
"127","Afghanistan",2020-08-21,"Badghis",4
"128","Afghanistan",2020-08-24,"Badghis",3
"129","Afghanistan",2020-08-26,"Badghis",0
"130","Afghanistan",2020-08-27,"Badghis",0
"131","Afghanistan",2020-08-28,"Badghis",0
"132","Afghanistan",2020-08-31,"Badghis",0
"133","Afghanistan",2020-09-01,"Badghis",0
"134","Afghanistan",2020-09-02,"Badghis",0
"135","Afghanistan",2020-09-04,"Badghis",0
"136","Afghanistan",2020-09-07,"Badghis",6
"137","Afghanistan",2020-09-08,"Badghis",0
"138","Afghanistan",2020-09-09,"Badghis",0
"139","Afghanistan",2020-09-10,"Badghis",0
"140","Afghanistan",2020-09-11,"Badghis",0
"141","Afghanistan",2020-09-14,"Badghis",13
"142","Afghanistan",2020-09-15,"Badghis",0
"143","Afghanistan",2020-09-16,"Badghis",0
"144","Afghanistan",2020-09-17,"Badghis",0
"145","Afghanistan",2020-09-18,"Badghis",0
"146","Afghanistan",2020-09-21,"Badghis",11
"147","Afghanistan",2020-09-22,"Badghis",0
"148","Afghanistan",2020-09-23,"Badghis",0
"149","Afghanistan",2020-09-24,"Badghis",0
"150","Afghanistan",2020-09-25,"Badghis",0
"151","Afghanistan",2020-09-28,"Badghis",0
"152","Afghanistan",2020-09-29,"Badghis",1
"153","Afghanistan",2020-09-30,"Badghis",0
"154","Afghanistan",2020-03-22,"Badghis Province",1
"155","Afghanistan",2020-03-23,"Badghis Province",0
"156","Afghanistan",2020-03-24,"Badghis Province",0
"157","Afghanistan",2020-03-25,"Badghis Province",0
"158","Afghanistan",2020-03-27,"Badghis Province",0
"159","Afghanistan",2020-03-31,"Badghis Province",0
"160","Afghanistan",2020-04-01,"Badghis Province",0
"161","Afghanistan",2020-04-03,"Badghis Province",0
"162","Afghanistan",2020-04-04,"Badghis Province",0
"163","Afghanistan",2020-04-05,"Badghis Province",0
"164","Afghanistan",2020-04-06,"Badghis Province",0
"165","Afghanistan",2020-04-07,"Badghis Province",0
"166","Afghanistan",2020-04-08,"Badghis Province",0
"167","Afghanistan",2020-04-09,"Badghis Province",0
"168","Afghanistan",2020-04-11,"Badghis Province",0
"169","Afghanistan",2020-04-12,"Badghis Province",1
"170","Afghanistan",2020-04-13,"Badghis Province",0
"171","Afghanistan",2020-04-16,"Badghis Province",0
"172","Afghanistan",2020-04-17,"Badghis Province",0
"173","Afghanistan",2020-04-18,"Badghis Province",0
"174","Afghanistan",2020-04-19,"Badghis Province",0
"175","Afghanistan",2020-04-21,"Badghis Province",0
"176","Afghanistan",2020-04-22,"Badghis Province",0
"177","Afghanistan",2020-04-23,"Badghis Province",0
"178","Afghanistan",2020-04-24,"Badghis Province",1
"179","Afghanistan",2020-04-25,"Badghis Province",0
"180","Afghanistan",2020-04-26,"Badghis Province",0
"181","Afghanistan",2020-04-27,"Badghis Province",6
"182","Afghanistan",2020-04-28,"Badghis Province",1
"183","Afghanistan",2020-04-29,"Badghis Province",0
"184","Afghanistan",2020-04-30,"Badghis Province",4
"185","Afghanistan",2020-05-01,"Badghis Province",0
"186","Afghanistan",2020-05-02,"Badghis Province",4
"187","Afghanistan",2020-05-03,"Badghis Province",5
"188","Afghanistan",2020-05-04,"Badghis Province",-4
"189","Afghanistan",2020-05-05,"Badghis Province",0
"190","Afghanistan",2020-05-07,"Badghis Province",15
"191","Afghanistan",2020-05-08,"Badghis Province",0
"192","Afghanistan",2020-05-09,"Badghis Province",0
"193","Afghanistan",2020-05-10,"Badghis Province",0
"194","Afghanistan",2020-05-11,"Badghis Province",18
"195","Afghanistan",2020-05-12,"Badghis Province",20
"196","Afghanistan",2020-05-13,"Badghis Province",8
"197","Afghanistan",2020-05-14,"Badghis Province",0
"198","Afghanistan",2020-05-15,"Badghis Province",0
"199","Afghanistan",2020-05-16,"Badghis Province",5
"200","Afghanistan",2020-05-17,"Badghis Province",8
"201","Afghanistan",2020-05-18,"Badghis Province",0
"202","Afghanistan",2020-05-19,"Badghis Province",13
"203","Afghanistan",2020-05-22,"Badghis Province",1
"204","Afghanistan",2020-05-24,"Badghis Province",9
"205","Afghanistan",2020-05-26,"Badghis Province",73
"206","Afghanistan",2020-05-28,"Badghis Province",0
"207","Afghanistan",2020-05-29,"Badghis Province",0
"208","Afghanistan",2020-05-30,"Badghis Province",26
"209","Afghanistan",2020-05-31,"Badghis Province",0
"210","Afghanistan",2020-06-02,"Badghis Province",2
"211","Afghanistan",2020-06-03,"Badghis Province",0
"212","Afghanistan",2020-06-04,"Badghis Province",48
"213","Afghanistan",2020-06-05,"Badghis Province",0
"214","Afghanistan",2020-06-13,"Badghis Province",64
"215","Afghanistan",2020-06-14,"Badghis Province",2
"216","Afghanistan",2020-06-16,"Badghis Province",0
"217","Afghanistan",2020-07-02,"Badghis Province",80
"218","Afghanistan",2020-07-06,"Badghis Province",0
"219","Afghanistan",2020-07-19,"Badghis Province",131
"220","Afghanistan",2020-06-23,"Badghis Province ",364
"221","Afghanistan",2020-06-25,"Badghis Province ",8
"222","Afghanistan",2020-07-23,"Baghlan",634
"223","Afghanistan",2020-07-24,"Baghlan",0
"224","Afghanistan",2020-07-27,"Baghlan",0
"225","Afghanistan",2020-07-28,"Baghlan",1
"226","Afghanistan",2020-07-29,"Baghlan",0
"227","Afghanistan",2020-07-30,"Baghlan",1
"228","Afghanistan",2020-08-03,"Baghlan",5
"229","Afghanistan",2020-08-04,"Baghlan",0
"230","Afghanistan",2020-08-05,"Baghlan",1
"231","Afghanistan",2020-08-06,"Baghlan",0
"232","Afghanistan",2020-08-07,"Baghlan",0
"233","Afghanistan",2020-08-11,"Baghlan",1
"234","Afghanistan",2020-08-12,"Baghlan",0
"235","Afghanistan",2020-08-13,"Baghlan",0
"236","Afghanistan",2020-08-14,"Baghlan",0
"237","Afghanistan",2020-08-17,"Baghlan",1
"238","Afghanistan",2020-08-18,"Baghlan",0
"239","Afghanistan",2020-08-19,"Baghlan",0
"240","Afghanistan",2020-08-20,"Baghlan",3
"241","Afghanistan",2020-08-21,"Baghlan",0
"242","Afghanistan",2020-08-24,"Baghlan",0
"243","Afghanistan",2020-08-26,"Baghlan",0
"244","Afghanistan",2020-08-27,"Baghlan",2
"245","Afghanistan",2020-08-28,"Baghlan",0
"246","Afghanistan",2020-08-31,"Baghlan",0
"247","Afghanistan",2020-09-01,"Baghlan",4
"248","Afghanistan",2020-09-02,"Baghlan",0
"249","Afghanistan",2020-09-04,"Baghlan",0
"250","Afghanistan",2020-09-07,"Baghlan",3
"251","Afghanistan",2020-09-08,"Baghlan",0
"252","Afghanistan",2020-09-09,"Baghlan",0
"253","Afghanistan",2020-09-10,"Baghlan",0
"254","Afghanistan",2020-09-11,"Baghlan",0
"255","Afghanistan",2020-09-14,"Baghlan",0
"256","Afghanistan",2020-09-15,"Baghlan",0
"257","Afghanistan",2020-09-16,"Baghlan",0
