"","state","date","site","dailycases","note"
"1","Bahrain",2020-01-22,"Bahrain",0,"NA"
"2","Bahrain",2020-01-23,"Bahrain",0,"NA"
"3","Bahrain",2020-01-24,"Bahrain",0,"NA"
"4","Bahrain",2020-01-25,"Bahrain",0,"NA"
"5","Bahrain",2020-01-26,"Bahrain",0,"NA"
"6","Bahrain",2020-01-27,"Bahrain",0,"NA"
"7","Bahrain",2020-01-28,"Bahrain",0,"NA"
"8","Bahrain",2020-01-29,"Bahrain",0,"NA"
"9","Bahrain",2020-01-30,"Bahrain",0,"NA"
"10","Bahrain",2020-01-31,"Bahrain",0,"NA"
"11","Bahrain",2020-02-01,"Bahrain",0,"NA"
"12","Bahrain",2020-02-02,"Bahrain",0,"NA"
"13","Bahrain",2020-02-03,"Bahrain",0,"NA"
"14","Bahrain",2020-02-04,"Bahrain",0,"NA"
"15","Bahrain",2020-02-05,"Bahrain",0,"NA"
"16","Bahrain",2020-02-06,"Bahrain",0,"NA"
"17","Bahrain",2020-02-07,"Bahrain",0,"NA"
"18","Bahrain",2020-02-08,"Bahrain",0,"NA"
"19","Bahrain",2020-02-09,"Bahrain",0,"NA"
"20","Bahrain",2020-02-10,"Bahrain",0,"NA"
"21","Bahrain",2020-02-11,"Bahrain",0,"NA"
"22","Bahrain",2020-02-12,"Bahrain",0,"NA"
"23","Bahrain",2020-02-13,"Bahrain",0,"NA"
"24","Bahrain",2020-02-14,"Bahrain",0,"NA"
"25","Bahrain",2020-02-15,"Bahrain",0,"NA"
"26","Bahrain",2020-02-16,"Bahrain",0,"NA"
"27","Bahrain",2020-02-17,"Bahrain",0,"NA"
"28","Bahrain",2020-02-18,"Bahrain",0,"NA"
"29","Bahrain",2020-02-19,"Bahrain",0,"NA"
"30","Bahrain",2020-02-20,"Bahrain",0,"NA"
"31","Bahrain",2020-02-21,"Bahrain",0,"NA"
"32","Bahrain",2020-02-22,"Bahrain",0,"NA"
"33","Bahrain",2020-02-23,"Bahrain",0,"NA"
"34","Bahrain",2020-02-24,"Bahrain",1,"NA"
"35","Bahrain",2020-02-25,"Bahrain",22,"NA"
"36","Bahrain",2020-02-26,"Bahrain",10,"NA"
"37","Bahrain",2020-02-27,"Bahrain",0,"NA"
"38","Bahrain",2020-02-28,"Bahrain",3,"NA"
"39","Bahrain",2020-02-29,"Bahrain",5,"NA"
"40","Bahrain",2020-03-01,"Bahrain",6,"NA"
"41","Bahrain",2020-03-02,"Bahrain",2,"NA"
"42","Bahrain",2020-03-03,"Bahrain",0,"NA"
"43","Bahrain",2020-03-04,"Bahrain",3,"NA"
"44","Bahrain",2020-03-05,"Bahrain",3,"NA"
"45","Bahrain",2020-03-06,"Bahrain",5,"NA"
"46","Bahrain",2020-03-07,"Bahrain",25,"NA"
"47","Bahrain",2020-03-08,"Bahrain",0,"NA"
"48","Bahrain",2020-03-09,"Bahrain",10,"NA"
"49","Bahrain",2020-03-10,"Bahrain",15,"NA"
"50","Bahrain",2020-03-11,"Bahrain",85,"NA"
"51","Bahrain",2020-03-12,"Bahrain",0,"NA"
"52","Bahrain",2020-03-13,"Bahrain",-6,"NA"
"53","Bahrain",2020-03-14,"Bahrain",21,"NA"
"54","Bahrain",2020-03-15,"Bahrain",4,"NA"
"55","Bahrain",2020-03-16,"Bahrain",0,"NA"
"56","Bahrain",2020-03-17,"Bahrain",14,"NA"
"57","Bahrain",2020-03-18,"Bahrain",28,"NA"
"58","Bahrain",2020-03-19,"Bahrain",22,"NA"
"59","Bahrain",2020-03-20,"Bahrain",7,"NA"
"60","Bahrain",2020-03-21,"Bahrain",20,"NA"
"61","Bahrain",2020-03-22,"Bahrain",29,"NA"
"62","Bahrain",2020-03-23,"Bahrain",43,"NA"
"63","Bahrain",2020-03-24,"Bahrain",15,"NA"
"64","Bahrain",2020-03-25,"Bahrain",27,"NA"
"65","Bahrain",2020-03-26,"Bahrain",39,"NA"
"66","Bahrain",2020-03-27,"Bahrain",8,"NA"
"67","Bahrain",2020-03-28,"Bahrain",10,"NA"
"68","Bahrain",2020-03-29,"Bahrain",23,"NA"
"69","Bahrain",2020-03-30,"Bahrain",16,"NA"
"70","Bahrain",2020-03-31,"Bahrain",52,"NA"
"71","Bahrain",2020-04-01,"Bahrain",2,"NA"
"72","Bahrain",2020-04-02,"Bahrain",74,"NA"
"73","Bahrain",2020-04-03,"Bahrain",29,"NA"
"74","Bahrain",2020-04-04,"Bahrain",16,"NA"
"75","Bahrain",2020-04-05,"Bahrain",12,"NA"
"76","Bahrain",2020-04-06,"Bahrain",56,"NA"
"77","Bahrain",2020-04-07,"Bahrain",55,"NA"
"78","Bahrain",2020-04-08,"Bahrain",12,"NA"
