"","state","date","site","dailycases"
"1","India",2020-03-26,"Andaman and Nicobar Islands",1
"2","India",2020-03-27,"Andaman and Nicobar Islands",5
"3","India",2020-03-28,"Andaman and Nicobar Islands",3
"4","India",2020-03-30,"Andaman and Nicobar Islands",1
"5","India",2020-04-08,"Andaman and Nicobar Islands",1
"6","India",2020-04-17,"Andaman and Nicobar Islands",1
"7","India",2020-04-18,"Andaman and Nicobar Islands",2
"8","India",2020-04-19,"Andaman and Nicobar Islands",1
"9","India",2020-04-20,"Andaman and Nicobar Islands",1
"10","India",2020-04-21,"Andaman and Nicobar Islands",1
"11","India",2020-04-22,"Andaman and Nicobar Islands",1
"12","India",2020-04-23,"Andaman and Nicobar Islands",4
"13","India",2020-04-24,"Andaman and Nicobar Islands",7
"14","India",2020-04-25,"Andaman and Nicobar Islands",4
"15","India",2020-03-12,"Andhra Pradesh",1
"16","India",2020-03-19,"Andhra Pradesh",2
"17","India",2020-03-21,"Andhra Pradesh",2
"18","India",2020-03-22,"Andhra Pradesh",1
"19","India",2020-03-23,"Andhra Pradesh",1
"20","India",2020-03-24,"Andhra Pradesh",1
"21","India",2020-03-25,"Andhra Pradesh",2
"22","India",2020-03-26,"Andhra Pradesh",1
"23","India",2020-03-27,"Andhra Pradesh",2
"24","India",2020-03-28,"Andhra Pradesh",6
"25","India",2020-03-29,"Andhra Pradesh",2
"26","India",2020-03-30,"Andhra Pradesh",2
"27","India",2020-03-31,"Andhra Pradesh",21
"28","India",2020-04-01,"Andhra Pradesh",67
"29","India",2020-04-02,"Andhra Pradesh",38
"30","India",2020-04-03,"Andhra Pradesh",15
"31","India",2020-04-04,"Andhra Pradesh",28
"32","India",2020-04-05,"Andhra Pradesh",64
"33","India",2020-04-06,"Andhra Pradesh",47
"34","India",2020-04-07,"Andhra Pradesh",11
"35","India",2020-04-08,"Andhra Pradesh",34
"36","India",2020-04-09,"Andhra Pradesh",15
"37","India",2020-04-10,"Andhra Pradesh",18
"38","India",2020-04-11,"Andhra Pradesh",24
"39","India",2020-04-12,"Andhra Pradesh",15
"40","India",2020-04-13,"Andhra Pradesh",19
"41","India",2020-04-14,"Andhra Pradesh",45
"42","India",2020-04-15,"Andhra Pradesh",41
"43","India",2020-04-16,"Andhra Pradesh",9
"44","India",2020-04-17,"Andhra Pradesh",38
"45","India",2020-04-18,"Andhra Pradesh",31
"46","India",2020-04-19,"Andhra Pradesh",44
"47","India",2020-04-20,"Andhra Pradesh",75
"48","India",2020-04-21,"Andhra Pradesh",35
"49","India",2020-04-22,"Andhra Pradesh",56
"50","India",2020-04-23,"Andhra Pradesh",80
"51","India",2020-04-24,"Andhra Pradesh",62
"52","India",2020-04-25,"Andhra Pradesh",61
"53","India",2020-04-26,"Andhra Pradesh",81
"54","India",2020-04-02,"Arunachal Pradesh",1
"55","India",2020-03-31,"Assam",1
"56","India",2020-04-01,"Assam",15
"57","India",2020-04-03,"Assam",7
"58","India",2020-04-04,"Assam",3
"59","India",2020-04-07,"Assam",2
"60","India",2020-04-09,"Assam",1
"61","India",2020-04-12,"Assam",1
"62","India",2020-04-13,"Assam",2
"63","India",2020-04-14,"Assam",1
"64","India",2020-04-16,"Assam",2
"65","India",2020-04-23,"Assam",1
"66","India",2020-03-22,"Bihar",2
"67","India",2020-03-23,"Bihar",1
"68","India",2020-03-25,"Bihar",1
"69","India",2020-03-26,"Bihar",3
"70","India",2020-03-27,"Bihar",2
"71","India",2020-03-28,"Bihar",2
"72","India",2020-03-29,"Bihar",4
"73","India",2020-03-31,"Bihar",6
"74","India",2020-04-01,"Bihar",3
"75","India",2020-04-02,"Bihar",5
"76","India",2020-04-03,"Bihar",2
"77","India",2020-04-04,"Bihar",1
"78","India",2020-04-07,"Bihar",6
"79","India",2020-04-08,"Bihar",1
"80","India",2020-04-09,"Bihar",19
"81","India",2020-04-10,"Bihar",2
"82","India",2020-04-11,"Bihar",4
"83","India",2020-04-13,"Bihar",2
"84","India",2020-04-15,"Bihar",6
"85","India",2020-04-16,"Bihar",11
"86","India",2020-04-17,"Bihar",2
"87","India",2020-04-18,"Bihar",1
"88","India",2020-04-19,"Bihar",10
"89","India",2020-04-20,"Bihar",17
"90","India",2020-04-21,"Bihar",13
"91","India",2020-04-22,"Bihar",17
"92","India",2020-04-23,"Bihar",27
"93","India",2020-04-24,"Bihar",53
"94","India",2020-04-25,"Bihar",28
"95","India",2020-04-26,"Bihar",26
"96","India",2020-03-19,"Chandigarh",1
"97","India",2020-03-20,"Chandigarh",4
"98","India",2020-03-22,"Chandigarh",1
"99","India",2020-03-23,"Chandigarh",1
"100","India",2020-03-27,"Chandigarh",1
"101","India",2020-03-30,"Chandigarh",5
"102","India",2020-03-31,"Chandigarh",2
"103","India",2020-04-01,"Chandigarh",2
"104","India",2020-04-02,"Chandigarh",1
"105","India",2020-04-10,"Chandigarh",1
"106","India",2020-04-12,"Chandigarh",2
"107","India",2020-04-18,"Chandigarh",2
"108","India",2020-04-19,"Chandigarh",3
"109","India",2020-04-21,"Chandigarh",1
"110","India",2020-04-25,"Chandigarh",1
"111","India",2020-04-26,"Chandigarh",8
"112","India",2020-03-19,"Chhattisgarh",1
"113","India",2020-03-25,"Chhattisgarh",2
"114","India",2020-03-26,"Chhattisgarh",3
"115","India",2020-03-28,"Chhattisgarh",1
"116","India",2020-03-30,"Chhattisgarh",1
"117","India",2020-03-31,"Chhattisgarh",1
"118","India",2020-04-04,"Chhattisgarh",1
"119","India",2020-04-09,"Chhattisgarh",8
"120","India",2020-04-11,"Chhattisgarh",7
"121","India",2020-04-12,"Chhattisgarh",6
"122","India",2020-04-14,"Chhattisgarh",2
"123","India",2020-04-16,"Chhattisgarh",3
"124","India",2020-04-25,"Chhattisgarh",1
"125","India",2020-03-02,"Delhi",1
"126","India",2020-03-05,"Delhi",1
"127","India",2020-03-06,"Delhi",1
"128","India",2020-03-09,"Delhi",1
"129","India",2020-03-11,"Delhi",1
"130","India",2020-03-12,"Delhi",1
"131","India",2020-03-13,"Delhi",1
"132","India",2020-03-17,"Delhi",3
"133","India",2020-03-18,"Delhi",1
"134","India",2020-03-19,"Delhi",3
"135","India",2020-03-20,"Delhi",6
"136","India",2020-03-21,"Delhi",7
"137","India",2020-03-22,"Delhi",1
"138","India",2020-03-23,"Delhi",2
"139","India",2020-03-25,"Delhi",5
"140","India",2020-03-26,"Delhi",4
"141","India",2020-03-27,"Delhi",1
"142","India",2020-03-28,"Delhi",9
"143","India",2020-03-29,"Delhi",23
"144","India",2020-03-30,"Delhi",25
"145","India",2020-03-31,"Delhi",23
"146","India",2020-04-01,"Delhi",32
"147","India",2020-04-02,"Delhi",141
"148","India",2020-04-03,"Delhi",93
"149","India",2020-04-04,"Delhi",59
