"","state","date","site","dailycases","note"
"1","Pakistan",2020-04-04,"AJK",14,"NA"
"2","Pakistan",2020-04-06,"AJK",1,"NA"
"3","Pakistan",2020-04-07,"AJK",13,"NA"
"4","Pakistan",2020-04-08,"AJK",0,"NA"
"5","Pakistan",2020-04-09,"AJK",5,"NA"
"6","Pakistan",2020-04-10,"AJK",0,"NA"
"7","Pakistan",2020-04-11,"AJK",1,"NA"
"8","Pakistan",2020-04-12,"AJK",6,"NA"
"9","Pakistan",2020-04-13,"AJK",3,"NA"
"10","Pakistan",2020-04-14,"AJK",0,"NA"
"11","Pakistan",2020-04-15,"AJK",3,"NA"
"12","Pakistan",2020-04-16,"AJK",0,"NA"
"13","Pakistan",2020-04-17,"AJK",0,"NA"
"14","Pakistan",2020-04-18,"AJK",2,"NA"
"15","Pakistan",2020-04-19,"AJK",0,"NA"
"16","Pakistan",2020-04-20,"AJK",0,"NA"
"17","Pakistan",2020-04-21,"AJK",3,"NA"
"18","Pakistan",2020-04-04,"BALOCHISTAN",138,"NA"
"19","Pakistan",2020-04-06,"BALOCHISTAN",3,"NA"
"20","Pakistan",2020-04-07,"BALOCHISTAN",14,"NA"
"21","Pakistan",2020-04-08,"BALOCHISTAN",4,"NA"
"22","Pakistan",2020-04-09,"BALOCHISTAN",2,"NA"
"23","Pakistan",2020-04-10,"BALOCHISTAN",7,"NA"
"24","Pakistan",2020-04-11,"BALOCHISTAN",1,"NA"
"25","Pakistan",2020-04-12,"BALOCHISTAN",8,"NA"
"26","Pakistan",2020-04-13,"BALOCHISTAN",2,"NA"
"27","Pakistan",2020-04-14,"BALOCHISTAN",1,"NA"
"28","Pakistan",2020-04-15,"BALOCHISTAN",9,"NA"
"29","Pakistan",2020-04-16,"BALOCHISTAN",40,"NA"
"30","Pakistan",2020-04-17,"BALOCHISTAN",23,"NA"
"31","Pakistan",2020-04-18,"BALOCHISTAN",32,"NA"
"32","Pakistan",2020-04-19,"BALOCHISTAN",41,"NA"
