"","state","date","site","dailycases","note"
"1","Qatar",2020-01-22,"Qatar",0,"NA"
"2","Qatar",2020-01-23,"Qatar",0,"NA"
"3","Qatar",2020-01-24,"Qatar",0,"NA"
"4","Qatar",2020-01-25,"Qatar",0,"NA"
"5","Qatar",2020-01-26,"Qatar",0,"NA"
"6","Qatar",2020-01-27,"Qatar",0,"NA"
"7","Qatar",2020-01-28,"Qatar",0,"NA"
"8","Qatar",2020-01-29,"Qatar",0,"NA"
"9","Qatar",2020-01-30,"Qatar",0,"NA"
"10","Qatar",2020-01-31,"Qatar",0,"NA"
"11","Qatar",2020-02-01,"Qatar",0,"NA"
"12","Qatar",2020-02-02,"Qatar",0,"NA"
"13","Qatar",2020-02-03,"Qatar",0,"NA"
"14","Qatar",2020-02-04,"Qatar",0,"NA"
"15","Qatar",2020-02-05,"Qatar",0,"NA"
"16","Qatar",2020-02-06,"Qatar",0,"NA"
"17","Qatar",2020-02-07,"Qatar",0,"NA"
"18","Qatar",2020-02-08,"Qatar",0,"NA"
"19","Qatar",2020-02-09,"Qatar",0,"NA"
"20","Qatar",2020-02-10,"Qatar",0,"NA"
"21","Qatar",2020-02-11,"Qatar",0,"NA"
"22","Qatar",2020-02-12,"Qatar",0,"NA"
"23","Qatar",2020-02-13,"Qatar",0,"NA"
"24","Qatar",2020-02-14,"Qatar",0,"NA"
"25","Qatar",2020-02-15,"Qatar",0,"NA"
"26","Qatar",2020-02-16,"Qatar",0,"NA"
"27","Qatar",2020-02-17,"Qatar",0,"NA"
"28","Qatar",2020-02-18,"Qatar",0,"NA"
"29","Qatar",2020-02-19,"Qatar",0,"NA"
"30","Qatar",2020-02-20,"Qatar",0,"NA"
"31","Qatar",2020-02-21,"Qatar",0,"NA"
"32","Qatar",2020-02-22,"Qatar",0,"NA"
"33","Qatar",2020-02-23,"Qatar",0,"NA"
"34","Qatar",2020-02-24,"Qatar",0,"NA"
"35","Qatar",2020-02-25,"Qatar",0,"NA"
"36","Qatar",2020-02-26,"Qatar",0,"NA"
"37","Qatar",2020-02-27,"Qatar",0,"NA"
"38","Qatar",2020-02-28,"Qatar",0,"NA"
"39","Qatar",2020-02-29,"Qatar",1,"NA"
"40","Qatar",2020-03-01,"Qatar",2,"NA"
"41","Qatar",2020-03-02,"Qatar",0,"NA"
"42","Qatar",2020-03-03,"Qatar",4,"NA"
"43","Qatar",2020-03-04,"Qatar",1,"NA"
"44","Qatar",2020-03-05,"Qatar",0,"NA"
"45","Qatar",2020-03-06,"Qatar",0,"NA"
"46","Qatar",2020-03-07,"Qatar",0,"NA"
"47","Qatar",2020-03-08,"Qatar",7,"NA"
"48","Qatar",2020-03-09,"Qatar",3,"NA"
"49","Qatar",2020-03-10,"Qatar",6,"NA"
"50","Qatar",2020-03-11,"Qatar",238,"NA"
"51","Qatar",2020-03-12,"Qatar",0,"NA"
"52","Qatar",2020-03-13,"Qatar",58,"NA"
"53","Qatar",2020-03-14,"Qatar",17,"NA"
"54","Qatar",2020-03-15,"Qatar",64,"NA"
"55","Qatar",2020-03-16,"Qatar",38,"NA"
"56","Qatar",2020-03-17,"Qatar",0,"NA"
"57","Qatar",2020-03-18,"Qatar",13,"NA"
"58","Qatar",2020-03-19,"Qatar",8,"NA"
"59","Qatar",2020-03-20,"Qatar",10,"NA"
"60","Qatar",2020-03-21,"Qatar",11,"NA"
"61","Qatar",2020-03-22,"Qatar",13,"NA"
"62","Qatar",2020-03-23,"Qatar",7,"NA"
"63","Qatar",2020-03-24,"Qatar",25,"NA"
"64","Qatar",2020-03-25,"Qatar",11,"NA"
"65","Qatar",2020-03-26,"Qatar",12,"NA"
"66","Qatar",2020-03-27,"Qatar",13,"NA"
"67","Qatar",2020-03-28,"Qatar",28,"NA"
"68","Qatar",2020-03-29,"Qatar",44,"NA"
"69","Qatar",2020-03-30,"Qatar",59,"NA"
"70","Qatar",2020-03-31,"Qatar",88,"NA"
"71","Qatar",2020-04-01,"Qatar",54,"NA"
"72","Qatar",2020-04-02,"Qatar",114,"NA"
"73","Qatar",2020-04-03,"Qatar",126,"NA"
"74","Qatar",2020-04-04,"Qatar",250,"NA"
"75","Qatar",2020-04-05,"Qatar",279,"NA"
"76","Qatar",2020-04-06,"Qatar",228,"NA"
"77","Qatar",2020-04-07,"Qatar",225,"NA"
"78","Qatar",2020-04-08,"Qatar",153,"NA"
