"","state","date","site","dailycases","note"
"1","United Arab Emirates",2020-03-20,"Tabuk",1,"NA"
"2","United Arab Emirates",2020-04-03,"Tabuk",9,"NA"
"3","United Arab Emirates",2020-03-30,"Tabuk",1,"NA"
"4","United Arab Emirates",2020-04-01,"Tabuk",2,"NA"
"5","United Arab Emirates",2020-04-04,"Tabuk",5,"NA"
"6","United Arab Emirates",2020-03-29,"Tabuk",1,"NA"
"7","United Arab Emirates",2020-03-28,"Tabuk",3,"NA"
"8","United Arab Emirates",2020-03-14,"Riyadh",12,"NA"
"9","United Arab Emirates",2020-03-17,"Riyadh",19,"NA"
"10","United Arab Emirates",2020-03-21,"Riyadh",36,"NA"
"11","United Arab Emirates",2020-04-02,"Riyadh",7,"NA"
"12","United Arab Emirates",2020-03-28,"Riyadh",41,"NA"
"13","United Arab Emirates",2020-03-25,"Riyadh",83,"NA"
"14","United Arab Emirates",2020-03-27,"Riyadh",46,"NA"
"15","United Arab Emirates",2020-03-15,"Riyadh",2,"NA"
"16","United Arab Emirates",2020-03-09,"Riyadh",1,"NA"
"17","United Arab Emirates",2020-04-04,"Riyadh",66,"NA"
"18","United Arab Emirates",2020-03-19,"Riyadh",21,"NA"
"19","United Arab Emirates",2020-03-18,"Riyadh",19,"NA"
"20","United Arab Emirates",2020-04-01,"Riyadh",7,"NA"
"21","United Arab Emirates",2020-03-22,"Riyadh",34,"NA"
"22","United Arab Emirates",2020-03-30,"Riyadh",22,"NA"
"23","United Arab Emirates",2020-03-26,"Riyadh",34,"NA"
"24","United Arab Emirates",2020-03-24,"Riyadh",69,"NA"
"25","United Arab Emirates",2020-03-29,"Riyadh",27,"NA"
"26","United Arab Emirates",2020-03-16,"Riyadh",4,"NA"
"27","United Arab Emirates",2020-03-20,"Riyadh",49,"NA"
"28","United Arab Emirates",2020-03-31,"Riyadh",33,"NA"
"29","United Arab Emirates",2020-03-23,"Riyadh",18,"NA"
"30","United Arab Emirates",2020-03-13,"Riyadh",1,"NA"
"31","United Arab Emirates",2020-03-26,"At Taif",18,"NA"
"32","United Arab Emirates",2020-04-04,"At Taif",4,"NA"
"33","United Arab Emirates",2020-03-30,"At Taif",2,"NA"
"34","United Arab Emirates",2020-03-29,"At Taif",1,"NA"
"35","United Arab Emirates",2020-03-23,"At Taif",6,"NA"
"36","United Arab Emirates",2020-04-01,"At Taif",2,"NA"
"37","United Arab Emirates",2020-04-02,"Makkah Al Mukarramah",48,"NA"
"38","United Arab Emirates",2020-04-02,"Makkah Al Mukarramah",1,"NA"
"39","United Arab Emirates",2020-03-19,"Makkah Al Mukarramah",3,"NA"
"40","United Arab Emirates",2020-03-31,"Makkah Al Mukarramah",20,"NA"
"41","United Arab Emirates",2020-03-16,"Makkah Al Mukarramah",2,"NA"
"42","United Arab Emirates",2020-04-03,"Makkah Al Mukarramah",21,"NA"
