"","state","date","site","dailycases","note"
"1","Argentina",2020-03-05,"buenos-aires",1,"NA"
"2","Argentina",2020-03-08,"buenos-aires",8,"NA"
"3","Argentina",2020-03-10,"buenos-aires",1,"NA"
"4","Argentina",2020-03-11,"buenos-aires",1,"NA"
"5","Argentina",2020-03-13,"buenos-aires",1,"NA"
"6","Argentina",2020-03-15,"buenos-aires",1,"NA"
"7","Argentina",2020-03-16,"buenos-aires",1,"NA"
"8","Argentina",2020-03-17,"buenos-aires",1,"NA"
"9","Argentina",2020-03-18,"buenos-aires",6,"NA"
"10","Argentina",2020-03-19,"buenos-aires",14,"NA"
"11","Argentina",2020-03-20,"buenos-aires",9,"NA"
"12","Argentina",2020-03-21,"buenos-aires",14,"NA"
"13","Argentina",2020-03-22,"buenos-aires",8,"NA"
"14","Argentina",2020-03-23,"buenos-aires",5,"NA"
"15","Argentina",2020-03-24,"buenos-aires",29,"NA"
"16","Argentina",2020-03-25,"buenos-aires",30,"NA"
"17","Argentina",2020-03-26,"buenos-aires",27,"NA"
"18","Argentina",2020-03-27,"buenos-aires",36,"NA"
"19","Argentina",2020-03-28,"buenos-aires",8,"NA"
"20","Argentina",2020-03-29,"buenos-aires",16,"NA"
"21","Argentina",2020-03-30,"buenos-aires",36,"NA"
"22","Argentina",2020-03-31,"buenos-aires",17,"NA"
"23","Argentina",2020-04-01,"buenos-aires",10,"NA"
"24","Argentina",2020-04-02,"buenos-aires",36,"NA"
"25","Argentina",2020-04-03,"buenos-aires",22,"NA"
"26","Argentina",2020-04-04,"buenos-aires",26,"NA"
"27","Argentina",2020-04-05,"buenos-aires",33,"NA"
"28","Argentina",2020-04-06,"buenos-aires",12,"NA"
"29","Argentina",2020-04-07,"buenos-aires",34,"NA"
"30","Argentina",2020-04-08,"buenos-aires",17,"NA"
"31","Argentina",2020-04-09,"buenos-aires",28,"NA"
"32","Argentina",2020-04-10,"buenos-aires",19,"NA"
"33","Argentina",2020-04-11,"buenos-aires",37,"NA"
"34","Argentina",2020-04-12,"buenos-aires",28,"NA"
"35","Argentina",2020-04-13,"buenos-aires",29,"NA"
"36","Argentina",2020-04-14,"buenos-aires",66,"NA"
"37","Argentina",2020-04-15,"buenos-aires",62,"NA"
"38","Argentina",2020-04-16,"buenos-aires",30,"NA"
"39","Argentina",2020-04-17,"buenos-aires",34,"NA"
"40","Argentina",2020-04-18,"buenos-aires",31,"NA"
"41","Argentina",2020-04-19,"buenos-aires",48,"NA"
"42","Argentina",2020-04-20,"buenos-aires",42,"NA"
"43","Argentina",2020-04-21,"buenos-aires",61,"NA"
"44","Argentina",2020-04-22,"buenos-aires",61,"NA"
"45","Argentina",2020-04-23,"buenos-aires",84,"NA"
"46","Argentina",2020-04-24,"buenos-aires",61,"NA"
"47","Argentina",2020-04-25,"buenos-aires",94,"NA"
"48","Argentina",2020-04-26,"buenos-aires",56,"NA"
"49","Argentina",2020-04-27,"buenos-aires",50,"NA"
"50","Argentina",2020-04-28,"buenos-aires",48,"NA"
"51","Argentina",2020-04-29,"buenos-aires",103,"NA"
"52","Argentina",2020-04-30,"buenos-aires",66,"NA"
"53","Argentina",2020-05-01,"buenos-aires",34,"NA"
"54","Argentina",2020-05-02,"buenos-aires",45,"NA"
"55","Argentina",2020-05-03,"buenos-aires",38,"NA"
"56","Argentina",2020-05-04,"buenos-aires",38,"NA"
"57","Argentina",2020-05-05,"buenos-aires",58,"NA"
"58","Argentina",2020-05-06,"buenos-aires",63,"NA"
"59","Argentina",2020-05-07,"buenos-aires",50,"NA"
"60","Argentina",2020-05-08,"buenos-aires",77,"NA"
"61","Argentina",2020-05-09,"buenos-aires",60,"NA"
"62","Argentina",2020-05-10,"buenos-aires",51,"NA"
"63","Argentina",2020-05-11,"buenos-aires",44,"NA"
"64","Argentina",2020-05-12,"buenos-aires",80,"NA"
"65","Argentina",2020-05-13,"buenos-aires",96,"NA"
"66","Argentina",2020-05-14,"buenos-aires",79,"NA"
"67","Argentina",2020-05-15,"buenos-aires",86,"NA"
"68","Argentina",2020-05-16,"buenos-aires",97,"NA"
"69","Argentina",2020-05-17,"buenos-aires",74,"NA"
"70","Argentina",2020-05-18,"buenos-aires",93,"NA"
"71","Argentina",2020-05-19,"buenos-aires",157,"NA"
"72","Argentina",2020-05-20,"buenos-aires",178,"NA"
"73","Argentina",2020-05-21,"buenos-aires",213,"NA"
"74","Argentina",2020-05-22,"buenos-aires",266,"NA"
"75","Argentina",2020-05-23,"buenos-aires",289,"NA"
"76","Argentina",2020-03-02,"capital-federal",1,"NA"
"77","Argentina",2020-03-09,"capital-federal",1,"NA"
"78","Argentina",2020-03-10,"capital-federal",1,"NA"
"79","Argentina",2020-03-11,"capital-federal",1,"NA"
"80","Argentina",2020-03-12,"capital-federal",10,"NA"
"81","Argentina",2020-03-13,"capital-federal",2,"NA"
"82","Argentina",2020-03-14,"capital-federal",11,"NA"
"83","Argentina",2020-03-15,"capital-federal",6,"NA"
"84","Argentina",2020-03-16,"capital-federal",5,"NA"
"85","Argentina",2020-03-17,"capital-federal",4,"NA"
"86","Argentina",2020-03-18,"capital-federal",10,"NA"
"87","Argentina",2020-03-19,"capital-federal",8,"NA"
"88","Argentina",2020-03-20,"capital-federal",9,"NA"
"89","Argentina",2020-03-21,"capital-federal",29,"NA"
"90","Argentina",2020-03-22,"capital-federal",11,"NA"
"91","Argentina",2020-03-23,"capital-federal",11,"NA"
"92","Argentina",2020-03-24,"capital-federal",29,"NA"
"93","Argentina",2020-03-25,"capital-federal",21,"NA"
"94","Argentina",2020-03-26,"capital-federal",30,"NA"
"95","Argentina",2020-03-27,"capital-federal",27,"NA"
"96","Argentina",2020-03-28,"capital-federal",18,"NA"
"97","Argentina",2020-03-29,"capital-federal",13,"NA"
"98","Argentina",2020-03-30,"capital-federal",34,"NA"
"99","Argentina",2020-03-31,"capital-federal",19,"NA"
"100","Argentina",2020-04-01,"capital-federal",10,"NA"
"101","Argentina",2020-04-02,"capital-federal",24,"NA"
"102","Argentina",2020-04-03,"capital-federal",28,"NA"
"103","Argentina",2020-04-04,"capital-federal",34,"NA"
"104","Argentina",2020-04-05,"capital-federal",32,"NA"
"105","Argentina",2020-04-06,"capital-federal",17,"NA"
"106","Argentina",2020-04-07,"capital-federal",24,"NA"
