"","state","date","site","dailycases","note"
"1","Bolivia",2020-03-21,"Beni",0,"NA"
"2","Bolivia",2020-03-22,"Beni",0,"NA"
"3","Bolivia",2020-03-23,"Beni",0,"NA"
"4","Bolivia",2020-03-24,"Beni",0,"NA"
"5","Bolivia",2020-03-25,"Beni",0,"NA"
"6","Bolivia",2020-03-26,"Beni",0,"NA"
"7","Bolivia",2020-03-27,"Beni",0,"NA"
"8","Bolivia",2020-03-28,"Beni",0,"NA"
"9","Bolivia",2020-03-29,"Beni",0,"NA"
"10","Bolivia",2020-03-30,"Beni",0,"NA"
"11","Bolivia",2020-03-31,"Beni",0,"NA"
"12","Bolivia",2020-04-01,"Beni",0,"NA"
"13","Bolivia",2020-04-02,"Beni",0,"NA"
"14","Bolivia",2020-04-03,"Beni",0,"NA"
"15","Bolivia",2020-04-04,"Beni",0,"NA"
"16","Bolivia",2020-04-05,"Beni",0,"NA"
"17","Bolivia",2020-04-06,"Beni",0,"NA"
"18","Bolivia",2020-04-07,"Beni",0,"NA"
"19","Bolivia",2020-04-08,"Beni",0,"NA"
"20","Bolivia",2020-04-09,"Beni",0,"NA"
"21","Bolivia",2020-04-10,"Beni",0,"NA"
"22","Bolivia",2020-04-11,"Beni",0,"NA"
"23","Bolivia",2020-04-12,"Beni",0,"NA"
"24","Bolivia",2020-04-13,"Beni",0,"NA"
"25","Bolivia",2020-04-14,"Beni",0,"NA"
"26","Bolivia",2020-04-15,"Beni",0,"NA"
"27","Bolivia",2020-04-16,"Beni",0,"NA"
"28","Bolivia",2020-04-17,"Beni",0,"NA"
"29","Bolivia",2020-04-18,"Beni",0,"NA"
"30","Bolivia",2020-04-19,"Beni",0,"NA"
"31","Bolivia",2020-04-20,"Beni",2,"NA"
"32","Bolivia",2020-04-21,"Beni",0,"NA"
"33","Bolivia",2020-04-22,"Beni",0,"NA"
"34","Bolivia",2020-04-23,"Beni",0,"NA"
"35","Bolivia",2020-04-24,"Beni",31,"NA"
"36","Bolivia",2020-04-25,"Beni",6,"NA"
"37","Bolivia",2020-04-26,"Beni",18,"NA"
"38","Bolivia",2020-04-27,"Beni",5,"NA"
"39","Bolivia",2020-04-28,"Beni",1,"NA"
"40","Bolivia",2020-04-29,"Beni",4,"NA"
"41","Bolivia",2020-04-30,"Beni",0,"NA"
"42","Bolivia",2020-05-01,"Beni",16,"NA"
"43","Bolivia",2020-05-02,"Beni",108,"NA"
"44","Bolivia",2020-05-03,"Beni",21,"NA"
"45","Bolivia",2020-05-04,"Beni",0,"NA"
"46","Bolivia",2020-05-05,"Beni",0,"NA"
"47","Bolivia",2020-05-06,"Beni",0,"NA"
"48","Bolivia",2020-05-07,"Beni",19,"NA"
"49","Bolivia",2020-05-08,"Beni",81,"NA"
"50","Bolivia",2020-05-09,"Beni",0,"NA"
"51","Bolivia",2020-05-10,"Beni",2,"NA"
"52","Bolivia",2020-05-11,"Beni",75,"NA"
"53","Bolivia",2020-05-12,"Beni",0,"NA"
"54","Bolivia",2020-05-13,"Beni",47,"NA"
"55","Bolivia",2020-05-14,"Beni",73,"NA"
"56","Bolivia",2020-05-15,"Beni",39,"NA"
"57","Bolivia",2020-05-16,"Beni",3,"NA"
"58","Bolivia",2020-05-17,"Beni",0,"NA"
"59","Bolivia",2020-05-18,"Beni",30,"NA"
"60","Bolivia",2020-05-19,"Beni",98,"NA"
"61","Bolivia",2020-05-20,"Beni",154,"NA"
"62","Bolivia",2020-05-21,"Beni",69,"NA"
"63","Bolivia",2020-05-22,"Beni",113,"NA"
"64","Bolivia",2020-05-23,"Beni",82,"NA"
"65","Bolivia",2020-05-24,"Beni",0,"NA"
"66","Bolivia",2020-05-25,"Beni",45,"NA"
"67","Bolivia",2020-05-26,"Beni",100,"NA"
"68","Bolivia",2020-05-27,"Beni",113,"NA"
"69","Bolivia",2020-05-28,"Beni",151,"NA"
"70","Bolivia",2020-05-29,"Beni",70,"NA"
"71","Bolivia",2020-05-30,"Beni",131,"NA"
"72","Bolivia",2020-05-31,"Beni",102,"NA"
"73","Bolivia",2020-06-01,"Beni",76,"NA"
"74","Bolivia",2020-06-02,"Beni",80,"NA"
"75","Bolivia",2020-06-03,"Beni",136,"NA"
"76","Bolivia",2020-06-04,"Beni",177,"NA"
"77","Bolivia",2020-06-05,"Beni",150,"NA"
"78","Bolivia",2020-06-06,"Beni",44,"NA"
"79","Bolivia",2020-06-07,"Beni",39,"NA"
"80","Bolivia",2020-06-08,"Beni",0,"NA"
"81","Bolivia",2020-06-09,"Beni",181,"NA"
"82","Bolivia",2020-06-10,"Beni",86,"NA"
"83","Bolivia",2020-06-11,"Beni",31,"NA"
"84","Bolivia",2020-06-12,"Beni",118,"NA"
"85","Bolivia",2020-06-13,"Beni",17,"NA"
"86","Bolivia",2020-06-14,"Beni",10,"NA"
"87","Bolivia",2020-06-15,"Beni",8,"NA"
"88","Bolivia",2020-06-16,"Beni",32,"NA"
"89","Bolivia",2020-06-17,"Beni",134,"NA"
"90","Bolivia",2020-06-18,"Beni",198,"NA"
"91","Bolivia",2020-06-19,"Beni",147,"NA"
"92","Bolivia",2020-06-20,"Beni",108,"NA"
"93","Bolivia",2020-06-21,"Beni",32,"NA"
"94","Bolivia",2020-06-22,"Beni",66,"NA"
"95","Bolivia",2020-06-23,"Beni",106,"NA"
"96","Bolivia",2020-06-24,"Beni",102,"NA"
