"","state","date","site","dailycases","note"
"1","Colombia",2020-04-07,"Amazonas",1,"Leticia"
"2","Colombia",2020-04-11,"Amazonas",1,"Leticia"
"3","Colombia",2020-04-13,"Amazonas",1,"Leticia"
"4","Colombia",2020-04-14,"Amazonas",3,"Leticia"
"5","Colombia",2020-04-15,"Amazonas",0,"Leticia"
"6","Colombia",2020-04-16,"Amazonas",2,"Leticia"
"7","Colombia",2020-04-17,"Amazonas",2,"Leticia"
"8","Colombia",2020-04-18,"Amazonas",3,"Leticia"
"9","Colombia",2020-04-19,"Amazonas",2,"Leticia"
"10","Colombia",2020-04-20,"Amazonas",2,"Leticia"
"11","Colombia",2020-04-21,"Amazonas",15,"Leticia"
"12","Colombia",2020-04-22,"Amazonas",9,"Leticia"
"13","Colombia",2020-04-23,"Amazonas",13,"Leticia"
"14","Colombia",2020-04-24,"Amazonas",8,"Leticia"
"15","Colombia",2020-04-25,"Amazonas",11,"Leticia"
"16","Colombia",2020-04-26,"Amazonas",9,"Leticia"
"17","Colombia",2020-04-27,"Amazonas",3,"Leticia"
"18","Colombia",2020-04-28,"Amazonas",18,"Leticia"
"19","Colombia",2020-04-29,"Amazonas",8,"Leticia"
"20","Colombia",2020-04-30,"Amazonas",4,"Leticia"
"21","Colombia",2020-05-01,"Amazonas",2,"Leticia"
"22","Colombia",2020-05-01,"Amazonas",0,"Puerto Nariño"
"23","Colombia",2020-05-02,"Amazonas",3,"Leticia"
"24","Colombia",2020-05-03,"Amazonas",3,"Leticia"
"25","Colombia",2020-05-04,"Amazonas",15,"Leticia"
"26","Colombia",2020-05-05,"Amazonas",33,"Leticia"
"27","Colombia",2020-05-06,"Amazonas",38,"Leticia"
"28","Colombia",2020-05-07,"Amazonas",85,"Leticia"
"29","Colombia",2020-05-08,"Amazonas",54,"Leticia"
"30","Colombia",2020-05-09,"Amazonas",14,"Leticia"
"31","Colombia",2020-05-10,"Amazonas",3,"Leticia"
"32","Colombia",2020-05-11,"Amazonas",29,"Leticia"
"33","Colombia",2020-05-11,"Amazonas",0,"Puerto Nariño"
"34","Colombia",2020-05-12,"Amazonas",21,"Leticia"
"35","Colombia",2020-05-12,"Amazonas",0,"Puerto Nariño"
"36","Colombia",2020-05-13,"Amazonas",4,"Leticia"
"37","Colombia",2020-05-13,"Amazonas",0,"Puerto Nariño"
"38","Colombia",2020-05-14,"Amazonas",113,"Leticia"
"39","Colombia",2020-05-15,"Amazonas",30,"Leticia"
"40","Colombia",2020-05-16,"Amazonas",2,"Leticia"
"41","Colombia",2020-05-16,"Amazonas",0,"Puerto Nariño"
"42","Colombia",2020-05-17,"Amazonas",3,"Leticia"
"43","Colombia",2020-05-18,"Amazonas",24,"Leticia"
"44","Colombia",2020-05-19,"Amazonas",23,"Leticia"
"45","Colombia",2020-05-20,"Amazonas",20,"Leticia"
"46","Colombia",2020-05-21,"Amazonas",11,"Leticia"
"47","Colombia",2020-05-21,"Amazonas",0,"Puerto Nariño"
"48","Colombia",2020-05-22,"Amazonas",2,"Leticia"
"49","Colombia",2020-05-23,"Amazonas",0,"Leticia"
"50","Colombia",2020-05-24,"Amazonas",0,"Leticia"
"51","Colombia",2020-05-25,"Amazonas",0,"Leticia"
"52","Colombia",2020-05-26,"Amazonas",0,"Leticia"
"53","Colombia",2020-05-27,"Amazonas",0,"Leticia"
"54","Colombia",2020-05-27,"Amazonas",0,"Puerto Nariño"
"55","Colombia",2020-05-28,"Amazonas",1,"Leticia"
"56","Colombia",2020-05-29,"Amazonas",0,"Leticia"
"57","Colombia",2020-05-30,"Amazonas",0,"Leticia"
