,state,date,region_name,dailycases,note,CODE_2
0,Bahrain,2020-01-22,,0.0,,
1,Bahrain,2020-01-23,,0.0,,
2,Bahrain,2020-01-24,,0.0,,
3,Bahrain,2020-01-25,,0.0,,
4,Bahrain,2020-01-26,,0.0,,
5,Bahrain,2020-01-27,,0.0,,
6,Bahrain,2020-01-28,,0.0,,
7,Bahrain,2020-01-29,,0.0,,
8,Bahrain,2020-01-30,,0.0,,
9,Bahrain,2020-01-31,,0.0,,
10,Bahrain,2020-02-01,,0.0,,
11,Bahrain,2020-02-02,,0.0,,
12,Bahrain,2020-02-03,,0.0,,
13,Bahrain,2020-02-04,,0.0,,
14,Bahrain,2020-02-05,,0.0,,
15,Bahrain,2020-02-06,,0.0,,
16,Bahrain,2020-02-07,,0.0,,
17,Bahrain,2020-02-08,,0.0,,
18,Bahrain,2020-02-09,,0.0,,
19,Bahrain,2020-02-10,,0.0,,
20,Bahrain,2020-02-11,,0.0,,
21,Bahrain,2020-02-12,,0.0,,
22,Bahrain,2020-02-13,,0.0,,
23,Bahrain,2020-02-14,,0.0,,
24,Bahrain,2020-02-15,,0.0,,
25,Bahrain,2020-02-16,,0.0,,
26,Bahrain,2020-02-17,,0.0,,
27,Bahrain,2020-02-18,,0.0,,
28,Bahrain,2020-02-19,,0.0,,
29,Bahrain,2020-02-20,,0.0,,
30,Bahrain,2020-02-21,,0.0,,
31,Bahrain,2020-02-22,,0.0,,
32,Bahrain,2020-02-23,,0.0,,
33,Bahrain,2020-02-24,,1.0,,
34,Bahrain,2020-02-25,,22.0,,
35,Bahrain,2020-02-26,,10.0,,
36,Bahrain,2020-02-27,,0.0,,
37,Bahrain,2020-02-28,,3.0,,
38,Bahrain,2020-02-29,,5.0,,
39,Bahrain,2020-03-01,,6.0,,
40,Bahrain,2020-03-02,,2.0,,
41,Bahrain,2020-03-03,,0.0,,
42,Bahrain,2020-03-04,,3.0,,
43,Bahrain,2020-03-05,,3.0,,
44,Bahrain,2020-03-06,,5.0,,
45,Bahrain,2020-03-07,,25.0,,
46,Bahrain,2020-03-08,,0.0,,
47,Bahrain,2020-03-09,,10.0,,
48,Bahrain,2020-03-10,,15.0,,
49,Bahrain,2020-03-11,,85.0,,
50,Bahrain,2020-03-12,,0.0,,
51,Bahrain,2020-03-13,,-6.0,,
52,Bahrain,2020-03-14,,21.0,,
53,Bahrain,2020-03-15,,4.0,,
54,Bahrain,2020-03-16,,0.0,,
55,Bahrain,2020-03-17,,14.0,,
56,Bahrain,2020-03-18,,28.0,,
57,Bahrain,2020-03-19,,22.0,,
58,Bahrain,2020-03-20,,7.0,,
59,Bahrain,2020-03-21,,20.0,,
60,Bahrain,2020-03-22,,29.0,,
61,Bahrain,2020-03-23,,43.0,,
62,Bahrain,2020-03-24,,15.0,,
63,Bahrain,2020-03-25,,27.0,,
64,Bahrain,2020-03-26,,39.0,,
65,Bahrain,2020-03-27,,8.0,,
66,Bahrain,2020-03-28,,10.0,,
67,Bahrain,2020-03-29,,23.0,,
68,Bahrain,2020-03-30,,16.0,,
69,Bahrain,2020-03-31,,52.0,,
70,Bahrain,2020-04-01,,2.0,,
71,Bahrain,2020-04-02,,74.0,,
72,Bahrain,2020-04-03,,29.0,,
