,state,date,region_name,dailycases,note,CODE_2
0,Australia,2020-01-25,Australian Capital Territory,0,,AUS.2_1
1,Australia,2020-01-26,Australian Capital Territory,0,,AUS.2_1
2,Australia,2020-01-27,Australian Capital Territory,0,,AUS.2_1
3,Australia,2020-01-28,Australian Capital Territory,0,,AUS.2_1
4,Australia,2020-01-29,Australian Capital Territory,0,,AUS.2_1
5,Australia,2020-01-30,Australian Capital Territory,0,,AUS.2_1
6,Australia,2020-01-31,Australian Capital Territory,0,,AUS.2_1
7,Australia,2020-02-01,Australian Capital Territory,0,,AUS.2_1
8,Australia,2020-02-02,Australian Capital Territory,0,,AUS.2_1
9,Australia,2020-02-03,Australian Capital Territory,0,,AUS.2_1
10,Australia,2020-02-04,Australian Capital Territory,0,,AUS.2_1
11,Australia,2020-02-05,Australian Capital Territory,0,,AUS.2_1
12,Australia,2020-02-06,Australian Capital Territory,0,,AUS.2_1
13,Australia,2020-02-07,Australian Capital Territory,0,,AUS.2_1
14,Australia,2020-02-08,Australian Capital Territory,0,,AUS.2_1
15,Australia,2020-02-09,Australian Capital Territory,0,,AUS.2_1
16,Australia,2020-02-10,Australian Capital Territory,0,,AUS.2_1
17,Australia,2020-02-11,Australian Capital Territory,0,,AUS.2_1
18,Australia,2020-02-12,Australian Capital Territory,0,,AUS.2_1
19,Australia,2020-02-13,Australian Capital Territory,0,,AUS.2_1
20,Australia,2020-02-14,Australian Capital Territory,0,,AUS.2_1
21,Australia,2020-02-15,Australian Capital Territory,0,,AUS.2_1
22,Australia,2020-02-16,Australian Capital Territory,0,,AUS.2_1
23,Australia,2020-02-17,Australian Capital Territory,0,,AUS.2_1
24,Australia,2020-02-18,Australian Capital Territory,0,,AUS.2_1
25,Australia,2020-02-19,Australian Capital Territory,0,,AUS.2_1
26,Australia,2020-02-20,Australian Capital Territory,0,,AUS.2_1
27,Australia,2020-02-21,Australian Capital Territory,0,,AUS.2_1
28,Australia,2020-02-22,Australian Capital Territory,0,,AUS.2_1
29,Australia,2020-02-23,Australian Capital Territory,0,,AUS.2_1
30,Australia,2020-02-24,Australian Capital Territory,0,,AUS.2_1
31,Australia,2020-02-25,Australian Capital Territory,0,,AUS.2_1
32,Australia,2020-02-26,Australian Capital Territory,0,,AUS.2_1
33,Australia,2020-02-27,Australian Capital Territory,0,,AUS.2_1
34,Australia,2020-02-28,Australian Capital Territory,0,,AUS.2_1
35,Australia,2020-02-29,Australian Capital Territory,0,,AUS.2_1
36,Australia,2020-03-01,Australian Capital Territory,0,,AUS.2_1
37,Australia,2020-03-02,Australian Capital Territory,0,,AUS.2_1
38,Australia,2020-03-03,Australian Capital Territory,0,,AUS.2_1
39,Australia,2020-03-04,Australian Capital Territory,0,,AUS.2_1
40,Australia,2020-03-05,Australian Capital Territory,0,,AUS.2_1
41,Australia,2020-03-06,Australian Capital Territory,0,,AUS.2_1
42,Australia,2020-03-07,Australian Capital Territory,0,,AUS.2_1
43,Australia,2020-03-08,Australian Capital Territory,0,,AUS.2_1
44,Australia,2020-03-09,Australian Capital Territory,0,,AUS.2_1
45,Australia,2020-03-10,Australian Capital Territory,0,,AUS.2_1
46,Australia,2020-03-11,Australian Capital Territory,0,,AUS.2_1
