GID_0;country;CODE_2;region_name
DZA;Algeria;DZA.1_1;Adrar
DZA;Algeria;DZA.2_1;Aïn Defla
DZA;Algeria;DZA.3_1;Aïn Témouchent
DZA;Algeria;DZA.4_1;Alger
DZA;Algeria;DZA.5_1;Annaba
DZA;Algeria;DZA.6_1;Batna
DZA;Algeria;DZA.7_1;Béchar
DZA;Algeria;DZA.8_1;Béjaïa
DZA;Algeria;DZA.9_1;Biskra
DZA;Algeria;DZA.10_1;Blida
DZA;Algeria;DZA.11_1;Bordj Bou Arréridj
DZA;Algeria;DZA.12_1;Bouira
DZA;Algeria;DZA.13_1;Boumerdès
DZA;Algeria;DZA.14_1;Chlef
DZA;Algeria;DZA.15_1;Constantine
DZA;Algeria;DZA.16_1;Djelfa
DZA;Algeria;DZA.17_1;El Bayadh
DZA;Algeria;DZA.18_1;El Oued
DZA;Algeria;DZA.19_1;El Tarf
DZA;Algeria;DZA.20_1;Ghardaïa
DZA;Algeria;DZA.21_1;Guelma
DZA;Algeria;DZA.22_1;Illizi
DZA;Algeria;DZA.23_1;Jijel
DZA;Algeria;DZA.24_1;Khenchela
DZA;Algeria;DZA.25_1;Laghouat
DZA;Algeria;DZA.26_1;M'Sila
DZA;Algeria;DZA.27_1;Mascara
DZA;Algeria;DZA.28_1;Médéa
DZA;Algeria;DZA.29_1;Mila
DZA;Algeria;DZA.30_1;Mostaganem
DZA;Algeria;DZA.31_1;Naâma
DZA;Algeria;DZA.32_1;Oran
DZA;Algeria;DZA.33_1;Ouargla
DZA;Algeria;DZA.34_1;Oum el Bouaghi
DZA;Algeria;DZA.35_1;Relizane
DZA;Algeria;DZA.36_1;Saïda
DZA;Algeria;DZA.37_1;Sétif
DZA;Algeria;DZA.38_1;Sidi Bel Abbès
DZA;Algeria;DZA.39_1;Skikda
DZA;Algeria;DZA.40_1;Souk Ahras
DZA;Algeria;DZA.41_1;Tamanghasset
DZA;Algeria;DZA.42_1;Tébessa
DZA;Algeria;DZA.43_1;Tiaret
DZA;Algeria;DZA.44_1;Tindouf
DZA;Algeria;DZA.45_1;Tipaza
DZA;Algeria;DZA.46_1;Tissemsilt
DZA;Algeria;DZA.47_1;Tizi Ouzou
DZA;Algeria;DZA.48_1;Tlemcen
ARG;Argentina;ARG.1_1;Buenos Aires
ARG;Argentina;ARG.2_1;Catamarca
ARG;Argentina;ARG.3_1;Chaco
ARG;Argentina;ARG.4_1;Chubut
ARG;Argentina;ARG.5_1;Ciudad de Buenos Aires
ARG;Argentina;ARG.6_1;Córdoba
ARG;Argentina;ARG.7_1;Corrientes
ARG;Argentina;ARG.8_1;Entre Ríos
ARG;Argentina;ARG.9_1;Formosa
ARG;Argentina;ARG.10_1;Jujuy
ARG;Argentina;ARG.11_1;La Pampa
ARG;Argentina;ARG.12_1;La Rioja
ARG;Argentina;ARG.13_1;Mendoza
ARG;Argentina;ARG.14_1;Misiones
ARG;Argentina;ARG.15_1;Neuquén
ARG;Argentina;ARG.16_1;Río Negro
ARG;Argentina;ARG.17_1;Salta
ARG;Argentina;ARG.18_1;San Juan
ARG;Argentina;ARG.19_1;San Luis
ARG;Argentina;ARG.20_1;Santa Cruz
ARG;Argentina;ARG.21_1;Santa Fe
ARG;Argentina;ARG.22_1;Santiago del Estero
ARG;Argentina;ARG.23_1;Tierra del Fuego
ARG;Argentina;ARG.24_1;Tucumán
AUS;Australia;AUS.1_1;Ashmore and Cartier Islands
AUS;Australia;AUS.2_1;Australian Capital Territory
AUS;Australia;AUS.3_1;Coral Sea Islands Territory
AUS;Australia;AUS.4_1;Jervis Bay Territory
AUS;Australia;AUS.5_1;New South Wales
